id,fold,subject,failure_type,true_step_index,predicted_step_index,predicted_step_probability,n_steps,correct
omnimath-0,4,omnimath,unknown,2,1,0.7626383086923378,6,0
omnimath-1,2,omnimath,unknown,7,1,0.5667875692439998,12,0
omnimath-10,3,omnimath,unknown,2,2,0.5971868957178675,8,1
omnimath-100,1,omnimath,unknown,5,1,0.7551100829071712,8,0
omnimath-101,3,omnimath,unknown,1,1,0.7343788543230108,8,1
omnimath-102,0,omnimath,unknown,2,1,0.7620547820473192,4,0
omnimath-103,3,omnimath,unknown,2,4,0.6319152636529073,14,0
omnimath-104,4,omnimath,unknown,4,3,0.631784494349636,9,0
omnimath-105,3,omnimath,unknown,5,3,0.6702247349230362,7,0
omnimath-106,4,omnimath,unknown,1,2,0.5804148252753331,7,0
omnimath-107,1,omnimath,unknown,3,1,0.832397356181515,7,0
omnimath-108,2,omnimath,unknown,2,5,0.6126178021753119,7,0
omnimath-109,0,omnimath,unknown,1,3,0.6345904982448197,9,0
omnimath-11,4,omnimath,unknown,5,4,0.5883041168220183,13,0
omnimath-110,2,omnimath,unknown,3,1,0.7423415225555715,13,0
omnimath-111,3,omnimath,unknown,9,3,0.7422197836141772,12,0
omnimath-112,3,omnimath,unknown,1,1,0.9450985836420766,5,1
omnimath-113,2,omnimath,unknown,5,2,0.6073177272923703,9,0
omnimath-114,2,omnimath,unknown,8,4,0.6084496018833147,11,0
omnimath-115,2,omnimath,unknown,1,2,0.7068977481078975,7,0
omnimath-116,4,omnimath,unknown,2,1,0.9171588702392754,6,0
omnimath-117,4,omnimath,unknown,11,3,0.5972284551621752,14,0
omnimath-118,4,omnimath,unknown,2,1,0.7953745810250809,4,0
omnimath-119,1,omnimath,unknown,1,1,0.7843029257987656,10,1
omnimath-12,1,omnimath,unknown,2,0,0.8028478099100108,6,0
omnimath-120,3,omnimath,unknown,0,4,0.7065446955086578,6,0
omnimath-121,1,omnimath,unknown,1,2,0.7354379410718468,8,0
omnimath-122,0,omnimath,unknown,5,5,0.7050331069113199,7,1
omnimath-123,1,omnimath,unknown,1,2,0.6774214801510571,9,0
omnimath-124,0,omnimath,unknown,1,1,0.7887272199321307,6,1
omnimath-125,4,omnimath,unknown,5,1,0.7706651899872995,8,0
omnimath-126,4,omnimath,unknown,1,1,0.8342328094161283,6,1
omnimath-127,0,omnimath,unknown,3,3,0.6572562551579746,13,1
omnimath-128,0,omnimath,unknown,1,2,0.5872492033300483,10,0
omnimath-129,3,omnimath,unknown,2,1,0.592624802203147,11,0
omnimath-13,0,omnimath,unknown,2,1,0.6532635837131293,7,0
omnimath-130,4,omnimath,unknown,1,1,0.7719572473464823,10,1
omnimath-131,2,omnimath,unknown,0,0,0.7803658463283042,5,1
omnimath-132,0,omnimath,unknown,0,1,0.8241807917880487,9,0
omnimath-133,1,omnimath,unknown,5,1,0.7557148223693325,11,0
omnimath-134,1,omnimath,unknown,7,1,0.8039331458865784,10,0
omnimath-135,4,omnimath,unknown,2,3,0.3654390231269297,20,0
omnimath-136,2,omnimath,unknown,9,1,0.6680947582274553,16,0
omnimath-137,4,omnimath,unknown,6,2,0.8030979005151301,8,0
omnimath-138,0,omnimath,unknown,2,1,0.7682696316873847,6,0
omnimath-139,0,omnimath,unknown,10,3,0.518012266931609,14,0
omnimath-14,2,omnimath,unknown,3,1,0.6565995269818665,10,0
omnimath-140,0,omnimath,unknown,4,3,0.5173002953754369,30,0
omnimath-141,2,omnimath,unknown,4,3,0.63642514720983,10,0
omnimath-142,1,omnimath,unknown,0,2,0.6426184538597554,11,0
omnimath-143,0,omnimath,unknown,1,1,0.5997853079235949,11,1
