id,dataset,run_slug,subject,generator,model,target,target_label,is_correct,final_answer_correct,exit_status,premature_exit_score,premature_exit_flag,rambling_overlong_score,rambling_overlong_flag,thrashing_score,thrashing_flag,no_commitment_score,no_commitment_flag,derailment_late_score,derailment_late_flag,answer_drift_score,answer_drift_flag,answer_meandering_score,answer_meandering_flag,answer_volatility_score,answer_volatility_flag,answer_uncommitted_score,answer_uncommitted_flag,answer_overrange_score,answer_overrange_flag,truncation_abort_score,truncation_abort_flag
OpenDeepSearch/000,agenthallu,framework-all,General Assistant,gpt-4.1-2025-04-14,,0,final_answer_correct,False,False,,-9.0,0.0,9.0,1.0,3.0,0.0,-0.22689657666906698,0.0,7.021144868208673,0.0,2.570130642768966,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-11.751052034760754,0.0,,
OpenDeepSearch/001,agenthallu,framework-all,Science,gpt-4.1-2025-04-14,,0,final_answer_correct,False,False,,-3.0,0.0,3.0,0.0,1.0,0.0,-0.7217940305175558,0.0,10.64773307285698,1.0,8.492202891711312,0.0,0.0,0.0,-0.22324184829958238,0.0,-1.0,0.0,-8.57215272625039,0.0,,
OpenDeepSearch/002,agenthallu,framework-all,General Assistant,claude-3-7-sonnet-20250219,,1,final_answer_correct,True,True,,-3.0,0.0,3.0,0.0,1.0,0.0,-0.6099399997232723,0.0,6.813436113876428,0.0,4.5366135986528064,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-9.113085304312627,0.0,,
OpenDeepSearch/003,agenthallu,framework-all,World Knowledge,Qwen2.5-Coder-32B-Instruct,,0,final_answer_correct,False,False,,-12.0,0.0,12.0,1.0,3.0,0.0,-0.004300010447855369,0.0,2.0287937084422847,0.0,5.130982094112454,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-10.157104231550228,0.0,,
OpenDeepSearch/004,agenthallu,framework-all,World Knowledge,gpt-4.1-2025-04-14,,0,final_answer_correct,False,False,,-9.0,0.0,9.0,1.0,3.0,0.0,-0.018458675454286342,0.0,0.598733993925407,0.0,0.8439519981757044,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-9.87254236912278,0.0,,
OpenDeepSearch/005,agenthallu,framework-all,Science,gpt-4.1-2025-04-14,,0,final_answer_correct,False,False,,-4.0,0.0,4.0,0.0,1.0,0.0,-0.2986485871039221,0.0,0.0,0.0,1.8406803602121258,0.0,1.0,1.0,0.6746846445662142,1.0,-0.1268222304757712,0.0,-1.9586291888736227,1.0,,
OpenDeepSearch/006,agenthallu,framework-all,General Assistant,Qwen2.5-Coder-32B-Instruct,,0,final_answer_correct,False,False,,-7.0,0.0,7.0,1.0,4.0,1.0,-0.2501185168080292,0.0,3.1276547059785216,0.0,8.690640558238663,1.0,0.0,0.0,0.0,0.0,-0.0,0.0,-7.5658571968507005,0.0,,
OpenDeepSearch/007,agenthallu,framework-all,Science,Qwen2.5-Coder-32B-Instruct,,0,final_answer_correct,False,False,,-4.0,0.0,4.0,0.0,1.0,0.0,-0.0033159751341734537,0.0,0.0,0.0,8.555052497761,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-6.417818347872391,0.0,,
OpenDeepSearch/008,agenthallu,framework-all,World Knowledge,Qwen2.5-Coder-32B-Instruct,,1,final_answer_correct,True,True,,-4.0,0.0,4.0,0.0,1.0,0.0,-0.3449472640325049,0.0,8.596511109171587,1.0,4.2532458542937945,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-17.212336504895166,0.0,,
OpenDeepSearch/009,agenthallu,framework-all,World Knowledge,Qwen2.5-Coder-32B-Instruct,,1,final_answer_correct,True,True,,-6.0,0.0,6.0,0.0,3.0,0.0,-0.28259188456657347,0.0,8.208445536727368,0.0,3.9357852489428566,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-14.959555341708771,0.0,,
OpenDeepSearch/010,agenthallu,framework-all,Science,gpt-4o-2024-11-20,,0,final_answer_correct,False,False,,-4.0,0.0,4.0,0.0,1.0,0.0,-0.17471673103592086,0.0,4.325781590492664,0.0,2.153254430808108,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-14.993044696630712,0.0,,
OpenDeepSearch/011,agenthallu,framework-all,Math,gpt-4.1-2025-04-14,,0,final_answer_correct,False,False,,-5.0,0.0,5.0,0.0,1.0,0.0,-0.06939037697285952,0.0,2.060498921311808,0.0,3.9776561948193567,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-16.0911146028557,0.0,,
OpenDeepSearch/012,agenthallu,framework-all,Math,Qwen2.5-Coder-32B-Instruct,,0,final_answer_correct,False,False,,-4.0,0.0,4.0,0.0,1.0,0.0,-0.000935624156369755,1.0,0.0,0.0,,,,,,,,,,,,
OpenDeepSearch/013,agenthallu,framework-all,General Assistant,gpt-4.1-2025-04-14,,0,final_answer_correct,False,False,,-4.0,0.0,4.0,0.0,1.0,0.0,-0.11857314003135248,0.0,2.1316300195552067,0.0,2.1287956796490164,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-10.613069140944805,0.0,,
OpenDeepSearch/014,agenthallu,framework-all,General Assistant,claude-3-7-sonnet-20250219,,1,final_answer_correct,True,True,,-3.0,0.0,3.0,0.0,1.0,0.0,-0.34232564725315645,0.0,2.264809529771398,0.0,0.000585115445140616,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-4.561245030526358,0.0,,
OpenDeepSearch/015,agenthallu,framework-all,General Assistant,gpt-4o-2024-11-20,,0,final_answer_correct,False,False,,-5.0,0.0,5.0,0.0,3.0,0.0,-0.27389415010215384,0.0,6.022437944490267,0.0,2.0208381894278453,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-14.057731410414668,0.0,,
OpenDeepSearch/016,agenthallu,framework-all,Science,gpt-4o-2024-11-20,,0,final_answer_correct,False,False,,-6.0,0.0,6.0,0.0,3.0,0.0,-0.08457360054213113,0.0,0.0,0.0,0.9192625881747247,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-8.777151860770278,0.0,,
OpenDeepSearch/017,agenthallu,framework-all,General Assistant,Qwen2.5-Coder-32B-Instruct,,0,final_answer_correct,False,False,,-4.0,0.0,4.0,0.0,1.0,0.0,-0.594381075196188,0.0,6.395098662300587,0.0,2.139473711756839,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-8.580830431168597,0.0,,
OpenDeepSearch/018,agenthallu,framework-all,Science,gpt-4.1-2025-04-14,,0,final_answer_correct,False,False,,-5.0,0.0,5.0,0.0,1.0,0.0,-0.001357218048307976,0.0,0.0,0.0,0.017680159517041716,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-12.067317101769767,0.0,,
OpenDeepSearch/019,agenthallu,framework-all,General Assistant,gpt-4.1-2025-04-14,,0,final_answer_correct,False,False,,-5.0,0.0,5.0,0.0,1.0,0.0,-0.1839501860251962,0.0,6.16144926918134,0.0,0.0415169498493384,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-20.259744260740234,0.0,,
OpenDeepSearch/020,agenthallu,framework-all,General Assistant,Qwen2.5-Coder-32B-Instruct,,0,final_answer_correct,False,False,,-12.0,0.0,12.0,1.0,7.0,1.0,-0.0031072710422600787,0.0,1.0672254880283867,0.0,,,,,,,,,,,,
OpenDeepSearch/021,agenthallu,framework-all,Science,Qwen2.5-Coder-32B-Instruct,,0,final_answer_correct,False,False,,-4.0,0.0,4.0,0.0,1.0,0.0,-0.2083926818264462,0.0,4.571153497884303,0.0,,,,,,,,,,,,
OpenDeepSearch/022,agenthallu,framework-all,General Assistant,Qwen2.5-Coder-32B-Instruct,,1,final_answer_correct,True,True,,-4.0,0.0,4.0,0.0,1.0,0.0,-0.0002459806836426593,1.0,0.0,0.0,10.670139427994748,1.0,0.0,0.0,0.0,0.0,-0.0,0.0,-12.844712305426068,0.0,,
OpenDeepSearch/023,agenthallu,framework-all,Math,Qwen2.5-Coder-32B-Instruct,,0,final_answer_correct,False,False,,-3.0,0.0,3.0,0.0,0.0,0.0,-1.0,0.0,9.793292516941907,1.0,,,,,,,,,,,,
OpenDeepSearch/024,agenthallu,framework-all,General Assistant,gpt-4.1-2025-04-14,,1,final_answer_correct,True,True,,-9.0,0.0,9.0,1.0,5.0,1.0,-0.03932619305276699,0.0,0.0,0.0,0.803910419531146,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-10.356387386053171,0.0,,
OpenDeepSearch/025,agenthallu,framework-all,Science,gpt-4.1-2025-04-14,,0,final_answer_correct,False,False,,-5.0,0.0,5.0,0.0,3.0,0.0,-0.0044562014111727295,0.0,0.11412077218452765,0.0,2.074356928759073,0.0,1.0,1.0,0.22167231166707269,1.0,-0.489188869925332,0.0,-5.350113800743237,0.0,,
OpenDeepSearch/026,agenthallu,framework-all,General Assistant,gpt-4o-2024-11-20,,0,final_answer_correct,False,False,,-6.0,0.0,6.0,0.0,3.0,0.0,-0.09007540118121785,0.0,2.983414671837671,0.0,3.0298651017168297,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-13.946075603015379,0.0,,
OpenDeepSearch/027,agenthallu,framework-all,World Knowledge,gpt-4.1-2025-04-14,,0,final_answer_correct,False,False,,-3.0,0.0,3.0,0.0,1.0,0.0,-0.25724457306398835,0.0,0.0,0.0,2.062047961342799,0.0,1.0,1.0,0.8473969383210278,1.0,-0.20854177064924156,0.0,2.101896289496679,1.0,,
OpenDeepSearch/028,agenthallu,framework-all,Math,claude-3-7-sonnet-20250219,,1,final_answer_correct,True,True,,-4.0,0.0,4.0,0.0,1.0,0.0,-0.1155624102907012,0.0,2.448764165140691,0.0,5.790689887348588,0.0,0.0,0.0,-0.49663171982130505,0.0,-1.0,0.0,-1.9472846472778542,1.0,,
