id,fold,subject,true_type,pred_type,correct,prob_action,prob_memory,prob_plan,prob_planning,prob_reflection,prob_system
GPT-4o_001_alfworld_task_001,4,alfworld,memory,plan,0,0.005222197854498964,0.10267305870504795,0.8545344582133199,0.0005668226024106892,0.01368656622343352,0.023316896401289162
GPT-4o_002_alfworld_task_002,4,alfworld,memory,reflection,0,0.0026430192137573173,0.11508388787503854,0.056660899390995285,0.13454398931678924,0.5805005206924018,0.11056768351101785
GPT-4o_003_alfworld_task_003,2,alfworld,system,plan,0,0.0031092764865129226,0.003118266300674432,0.9408639145884243,0.00945735816033833,0.00010886051307295547,0.043342323950977105
GPT-4o_004_alfworld_task_004,4,alfworld,plan,action,0,0.7705025743109417,0.10292436278247748,0.1240558337614968,2.0308459544299586e-05,0.0010708288494108052,0.0014260918361289837
GPT-4o_005_alfworld_task_005,0,alfworld,memory,memory,1,0.0021365629551440123,0.5549497481991683,0.09227486685423537,0.04242524532808417,0.18718038030417086,0.12103319635919747
GPT-4o_006_alfworld_task_006,0,alfworld,plan,planning,0,0.005003088093363322,0.02116281632541298,0.28774646723353137,0.5207824000937673,0.1371581756989414,0.02814705255498356
GPT-4o_007_alfworld_task_007,1,alfworld,reflection,memory,0,0.20400226599696153,0.6118415667332417,0.16297459000271103,0.0003172158205033372,0.02082767947859584,3.6681967986717444e-05
GPT-4o_008_alfworld_task_008,1,alfworld,memory,reflection,0,0.11916158424659616,0.02908344280920407,0.007484615887227993,0.012895269960919357,0.5856275677049542,0.24574751939109826
GPT-4o_009_alfworld_task_009,4,alfworld,plan,memory,0,0.01913652159240347,0.3938000768240685,0.36525321587996973,1.6257830140658312e-05,0.06361431038510834,0.1581796174883093
GPT-4o_010_alfworld_task_010,2,alfworld,reflection,memory,0,0.00039713368664898494,0.973285466868739,0.01762221607296203,8.003541919447545e-06,0.005034995483168597,0.003652184346561868
GPT-4o_011_alfworld_task_011,4,alfworld,plan,memory,0,0.06822678085901335,0.35218598092403386,0.011834631379025472,0.04107104560159191,0.28571006752894534,0.24097149370739016
GPT-4o_012_alfworld_task_012,3,alfworld,memory,action,0,0.32300324367366157,0.05769548492574203,0.2568081551141585,0.02686794371799704,0.03456590631790759,0.30105926625053325
GPT-4o_013_alfworld_task_013,3,alfworld,reflection,memory,0,0.0095774879419182,0.9855788110290651,0.0035066821834081855,8.633035486459115e-06,1.1994515904014922e-05,0.001316391294217961
GPT-4o_014_alfworld_task_014,0,alfworld,reflection,reflection,1,0.0044964325483583135,0.0018662659143092435,0.3079861099678935,0.00023927091171985036,0.6813689255244124,0.004042995133306612
GPT-4o_015_alfworld_task_015,1,alfworld,system,plan,0,0.045236161526872744,0.28575125147979463,0.5422773467044216,0.018025767700354817,0.07394570367329202,0.03476376891526432
GPT-4o_016_alfworld_task_016,0,alfworld,system,reflection,0,0.001903602757572226,0.007298510301417388,0.0006575586317797785,0.03132700273397438,0.9514686522050942,0.007344673370161912
GPT-4o_017_alfworld_task_017,0,alfworld,system,memory,0,0.09827673030438097,0.8749428551137666,0.00030767383997615163,0.01544813490952121,0.0088561426697941,0.002168463162560988
GPT-4o_018_alfworld_task_018,1,alfworld,action,action,1,0.9640030932658534,0.017096528249515942,0.0014705622963390138,0.0007148855431797586,0.007000808419776161,0.009714122225335966
GPT-4o_019_alfworld_task_019,2,alfworld,action,reflection,0,0.001025841290034294,0.09087097024216764,0.08050088873718193,0.0012795560626287334,0.826310938554098,1.1805113889263571e-05
GPT-4o_020_alfworld_task_020,0,alfworld,reflection,plan,0,0.26436821613364314,0.026966294889813825,0.541720587973889,0.0004847478534457577,0.15008609601775755,0.016374057131450726
GPT-4o_021_alfworld_task_021,1,alfworld,system,planning,0,0.027225481483076224,0.13679562869363746,0.2961068812550929,0.5312305034383805,0.006918711840128795,0.00172279328968423
GPT-4o_022_alfworld_task_022,1,alfworld,plan,reflection,0,0.022944079787864273,0.3370416040861339,0.23598221367813926,0.0014201568435606717,0.3442483327971603,0.05836361280714159
GPT-4o_023_alfworld_task_023,3,alfworld,memory,action,0,0.995698006465026,0.0014303497003589146,0.002789746528360395,1.287281330216628e-09,7.332212303705011e-05,8.573895936030003e-06
GPT-4o_024_alfworld_task_024,4,alfworld,reflection,reflection,1,0.004242059879343504,0.025203604573185844,0.09557263523504088,0.0008889119465579375,0.8686849389070198,0.005407849458851926
GPT-4o_025_alfworld_task_025,0,alfworld,action,reflection,0,0.18701081214312673,0.011946610497679682,0.07562217364363846,9.446024326282053e-05,0.7204163111135916,0.004909632358700836
GPT-4o_026_alfworld_task_026,4,alfworld,reflection,reflection,1,0.003509860303761622,0.286970421390917,0.0710835971537343,0.00023773433720711222,0.6355023021045744,0.0026960847098055052
GPT-4o_027_alfworld_task_027,0,alfworld,memory,reflection,0,0.41420988691349,0.0010771332639432018,0.027863450341902123,0.016205693751434727,0.4196609351844404,0.12098290054478954
GPT-4o_028_alfworld_task_028,2,alfworld,planning,memory,0,0.012427729088314505,0.8385931118951568,0.083324590272409,7.408495555364866e-05,0.019163247322303158,0.04641723646626298
GPT-4o_029_alfworld_task_029,3,alfworld,memory,system,0,0.003342966476714923,0.2832025301885142,0.027428184524143386,0.03118483845675704,0.010488416051387258,0.6443530643024832
GPT-4o_030_alfworld_task_030,4,alfworld,plan,action,0,0.4978051069213908,0.4479278718810398,0.043962549116694116,0.0023530863648154174,0.00247119907825299,0.005480186637807022
GPT-4o_031_alfworld_task_031,0,alfworld,plan,reflection,0,0.02893061617236653,0.008246815988275083,0.11928309811430676,0.008477507211718067,0.8312476927048719,0.0038142698084616816
GPT-4o_032_alfworld_task_032,3,alfworld,memory,system,0,0.08125572506777178,0.0839485487576662,0.38597309441565386,0.032938553891824776,0.006768798510026556,0.4091152793570567
