id,fold,subject,failure_type,true_step_index,predicted_step_index,predicted_step_probability,n_steps,correct
GPT-4o_001_alfworld_task_001,4,alfworld,memory,15,3,0.7375484117801872,30,0
GPT-4o_002_alfworld_task_002,3,alfworld,memory,23,0,0.7938058970705741,30,0
GPT-4o_003_alfworld_task_003,2,alfworld,system,6,3,0.7147226918290743,30,0
GPT-4o_004_alfworld_task_004,1,alfworld,plan,3,1,0.8652252175918759,30,0
GPT-4o_005_alfworld_task_005,0,alfworld,memory,7,0,0.705752006875198,30,0
GPT-4o_006_alfworld_task_006,4,alfworld,plan,4,0,0.6631265960596899,30,0
GPT-4o_007_alfworld_task_007,3,alfworld,reflection,2,2,0.75434381303042,30,1
GPT-4o_008_alfworld_task_008,2,alfworld,memory,4,0,0.8123460437188627,30,0
GPT-4o_009_alfworld_task_009,1,alfworld,plan,9,2,0.8552171309307046,30,0
GPT-4o_010_alfworld_task_010,0,alfworld,reflection,3,5,0.654618370326332,30,0
GPT-4o_011_alfworld_task_011,4,alfworld,plan,5,1,0.8813745989435733,30,0
GPT-4o_012_alfworld_task_012,3,alfworld,memory,22,1,0.7686814551132843,30,0
GPT-4o_013_alfworld_task_013,2,alfworld,reflection,13,0,0.7841511716260524,30,0
GPT-4o_014_alfworld_task_014,1,alfworld,reflection,1,4,0.7848686373479685,30,0
GPT-4o_015_alfworld_task_015,0,alfworld,system,0,0,0.7615037698134817,30,1
GPT-4o_016_alfworld_task_016,4,alfworld,system,29,0,0.7361079622673197,30,0
GPT-4o_017_alfworld_task_017,3,alfworld,system,2,1,0.8115435171485441,30,0
GPT-4o_018_alfworld_task_018,2,alfworld,action,3,13,0.7459011617213351,30,0
GPT-4o_019_alfworld_task_019,1,alfworld,action,6,4,0.8338617988278609,30,0
GPT-4o_020_alfworld_task_020,0,alfworld,reflection,10,0,0.6683470812056996,30,0
GPT-4o_021_alfworld_task_021,4,alfworld,system,29,0,0.7225809744614912,30,0
GPT-4o_022_alfworld_task_022,3,alfworld,plan,8,1,0.8099256653833459,30,0
GPT-4o_023_alfworld_task_023,2,alfworld,memory,7,1,0.8810853921784152,30,0
GPT-4o_024_alfworld_task_024,1,alfworld,reflection,8,0,0.8199666478641416,30,0
GPT-4o_025_alfworld_task_025,0,alfworld,action,11,0,0.6630683422562748,30,0
GPT-4o_026_alfworld_task_026,4,alfworld,reflection,4,0,0.8619213166938375,30,0
GPT-4o_027_alfworld_task_027,3,alfworld,memory,2,0,0.7297216039867708,30,0
GPT-4o_028_alfworld_task_028,2,alfworld,planning,3,1,0.9078874796436623,30,0
GPT-4o_029_alfworld_task_029,1,alfworld,memory,20,4,0.7435824223106187,30,0
GPT-4o_030_alfworld_task_030,0,alfworld,plan,3,2,0.7806554127567401,30,0
GPT-4o_031_alfworld_task_031,4,alfworld,plan,9,0,0.820700201529127,30,0
GPT-4o_032_alfworld_task_032,3,alfworld,memory,6,6,0.8561292686287282,30,1
GPT-4o_033_alfworld_task_033,2,alfworld,memory,9,0,0.9108106218982931,30,0
GPT-4o_034_alfworld_task_034,1,alfworld,reflection,13,4,0.7504919108089821,30,0
GPT-4o_035_alfworld_task_035,0,alfworld,reflection,23,4,0.7591677892067991,30,0
GPT-4o_036_alfworld_task_036,4,alfworld,reflection,9,5,0.7906002256054268,30,0
GPT-4o_037_alfworld_task_037,3,alfworld,memory,1,0,0.8145404154366113,30,0
GPT-4o_038_alfworld_task_038,2,alfworld,planning,21,0,0.822174960623867,30,0
GPT-4o_039_alfworld_task_039,1,alfworld,memory,3,13,0.7196731495355342,30,0
GPT-4o_040_alfworld_task_040,0,alfworld,planning,6,0,0.8342897378573926,30,0
GPT-4o_041_alfworld_task_041,4,alfworld,memory,3,0,0.8270360704652544,30,0
GPT-4o_043_alfworld_task_043,3,alfworld,reflection,5,0,0.7900353577581478,30,0
GPT-4o_047_alfworld_task_047,2,alfworld,memory,9,0,0.8694080282111992,30,0
GPT-4o_048_alfworld_task_048,1,alfworld,reflection,25,2,0.7858625122653397,30,0
GPT-4o_049_alfworld_task_049,0,alfworld,memory,8,0,0.7317989471448303,30,0
GPT-4o_052_alfworld_task_052,4,alfworld,plan,20,0,0.8005553998837976,30,0
GPT-4o_053_alfworld_task_053,3,alfworld,reflection,14,0,0.7889145955882475,30,0
GPT-4o_054_alfworld_task_054,2,alfworld,plan,23,2,0.7830326808750101,30,0
GPT-4o_055_alfworld_task_055,1,alfworld,reflection,5,2,0.7944045441870478,30,0
GPT-4o_056_alfworld_task_056,0,alfworld,plan,3,0,0.6759957348620553,30,0
Llama3.3-70B-Turbo_001_001,4,alfworld,plan,9,1,0.8766320314926982,30,0
Llama3.3-70B-Turbo_002_002,3,alfworld,plan,10,0,0.6843328927900773,30,0
Llama3.3-70B-Turbo_003_003,2,alfworld,plan,3,3,0.8877295987972702,30,1
Llama3.3-70B-Turbo_004_004,1,alfworld,action,14,1,0.8485032370708412,30,0
Llama3.3-70B-Turbo_005_005,0,alfworld,plan,2,0,0.7087425378179708,30,0
Llama3.3-70B-Turbo_006_006,4,alfworld,plan,6,0,0.8074451796853858,30,0
Llama3.3-70B-Turbo_007_007,3,alfworld,plan,2,0,0.7567786836764423,30,0
Llama3.3-70B-Turbo_008_008,2,alfworld,action,1,0,0.8592055152552673,30,0
Llama3.3-70B-Turbo_009_009,1,alfworld,action,2,0,0.9138876018563977,30,0
Llama3.3-70B-Turbo_010_010,0,alfworld,action,3,2,0.7643018506707114,30,0
Llama3.3-70B-Turbo_011_011,4,alfworld,action,2,0,0.743259709221636,30,0
Llama3.3-70B-Turbo_012_012,3,alfworld,plan,23,4,0.8351156158822876,30,0
Llama3.3-70B-Turbo_013_013,2,alfworld,action,3,0,0.8466686661535032,30,0
Llama3.3-70B-Turbo_014_014,1,alfworld,memory,9,3,0.7730493961351531,30,0
Llama3.3-70B-Turbo_015_037,0,alfworld,action,1,0,0.8034584481797866,30,0
Llama3.3-70B-Turbo_016_043,4,alfworld,action,1,0,0.790126739520831,30,0
Llama3.3-70B-Turbo_017_044,3,alfworld,plan,3,1,0.8746778552603898,30,0
Llama3.3-70B-Turbo_018_045,2,alfworld,action,0,0,0.7295080425102661,30,1
Llama3.3-70B-Turbo_019_054,1,alfworld,memory,4,0,0.7634491639915523,30,0
Llama3.3-70B-Turbo_020_057,0,alfworld,action,1,0,0.8057775086205244,30,0
Llama3.3-70B-Turbo_021_059,4,alfworld,plan,2,0,0.7067409003610656,30,0
Llama3.3-70B-Turbo_022_064,3,alfworld,reflection,15,0,0.7693840035799535,30,0
Llama3.3-70B-Turbo_023_065,2,alfworld,memory,2,0,0.8266597585084069,30,0
Qwen3-8B_001_id_1___chat_b000_t00_e01-5b8f974f,1,alfworld,system,29,0,0.824088934784243,30,0
Qwen3-8B_002_id_2___chat_b000_t00_e04-7e3c13ba,0,alfworld,plan,4,0,0.8530314022755539,30,0
Qwen3-8B_003_id_3___chat_b001_t00_e01-5b8f974f,4,alfworld,plan,3,1,0.8498337449678602,30,0
Qwen3-8B_004_id_4___chat_b001_t00_e02-1e119842,3,alfworld,system,29,5,0.7765009698731372,30,0
Qwen3-8B_005_id_5___chat_b004_t00_e02-1e119842,2,alfworld,system,29,0,0.8438948948882143,30,0
Qwen3-8B_006_id_6___chat_b004_t00_e03-d2034edc,1,alfworld,plan,0,4,0.7455804857624573,30,0
Qwen3-8B_007_id_7___chat_b005_t00_e00-d3248f80,0,alfworld,system,29,0,0.7862079139824714,30,0
Qwen3-8B_008_id_8___chat_b005_t00_e00-d3248f80,4,alfworld,reflection,2,0,0.8172067970764538,30,0
Qwen3-8B_009_id_9___chat_b005_t00_e03-d2034edc,3,alfworld,system,29,1,0.8891548949710721,30,0
Qwen3-8B_010_id_10___chat_b005_t00_e04-7e3c13ba,2,alfworld,plan,12,0,0.8977593244703641,30,0
Qwen3-8B_011_id_11___chat_b006_t00_e01-5b8f974f,1,alfworld,system,29,1,0.7511770545594758,30,0
Qwen3-8B_012_id_12___chat_b006_t00_e02-1e119842,0,alfworld,reflection,7,1,0.8823019809942133,30,0
Qwen3-8B_013_id_13___chat_b007_t00_e01-5b8f974f,4,alfworld,plan,7,0,0.7122667225921571,30,0
Qwen3-8B_014_id_14___chat_b007_t00_e02-1e119842,3,alfworld,plan,10,2,0.6697469119376194,30,0
Qwen3-8B_015_id_15___chat_b008_t00_e00-d3248f80,2,alfworld,system,29,0,0.8994240103626826,30,0
Qwen3-8B_016_id_16___chat_b008_t00_e03-d2034edc,1,alfworld,reflection,2,0,0.8010613995592077,30,0
Qwen3-8B_017_id_17___chat_b009_t00_e01-5b8f974f,0,alfworld,reflection,9,0,0.7133127442252107,30,0
Qwen3-8B_018_id_18___chat_b009_t00_e03-d2034edc,4,alfworld,reflection,3,0,0.8018684706739092,30,0
Qwen3-8B_019_id_19___chat_b012_t00_e00-d3248f80,3,alfworld,plan,5,1,0.8765109470719081,30,0
Qwen3-8B_020_id_20___chat_b012_t00_e01-5b8f974f,2,alfworld,action,21,5,0.8330147700723974,30,0
Qwen3-8B_021_id_21___chat_b012_t00_e02-1e119842,1,alfworld,plan,4,0,0.8580087088251085,30,0
Qwen3-8B_022_id_22___chat_b012_t00_e04-7e3c13ba,0,alfworld,reflection,4,0,0.8126321368008634,30,0
Qwen3-8B_023_id_23___chat_b013_t00_e00-d3248f80,4,alfworld,plan,3,0,0.6453851976082815,30,0
Qwen3-8B_024_id_24___chat_b013_t00_e01-5b8f974f,3,alfworld,system,29,0,0.7271743906489269,30,0
Qwen3-8B_025_id_25___chat_b013_t00_e03-d2034edc,2,alfworld,plan,25,0,0.7588231991634352,30,0
Qwen3-8B_026_id_26___chat_b014_t00_e04-7e3c13ba,1,alfworld,plan,0,0,0.8715648865899295,30,1
Qwen3-8B_027_id_27___chat_b015_t00_e02-1e119842,0,alfworld,reflection,22,0,0.7737930045294442,30,0
