id,fold,subject,failure_type,true_step_index,predicted_step_index,predicted_step_probability,n_steps,correct
gsm8k-0,4,gsm8k,unknown,1,1,0.7930307753127468,4,1
gsm8k-1,3,gsm8k,unknown,1,1,0.7461858504656048,7,1
gsm8k-10,0,gsm8k,unknown,0,2,0.7261828877580756,5,0
gsm8k-100,4,gsm8k,unknown,2,1,0.7655785376603617,3,0
gsm8k-101,2,gsm8k,unknown,2,3,0.7425772265034759,5,0
gsm8k-102,0,gsm8k,unknown,1,0,0.7277719478992396,3,0
gsm8k-103,3,gsm8k,unknown,2,3,0.46359237896970334,7,0
gsm8k-104,3,gsm8k,unknown,2,3,0.5296692965283267,6,0
gsm8k-105,0,gsm8k,unknown,1,1,0.7966654042117394,4,1
gsm8k-106,2,gsm8k,unknown,1,1,0.7201613918435033,4,1
gsm8k-107,1,gsm8k,unknown,1,2,0.6436844775733762,4,0
gsm8k-108,3,gsm8k,unknown,1,6,0.489606442687203,10,0
gsm8k-109,4,gsm8k,unknown,1,6,0.47825816052428505,8,0
gsm8k-11,2,gsm8k,unknown,2,5,0.5651314665427036,6,0
gsm8k-110,0,gsm8k,unknown,4,1,0.4738105345985921,6,0
gsm8k-111,0,gsm8k,unknown,1,1,0.7868357256165778,3,1
gsm8k-112,4,gsm8k,unknown,2,1,0.7128498129122384,5,0
gsm8k-113,0,gsm8k,unknown,3,1,0.5065657193977994,7,0
gsm8k-114,2,gsm8k,unknown,1,1,0.6326287421885539,4,1
gsm8k-115,3,gsm8k,unknown,0,1,0.6893084309747904,5,0
gsm8k-116,4,gsm8k,unknown,3,1,0.6552537411336073,6,0
gsm8k-117,4,gsm8k,unknown,3,1,0.7571387225419037,4,0
gsm8k-118,3,gsm8k,unknown,1,1,0.636160831060201,4,1
gsm8k-119,0,gsm8k,unknown,1,3,0.4687618683525562,6,0
gsm8k-12,2,gsm8k,unknown,1,1,0.6757156778225533,7,1
gsm8k-120,0,gsm8k,unknown,5,2,0.5859343216509241,8,0
gsm8k-121,4,gsm8k,unknown,5,2,0.639888863322826,7,0
gsm8k-122,3,gsm8k,unknown,0,1,0.7127288860326404,4,0
gsm8k-123,4,gsm8k,unknown,1,1,0.6692875404347051,6,1
gsm8k-124,4,gsm8k,unknown,0,1,0.7276691784146961,4,0
gsm8k-125,1,gsm8k,unknown,3,1,0.6194708999477595,6,0
gsm8k-126,2,gsm8k,unknown,0,0,0.6569764897051757,2,1
gsm8k-127,0,gsm8k,unknown,2,1,0.6783771869618053,5,0
gsm8k-128,1,gsm8k,unknown,1,1,0.7947575142006243,4,1
gsm8k-129,3,gsm8k,unknown,1,3,0.6352136550591789,6,0
gsm8k-13,1,gsm8k,unknown,1,1,0.6910845646428843,4,1
gsm8k-130,2,gsm8k,unknown,2,1,0.7152818067753127,5,0
gsm8k-131,3,gsm8k,unknown,1,0,0.7124460750173396,4,0
gsm8k-132,2,gsm8k,unknown,1,1,0.7309693411823712,4,1
gsm8k-133,0,gsm8k,unknown,3,1,0.6241994190177504,6,0
gsm8k-134,0,gsm8k,unknown,1,1,0.616660493706024,5,1
gsm8k-135,0,gsm8k,unknown,2,1,0.6502378553303481,5,0
gsm8k-136,1,gsm8k,unknown,1,1,0.6879601118418731,4,1
gsm8k-137,1,gsm8k,unknown,2,1,0.6783142964776895,5,0
gsm8k-138,0,gsm8k,unknown,2,1,0.7229187831062537,4,0
gsm8k-139,1,gsm8k,unknown,2,2,0.49643678202021013,9,1
gsm8k-14,1,gsm8k,unknown,4,1,0.5845081611569072,7,0
gsm8k-140,0,gsm8k,unknown,3,2,0.6224020513420563,7,0
gsm8k-141,2,gsm8k,unknown,2,4,0.5164980454859166,7,0
gsm8k-142,2,gsm8k,unknown,1,2,0.6822270204985397,4,0
gsm8k-143,4,gsm8k,unknown,1,1,0.6392458346970485,7,1
gsm8k-144,1,gsm8k,unknown,1,1,0.6506327891333868,5,1
gsm8k-145,3,gsm8k,unknown,0,1,0.7234796121936293,4,0
gsm8k-146,3,gsm8k,unknown,1,1,0.783160084849733,3,1
gsm8k-147,4,gsm8k,unknown,1,2,0.7522750820427342,4,0
gsm8k-148,4,gsm8k,unknown,2,2,0.6295784053465586,5,1
gsm8k-149,3,gsm8k,unknown,3,1,0.7265496837442614,5,0
gsm8k-15,3,gsm8k,unknown,2,1,0.7015695578188049,6,0
gsm8k-150,3,gsm8k,unknown,5,1,0.5741396300308144,9,0
gsm8k-151,1,gsm8k,unknown,5,1,0.6869691538005185,7,0
gsm8k-152,0,gsm8k,unknown,1,1,0.7301512065753529,4,1
gsm8k-153,2,gsm8k,unknown,5,1,0.6535276754686098,9,0
gsm8k-154,2,gsm8k,unknown,0,1,0.7668425538247234,3,0
gsm8k-155,2,gsm8k,unknown,4,1,0.6873375255879742,6,0
gsm8k-156,1,gsm8k,unknown,4,2,0.5697599784426828,8,0
gsm8k-157,1,gsm8k,unknown,0,0,0.7846371429902798,3,1
gsm8k-158,0,gsm8k,unknown,2,1,0.7404294893429458,4,0
gsm8k-159,4,gsm8k,unknown,0,1,0.7349996055319998,4,0
gsm8k-16,2,gsm8k,unknown,4,1,0.7109741880179399,7,0
gsm8k-160,2,gsm8k,unknown,2,1,0.7482868298391214,5,0
gsm8k-161,0,gsm8k,unknown,2,1,0.6577245843102495,4,0
gsm8k-162,4,gsm8k,unknown,1,0,0.8138929333440672,3,0
gsm8k-163,4,gsm8k,unknown,2,0,0.5866834087851569,6,0
gsm8k-164,3,gsm8k,unknown,0,1,0.6717792991132262,5,0
gsm8k-165,2,gsm8k,unknown,2,1,0.5640545025296148,6,0
gsm8k-166,1,gsm8k,unknown,1,1,0.5633310658703168,6,1
gsm8k-167,1,gsm8k,unknown,0,2,0.6717649083507903,5,0
gsm8k-168,4,gsm8k,unknown,0,1,0.6833083996964905,5,0
gsm8k-169,3,gsm8k,unknown,2,1,0.7276666703210461,4,0
gsm8k-17,4,gsm8k,unknown,0,1,0.7655598686938533,4,0
gsm8k-170,3,gsm8k,unknown,1,1,0.5406820909261641,8,1
gsm8k-171,3,gsm8k,unknown,2,1,0.6094021243127238,7,0
gsm8k-172,3,gsm8k,unknown,3,1,0.6176519057221173,5,0
