id,dataset,run_slug,subject,generator,model,target,target_label,is_correct,final_answer_correct,exit_status,premature_exit_score,premature_exit_flag,rambling_overlong_score,rambling_overlong_flag,thrashing_score,thrashing_flag,no_commitment_score,no_commitment_flag,derailment_late_score,derailment_late_flag,answer_drift_score,answer_drift_flag,answer_meandering_score,answer_meandering_flag,answer_volatility_score,answer_volatility_flag,answer_uncommitted_score,answer_uncommitted_flag,answer_overrange_score,answer_overrange_flag,truncation_abort_score,truncation_abort_flag
d9a6df63-9cdc-41c0-980b-ddc78275bf91,frontierscience,Qwen/Qwen3-30B-A3B-Instruct-2507_reasoning-none,biology,,Qwen/Qwen3-30B-A3B-Instruct-2507,0,is_correct,False,,,0.0,0.0,0.0,0.0,,,,,,,,,13.0,0.0,3.616216002898829,0.0,-0.09783848671415471,0.0,,,,
91a30120-36ab-425f-961f-3dee779b0021,frontierscience,Qwen/Qwen3-30B-A3B-Instruct-2507_reasoning-none,chemistry,,Qwen/Qwen3-30B-A3B-Instruct-2507,1,is_correct,True,,,0.0,0.0,0.0,0.0,,,,,,,,,13.0,0.0,4.777998533403342,0.0,-0.05024598177154762,0.0,,,,
07fd78cd-81de-4a62-9952-369093ec303f,frontierscience,Qwen/Qwen3-30B-A3B-Instruct-2507_reasoning-none,physics,,Qwen/Qwen3-30B-A3B-Instruct-2507,0,is_correct,False,,,0.0,0.0,0.0,0.0,,,,,,,,,13.0,0.0,5.639927375107937,0.0,-0.0003463264952438447,0.0,,,,
845a3693-c660-4446-bae5-6c38bc75e6fd,frontierscience,Qwen/Qwen3-30B-A3B-Instruct-2507_reasoning-none,chemistry,,Qwen/Qwen3-30B-A3B-Instruct-2507,0,is_correct,False,,,0.0,0.0,0.0,0.0,,,,,,,,,16.0,1.0,3.3917295794024693,0.0,-0.07101702139599407,0.0,,,,
dcfa830a-3f87-43eb-9ec7-6649fcdd0473,frontierscience,Qwen/Qwen3-30B-A3B-Instruct-2507_reasoning-none,biology,,Qwen/Qwen3-30B-A3B-Instruct-2507,0,is_correct,False,,,0.0,0.0,0.0,0.0,,,,,,,,,12.0,0.0,3.7453667838266123,0.0,-0.0003312496868669416,0.0,,,,
d50f3722-14fb-485a-a417-ed6ae79f3c07,frontierscience,Qwen/Qwen3-30B-A3B-Instruct-2507_reasoning-none,physics,,Qwen/Qwen3-30B-A3B-Instruct-2507,0,is_correct,False,,,0.0,0.0,0.0,0.0,,,,,,,,,11.0,0.0,6.233036235866301,0.0,-0.002376301894946478,0.0,,,,
0744af3b-0249-4cbb-978a-a8595f8f9672,frontierscience,Qwen/Qwen3-30B-A3B-Instruct-2507_reasoning-none,chemistry,,Qwen/Qwen3-30B-A3B-Instruct-2507,1,is_correct,True,,,0.0,0.0,0.0,0.0,,,,,,,,,10.0,0.0,4.007871775413328,0.0,-0.07475645044596753,0.0,,,,
0a1877af-e331-40b9-b9a3-c1a06dd51ec5,frontierscience,Qwen/Qwen3-30B-A3B-Instruct-2507_reasoning-none,biology,,Qwen/Qwen3-30B-A3B-Instruct-2507,1,is_correct,True,,,0.0,0.0,0.0,0.0,,,,,,,,,11.0,0.0,4.8783250840048815,0.0,-0.05465173511250019,0.0,,,,
bf7d23f3-0cf6-4d36-868f-1e3a89f688ea,frontierscience,Qwen/Qwen3-30B-A3B-Instruct-2507_reasoning-none,physics,,Qwen/Qwen3-30B-A3B-Instruct-2507,0,is_correct,False,,,0.0,0.0,0.0,0.0,,,,,,,,,14.0,0.0,6.040358419455451,0.0,-0.04269835110271346,0.0,,,,
1567b1bb-e3e5-44e5-abb8-b58e2626f468,frontierscience,Qwen/Qwen3-30B-A3B-Instruct-2507_reasoning-none,chemistry,,Qwen/Qwen3-30B-A3B-Instruct-2507,1,is_correct,True,,,0.0,0.0,0.0,0.0,,,,,,,,,15.0,0.0,4.916110805548662,0.0,-0.06879482455510627,0.0,,,,
a1e4e236-3b97-4c36-9cc3-a1711073631e,frontierscience,Qwen/Qwen3-30B-A3B-Instruct-2507_reasoning-none,biology,,Qwen/Qwen3-30B-A3B-Instruct-2507,0,is_correct,False,,,0.0,0.0,0.0,0.0,,,,,,,,,13.0,0.0,3.76927844966028,0.0,-0.06415215133655844,0.0,,,,
af50243e-3a60-4460-9536-f9a02c4f8eb8,frontierscience,Qwen/Qwen3-30B-A3B-Instruct-2507_reasoning-none,physics,,Qwen/Qwen3-30B-A3B-Instruct-2507,0,is_correct,False,,,0.0,0.0,0.0,0.0,,,,,,,,,13.0,0.0,6.003221338609885,0.0,-0.0026510719817000473,0.0,,,,
2d0a5720-a17d-4886-877d-ee910ea9626a,frontierscience,Qwen/Qwen3-30B-A3B-Instruct-2507_reasoning-none,chemistry,,Qwen/Qwen3-30B-A3B-Instruct-2507,0,is_correct,False,,,0.0,0.0,0.0,0.0,,,,,,,,,12.0,0.0,3.9665156437678575,0.0,-5.41746057366006e-05,1.0,,,,
e5e3780b-d0a6-4a42-b468-2b196bfe4663,frontierscience,Qwen/Qwen3-30B-A3B-Instruct-2507_reasoning-none,physics,,Qwen/Qwen3-30B-A3B-Instruct-2507,1,is_correct,True,,,0.0,0.0,0.0,0.0,,,,,,,,,12.0,0.0,4.987231841607545,0.0,-2.9696368763698106e-06,1.0,,,,
0b946e4d-8fc8-4f65-85dc-8fb7fd227a96,frontierscience,Qwen/Qwen3-30B-A3B-Instruct-2507_reasoning-none,biology,,Qwen/Qwen3-30B-A3B-Instruct-2507,1,is_correct,True,,,0.0,0.0,0.0,0.0,,,,,,,,,8.0,0.0,4.148006086801829,0.0,-0.0899788841337802,0.0,,,,
30a44280-a888-42bf-913a-208aa47c8772,frontierscience,Qwen/Qwen3-30B-A3B-Instruct-2507_reasoning-none,biology,,Qwen/Qwen3-30B-A3B-Instruct-2507,1,is_correct,True,,,0.0,0.0,0.0,0.0,,,,,,,,,14.0,0.0,2.8051712427953834,0.0,-0.09217721333038481,0.0,,,,
2db1b6e6-c019-4ce3-9b53-2292f7b2c38c,frontierscience,Qwen/Qwen3-30B-A3B-Instruct-2507_reasoning-none,physics,,Qwen/Qwen3-30B-A3B-Instruct-2507,1,is_correct,True,,,0.0,0.0,0.0,0.0,,,,,,,,,12.0,0.0,4.730485319671524,0.0,-0.08169980406933458,0.0,,,,
1875e781-bd89-4528-8bc3-94b7b436402f,frontierscience,Qwen/Qwen3-30B-A3B-Instruct-2507_reasoning-none,chemistry,,Qwen/Qwen3-30B-A3B-Instruct-2507,0,is_correct,False,,,0.0,0.0,0.0,0.0,,,,,,,,,10.0,0.0,4.535334279320573,0.0,-0.1097338924820696,0.0,,,,
c330f0d8-a6ff-4ddd-940c-4d263df8bea6,frontierscience,Qwen/Qwen3-30B-A3B-Instruct-2507_reasoning-none,chemistry,,Qwen/Qwen3-30B-A3B-Instruct-2507,1,is_correct,True,,,0.0,0.0,0.0,0.0,,,,,,,,,12.0,0.0,5.080377596585419,0.0,-0.044800130144792845,0.0,,,,
676e50c1-cea4-4361-81e1-d4409a23422c,frontierscience,Qwen/Qwen3-30B-A3B-Instruct-2507_reasoning-none,biology,,Qwen/Qwen3-30B-A3B-Instruct-2507,0,is_correct,False,,,0.0,0.0,0.0,0.0,,,,,,,,,12.0,0.0,7.4509879877681096,0.0,-0.06266707128443963,0.0,,,,
60ff38cc-fb55-4c3c-b75c-f59dde5de0c3,frontierscience,Qwen/Qwen3-30B-A3B-Instruct-2507_reasoning-none,physics,,Qwen/Qwen3-30B-A3B-Instruct-2507,1,is_correct,True,,,0.0,0.0,0.0,0.0,,,,,,,,,13.0,0.0,7.380358291493664,0.0,-0.0745921110740631,0.0,,,,
7c94f50a-0896-450f-8d55-00c98aca5158,frontierscience,Qwen/Qwen3-30B-A3B-Instruct-2507_reasoning-none,chemistry,,Qwen/Qwen3-30B-A3B-Instruct-2507,0,is_correct,False,,,0.0,0.0,0.0,0.0,,,,,,,,,11.0,0.0,5.91842265814081,0.0,-0.07304383127715082,0.0,,,,
7e32b7a6-9340-4a41-8c1f-89a0a91a6d3f,frontierscience,Qwen/Qwen3-30B-A3B-Instruct-2507_reasoning-none,biology,,Qwen/Qwen3-30B-A3B-Instruct-2507,1,is_correct,True,,,0.0,0.0,0.0,0.0,,,,,,,,,9.0,0.0,7.093275367081663,0.0,-0.00029658946955375513,0.0,,,,
70c1246f-0a17-4f59-84a2-3699aa395d4d,frontierscience,Qwen/Qwen3-30B-A3B-Instruct-2507_reasoning-none,physics,,Qwen/Qwen3-30B-A3B-Instruct-2507,0,is_correct,False,,,0.0,0.0,0.0,0.0,,,,,,,,,12.0,0.0,5.6960567880543795,0.0,-0.001886425818088259,0.0,,,,
1b340ded-5f04-4f7f-b8ca-d0887b292332,frontierscience,Qwen/Qwen3-30B-A3B-Instruct-2507_reasoning-none,biology,,Qwen/Qwen3-30B-A3B-Instruct-2507,1,is_correct,True,,,0.0,0.0,0.0,0.0,,,,,,,,,12.0,0.0,4.807669471253095,0.0,-0.06289072742135787,0.0,,,,
3182a1e3-e9ad-4d4b-8ef8-de88a9f811b8,frontierscience,Qwen/Qwen3-30B-A3B-Instruct-2507_reasoning-none,physics,,Qwen/Qwen3-30B-A3B-Instruct-2507,0,is_correct,False,,,0.0,0.0,0.0,0.0,,,,,,,,,14.0,0.0,6.7113502407076995,0.0,-0.00031042242961413065,0.0,,,,
783fc5fc-cf8a-44be-9c48-3b8f86e96720,frontierscience,Qwen/Qwen3-30B-A3B-Instruct-2507_reasoning-none,chemistry,,Qwen/Qwen3-30B-A3B-Instruct-2507,1,is_correct,True,,,0.0,0.0,0.0,0.0,,,,,,,,,10.0,0.0,4.12078256030616,0.0,-0.1197001267355071,0.0,,,,
4c2bdcf2-82c0-4190-b2fc-9696d2ef499a,frontierscience,Qwen/Qwen3-30B-A3B-Instruct-2507_reasoning-none,biology,,Qwen/Qwen3-30B-A3B-Instruct-2507,0,is_correct,False,,,0.0,0.0,0.0,0.0,,,,,,,,,15.0,0.0,5.3327863348488584,0.0,-0.06684736191263495,0.0,,,,
09d32726-331e-4c45-98f4-b01a913bb623,frontierscience,Qwen/Qwen3-30B-A3B-Instruct-2507_reasoning-none,chemistry,,Qwen/Qwen3-30B-A3B-Instruct-2507,1,is_correct,True,,,0.0,0.0,0.0,0.0,,,,,,,,,15.0,0.0,6.067092876707191,0.0,-0.0002662307235320955,0.0,,,,
7fbca2d0-9e5c-48f8-953c-acab7e25598c,frontierscience,Qwen/Qwen3-30B-A3B-Instruct-2507_reasoning-none,physics,,Qwen/Qwen3-30B-A3B-Instruct-2507,1,is_correct,True,,,0.0,0.0,0.0,0.0,,,,,,,,,10.0,0.0,5.2635621287303955,0.0,-0.0032986909977256364,0.0,,,,
0eb69a4c-0774-46b6-87dd-6686f639b7fa,frontierscience,Qwen/Qwen3-30B-A3B-Instruct-2507_reasoning-none,chemistry,,Qwen/Qwen3-30B-A3B-Instruct-2507,1,is_correct,True,,,0.0,0.0,0.0,0.0,,,,,,,,,12.0,0.0,5.153228334024731,0.0,-0.07024746216440961,0.0,,,,
b93b8a19-eaca-4495-946f-ba4b73e481c8,frontierscience,Qwen/Qwen3-30B-A3B-Instruct-2507_reasoning-none,biology,,Qwen/Qwen3-30B-A3B-Instruct-2507,1,is_correct,True,,,0.0,0.0,0.0,0.0,,,,,,,,,11.0,0.0,7.812867016579749,1.0,-0.05616204065840984,0.0,,,,
222e24bf-14d4-4660-a5dd-01b2b3528cfa,frontierscience,Qwen/Qwen3-30B-A3B-Instruct-2507_reasoning-none,physics,,Qwen/Qwen3-30B-A3B-Instruct-2507,1,is_correct,True,,,0.0,0.0,0.0,0.0,,,,,,,,,15.0,0.0,4.281450618288793,0.0,-0.0029694816949924463,0.0,,,,
3f380f88-7221-4320-a168-348d9a77db2e,frontierscience,Qwen/Qwen3-30B-A3B-Instruct-2507_reasoning-none,physics,,Qwen/Qwen3-30B-A3B-Instruct-2507,0,is_correct,False,,,0.0,0.0,0.0,0.0,,,,,,,,,13.0,0.0,4.499048071108404,0.0,-0.002836641612602262,0.0,,,,
163a8ed3-8fc0-492f-bd91-37ef359bec8a,frontierscience,Qwen/Qwen3-30B-A3B-Instruct-2507_reasoning-none,biology,,Qwen/Qwen3-30B-A3B-Instruct-2507,1,is_correct,True,,,0.0,0.0,0.0,0.0,,,,,,,,,15.0,0.0,4.982425271781304,0.0,-5.062665557481685e-05,1.0,,,,
9557097c-9285-46d9-b1fc-51a256d87913,frontierscience,Qwen/Qwen3-30B-A3B-Instruct-2507_reasoning-none,physics,,Qwen/Qwen3-30B-A3B-Instruct-2507,0,is_correct,False,,,0.0,0.0,0.0,0.0,,,,,,,,,9.0,0.0,2.836317595152366,0.0,-0.1117913023353989,0.0,,,,
a6176b58-f026-4fbc-9301-28190a36879c,frontierscience,Qwen/Qwen3-30B-A3B-Instruct-2507_reasoning-none,chemistry,,Qwen/Qwen3-30B-A3B-Instruct-2507,1,is_correct,True,,,0.0,0.0,0.0,0.0,,,,,,,,,10.0,0.0,8.74173177955634,1.0,-0.06514120067024783,0.0,,,,
f8b3f2c7-7747-42d9-85bb-f8b370cc50e9,frontierscience,Qwen/Qwen3-30B-A3B-Instruct-2507_reasoning-none,chemistry,,Qwen/Qwen3-30B-A3B-Instruct-2507,1,is_correct,True,,,0.0,0.0,0.0,0.0,,,,,,,,,12.0,0.0,8.426429685624452,1.0,-0.057301440654566854,0.0,,,,
d3acd2cb-8477-4630-b8bb-b4bc22670dc8,frontierscience,Qwen/Qwen3-30B-A3B-Instruct-2507_reasoning-none,physics,,Qwen/Qwen3-30B-A3B-Instruct-2507,0,is_correct,False,,,0.0,0.0,0.0,0.0,,,,,,,,,14.0,0.0,6.076871017394072,0.0,-0.047997846926298215,0.0,,,,
bc82c611-4407-4da9-8444-48dbf08d0bbf,frontierscience,Qwen/Qwen3-30B-A3B-Instruct-2507_reasoning-none,physics,,Qwen/Qwen3-30B-A3B-Instruct-2507,1,is_correct,True,,,0.0,0.0,0.0,0.0,,,,,,,,,14.0,0.0,6.89900457804401,0.0,-4.307226635639307e-06,1.0,,,,
0f13c295-7991-43dc-a79f-d8f3d3fc0d57,frontierscience,Qwen/Qwen3-30B-A3B-Instruct-2507_reasoning-none,chemistry,,Qwen/Qwen3-30B-A3B-Instruct-2507,0,is_correct,False,,,0.0,0.0,0.0,0.0,,,,,,,,,14.0,0.0,7.2026097183718285,0.0,-0.11837873712747247,0.0,,,,
1ca773ca-3f07-4426-8086-d1f3591cdf5f,frontierscience,Qwen/Qwen3-30B-A3B-Instruct-2507_reasoning-none,biology,,Qwen/Qwen3-30B-A3B-Instruct-2507,1,is_correct,True,,,0.0,0.0,0.0,0.0,,,,,,,,,11.0,0.0,7.388576108662615,0.0,-0.0025156840598474653,0.0,,,,
e2aee1ae-6baa-4d30-a409-e0fc9c90f1fb,frontierscience,Qwen/Qwen3-30B-A3B-Instruct-2507_reasoning-none,chemistry,,Qwen/Qwen3-30B-A3B-Instruct-2507,1,is_correct,True,,,0.0,0.0,0.0,0.0,,,,,,,,,11.0,0.0,4.335092785619169,0.0,-0.06562060399997265,0.0,,,,
824508b0-030f-4ed6-a642-c1dcf2ab15d7,frontierscience,Qwen/Qwen3-30B-A3B-Instruct-2507_reasoning-none,biology,,Qwen/Qwen3-30B-A3B-Instruct-2507,1,is_correct,True,,,0.0,0.0,0.0,0.0,,,,,,,,,13.0,0.0,5.7384218672826535,0.0,-3.213193694578566e-05,1.0,,,,
1a5d24e0-9af4-4b36-98d1-2845df696d90,frontierscience,Qwen/Qwen3-30B-A3B-Instruct-2507_reasoning-none,physics,,Qwen/Qwen3-30B-A3B-Instruct-2507,1,is_correct,True,,,0.0,0.0,0.0,0.0,,,,,,,,,15.0,0.0,5.926826673131552,0.0,-0.10401111014976569,0.0,,,,
4525a8e7-9e13-47c9-8b87-c0a97ebd355e,frontierscience,Qwen/Qwen3-30B-A3B-Instruct-2507_reasoning-none,biology,,Qwen/Qwen3-30B-A3B-Instruct-2507,1,is_correct,True,,,0.0,0.0,0.0,0.0,,,,,,,,,12.0,0.0,4.45028943711156,0.0,-0.000841488576955337,0.0,,,,
896bb6e5-d69d-4e9c-9f57-e86b485fd2cf,frontierscience,Qwen/Qwen3-30B-A3B-Instruct-2507_reasoning-none,chemistry,,Qwen/Qwen3-30B-A3B-Instruct-2507,0,is_correct,False,,,0.0,0.0,0.0,0.0,,,,,,,,,13.0,0.0,6.070726100677749,0.0,-0.05125557305470746,0.0,,,,
44a8a9e1-5336-4f37-bfbf-c76fbc7ad1dc,frontierscience,Qwen/Qwen3-30B-A3B-Instruct-2507_reasoning-none,biology,,Qwen/Qwen3-30B-A3B-Instruct-2507,1,is_correct,True,,,0.0,0.0,0.0,0.0,,,,,,,,,13.0,0.0,5.385689027014321,0.0,-0.0767024802256607,0.0,,,,
790baca4-d2d8-4acb-8494-91adf77e026b,frontierscience,Qwen/Qwen3-30B-A3B-Instruct-2507_reasoning-none,physics,,Qwen/Qwen3-30B-A3B-Instruct-2507,0,is_correct,False,,,0.0,0.0,0.0,0.0,,,,,,,,,12.0,0.0,6.754286786305992,0.0,-0.04671936203966156,0.0,,,,
b818c26a-1311-482d-8c4e-bde09ef34a05,frontierscience,Qwen/Qwen3-30B-A3B-Instruct-2507_reasoning-none,chemistry,,Qwen/Qwen3-30B-A3B-Instruct-2507,1,is_correct,True,,,0.0,0.0,0.0,0.0,,,,,,,,,11.0,0.0,5.131881989064333,0.0,-0.05633007187165012,0.0,,,,
8fac71ae-1f4a-4edd-9f0d-88a443912a04,frontierscience,Qwen/Qwen3-30B-A3B-Instruct-2507_reasoning-none,physics,,Qwen/Qwen3-30B-A3B-Instruct-2507,0,is_correct,False,,,0.0,0.0,0.0,0.0,,,,,,,,,11.0,0.0,3.637730352283829,0.0,-0.00015240973027286315,0.0,,,,
2f43ac4a-f7e3-46c9-aaee-2f112ff662cb,frontierscience,Qwen/Qwen3-30B-A3B-Instruct-2507_reasoning-none,biology,,Qwen/Qwen3-30B-A3B-Instruct-2507,0,is_correct,False,,,0.0,0.0,0.0,0.0,,,,,,,,,11.0,0.0,5.215324400238764,0.0,-0.0016202701794057162,0.0,,,,
cfcfcb2d-4ec8-42df-9b19-b6c840d5dea4,frontierscience,Qwen/Qwen3-30B-A3B-Instruct-2507_reasoning-none,biology,,Qwen/Qwen3-30B-A3B-Instruct-2507,0,is_correct,False,,,0.0,0.0,0.0,0.0,,,,,,,,,14.0,0.0,7.091400340981958,0.0,-5.0315198910669384e-05,1.0,,,,
9c098058-e720-4a0b-8fc5-62fb27aade25,frontierscience,Qwen/Qwen3-30B-A3B-Instruct-2507_reasoning-none,biology,,Qwen/Qwen3-30B-A3B-Instruct-2507,1,is_correct,True,,,0.0,0.0,0.0,0.0,,,,,,,,,13.0,0.0,7.366582482648667,0.0,-0.00025098883612464506,0.0,,,,
431c9b49-2795-4750-ae7b-ae9f1450cb4e,frontierscience,Qwen/Qwen3-30B-A3B-Instruct-2507_reasoning-none,chemistry,,Qwen/Qwen3-30B-A3B-Instruct-2507,1,is_correct,True,,,0.0,0.0,0.0,0.0,,,,,,,,,10.0,0.0,3.442332938458175,0.0,-0.06844125815288726,0.0,,,,
af50243e-3a60-4460-9536-f9a02c4f8eb8,frontierscience,Qwen/Qwen3-30B-A3B-Instruct-2507_reasoning-none,physics,,Qwen/Qwen3-30B-A3B-Instruct-2507,0,is_correct,False,,,0.0,0.0,0.0,0.0,,,,,,,,,13.0,0.0,6.003221338609885,0.0,-0.0026510719817000473,0.0,,,,
1c77dfab-266d-40d4-b3a0-2c27f0b32139,frontierscience,Qwen/Qwen3-30B-A3B-Instruct-2507_reasoning-none,physics,,Qwen/Qwen3-30B-A3B-Instruct-2507,1,is_correct,True,,,0.0,0.0,0.0,0.0,,,,,,,,,11.0,0.0,7.5824981724396725,1.0,-0.0036058987448194966,0.0,,,,
