id,dataset,run_slug,subject,generator,model,target,target_label,is_correct,final_answer_correct,exit_status,premature_exit_score,premature_exit_flag,rambling_overlong_score,rambling_overlong_flag,thrashing_score,thrashing_flag,no_commitment_score,no_commitment_flag,derailment_late_score,derailment_late_flag,answer_drift_score,answer_drift_flag,answer_meandering_score,answer_meandering_flag,answer_volatility_score,answer_volatility_flag,answer_uncommitted_score,answer_uncommitted_flag,answer_overrange_score,answer_overrange_flag,truncation_abort_score,truncation_abort_flag
olympiadbench-6,processbench,olympiadbench,olympiadbench,Qwen2-72B-Instruct,,0,final_answer_correct,False,False,,-6.0,0.0,6.0,0.0,3.0,0.0,-0.22575916544725438,0.0,8.099883663778439,0.0,,,,,,,,,,,,
olympiadbench-9,processbench,olympiadbench,olympiadbench,Qwen2-72B-Instruct,,0,final_answer_correct,False,False,,-8.0,0.0,8.0,0.0,4.0,0.0,-0.0709161322624658,0.0,4.891021263171369,0.0,,,,,,,,,,,,
olympiadbench-12,processbench,olympiadbench,olympiadbench,Qwen2-72B-Instruct,,0,final_answer_correct,False,False,,-6.0,0.0,6.0,0.0,0.0,0.0,-1.0,0.0,20.231371883462664,1.0,,,,,,,,,,,,
olympiadbench-17,processbench,olympiadbench,olympiadbench,Qwen2-72B-Instruct,,0,final_answer_correct,False,False,,-8.0,0.0,8.0,0.0,3.0,0.0,-0.1955397357538212,0.0,8.97254732879054,0.0,,,,,,,,,,,,
olympiadbench-28,processbench,olympiadbench,olympiadbench,Qwen2-72B-Instruct,,0,final_answer_correct,False,False,,-7.0,0.0,7.0,0.0,3.0,0.0,-0.06187196567151803,0.0,4.7795868031913065,0.0,,,,,,,,,,,,
olympiadbench-36,processbench,olympiadbench,olympiadbench,Qwen2-72B-Instruct,,0,final_answer_correct,False,False,,-7.0,0.0,7.0,0.0,3.0,0.0,-0.06638723670608986,0.0,0.0,0.0,,,,,,,,,,,,
olympiadbench-41,processbench,olympiadbench,olympiadbench,Qwen2-72B-Instruct,,0,final_answer_correct,False,False,,-6.0,0.0,6.0,0.0,3.0,0.0,-0.1307490245723378,0.0,6.070780645772394,0.0,,,,,,,,,,,,
olympiadbench-58,processbench,olympiadbench,olympiadbench,Qwen2-72B-Instruct,,0,final_answer_correct,False,False,,-5.0,0.0,5.0,0.0,2.0,0.0,-0.08007833954904182,0.0,3.969439254701138,0.0,,,,,,,,,,,,
olympiadbench-65,processbench,olympiadbench,olympiadbench,Qwen2-72B-Instruct,,0,final_answer_correct,False,False,,-6.0,0.0,6.0,0.0,0.0,0.0,-1.0,0.0,16.07821773281043,1.0,,,,,,,,,,,,
olympiadbench-88,processbench,olympiadbench,olympiadbench,Qwen2-72B-Instruct,,0,final_answer_correct,False,False,,-10.0,0.0,10.0,0.0,5.0,0.0,-0.14949613030178718,0.0,5.211069855672459,0.0,,,,,,,,,,,,
olympiadbench-92,processbench,olympiadbench,olympiadbench,Qwen2-72B-Instruct,,0,final_answer_correct,False,False,,-12.0,0.0,12.0,0.0,5.0,0.0,-0.006384697774808027,1.0,7.422127041431596,0.0,,,,,,,,,,,,
olympiadbench-93,processbench,olympiadbench,olympiadbench,Qwen2-72B-Instruct,,0,final_answer_correct,False,False,,-12.0,0.0,12.0,0.0,7.0,0.0,-0.055508171902357226,0.0,4.0054355060847975,0.0,,,,,,,,,,,,
olympiadbench-104,processbench,olympiadbench,olympiadbench,Qwen2-72B-Instruct,,0,final_answer_correct,False,False,,-6.0,0.0,6.0,0.0,2.0,0.0,-0.08086743663780613,0.0,11.476502127500396,1.0,,,,,,,,,,,,
olympiadbench-116,processbench,olympiadbench,olympiadbench,Qwen2-72B-Instruct,,0,final_answer_correct,False,False,,-10.0,0.0,10.0,0.0,4.0,0.0,-0.001224751947246584,1.0,1.576509205658371,0.0,,,,,,,,,,,,
olympiadbench-117,processbench,olympiadbench,olympiadbench,Qwen2-72B-Instruct,,0,final_answer_correct,False,False,,-11.0,0.0,11.0,0.0,6.0,0.0,-0.12498478195508284,0.0,2.0652316802379653,0.0,,,,,,,,,,,,
olympiadbench-131,processbench,olympiadbench,olympiadbench,Qwen2-72B-Instruct,,0,final_answer_correct,False,False,,-10.0,0.0,10.0,0.0,3.0,0.0,-0.2144062959804641,0.0,0.005188628801263029,0.0,,,,,,,,,,,,
olympiadbench-143,processbench,olympiadbench,olympiadbench,Qwen2-72B-Instruct,,0,final_answer_correct,False,False,,-8.0,0.0,8.0,0.0,6.0,0.0,-0.06683225320994456,0.0,3.54947270156828,0.0,,,,,,,,,,,,
olympiadbench-153,processbench,olympiadbench,olympiadbench,Qwen2-72B-Instruct,,0,final_answer_correct,False,False,,-6.0,0.0,6.0,0.0,2.0,0.0,-0.28023239080191054,0.0,9.74525491240872,0.0,,,,,,,,,,,,
olympiadbench-154,processbench,olympiadbench,olympiadbench,Qwen2-72B-Instruct,,0,final_answer_correct,False,False,,-11.0,0.0,11.0,0.0,5.0,0.0,-0.04520814184005623,1.0,11.57154450433347,1.0,,,,,,,,,,,,
olympiadbench-187,processbench,olympiadbench,olympiadbench,Qwen2-72B-Instruct,,0,final_answer_correct,False,False,,-7.0,0.0,7.0,0.0,2.0,0.0,-0.20496011361990948,0.0,7.241368093893318,0.0,,,,,,,,,,,,
olympiadbench-188,processbench,olympiadbench,olympiadbench,Qwen2-72B-Instruct,,0,final_answer_correct,False,False,,-14.0,0.0,14.0,0.0,9.0,0.0,-0.0625453230027164,0.0,3.8901387808313106,0.0,,,,,,,,,,,,
olympiadbench-189,processbench,olympiadbench,olympiadbench,Qwen2-72B-Instruct,,0,final_answer_correct,False,False,,-11.0,0.0,11.0,0.0,7.0,0.0,-0.12134231542034364,0.0,9.773319760256367,0.0,,,,,,,,,,,,
olympiadbench-191,processbench,olympiadbench,olympiadbench,Qwen2-72B-Instruct,,0,final_answer_correct,False,False,,-9.0,0.0,9.0,0.0,4.0,0.0,-0.3503278754651621,0.0,9.633577211298647,0.0,,,,,,,,,,,,
olympiadbench-516,processbench,olympiadbench,olympiadbench,Qwen2-72B-Instruct,,1,final_answer_correct,True,True,,-9.0,0.0,9.0,0.0,3.0,0.0,-0.5450101817225699,0.0,10.824062063901337,1.0,,,,,,,,,,,,
olympiadbench-519,processbench,olympiadbench,olympiadbench,Qwen2-72B-Instruct,,1,final_answer_correct,True,True,,-11.0,0.0,11.0,0.0,6.0,0.0,-0.061085933810090635,0.0,5.960738014074245,0.0,,,,,,,,,,,,
olympiadbench-521,processbench,olympiadbench,olympiadbench,Qwen2-72B-Instruct,,1,final_answer_correct,True,True,,-7.0,0.0,7.0,0.0,3.0,0.0,-0.09324925528634555,0.0,3.2643976875627274,0.0,,,,,,,,,,,,
olympiadbench-544,processbench,olympiadbench,olympiadbench,Qwen2-72B-Instruct,,1,final_answer_correct,True,True,,-10.0,0.0,10.0,0.0,7.0,0.0,-0.11895073834068168,0.0,4.919616682716573,0.0,,,,,,,,,,,,
olympiadbench-548,processbench,olympiadbench,olympiadbench,Qwen2-72B-Instruct,,1,final_answer_correct,True,True,,-8.0,0.0,8.0,0.0,4.0,0.0,-0.2995409458808121,0.0,9.276917011396414,0.0,,,,,,,,,,,,
olympiadbench-555,processbench,olympiadbench,olympiadbench,Qwen2-72B-Instruct,,1,final_answer_correct,True,True,,-9.0,0.0,9.0,0.0,5.0,0.0,-0.13328801478784394,0.0,2.643717067851867,0.0,,,,,,,,,,,,
olympiadbench-570,processbench,olympiadbench,olympiadbench,Qwen2-72B-Instruct,,1,final_answer_correct,True,True,,-7.0,0.0,7.0,0.0,3.0,0.0,-0.11535917854724227,0.0,12.487422480079864,1.0,,,,,,,,,,,,
olympiadbench-572,processbench,olympiadbench,olympiadbench,Qwen2-72B-Instruct,,1,final_answer_correct,True,True,,-5.0,0.0,5.0,0.0,2.0,0.0,-0.17891897635205684,0.0,8.348978079650424,0.0,,,,,,,,,,,,
olympiadbench-595,processbench,olympiadbench,olympiadbench,Qwen2-72B-Instruct,,1,final_answer_correct,True,True,,-14.0,0.0,14.0,0.0,7.0,0.0,-0.06267189032677907,0.0,6.257752039472492,0.0,,,,,,,,,,,,
olympiadbench-607,processbench,olympiadbench,olympiadbench,Qwen2-72B-Instruct,,1,final_answer_correct,True,True,,-11.0,0.0,11.0,0.0,5.0,0.0,-0.008415633742457893,1.0,1.72276922715298,0.0,,,,,,,,,,,,
olympiadbench-609,processbench,olympiadbench,olympiadbench,Qwen2-72B-Instruct,,1,final_answer_correct,True,True,,-8.0,0.0,8.0,0.0,5.0,0.0,-0.16548064491947556,0.0,4.840810293642576,0.0,,,,,,,,,,,,
olympiadbench-616,processbench,olympiadbench,olympiadbench,Qwen2-72B-Instruct,,1,final_answer_correct,True,True,,-5.0,0.0,5.0,0.0,3.0,0.0,-0.3443079085570626,0.0,4.043346617193512,0.0,,,,,,,,,,,,
olympiadbench-619,processbench,olympiadbench,olympiadbench,Qwen2-72B-Instruct,,1,final_answer_correct,True,True,,-20.0,0.0,20.0,1.0,14.0,1.0,-0.047524064488318855,1.0,5.912877303066445,0.0,,,,,,,,,,,,
olympiadbench-627,processbench,olympiadbench,olympiadbench,Qwen2-72B-Instruct,,1,final_answer_correct,True,True,,-6.0,0.0,6.0,0.0,1.0,0.0,-0.09301443218233912,0.0,2.0536114923912403,0.0,,,,,,,,,,,,
olympiadbench-629,processbench,olympiadbench,olympiadbench,Qwen2-72B-Instruct,,1,final_answer_correct,True,True,,-14.0,0.0,14.0,0.0,6.0,0.0,-0.0704958109863307,0.0,0.3633499087443681,0.0,,,,,,,,,,,,
olympiadbench-663,processbench,olympiadbench,olympiadbench,Qwen2-72B-Instruct,,1,final_answer_correct,True,True,,-6.0,0.0,6.0,0.0,3.0,0.0,-0.137115588811594,0.0,3.9568081180641275,0.0,,,,,,,,,,,,
olympiadbench-667,processbench,olympiadbench,olympiadbench,Qwen2-72B-Instruct,,1,final_answer_correct,True,True,,-5.0,0.0,5.0,0.0,1.0,0.0,-0.3335364005172759,0.0,6.395282696064528,0.0,,,,,,,,,,,,
olympiadbench-668,processbench,olympiadbench,olympiadbench,Qwen2-72B-Instruct,,1,final_answer_correct,True,True,,-8.0,0.0,8.0,0.0,4.0,0.0,-0.28295024174340905,0.0,9.926508716805607,0.0,,,,,,,,,,,,
olympiadbench-672,processbench,olympiadbench,olympiadbench,Qwen2-72B-Instruct,,1,final_answer_correct,True,True,,-2.0,1.0,2.0,0.0,0.0,0.0,-1.0,0.0,5.270778986280995,0.0,,,,,,,,,,,,
olympiadbench-678,processbench,olympiadbench,olympiadbench,Qwen2-72B-Instruct,,1,final_answer_correct,True,True,,-9.0,0.0,9.0,0.0,5.0,0.0,-0.29318545664402923,0.0,8.84006752353575,0.0,,,,,,,,,,,,
olympiadbench-684,processbench,olympiadbench,olympiadbench,Qwen2-72B-Instruct,,1,final_answer_correct,True,True,,-5.0,0.0,5.0,0.0,1.0,0.0,-0.4081550106742463,0.0,8.556195692141564,0.0,,,,,,,,,,,,
olympiadbench-689,processbench,olympiadbench,olympiadbench,Qwen2-72B-Instruct,,1,final_answer_correct,True,True,,-9.0,0.0,9.0,0.0,3.0,0.0,-0.2071651474674915,0.0,7.074867722853959,0.0,,,,,,,,,,,,
olympiadbench-701,processbench,olympiadbench,olympiadbench,Qwen2-72B-Instruct,,1,final_answer_correct,True,True,,-6.0,0.0,6.0,0.0,3.0,0.0,-0.05921994369003983,0.0,6.53031940850781,0.0,,,,,,,,,,,,
olympiadbench-716,processbench,olympiadbench,olympiadbench,Qwen2-72B-Instruct,,1,final_answer_correct,True,True,,-15.0,0.0,15.0,1.0,11.0,1.0,-0.0001265462240239892,1.0,1.3031986430574598,0.0,,,,,,,,,,,,
olympiadbench-722,processbench,olympiadbench,olympiadbench,Qwen2-72B-Instruct,,1,final_answer_correct,True,True,,-10.0,0.0,10.0,0.0,6.0,0.0,-0.1446838997013641,0.0,6.398609431521855,0.0,,,,,,,,,,,,
olympiadbench-724,processbench,olympiadbench,olympiadbench,Qwen2-72B-Instruct,,1,final_answer_correct,True,True,,-2.0,1.0,2.0,0.0,0.0,0.0,-1.0,0.0,5.270778986280995,0.0,,,,,,,,,,,,
olympiadbench-732,processbench,olympiadbench,olympiadbench,Qwen2-72B-Instruct,,1,final_answer_correct,True,True,,-8.0,0.0,8.0,0.0,4.0,0.0,-0.20142911954902337,0.0,10.42667823991621,1.0,,,,,,,,,,,,
olympiadbench-742,processbench,olympiadbench,olympiadbench,Qwen2-72B-Instruct,,1,final_answer_correct,True,True,,-9.0,0.0,9.0,0.0,6.0,0.0,-0.3876667802025902,0.0,10.38568548777451,0.0,,,,,,,,,,,,
olympiadbench-770,processbench,olympiadbench,olympiadbench,Qwen2-72B-Instruct,,1,final_answer_correct,True,True,,-7.0,0.0,7.0,0.0,5.0,0.0,-0.12298901655530439,0.0,5.420997136800388,0.0,,,,,,,,,,,,
olympiadbench-784,processbench,olympiadbench,olympiadbench,Qwen2-72B-Instruct,,1,final_answer_correct,True,True,,-9.0,0.0,9.0,0.0,5.0,0.0,-0.1998515655713268,0.0,10.85919016890729,1.0,,,,,,,,,,,,
olympiadbench-787,processbench,olympiadbench,olympiadbench,Qwen2-72B-Instruct,,1,final_answer_correct,True,True,,-26.0,0.0,26.0,1.0,12.0,1.0,-0.055812449845484516,0.0,0.0,0.0,,,,,,,,,,,,
olympiadbench-793,processbench,olympiadbench,olympiadbench,Qwen2-72B-Instruct,,1,final_answer_correct,True,True,,-15.0,0.0,15.0,1.0,11.0,1.0,-0.009033865448571717,1.0,0.6414938357308722,0.0,,,,,,,,,,,,
