id,dataset,run_slug,subject,generator,model,target,target_label,is_correct,final_answer_correct,exit_status,premature_exit_score,premature_exit_flag,rambling_overlong_score,rambling_overlong_flag,thrashing_score,thrashing_flag,no_commitment_score,no_commitment_flag,derailment_late_score,derailment_late_flag,answer_drift_score,answer_drift_flag,answer_meandering_score,answer_meandering_flag,answer_volatility_score,answer_volatility_flag,answer_uncommitted_score,answer_uncommitted_flag,answer_overrange_score,answer_overrange_flag,truncation_abort_score,truncation_abort_flag
Magentic_One/000,agenthallu,framework-all,World Knowledge,gpt-4.1-2025-04-14,,1,final_answer_correct,True,True,,-6.0,0.0,6.0,0.0,2.0,0.0,-0.19259290951698413,0.0,4.607830841776156,0.0,0.37830782249374195,0.0,0.0,0.0,0.11122570370056595,0.0,-1.0,0.0,-8.358384195133386,0.0,,
Magentic_One/001,agenthallu,framework-all,Science,gpt-4.1-2025-04-14,,0,final_answer_correct,False,False,,-18.0,0.0,18.0,1.0,10.0,0.0,-0.12566750781845717,0.0,5.390617313831914,0.0,4.814983235716404,0.0,4.0,1.0,2.6894480180050677,1.0,-0.007282678273482782,0.0,-0.9751082993354636,1.0,,
Magentic_One/002,agenthallu,framework-all,Science,gpt-4.1-2025-04-14,,0,final_answer_correct,False,False,,-14.0,0.0,14.0,0.0,9.0,0.0,-0.06994634842478169,0.0,5.659279294382753,0.0,2.3530618842570448,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-11.369255057599709,0.0,,
Magentic_One/003,agenthallu,framework-all,World Knowledge,gpt-4o-2024-11-20,,1,final_answer_correct,True,True,,-6.0,0.0,6.0,0.0,1.0,0.0,-0.057054981779174896,0.0,1.3051797839480273,0.0,0.247221062335516,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-12.146800208280524,0.0,,
Magentic_One/004,agenthallu,framework-all,General Assistant,gpt-5-2025-08-07,,1,final_answer_correct,True,True,,-10.0,0.0,10.0,0.0,5.0,0.0,-0.004228300371135874,1.0,2.271398485651183,0.0,5.00227226755316,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-9.498617070587471,0.0,,
Magentic_One/005,agenthallu,framework-all,World Knowledge,gpt-4o-2024-11-20,,0,final_answer_correct,False,False,,-10.0,0.0,10.0,0.0,5.0,0.0,-0.10164989436147262,0.0,0.0,0.0,7.622815820377269,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-10.76283828080419,0.0,,
Magentic_One/006,agenthallu,framework-all,World Knowledge,gpt-4o-2024-11-20,,1,final_answer_correct,True,True,,-6.0,0.0,6.0,0.0,2.0,0.0,-0.2831916602212037,0.0,9.00549966539824,1.0,2.708214611853137,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-12.211053951335856,0.0,,
Magentic_One/007,agenthallu,framework-all,Science,gpt-4.1-2025-04-14,,0,final_answer_correct,False,False,,-4.0,0.0,4.0,0.0,2.0,0.0,-0.36470405301259745,0.0,4.4701027155061155,0.0,2.883226394432892,0.0,0.0,0.0,1.3683587432085709,1.0,-1.0,0.0,8.687333828274927,1.0,,
Magentic_One/008,agenthallu,framework-all,General Assistant,gpt-5-2025-08-07,,0,final_answer_correct,False,False,,-6.0,0.0,6.0,0.0,2.0,0.0,-0.1961069334015624,0.0,4.254484317514844,0.0,3.2102884893447268,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-9.778700734836196,0.0,,
Magentic_One/009,agenthallu,framework-all,General Assistant,claude-3-7-sonnet-20250219,,1,final_answer_correct,True,True,,-6.0,0.0,6.0,0.0,4.0,0.0,-0.14836070858837958,0.0,0.0,0.0,8.283858178216999,1.0,0.0,0.0,0.0,0.0,-0.0,0.0,-15.2183609978301,0.0,,
Magentic_One/010,agenthallu,framework-all,Science,gpt-5-2025-08-07,,0,final_answer_correct,False,False,,-8.0,0.0,8.0,0.0,5.0,0.0,-0.12001599762856564,0.0,0.0,0.0,1.998944117553343,0.0,2.0,0.0,1.192835352961449,1.0,-0.26847303357456015,0.0,-2.0200070004158555,1.0,,
Magentic_One/011,agenthallu,framework-all,Science,gpt-4.1-2025-04-14,,0,final_answer_correct,False,False,,-4.0,0.0,4.0,0.0,2.0,0.0,-0.35687592676216323,0.0,0.0,0.0,4.008300442805435,0.0,0.0,0.0,0.0019205059958719711,0.0,-1.0,0.0,-8.010557128604884,0.0,,
Magentic_One/012,agenthallu,framework-all,Math,gpt-4o-2024-11-20,,0,final_answer_correct,False,False,,-12.0,0.0,12.0,0.0,7.0,0.0,-0.05321675749953739,0.0,0.0,0.0,2.0960115901250163,0.0,2.0,0.0,0.9230307182003279,1.0,-0.19090096919852176,0.0,-4.572903022399032,0.0,,
Magentic_One/013,agenthallu,framework-all,General Assistant,gpt-5-2025-08-07,,0,final_answer_correct,False,False,,-12.0,0.0,12.0,0.0,7.0,0.0,-0.06645219163583396,0.0,0.0,0.0,2.6415618598435167,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-12.44333834536323,0.0,,
Magentic_One/014,agenthallu,framework-all,Science,gpt-5-2025-08-07,,1,final_answer_correct,True,True,,-10.0,0.0,10.0,0.0,6.0,0.0,-0.023422611736965807,0.0,1.7748309063757461,0.0,1.7707691086222965,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-12.27904268132129,0.0,,
Magentic_One/015,agenthallu,framework-all,Science,gpt-4.1-2025-04-14,,1,final_answer_correct,True,True,,-12.0,0.0,12.0,0.0,6.0,0.0,-0.0021081808026147913,1.0,1.6184225093126874,0.0,5.056410165044586,0.0,0.0,0.0,0.11950218115990241,0.0,-1.0,0.0,-6.5510399487626785,0.0,,
Magentic_One/016,agenthallu,framework-all,World Knowledge,gpt-4o-2024-11-20,,0,final_answer_correct,False,False,,-4.0,0.0,4.0,0.0,1.0,0.0,-0.1779479403971158,0.0,0.0,0.0,4.294828252441356,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-15.004087009919786,0.0,,
Magentic_One/017,agenthallu,framework-all,General Assistant,gpt-5-2025-08-07,,0,final_answer_correct,False,False,,-4.0,0.0,4.0,0.0,1.0,0.0,-0.2780394696511147,0.0,5.921861138161894,0.0,0.09978756624554563,0.0,1.0,0.0,0.9155189029791186,1.0,-0.44380930823459147,0.0,-5.339951019218407,0.0,,
Magentic_One/018,agenthallu,framework-all,Math,gpt-4.1-2025-04-14,,0,final_answer_correct,False,False,,-8.0,0.0,8.0,0.0,4.0,0.0,-0.0987105750647088,0.0,3.6943303255530746,0.0,1.5913164042650472,0.0,0.0,0.0,-0.15708888614883598,0.0,-1.0,0.0,-10.648063529653477,0.0,,
Magentic_One/019,agenthallu,framework-all,World Knowledge,gpt-4o-2024-11-20,,0,final_answer_correct,False,False,,-6.0,0.0,6.0,0.0,3.0,0.0,-0.2533173488773812,0.0,4.284862220148256,0.0,0.5685822985874758,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-10.610655127925774,0.0,,
Magentic_One/020,agenthallu,framework-all,General Assistant,gpt-5-2025-08-07,,0,final_answer_correct,False,False,,-8.0,0.0,8.0,0.0,3.0,0.0,-0.13922667401821753,0.0,4.3403199871607505,0.0,0.010836875683875036,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-12.095384577757635,0.0,,
Magentic_One/021,agenthallu,framework-all,World Knowledge,gpt-4o-2024-11-20,,0,final_answer_correct,False,False,,-4.0,0.0,4.0,0.0,1.0,0.0,-0.1491752418652872,0.0,0.0,0.0,8.568303611959813,1.0,0.0,0.0,0.0,0.0,-0.0,0.0,-17.18824883715715,0.0,,
Magentic_One/022,agenthallu,framework-all,World Knowledge,claude-3-7-sonnet-20250219,,0,final_answer_correct,False,False,,-8.0,0.0,8.0,0.0,3.0,0.0,-0.4025750854382545,0.0,0.9446930714288682,0.0,0.12811609414242753,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-10.60421867254535,0.0,,
Magentic_One/023,agenthallu,framework-all,Math,gpt-4.1-2025-04-14,,0,final_answer_correct,False,False,,-4.0,0.0,4.0,0.0,0.0,0.0,-1.0000000000000002,0.0,0.0,0.0,4.189639763568369,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-4.314131402448808,0.0,,
Magentic_One/024,agenthallu,framework-all,World Knowledge,gpt-4o-2024-11-20,,0,final_answer_correct,False,False,,-14.0,0.0,14.0,0.0,7.0,0.0,-0.01802641771497634,0.0,1.3887630955912051,0.0,1.945451504809192,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-9.092138098130107,0.0,,
Magentic_One/025,agenthallu,framework-all,World Knowledge,claude-3-7-sonnet-20250219,,0,final_answer_correct,False,False,,-6.0,0.0,6.0,0.0,3.0,0.0,-0.04285428542520101,0.0,1.264927143789901,0.0,0.7055443515385456,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-15.244624816115696,0.0,,
Magentic_One/026,agenthallu,framework-all,General Assistant,gpt-4.1-2025-04-14,,1,final_answer_correct,True,True,,-18.0,0.0,18.0,1.0,7.0,0.0,-0.008635700786093738,0.0,0.9780033725721422,0.0,0.38062166753949356,0.0,1.0,0.0,0.010715253397831082,0.0,-0.9337077173015704,0.0,-4.930368610196549,0.0,,
Magentic_One/027,agenthallu,framework-all,Science,gpt-5-2025-08-07,,1,final_answer_correct,True,True,,-20.0,0.0,20.0,1.0,14.0,1.0,-0.043191849431849554,0.0,3.9924687274790718,0.0,0.12336484420262295,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-6.901270888817585,0.0,,
Magentic_One/028,agenthallu,framework-all,Science,gpt-4.1-2025-04-14,,0,final_answer_correct,False,False,,-8.0,0.0,8.0,0.0,4.0,0.0,-0.09585465723614038,0.0,0.0,0.0,0.5599901286536806,0.0,2.0,0.0,0.6303677154050122,0.0,-0.20718736268139962,0.0,1.5255172617075345,1.0,,
Magentic_One/029,agenthallu,framework-all,Math,claude-3-7-sonnet-20250219,,1,final_answer_correct,True,True,,-14.0,0.0,14.0,0.0,10.0,0.0,-0.03269249468909671,0.0,1.7099025280025497,0.0,1.933983639559873,0.0,3.0,1.0,1.0329392521331469,1.0,-0.030048825761005902,0.0,-6.198011526475685,0.0,,
