id,subject,n_attempts,n_answered,winning_norm,winning_count,n_distinct_answers,consistency,sc_correct,any_correct,all_correct,mean_correct
078d0957-0a51-46be-b820-da8f749b30b5,chemistry,5,5,malonic acid,4,2,0.8,True,True,True,1.0
079657b3-e215-4944-8a67-8bb5347e4f15,chemistry,5,3,pt9cl18o20h30,1,3,0.2,False,False,False,0.0
0949d931-d0ad-4146-86e7-ef725919e3de,chemistry,5,4,"3a,4,7,7a-tetrahydro-1-benzothiophene-1,1-dioxide",1,4,0.2,True,True,False,0.6
0ea11f5b-df09-4330-92cc-302a63c22008,physics,5,5,\(\displaystyle \frac{\delta t}{\delta h} = -\frac{m g \beta}{\alpha r} \frac{1+\alpha \rho_s}{1+\alpha \beta \rho_s}\,1,5,0.2,True,True,True,1.0
111d5872-2705-42c0-8df4-0fb386ba7084,biology,5,5,histone deacetylation,5,1,1.0,False,True,False,0.2
11c1fcc0-bcad-4507-951b-550e19f1e2aa,physics,5,5,\(\theta = \arccos\left( -\frac{\mu_0 q_e q_m}{4\pi l} \right)\,2,4,0.4,True,True,False,0.6
1440c195-fba2-48dc-a03d-7b9420891daf,chemistry,5,4,7.59,3,2,0.6,True,True,False,0.8
1510d6bd-6785-456d-8988-b9382a3aef9c,biology,5,5,"multimeric open circular dna, open circular dna, linear dna, supercoiled dna, single-stranded circular dna",2,4,0.4,True,True,True,1.0
16318af5-cfa6-4b2c-bf25-9eb3ac468b48,physics,5,4,\(-\frac{f}{2t}\,2,3,0.4,True,True,False,0.8
19962a30-eaf9-4b7e-86c7-17c02cdb01bd,physics,5,4,"\(\sigma(x,y,z) = \frac{q}{4\pi abc \sqrt{\frac{x^2}{a^4} + \frac{y^2}{b^4} + \frac{z^2}{c^4}}}\",1,4,0.2,True,True,False,0.8
1dba0086-bca8-4b25-8843-e6e428f9284d,physics,5,5,\(\sqrt{\frac{s^2}{n} + \frac{a^2}{12}}\,2,3,0.4,False,True,False,0.6
1e2f4cbe-4a38-4dd3-9378-14df40f7599f,physics,5,4,3 k_b t,2,3,0.4,True,True,False,0.8
1eca2503-b141-4f9f-ab10-e27d272c93b0,biology,5,5,28,5,1,1.0,False,False,False,0.0
20daab54-df1b-4006-a544-7198daee7847,physics,5,5,"\( a = \sqrt{\left( \frac{gmm}{l} \right)^2 + \frac{2e}{m}} \), \( b = \left( \frac{gmm}{l} \right)^2 \",2,4,0.4,True,True,False,0.6
20fcf049-b356-45cf-83d8-833f280ee107,physics,5,5,\(\alpha = \frac{j}{k_b t}\,3,2,0.6,True,True,True,1.0
218df0c2-18db-495f-8c53-eb6758feaff2,physics,5,4,\(\frac{\tau_f}{\tau_i} = \sqrt{\frac{b + a h_f^2}{b + a h_i^2}}\,2,3,0.4,True,True,False,0.8
22f5a060-b2ba-4d68-8ad1-cbcbd58a788e,chemistry,5,5,k3[co(no2)6,5,1,1.0,True,True,True,1.0
239c543b-7543-445a-b492-89c994b9ba7c,physics,5,3,\(\frac{r}{3}\,1,3,0.2,True,True,False,0.6
23cb57a5-1c57-4f6e-8205-7ffb6116a16a,chemistry,5,5,3-(trifluoromethyl)aniline,3,3,0.6,True,True,False,0.6
27c865e6-1c87-489b-b7ea-b197fe3356ba,physics,5,3,"u(t,p) = ct",1,3,0.2,True,True,False,0.6
2c46387b-36e6-43cb-9e73-dbf1341bfafd,physics,5,4,1.57,2,3,0.4,False,True,False,0.2
319ae242-19fc-4542-b75a-d32b325ea923,chemistry,5,5,cyclobutadiene,5,1,1.0,False,False,False,0.0
328c6a47-15d7-470e-99f5-73e468634614,physics,5,3,\phi_{n+1} = \phi_n - \frac{\alpha}{u} \sin \phi_n,1,3,0.2,False,True,False,0.4
36c373f1-468f-4bba-a8d9-5a73a3be5876,chemistry,5,4,-8,3,2,0.6,True,True,False,0.6
3a998a27-4c4b-47c6-bd2c-dd1c9deb3d63,physics,5,4,\frac{1}{r}\frac{d}{dt}\left(r^2 \dot{\theta}\right) = 2\omega \sin\phi \dot{r,1,4,0.2,False,False,False,0.0
3d762ba1-3958-453b-b34e-fe24c2822994,chemistry,5,5,\( k_m = k_s + \frac{[s]^2}{j_s} \,2,3,0.4,False,True,False,0.4
4195adea-9fa5-4f25-91ef-ebd6c57cfb88,physics,5,4,\(t = t_0 \left(\frac{n}{n_0}\right)^{1/5}\,1,4,0.2,True,True,False,0.6
422512ca-5a0c-4a23-b987-7fa2eb2024e6,physics,5,4,19,4,1,0.8,True,True,False,0.8
4225f097-0cee-4e43-b5b9-6efbab4c3447,physics,5,5,\(\vec{b}_1 = -\vec{b}_0\,1,5,0.2,True,True,False,0.2
441c416a-8f5e-431c-9675-faeac34ff290,chemistry,5,5,"2,3,4,5,6,7,8,9-octamethyldecanedioate",2,4,0.4,False,False,False,0.0
469cc7c7-ae71-4ea2-bc13-3af3770fd8da,chemistry,5,4,3 i4o9 + 12 oh− → i− + 11 io3− + 6 h2o,1,4,0.2,True,True,False,0.8
4842f95d-b84a-4ff4-8165-64fc7bfcf00d,chemistry,5,4,"b1: 2-furaldehyde; b2: (z)-2,3-dibromo-4-oxobut-2-enoic acid; b3: dipotassium 2-bromo-3-nitro-2-butenedioate; b4: hexanitroethane; b5: tetranitroethylene",1,4,0.2,True,True,False,0.2
4a737e9f-5afd-4a14-a17b-c468cda1a8bb,chemistry,5,4,nano3,4,1,0.8,True,True,False,0.8
4ee82eb3-a457-42c5-9c62-5730d41f67a6,biology,5,5,tlr9 signaling pathway,5,1,1.0,False,False,False,0.0
