id,dataset,run_slug,subject,generator,model,target,target_label,is_correct,final_answer_correct,exit_status,premature_exit_score,premature_exit_flag,rambling_overlong_score,rambling_overlong_flag,thrashing_score,thrashing_flag,no_commitment_score,no_commitment_flag,derailment_late_score,derailment_late_flag,answer_drift_score,answer_drift_flag,answer_meandering_score,answer_meandering_flag,answer_volatility_score,answer_volatility_flag,answer_uncommitted_score,answer_uncommitted_flag,answer_overrange_score,answer_overrange_flag,truncation_abort_score,truncation_abort_flag
gsm8k-7,processbench,gsm8k,gsm8k,Meta-Llama-3-8B-Instruct,,0,final_answer_correct,False,False,,-4.0,0.0,4.0,0.0,1.0,0.0,-9.810765074848475e-17,1.0,0.0,0.0,,,,,,,,,,,,
gsm8k-18,processbench,gsm8k,gsm8k,Meta-Llama-3-8B-Instruct,,0,final_answer_correct,False,False,,-4.0,0.0,4.0,0.0,2.0,0.0,-0.8224515029048519,0.0,2.2335922215070942,1.0,,,,,,,,,,,,
gsm8k-29,processbench,gsm8k,gsm8k,Meta-Llama-3-8B-Instruct,,0,final_answer_correct,False,False,,-4.0,0.0,4.0,0.0,1.0,0.0,-0.12096238971480616,0.0,1.6054064723125963,0.0,,,,,,,,,,,,
gsm8k-34,processbench,gsm8k,gsm8k,Meta-Llama-3-8B-Instruct,,0,final_answer_correct,False,False,,-4.0,0.0,4.0,0.0,2.0,0.0,-0.6391628732001803,0.0,2.172223275130802,1.0,,,,,,,,,,,,
gsm8k-41,processbench,gsm8k,gsm8k,Meta-Llama-3-8B-Instruct,,0,final_answer_correct,False,False,,-6.0,0.0,6.0,0.0,2.0,0.0,-0.12119762865715339,0.0,0.4186773688581561,0.0,,,,,,,,,,,,
gsm8k-74,processbench,gsm8k,gsm8k,Meta-Llama-3-8B-Instruct,,0,final_answer_correct,False,False,,-7.0,0.0,7.0,1.0,2.0,0.0,-0.3978717092659005,0.0,0.0,0.0,,,,,,,,,,,,
gsm8k-86,processbench,gsm8k,gsm8k,Meta-Llama-3-8B-Instruct,,0,final_answer_correct,False,False,,-3.0,1.0,3.0,0.0,0.0,0.0,-1.0,0.0,2.2772672850097555,1.0,,,,,,,,,,,,
gsm8k-130,processbench,gsm8k,gsm8k,Meta-Llama-3-8B-Instruct,,0,final_answer_correct,False,False,,-5.0,0.0,5.0,0.0,0.0,0.0,-1.0000000000000002,0.0,2.089010992695987,1.0,,,,,,,,,,,,
gsm8k-183,processbench,gsm8k,gsm8k,Meta-Llama-3-8B-Instruct,,0,final_answer_correct,False,False,,-5.0,0.0,5.0,0.0,2.0,0.0,-0.5062477216822494,0.0,0.0,0.0,,,,,,,,,,,,
gsm8k-187,processbench,gsm8k,gsm8k,Meta-Llama-3-8B-Instruct,,0,final_answer_correct,False,False,,-6.0,0.0,6.0,0.0,3.0,1.0,-0.12491818123159962,0.0,0.0,0.0,,,,,,,,,,,,
gsm8k-194,processbench,gsm8k,gsm8k,Meta-Llama-3-8B-Instruct,,0,final_answer_correct,False,False,,-4.0,0.0,4.0,0.0,1.0,0.0,-0.4751254290443033,0.0,1.2815834070308596,0.0,,,,,,,,,,,,
gsm8k-213,processbench,gsm8k,gsm8k,Meta-Llama-3-8B-Instruct,,1,final_answer_correct,True,True,,-7.0,0.0,7.0,1.0,2.0,0.0,-0.6082635387163,0.0,1.5873319482797297,0.0,,,,,,,,,,,,
gsm8k-226,processbench,gsm8k,gsm8k,Meta-Llama-3-8B-Instruct,,1,final_answer_correct,True,True,,-6.0,0.0,6.0,0.0,2.0,0.0,-0.11787972645132952,0.0,0.6495780331920242,0.0,,,,,,,,,,,,
gsm8k-234,processbench,gsm8k,gsm8k,Meta-Llama-3-8B-Instruct,,1,final_answer_correct,True,True,,-4.0,0.0,4.0,0.0,0.0,0.0,-0.9999999999999996,0.0,1.7917594692280545,0.0,,,,,,,,,,,,
gsm8k-261,processbench,gsm8k,gsm8k,Meta-Llama-3-8B-Instruct,,1,final_answer_correct,True,True,,-4.0,0.0,4.0,0.0,1.0,0.0,-0.10192872142944319,0.0,0.3431333769879952,0.0,,,,,,,,,,,,
gsm8k-272,processbench,gsm8k,gsm8k,Meta-Llama-3-8B-Instruct,,1,final_answer_correct,True,True,,-4.0,0.0,4.0,0.0,2.0,0.0,-0.29009776702591605,0.0,1.9888149649066553,0.0,,,,,,,,,,,,
gsm8k-281,processbench,gsm8k,gsm8k,Meta-Llama-3-8B-Instruct,,1,final_answer_correct,True,True,,-6.0,0.0,6.0,0.0,3.0,1.0,-0.03346142739981061,1.0,0.5989996306478854,0.0,,,,,,,,,,,,
gsm8k-301,processbench,gsm8k,gsm8k,Meta-Llama-3-8B-Instruct,,1,final_answer_correct,True,True,,-6.0,0.0,6.0,0.0,2.0,0.0,-0.7312706504697725,0.0,2.6519607344511664,1.0,,,,,,,,,,,,
gsm8k-314,processbench,gsm8k,gsm8k,Meta-Llama-3-8B-Instruct,,1,final_answer_correct,True,True,,-6.0,0.0,6.0,0.0,1.0,0.0,-0.053070231642299626,0.0,0.0,0.0,,,,,,,,,,,,
gsm8k-326,processbench,gsm8k,gsm8k,Meta-Llama-3-8B-Instruct,,1,final_answer_correct,True,True,,-3.0,1.0,3.0,0.0,1.0,0.0,-0.20713487670733,0.0,0.0,0.0,,,,,,,,,,,,
gsm8k-329,processbench,gsm8k,gsm8k,Meta-Llama-3-8B-Instruct,,1,final_answer_correct,True,True,,-5.0,0.0,5.0,0.0,2.0,0.0,-0.2609192373298964,0.0,2.0261245711758384,1.0,,,,,,,,,,,,
gsm8k-370,processbench,gsm8k,gsm8k,Meta-Llama-3-8B-Instruct,,1,final_answer_correct,True,True,,-4.0,0.0,4.0,0.0,1.0,0.0,-0.1019287214294432,0.0,0.0,0.0,,,,,,,,,,,,
gsm8k-371,processbench,gsm8k,gsm8k,Meta-Llama-3-8B-Instruct,,1,final_answer_correct,True,True,,-6.0,0.0,6.0,0.0,4.0,1.0,-0.06550815754015299,0.0,0.9049356286134717,0.0,,,,,,,,,,,,
gsm8k-386,processbench,gsm8k,gsm8k,Meta-Llama-3-8B-Instruct,,1,final_answer_correct,True,True,,-5.0,0.0,5.0,0.0,1.0,0.0,-0.0,1.0,0.0,0.0,,,,,,,,,,,,
