id,fold,subject,failure_type,true_step_index,predicted_step_index,predicted_step_probability,n_steps,correct
GPT-4o_001_alfworld_task_001,4,alfworld,over_simplification,15,0,0.7337488047729024,30,0
GPT-4o_001_chat_b000_t00_e00-d3248f80,3,webshop,inefficient_plan,28,3,0.7583866140964296,30,0
GPT-4o_001_memory_b000_t00_e00-7743eba0,2,gaia,inefficient_plan,4,0,0.8059193217915207,30,0
GPT-4o_002_alfworld_task_002,1,alfworld,over_simplification,23,0,0.7304382222978003,30,0
GPT-4o_002_chat_b000_t00_e01-5b8f974f,0,webshop,progress_misjudge,1,0,0.7503039355103228,30,0
GPT-4o_002_memory_b000_t00_e01-7ab08a46,1,gaia,misalignment,2,1,0.8200752514856853,30,0
GPT-4o_003_alfworld_task_003,2,alfworld,tool_execution_error,6,0,0.7626924361768931,30,0
GPT-4o_003_chat_b000_t00_e02-1e119842,3,webshop,environment_error,0,1,0.7549450827156758,30,0
GPT-4o_003_memory_b000_t00_e03-21a3a421,2,gaia,inefficient_plan,0,0,0.9302201317439782,1,1
GPT-4o_004_alfworld_task_004,4,alfworld,inefficient_plan,3,1,0.8599748769166656,30,0
GPT-4o_004_chat_b000_t00_e03-21a3a421,2,webshop,progress_misjudge,1,0,0.8760396977666733,21,0
GPT-4o_004_memory_b000_t00_e04-5e8c1dcf,3,gaia,constraint_ignorance,0,0,0.9361805177281964,1,1
GPT-4o_005_alfworld_task_005,0,alfworld,over_simplification,7,0,0.7655525329273877,30,0
GPT-4o_005_chat_b000_t00_e04-7e3c13ba,1,webshop,inefficient_plan,5,3,0.699453912543044,30,0
GPT-4o_005_memory_b000_t00_e05-c9015705,1,gaia,inefficient_plan,0,2,0.8387391328149144,5,0
GPT-4o_006_alfworld_task_006,2,alfworld,inefficient_plan,4,0,0.763683899774655,30,0
GPT-4o_006_chat_b000_t00_e05-996588dc,3,webshop,inefficient_plan,8,2,0.8016024425779663,30,0
GPT-4o_006_memory_b000_t00_e06-71f77595,1,gaia,over_simplification,2,0,0.6789872833722729,22,0
GPT-4o_007_alfworld_task_007,4,alfworld,outcome_misinterpretation,2,2,0.7558051098793848,30,1
GPT-4o_007_chat_b000_t00_e06-a15c0dc2,1,webshop,progress_misjudge,10,4,0.7575762536693071,30,0
GPT-4o_007_memory_b000_t00_e08-f572f2ad,3,gaia,over_simplification,1,0,0.9178074545543842,4,0
GPT-4o_008_alfworld_task_008,0,alfworld,memory_retrieval_failure,4,0,0.747947589674468,30,0
GPT-4o_008_chat_b000_t00_e07-d50ae81f,2,webshop,inefficient_plan,12,0,0.819332794667693,30,0
GPT-4o_008_memory_b000_t00_e09-f0557a9f,3,gaia,impossible_action,4,3,0.7591264404099335,30,0
GPT-4o_009_alfworld_task_009,0,alfworld,impossible_action,9,0,0.7884702640414954,30,0
GPT-4o_009_chat_b000_t00_e08-6a7bac22,1,webshop,inefficient_plan,4,0,0.7088135751660193,30,0
GPT-4o_009_memory_b001_t00_e01-7ab08a46,3,gaia,inefficient_plan,7,0,0.7976638484226735,17,0
GPT-4o_010_alfworld_task_010,2,alfworld,progress_misjudge,3,0,0.7070395974303912,30,0
GPT-4o_010_chat_b000_t00_e09-f0557a9f,4,webshop,hallucination,1,0,0.8257408165450577,20,0
GPT-4o_010_memory_b001_t00_e02-8d639e26,3,gaia,impossible_action,3,0,0.7511997736311771,30,0
GPT-4o_011_alfworld_task_011,4,alfworld,inefficient_plan,5,1,0.8437685476672924,30,0
GPT-4o_011_chat_b000_t00_e10-69d80a84,0,webshop,inefficient_plan,20,1,0.7891858595785739,30,0
GPT-4o_011_memory_b001_t00_e03-21a3a421,2,gaia,over_simplification,2,1,0.8504346242132631,12,0
GPT-4o_012_alfworld_task_012,1,alfworld,over_simplification,22,1,0.7699424169662762,30,0
GPT-4o_012_chat_b000_t00_e11-1cc61441,2,webshop,constraint_ignorance,12,1,0.7852421487843719,30,0
GPT-4o_012_memory_b001_t00_e04-5e8c1dcf,4,gaia,Parameter_error,4,3,0.7997632249444048,30,0
GPT-4o_013_alfworld_task_013,3,alfworld,hallucination,13,1,0.7151697666198806,30,0
GPT-4o_013_chat_b000_t00_e12-f27d2887,3,webshop,hallucination,1,0,0.7570962671827558,30,0
GPT-4o_013_memory_b001_t00_e05-c9015705,2,gaia,parameter_error,4,0,0.8318581658804225,6,0
GPT-4o_014_alfworld_task_014,4,alfworld,causal_misattribution,1,0,0.7395478493724238,30,0
GPT-4o_014_chat_b000_t00_e13-c39f2c41,1,webshop,hallucination,1,1,0.6746057333744111,30,1
GPT-4o_014_memory_b001_t00_e06-71f77595,2,gaia,inefficient_plan,6,0,0.7922053835655103,30,0
GPT-4o_015_alfworld_task_015,0,alfworld,environment_error,0,0,0.7855846015913329,30,1
GPT-4o_015_chat_b000_t00_e14-1d03d2d8,0,webshop,over_simplification,1,0,0.7908745687999454,25,0
GPT-4o_015_memory_b001_t00_e07-f5b5d66a,0,gaia,outcome_misinterpretation,3,0,0.8387103054487145,13,0
GPT-4o_016_alfworld_task_016,4,alfworld,step_limit,29,0,0.7484246983744841,30,0
GPT-4o_016_memory_b001_t00_e08-f572f2ad,3,gaia,inefficient_plan,1,1,0.7700478410879131,30,1
GPT-4o_017_alfworld_task_017,2,alfworld,environment_error,2,1,0.8007791089851671,30,0
GPT-4o_018_alfworld_task_018,1,alfworld,misalignment,3,0,0.6846222550207303,30,0
GPT-4o_019_alfworld_task_019,0,alfworld,misalignment,6,0,0.7583943916373165,30,0
GPT-4o_020_alfworld_task_020,4,alfworld,outcome_misinterpretation,10,0,0.6905581607987968,30,0
GPT-4o_021_alfworld_task_021,3,alfworld,step_limit,29,0,0.7418517674348545,30,0
GPT-4o_022_alfworld_task_022,2,alfworld,inefficient_plan,8,3,0.7219653201964144,30,0
GPT-4o_023_alfworld_task_023,1,alfworld,memory_retrieval_failure,7,1,0.7745578908364099,30,0
GPT-4o_024_alfworld_task_024,0,alfworld,progress_misjudge,8,0,0.7773996576112865,30,0
