id,dataset,run_slug,subject,generator,model,target,target_label,is_correct,final_answer_correct,has_answer_chunks,error_step_index,error_step_position,exit_status,reasoning_n_chunks,reasoning_start,reasoning_end,reasoning_end_minus_start,reasoning_std,reasoning_range,reasoning_min,reasoning_max,reasoning_early_mean,reasoning_mid_mean,reasoning_late_mean,reasoning_late_minus_early,reasoning_total_variation,reasoning_monotonicity,reasoning_direction_changes,reasoning_zero_crossings,reasoning_peak_pos,reasoning_trough_pos,reasoning_rebound_from_trough,reasoning_fall_from_peak,reasoning_max_rise,reasoning_max_drop,reasoning_max_rise_pos,reasoning_max_drop_pos,reasoning_curvature_abs_mean,reasoning_positive_mass,reasoning_negative_mass,reasoning_time_positive,reasoning_time_negative,answer_n_chunks,answer_start,answer_end,answer_end_minus_start,answer_std,answer_range,answer_min,answer_max,answer_early_mean,answer_mid_mean,answer_late_mean,answer_late_minus_early,answer_total_variation,answer_monotonicity,answer_direction_changes,answer_zero_crossings,answer_peak_pos,answer_trough_pos,answer_rebound_from_trough,answer_fall_from_peak,answer_max_rise,answer_max_drop,answer_max_rise_pos,answer_max_drop_pos,answer_curvature_abs_mean,answer_positive_mass,answer_negative_mass,answer_time_positive,answer_time_negative,answer_minus_reasoning_mean,answer_start_minus_reasoning_end,answer_end_minus_reasoning_end,answer_range_minus_reasoning_range,total_n_chunks,reasoning_pair_density,answer_pair_density
olympiadbench-0,processbench,olympiadbench,olympiadbench,Llama-3.1-70B-Instruct,,0,final_answer_correct,False,False,False,2.0,0.6666666666666666,,4,6.8579612908408745,0.001163927550843269,-6.856797363290031,3.908072184964533,13.354459766581549,-6.496498475740673,6.8579612908408745,3.608673864536584,-3.8676963044165467,-2.706195407153956,-6.31486927169054,19.852122169873063,0.34539367149854056,1,2,0.0,0.6842105263157895,6.497662403291517,6.856797363290031,1.0829437338819208,1.083095808768097,0.7777777777777778,0.0,0.12033553014722373,1.2630940489653466,2.1656105250695203,0.4,0.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1.0,
olympiadbench-1,processbench,olympiadbench,olympiadbench,Qwen2.5-Math-72B-Instruct,,0,final_answer_correct,False,False,False,3.0,0.75,,5,8.53839460395945,-2.1257580578233606,-10.664152661782811,3.7875940207602405,14.299724564333307,-5.761329960373857,8.53839460395945,3.2531765703636415,-4.014662764981886,-1.0803913616713736,-4.333567932035015,21.521084268836752,0.49552116094935145,2,1,0.0,0.5263157894736842,3.6355719025504962,10.664152661782811,1.3563843317553097,1.7925920996695233,0.5555555555555556,0.1111111111111111,0.27519912435690397,1.2383026011551013,1.828940177772899,0.25,0.75,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1.0,
olympiadbench-2,processbench,olympiadbench,olympiadbench,Qwen2.5-72B-Instruct,,0,final_answer_correct,False,False,False,7.0,1.0,,8,6.9867179687832905,0.1285543459177183,-6.858163622865572,3.5994227095204665,13.88984818930976,-6.903130220526469,6.9867179687832905,3.558608747655287,-2.562713682054298,-2.162841496162233,-5.72145024381752,35.36733361961347,0.19391237396144215,5,2,0.0,0.5789473684210527,7.031684566444188,6.858163622865572,2.6129180843106425,2.642318128245093,0.6111111111111112,0.5,1.2284222609068505,1.367562916541,1.6678520924293239,0.5,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0.6071428571428571,
olympiadbench-3,processbench,olympiadbench,olympiadbench,Llama-3.1-8B-Instruct,,0,final_answer_correct,False,False,False,3.0,0.6,,6,8.009896588322734,4.018566386295846,-3.991330202026888,4.190873617681416,17.578162909008753,-9.568266320686018,8.009896588322734,2.525227941910841,-1.6340604860663483,-3.7830290260298294,-6.30825696794067,34.24647862284377,0.11654717105321631,3,2,0.0,0.7894736842105263,13.586832706981863,3.991330202026888,3.7152504980706986,2.655595928433854,0.9444444444444444,0.7222222222222222,0.6750704525296273,1.1887739948974478,2.011774093160825,0.3,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1.0,
olympiadbench-4,processbench,olympiadbench,olympiadbench,Qwen2.5-Math-72B-Instruct,,0,final_answer_correct,False,False,False,2.0,0.4,,6,4.008669817611795,2.000659625522952,-2.0080101920888436,5.775460797758312,18.806583615138067,-9.45526382877536,9.351319786362707,6.083830314115569,-6.49041823675927,-0.8961962439464161,-6.980026558061985,35.605157038187286,0.0563966110284308,2,2,0.21052631578947367,0.5789473684210527,11.455923454298311,7.350660160839755,2.125062142270534,3.702239240124065,0.7777777777777778,0.2222222222222222,0.677563873801851,2.2764431599279003,2.6876078060371205,0.45,0.55,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1.0,
olympiadbench-5,processbench,olympiadbench,olympiadbench,Qwen2.5-Math-7B-Instruct,,0,final_answer_correct,False,False,False,2.0,0.3333333333333333,,7,5.354010178797617,-0.3098531549783721,-5.663863333775989,4.339075100785516,13.637488963221536,-8.283478784423918,5.354010178797617,4.529898797499684,-3.271916879776504,-2.352585399417261,-6.882484196916945,21.611114592667086,0.2620810374906719,1,1,0.0,0.6842105263157895,7.9736256294455465,5.663863333775989,2.2463950988235055,2.1381691953316375,0.7777777777777778,0.5555555555555556,0.45363209838279744,1.7402246735931848,2.0057066222152495,0.45,0.55,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0.7619047619047619,
olympiadbench-6,processbench,olympiadbench,olympiadbench,Qwen2-72B-Instruct,,0,final_answer_correct,False,False,False,4.0,0.8,,6,8.069466620034628,-0.03041704374380938,-8.099883663778439,4.849178691529209,17.20326082044873,-9.133794200414101,8.069466620034628,3.6103012350299486,-2.8045232158219604,-2.773541802966875,-6.383843037996824,35.87842667530975,0.22575916544725438,3,1,0.0,0.631578947368421,9.103377156670291,8.099883663778439,1.6037352047233027,4.25171457643953,0.7777777777777778,0.5555555555555556,0.8877979373487821,1.742164186973291,2.2922044211405574,0.5,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1.0,
olympiadbench-7,processbench,olympiadbench,olympiadbench,Llama-3.1-70B-Instruct,,0,final_answer_correct,False,False,False,1.0,0.2,,6,8.036872041876995,-0.02673831539969207,-8.063610357276687,5.052705322284264,15.847448607208797,-7.810576565331802,8.036872041876995,5.622121533023716,-3.28882453407542,-4.5490524363906415,-10.171173969414358,23.631286857140907,0.3412260367378184,1,1,0.0,0.7894736842105263,7.78383824993211,8.063610357276687,2.1040756171983936,2.0999093080300466,0.9444444444444444,0.2777777777777778,0.37897363508503357,1.9677425365583006,2.5158043178435894,0.35,0.65,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1.0,
olympiadbench-8,processbench,olympiadbench,olympiadbench,Qwen2-7B-Instruct,,0,final_answer_correct,False,False,False,2.0,0.6666666666666666,,4,-4.571283853272526,4.57677020562539,9.148054058897916,4.047487576830062,9.148054058897916,-4.571283853272526,4.57677020562539,-4.562904155484691,0.6475937941513408,4.565455793330636,9.128359948815326,9.148054058897916,1.0,0,1,1.0,0.0,9.148054058897916,0.0,1.4371105907331945,0.0,0.5555555555555556,0.1111111111111111,0.15927234355291928,1.9200559252935931,1.9207778137610751,0.5,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1.0,
olympiadbench-9,processbench,olympiadbench,olympiadbench,Qwen2-72B-Instruct,,0,final_answer_correct,False,False,False,3.0,0.42857142857142855,,8,-1.9338052604234606,-0.19887234055432623,1.7349329198691343,3.5875279550889982,10.94752588808715,-6.255376965470107,4.692148922617044,1.219020080424794,2.6471982328523636,-4.149652104439866,-5.368672184864661,24.464573356144417,0.0709161322624658,4,2,0.5263157894736842,0.8421052631578947,6.05650462491578,4.891021263171369,2.2767895628646997,3.7189362419763956,1.0,0.6111111111111112,0.7479306409198124,1.6177904760922055,1.5095096977771605,0.55,0.45,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0.6071428571428571,
olympiadbench-10,processbench,olympiadbench,olympiadbench,Qwen2-7B-Instruct,,0,final_answer_correct,False,False,False,1.0,0.16666666666666666,,7,-6.962761324948781,6.384467124761082,13.347228449709863,4.179476108455634,13.347228449709863,-6.962761324948781,6.384467124761082,-3.8450706179845184,0.30188781952149907,4.235168387713468,8.080239005697987,40.56387858078767,0.32904221481501844,4,3,1.0,0.0,13.347228449709863,0.0,4.253762774244395,3.2386436150316964,0.4444444444444444,0.5555555555555556,1.4828816682729205,1.8171012195520693,1.786664682700085,0.45,0.55,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0.7619047619047619,
olympiadbench-11,processbench,olympiadbench,olympiadbench,Qwen2.5-7B-Instruct,,0,final_answer_correct,False,False,False,2.0,0.5,,5,6.405369966836118,0.013432454772387813,-6.3919375120637305,3.5972642371399357,12.375331122078082,-5.969961155241964,6.405369966836118,3.5130860933514576,-4.231285404129457,-1.1327857580949459,-4.645871851446404,18.358724732092433,0.34816892814401984,1,2,0.0,0.5263157894736842,5.983393610014351,6.3919375120637305,0.9038672631055729,1.800739460847216,0.5555555555555556,0.3333333333333333,0.2254743136974183,1.2362170891031043,1.827422575303888,0.35,0.65,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1.0,
olympiadbench-12,processbench,olympiadbench,olympiadbench,Qwen2-72B-Instruct,,0,final_answer_correct,False,False,False,4.0,0.8,,6,10.12046157456386,-10.110910308898804,-20.231371883462664,5.054373361799414,20.231371883462664,-10.110910308898804,10.12046157456386,5.574658671761436,-1.0471829281421756,-5.284233393058358,-10.858892064819795,20.231371883462664,1.0,0,1,0.0,1.0,0.0,20.231371883462664,-0.011325713432938311,2.128250404135043,0.6666666666666666,0.9444444444444444,0.2064619210632634,1.982487922952302,1.9831414306030684,0.4,0.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1.0,
olympiadbench-13,processbench,olympiadbench,olympiadbench,Qwen2.5-72B-Instruct,,0,final_answer_correct,False,False,False,9.0,0.6,,16,2.8721409578632358,0.16066449922033343,-2.7114764586429025,2.5650565320162544,8.695936403510931,-4.192733464394843,4.503202939116087,-0.43569137084124543,-1.2505285508799286,2.0767231919857148,2.5124145628269603,50.71444417133083,0.0534655659338906,8,8,0.7368421052631579,0.42105263157894735,4.353397963615176,4.342538439895754,6.6594614682247695,5.43229861725156,0.7222222222222222,0.7777777777777778,3.6935295028957316,1.0980835191259017,1.0652435341325983,0.5,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,0.20833333333333334,
