id,dataset,run_slug,subject,generator,model,target,target_label,is_correct,final_answer_correct,exit_status,premature_exit_score,premature_exit_flag,rambling_overlong_score,rambling_overlong_flag,thrashing_score,thrashing_flag,no_commitment_score,no_commitment_flag,derailment_late_score,derailment_late_flag,answer_drift_score,answer_drift_flag,answer_meandering_score,answer_meandering_flag,answer_volatility_score,answer_volatility_flag,answer_uncommitted_score,answer_uncommitted_flag,answer_overrange_score,answer_overrange_flag,truncation_abort_score,truncation_abort_flag
gsm8k-0,processbench,gsm8k,gsm8k,Qwen2-7B-Instruct,,0,final_answer_correct,False,False,,-4.0,0.0,4.0,0.0,2.0,0.0,-0.09467700554762377,0.0,0.30538164955118174,0.0,,,,,,,,,,,,
gsm8k-2,processbench,gsm8k,gsm8k,Qwen2-7B-Instruct,,0,final_answer_correct,False,False,,-4.0,0.0,4.0,0.0,2.0,0.0,-0.0,0.0,0.4524892620218477,0.0,,,,,,,,,,,,
gsm8k-4,processbench,gsm8k,gsm8k,Qwen2-7B-Instruct,,0,final_answer_correct,False,False,,-5.0,0.0,5.0,0.0,2.0,0.0,-0.5935434413980126,0.0,1.704748092238425,1.0,,,,,,,,,,,,
gsm8k-16,processbench,gsm8k,gsm8k,Qwen2-7B-Instruct,,0,final_answer_correct,False,False,,-7.0,0.0,7.0,0.0,1.0,0.0,-0.22832221769775063,0.0,0.6986579609109079,0.0,,,,,,,,,,,,
gsm8k-20,processbench,gsm8k,gsm8k,Qwen2-7B-Instruct,,0,final_answer_correct,False,False,,-3.0,0.0,3.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,,,,,,,,,,,
gsm8k-35,processbench,gsm8k,gsm8k,Qwen2-7B-Instruct,,0,final_answer_correct,False,False,,-5.0,0.0,5.0,0.0,2.0,0.0,-0.478825701728979,0.0,0.0,0.0,,,,,,,,,,,,
gsm8k-39,processbench,gsm8k,gsm8k,Qwen2-7B-Instruct,,0,final_answer_correct,False,False,,-5.0,0.0,5.0,0.0,3.0,0.0,-0.6374364035198905,0.0,0.0,0.0,,,,,,,,,,,,
gsm8k-53,processbench,gsm8k,gsm8k,Qwen2-7B-Instruct,,0,final_answer_correct,False,False,,-5.0,0.0,5.0,0.0,2.0,0.0,-0.584103783931191,0.0,0.1773570413622676,0.0,,,,,,,,,,,,
gsm8k-58,processbench,gsm8k,gsm8k,Qwen2-7B-Instruct,,0,final_answer_correct,False,False,,-6.0,0.0,6.0,0.0,2.0,0.0,-0.12317777000874715,0.0,0.03931340998825417,0.0,,,,,,,,,,,,
gsm8k-81,processbench,gsm8k,gsm8k,Qwen2-7B-Instruct,,0,final_answer_correct,False,False,,-7.0,0.0,7.0,0.0,5.0,1.0,-0.19911612625128544,0.0,0.8225975755255713,0.0,,,,,,,,,,,,
gsm8k-85,processbench,gsm8k,gsm8k,Qwen2-7B-Instruct,,0,final_answer_correct,False,False,,-4.0,0.0,4.0,0.0,2.0,0.0,-0.3584905660377359,0.0,0.0,0.0,,,,,,,,,,,,
gsm8k-91,processbench,gsm8k,gsm8k,Qwen2-7B-Instruct,,0,final_answer_correct,False,False,,-3.0,0.0,3.0,0.0,1.0,0.0,-3.270255024949493e-17,0.0,1.1102230246251565e-16,0.0,,,,,,,,,,,,
gsm8k-93,processbench,gsm8k,gsm8k,Qwen2-7B-Instruct,,0,final_answer_correct,False,False,,-12.0,0.0,12.0,1.0,7.0,1.0,-0.0006787306411242754,0.0,0.20037756950552627,0.0,,,,,,,,,,,,
gsm8k-97,processbench,gsm8k,gsm8k,Qwen2-7B-Instruct,,0,final_answer_correct,False,False,,-5.0,0.0,5.0,0.0,3.0,0.0,-0.21719612315014183,0.0,0.8102432044771926,0.0,,,,,,,,,,,,
gsm8k-116,processbench,gsm8k,gsm8k,Qwen2-7B-Instruct,,0,final_answer_correct,False,False,,-6.0,0.0,6.0,0.0,3.0,0.0,-0.2422878239808704,0.0,0.0,0.0,,,,,,,,,,,,
gsm8k-117,processbench,gsm8k,gsm8k,Qwen2-7B-Instruct,,0,final_answer_correct,False,False,,-4.0,0.0,4.0,0.0,2.0,0.0,-0.15149347877002092,0.0,0.7078873280496831,0.0,,,,,,,,,,,,
gsm8k-118,processbench,gsm8k,gsm8k,Qwen2-7B-Instruct,,0,final_answer_correct,False,False,,-4.0,0.0,4.0,0.0,1.0,0.0,-0.21675784284760585,0.0,2.097222808114982,1.0,,,,,,,,,,,,
gsm8k-119,processbench,gsm8k,gsm8k,Qwen2-7B-Instruct,,0,final_answer_correct,False,False,,-6.0,0.0,6.0,0.0,2.0,0.0,-0.27148186247680467,0.0,1.6158688027643904,0.0,,,,,,,,,,,,
gsm8k-137,processbench,gsm8k,gsm8k,Qwen2-7B-Instruct,,0,final_answer_correct,False,False,,-5.0,0.0,5.0,0.0,1.0,0.0,-0.33333333333333326,0.0,0.0,0.0,,,,,,,,,,,,
