id,dataset,run_slug,subject,generator,model,target,target_label,is_correct,final_answer_correct,exit_status,premature_exit_score,premature_exit_flag,rambling_overlong_score,rambling_overlong_flag,thrashing_score,thrashing_flag,no_commitment_score,no_commitment_flag,derailment_late_score,derailment_late_flag,answer_drift_score,answer_drift_flag,answer_meandering_score,answer_meandering_flag,answer_volatility_score,answer_volatility_flag,answer_uncommitted_score,answer_uncommitted_flag,answer_overrange_score,answer_overrange_flag,truncation_abort_score,truncation_abort_flag
gsm8k-3,processbench,gsm8k,gsm8k,Qwen2-1.5B-Instruct,,0,final_answer_correct,False,False,,-4.0,0.0,4.0,0.0,1.0,0.0,-0.4355057790416956,0.0,0.0,0.0,,,,,,,,,,,,
gsm8k-19,processbench,gsm8k,gsm8k,Qwen2-1.5B-Instruct,,0,final_answer_correct,False,False,,-4.0,0.0,4.0,0.0,1.0,0.0,-0.38973201816445024,0.0,1.2527629684953678,1.0,,,,,,,,,,,,
gsm8k-26,processbench,gsm8k,gsm8k,Qwen2-1.5B-Instruct,,0,final_answer_correct,False,False,,-4.0,0.0,4.0,0.0,1.0,0.0,-0.11569751165634419,0.0,0.4418327522790394,0.0,,,,,,,,,,,,
gsm8k-27,processbench,gsm8k,gsm8k,Qwen2-1.5B-Instruct,,0,final_answer_correct,False,False,,-4.0,0.0,4.0,0.0,1.0,0.0,-0.0,1.0,1.4794904704854739,1.0,,,,,,,,,,,,
gsm8k-37,processbench,gsm8k,gsm8k,Qwen2-1.5B-Instruct,,0,final_answer_correct,False,False,,-4.0,0.0,4.0,0.0,2.0,1.0,-0.3584905660377359,0.0,0.0,0.0,,,,,,,,,,,,
gsm8k-44,processbench,gsm8k,gsm8k,Qwen2-1.5B-Instruct,,0,final_answer_correct,False,False,,-3.0,0.0,3.0,0.0,0.0,0.0,-0.9999999999999998,0.0,1.7917594692280545,1.0,,,,,,,,,,,,
gsm8k-54,processbench,gsm8k,gsm8k,Qwen2-1.5B-Instruct,,0,final_answer_correct,False,False,,-7.0,0.0,7.0,1.0,4.0,1.0,-0.018317567837676404,1.0,1.0591135930494362,1.0,,,,,,,,,,,,
gsm8k-55,processbench,gsm8k,gsm8k,Qwen2-1.5B-Instruct,,0,final_answer_correct,False,False,,-4.0,0.0,4.0,0.0,2.0,1.0,-0.6948666649423949,0.0,1.694595720774407,1.0,,,,,,,,,,,,
gsm8k-63,processbench,gsm8k,gsm8k,Qwen2-1.5B-Instruct,,0,final_answer_correct,False,False,,-7.0,0.0,7.0,1.0,1.0,0.0,-0.08684797711202968,0.0,0.27644530545702173,0.0,,,,,,,,,,,,
gsm8k-68,processbench,gsm8k,gsm8k,Qwen2-1.5B-Instruct,,0,final_answer_correct,False,False,,-7.0,0.0,7.0,1.0,2.0,1.0,-0.08267855540814598,0.0,0.5430082674773736,1.0,,,,,,,,,,,,
gsm8k-70,processbench,gsm8k,gsm8k,Qwen2-1.5B-Instruct,,0,final_answer_correct,False,False,,-4.0,0.0,4.0,0.0,1.0,0.0,-0.264213236869347,0.0,1.7876438530600536,1.0,,,,,,,,,,,,
