rel_path,n_items,n_pos,auc_logreg,auc_lightgbm,delta_point,delta_bootstrap_mean,ci_low,ci_high,verdict,in_protocol_set
agenthallu/framework-all,693,250,0.5030338600451467,0.5151693002257336,0.012135440180586876,0.012237811461145404,-0.03922402025560481,0.06511403871703207,inconclusive,True
frontierscience/R1-Distill-32B-cloudjudge_reasoning-auto,147,27,0.5657407407407408,0.5222222222222221,-0.04351851851851862,-0.04102712045653562,-0.13839400416548112,0.05795343014242533,regress,False
frontierscience/deepseek-ai/DeepSeek-R1-Distill-Qwen-32B_reasoning-auto,145,31,0.6097906055461234,0.6471420486700622,0.03735144312393879,0.03848176316810747,-0.0809332678025339,0.15817791407386228,inconclusive,False
frontierscience/deepseek/deepseek-v3.2_reasoning-auto,153,61,0.8367783321454026,0.862615823235923,0.02583749109052036,0.02609285424166579,-0.02487077778422766,0.078115600221688,inconclusive,True
gpqa-diamond/deepseek/deepseek-v3.2_reasoning-auto,192,147,0.6958427815570674,0.6627362055933486,-0.0331065759637188,-0.033732756294269244,-0.11492176015705433,0.05261851832382149,regress,True
processbench/gsm8k,400,200,0.5069375,0.46907499999999996,-0.03786250000000008,-0.03821798871874627,-0.09910177110444378,0.024347572128707414,regress,True
processbench/olympiadbench,400,200,0.4741625,0.5219125,0.047750000000000015,0.047863205789063897,-0.018888202272003874,0.11573923277243593,inconclusive,False
processbench/omnimath,400,200,0.6319125000000001,0.5546625000000001,-0.07725000000000004,-0.07693489830404135,-0.1338103760673278,-0.02136653123760825,regress,False
swe-agent-trajectories/model-all,645,202,0.8583242071385467,0.8627494803656438,0.004425273227097071,0.004437396268900232,0.00026252452019250586,0.008502664129028031,inconclusive,True
swe-agent-trajectories/model-all_steps-50,200,17,0.9132111861137897,0.9132111861137898,1.1102230246251565e-16,3.663735981263017e-18,-1.1102230246251565e-16,1.1102230246251565e-16,inconclusive,False
