id,dataset,run_slug,subject,generator,model,target,target_label,is_correct,final_answer_correct,has_answer_chunks,error_step_index,error_step_position,exit_status,reasoning_n_chunks,reasoning_start,reasoning_end,reasoning_end_minus_start,reasoning_std,reasoning_range,reasoning_min,reasoning_max,reasoning_early_mean,reasoning_mid_mean,reasoning_late_mean,reasoning_late_minus_early,reasoning_total_variation,reasoning_monotonicity,reasoning_direction_changes,reasoning_zero_crossings,reasoning_peak_pos,reasoning_trough_pos,reasoning_rebound_from_trough,reasoning_fall_from_peak,reasoning_max_rise,reasoning_max_drop,reasoning_max_rise_pos,reasoning_max_drop_pos,reasoning_curvature_abs_mean,reasoning_positive_mass,reasoning_negative_mass,reasoning_time_positive,reasoning_time_negative,answer_n_chunks,answer_start,answer_end,answer_end_minus_start,answer_std,answer_range,answer_min,answer_max,answer_early_mean,answer_mid_mean,answer_late_mean,answer_late_minus_early,answer_total_variation,answer_monotonicity,answer_direction_changes,answer_zero_crossings,answer_peak_pos,answer_trough_pos,answer_rebound_from_trough,answer_fall_from_peak,answer_max_rise,answer_max_drop,answer_max_rise_pos,answer_max_drop_pos,answer_curvature_abs_mean,answer_positive_mass,answer_negative_mass,answer_time_positive,answer_time_negative,answer_minus_reasoning_mean,answer_start_minus_reasoning_end,answer_end_minus_reasoning_end,answer_range_minus_reasoning_range,total_n_chunks,reasoning_pair_density,answer_pair_density
omnimath-28,processbench,omnimath,omnimath,Llama-3.1-70B-Instruct,,0,final_answer_correct,False,False,False,13.0,0.5416666666666666,,25,0.5838807888329205,-0.15275150366676116,-0.7366322924996817,0.21788172190989624,1.0363978236695384,-0.4525170348366179,0.5838807888329205,-0.02027829418189813,0.06206897615628975,-0.007046270867758396,0.013232023314139734,4.8515145245765705,0.1518355327533464,10,11,0.0,0.10526315789473684,0.29976553116985677,0.7366322924996817,0.4800404320585668,0.7846116495507247,0.1111111111111111,0.0,0.37773411898729137,0.0874660957664288,0.07495323833571925,0.45,0.55,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,0.07666666666666666,
omnimath-41,processbench,omnimath,omnimath,Llama-3.1-70B-Instruct,,0,final_answer_correct,False,False,False,2.0,0.2,,11,0.7661430853513487,0.34875015327334613,-0.41739293207800254,0.3344247600361566,1.2787046092269825,-0.5125615238756339,0.7661430853513487,0.23296822478157667,-0.18083835409439233,-0.13905630447713227,-0.37202452925870894,2.972517161409657,0.1404173329919691,3,4,0.0,0.5789473684210527,0.86131167714898,0.41739293207800254,0.34033008680265975,0.44760315616052415,1.0,0.0,0.11084461279778307,0.1314238957794854,0.1548953323821106,0.5,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,0.18181818181818182,
omnimath-58,processbench,omnimath,omnimath,Llama-3.1-70B-Instruct,,0,final_answer_correct,False,False,False,2.0,0.3333333333333333,,7,-0.9791646405895814,1.3355568462194234,2.3147214868090047,0.601167420721423,2.3147214868090047,-0.9791646405895814,1.3355568462194234,-0.6171657102896649,0.022798636947102102,0.6309033038768771,1.248069014166542,3.6441854093101154,0.6351821399908428,2,3,1.0,0.0,2.3147214868090047,0.0,0.28440971816400495,0.27007552376220767,0.9444444444444444,0.5555555555555556,0.061564700525881005,0.2321628680549162,0.2509203525617501,0.45,0.55,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0.6190476190476191,
omnimath-62,processbench,omnimath,omnimath,Llama-3.1-70B-Instruct,,0,final_answer_correct,False,False,False,1.0,0.2,,6,-0.8014333386120513,1.6369532955410562,2.4383866341531073,0.6348145902384121,2.4383866341531073,-0.8014333386120513,1.6369532955410562,-0.2414883380853725,-0.08949603899364715,0.19559125676627578,0.43707959485164827,5.091501344279773,0.47891308855149356,2,3,1.0,0.0,2.4383866341531073,0.0,0.6416806931981871,0.32736402127455866,1.0,0.5555555555555556,0.08397985686963802,0.23595542548621334,0.2931225804339875,0.4,0.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0.8666666666666667,
omnimath-78,processbench,omnimath,omnimath,Llama-3.1-70B-Instruct,,0,final_answer_correct,False,False,False,0.0,0.0,,12,0.35779302627387066,-0.015023897940582693,-0.37281692421445334,0.34601000041361546,1.6067463014073957,-0.7774443906469012,0.8293019107604946,0.016078090294814686,0.20200040761566648,-0.2540784858178429,-0.2701565761126576,5.84332514717244,0.0638021870809051,7,5,0.3684210526315789,0.7368421052631579,0.7624204927063185,0.8443258087010773,0.5688151996618023,0.7274005368144416,0.7777777777777778,0.3888888888888889,0.3741167427443877,0.13443796452409015,0.13433403600077462,0.4,0.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0.21212121212121213,
omnimath-84,processbench,omnimath,omnimath,Llama-3.1-70B-Instruct,,0,final_answer_correct,False,False,False,4.0,0.8,,6,1.6099165546076302,-1.0420441798435363,-2.6519607344511664,0.6199748003023219,2.6519607344511664,-1.0420441798435363,1.6099165546076302,0.4956678487943676,-0.2786288893517039,-0.3827268714889532,-0.8783947202833208,5.211849574386303,0.508832938595208,4,5,0.0,1.0,0.0,2.6519607344511664,0.2726557714965202,0.47754515414266774,0.7222222222222222,0.05555555555555555,0.12533693190158515,0.21257351917981496,0.2514279448215686,0.4,0.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0.8,
omnimath-89,processbench,omnimath,omnimath,Llama-3.1-70B-Instruct,,0,final_answer_correct,False,False,False,5.0,0.8333333333333334,,7,-0.059064382499394226,-0.7064261393916608,-0.6473617568922665,0.5266295740715381,1.898995281844173,-0.7812364074764401,1.117758874367733,-0.06624082897657725,-0.0312005588377743,0.247978201904648,0.31421903088122527,4.4453523205806125,0.14562664783512905,2,2,0.6842105263157895,0.47368421052631576,0.07481026808477931,1.8241850137593936,0.6580673833206199,0.4286936012080078,0.5555555555555556,0.9444444444444444,0.1258202747830102,0.21998075962890318,0.17969178479253184,0.35,0.65,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0.47619047619047616,
omnimath-95,processbench,omnimath,omnimath,Llama-3.1-70B-Instruct,,0,final_answer_correct,False,False,False,3.0,0.5,,7,0.20794643646425126,-0.12625565162242225,-0.3342020880866735,0.4719258785408708,1.9655363661845136,-0.8769157465596459,1.0886206196248678,-0.28825487476204575,-0.10850060457674456,0.4485496759230047,0.7368045506850505,5.796096318068737,0.0576598575570307,4,5,0.8421052631578947,0.15789473684210525,0.7506600949372236,1.21487627124729,0.5796222645290294,0.40495875708243034,0.7222222222222222,0.9444444444444444,0.1770000728881046,0.1869330610290263,0.19123257602070148,0.5,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0.38095238095238093,
omnimath-110,processbench,omnimath,omnimath,Llama-3.1-70B-Instruct,,0,final_answer_correct,False,False,False,3.0,0.25,,13,-0.09768506886961545,0.18355398608641846,0.2812390549560339,0.31794509862932774,1.1514735287827342,-0.6482641017971469,0.5032094269855873,-0.23102843925804326,0.2093742071116717,0.05575344380321351,0.28678188306125674,5.720987620409295,0.049159179081725284,9,7,0.6842105263157895,0.10526315789473684,0.8318180878835654,0.31965544089916886,0.5847957174289874,0.6683995966309203,0.3888888888888889,0.8888888888888888,0.4446992369061481,0.1359913759859956,0.1268443240962616,0.55,0.45,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,0.20512820512820512,
omnimath-118,processbench,omnimath,omnimath,Llama-3.1-70B-Instruct,,0,final_answer_correct,False,False,False,2.0,0.6666666666666666,,4,1.4138157767878439,-1.1251580942704322,-2.538973871058276,0.660046117063908,2.538973871058276,-1.1251580942704322,1.4138157767878439,0.6757472735026361,-0.15170349729638796,-0.7379886522921192,-1.4137359257947553,2.538973871058276,1.0,0,1,0.0,1.0,0.0,2.538973871058276,0.0,0.24602283442840278,0.3888888888888889,0.2777777777777778,0.02227170062331831,0.23962760721505122,0.2776088812305001,0.3,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0.8333333333333334,
