id,dataset,run_slug,subject,generator,model,target,target_label,is_correct,final_answer_correct,has_answer_chunks,error_step_index,error_step_position,exit_status,reasoning_n_chunks,reasoning_start,reasoning_end,reasoning_end_minus_start,reasoning_std,reasoning_range,reasoning_min,reasoning_max,reasoning_early_mean,reasoning_mid_mean,reasoning_late_mean,reasoning_late_minus_early,reasoning_total_variation,reasoning_monotonicity,reasoning_direction_changes,reasoning_zero_crossings,reasoning_peak_pos,reasoning_trough_pos,reasoning_rebound_from_trough,reasoning_fall_from_peak,reasoning_max_rise,reasoning_max_drop,reasoning_max_rise_pos,reasoning_max_drop_pos,reasoning_curvature_abs_mean,reasoning_positive_mass,reasoning_negative_mass,reasoning_time_positive,reasoning_time_negative,answer_n_chunks,answer_start,answer_end,answer_end_minus_start,answer_std,answer_range,answer_min,answer_max,answer_early_mean,answer_mid_mean,answer_late_mean,answer_late_minus_early,answer_total_variation,answer_monotonicity,answer_direction_changes,answer_zero_crossings,answer_peak_pos,answer_trough_pos,answer_rebound_from_trough,answer_fall_from_peak,answer_max_rise,answer_max_drop,answer_max_rise_pos,answer_max_drop_pos,answer_curvature_abs_mean,answer_positive_mass,answer_negative_mass,answer_time_positive,answer_time_negative,answer_minus_reasoning_mean,answer_start_minus_reasoning_end,answer_end_minus_reasoning_end,answer_range_minus_reasoning_range,total_n_chunks,reasoning_pair_density,answer_pair_density
omnimath-0,processbench,omnimath,omnimath,Qwen2.5-7B-Instruct,,0,final_answer_correct,False,False,False,2.0,0.4,,6,1.6428534487769442,-0.8332166192105581,-2.4760700679875023,0.756116756655604,2.6222051853340407,-0.9793517365570967,1.6428534487769442,0.6712692806596668,-0.05518496255268103,-0.9034190515522376,-1.5746883322119043,3.6520935372452206,0.6779864871301203,3,1,0.0,0.7894736842105263,0.1461351173465386,2.4760700679875023,0.14729220576077356,0.42134144353791536,0.3333333333333333,0.05555555555555555,0.07290709519056884,0.29599026600201583,0.35138647013024216,0.5,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0.9333333333333333,
omnimath-5,processbench,omnimath,omnimath,Qwen2.5-7B-Instruct,,0,final_answer_correct,False,False,False,1.0,0.0625,,17,-0.04898985366099476,0.28496058481367126,0.333950438474666,0.25230151979311666,0.8385119764388509,-0.4236833031024057,0.41482867333644513,0.09199863007014948,0.00535583973132338,-0.12884055005852108,-0.22083918012867054,3.5736397785851177,0.09344826540040482,6,5,0.05263157894736842,0.7368421052631579,0.708643887916077,0.12986808852277387,0.46381852699743986,0.6245486787520118,0.0,0.2777777777777778,0.23036393597397137,0.10817256380937124,0.11275066439641206,0.55,0.45,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.09558823529411764,
omnimath-13,processbench,omnimath,omnimath,Qwen2.5-7B-Instruct,,0,final_answer_correct,False,False,False,2.0,0.3333333333333333,,7,1.2250837284496057,-0.46545453321616714,-1.6905382616657727,0.5392435287320214,1.8953326743117862,-0.6702489458621805,1.2250837284496057,0.5043652088731433,-0.10568837114547955,-0.5983912572144566,-1.1027564660876,2.1445233296474284,0.7883049059408958,3,1,0.0,0.7894736842105263,0.2047944126460134,1.6905382616657727,0.06467191978295173,0.32942415940215986,1.0,0.1111111111111111,0.05302767206002332,0.2086790077852306,0.2486594917448853,0.55,0.45,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0.42857142857142855,
omnimath-16,processbench,omnimath,omnimath,Qwen2.5-7B-Instruct,,0,final_answer_correct,False,False,False,0.0,0.0,,23,0.021945594867124586,0.021945594867131026,6.439293542825908e-15,0.1411736712045567,0.47365920787912186,-0.28621596711260183,0.18744324076652005,0.07578959347421976,-0.04656895495455666,-0.03724154307370709,-0.11303113654792685,3.653751898063003,1.762378432492811e-15,14,14,0.3157894736842105,0.631578947368421,0.3081615619797329,0.16549764589938903,0.35743052301049183,0.44967049436243656,0.8333333333333334,0.7777777777777778,0.36138171361822385,0.05719426698639459,0.058139506426624646,0.55,0.45,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,0.05533596837944664,
omnimath-19,processbench,omnimath,omnimath,Qwen2.5-7B-Instruct,,0,final_answer_correct,False,False,False,3.0,0.6,,6,1.034941413835089,0.42747352001850747,-0.6074678938165815,0.5983390282398554,2.1730365002660355,-1.1380950864309465,1.034941413835089,-0.18478400301056633,-0.29626657331574613,0.22769244185268434,0.41247644486325064,4.32812304228677,0.14035365628044275,3,2,0.0,0.3684210526315789,1.565568606449454,0.6074678938165815,0.4321651934887083,0.46425995086630834,0.5555555555555556,0.0,0.09018607253496476,0.19857984731531753,0.29863981647372156,0.6,0.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0.4666666666666667,
omnimath-29,processbench,omnimath,omnimath,Qwen2.5-7B-Instruct,,0,final_answer_correct,False,False,False,2.0,0.3333333333333333,,7,0.32709454690012224,0.8215717745134268,0.49447722761330454,0.6484576199176687,1.9785940014412158,-0.834667498587922,1.1439265028532937,0.585382127409768,-0.6598839351029301,-0.11460163162351251,-0.6999837590332806,4.451665230495736,0.11107691212401427,2,2,0.15789473684210525,0.5263157894736842,1.6562392731013489,0.3223547283398669,0.45181456537601894,0.43859734100433934,0.9444444444444444,0.2222222222222222,0.09428526709520026,0.2671195142868184,0.3275756364664789,0.4,0.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0.5238095238095238,
omnimath-30,processbench,omnimath,omnimath,Qwen2.5-7B-Instruct,,0,final_answer_correct,False,False,False,5.0,0.7142857142857143,,8,0.7090986763152107,-0.12376233536010695,-0.8328610116753177,0.5244826951295665,1.656604245833364,-0.860988811312321,0.7956154345210431,0.18307173844022936,-0.581031839052953,0.3737871556934313,0.19071541725320193,4.146069503342045,0.2008796550573908,2,3,0.8421052631578947,0.42105263157894735,0.737226475952214,0.91937776988115,0.29393772687502706,0.36965893910095304,0.7777777777777778,0.9444444444444444,0.07087852030999814,0.2154695508357662,0.2426194393421901,0.5,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0.32142857142857145,
omnimath-36,processbench,omnimath,omnimath,Qwen2.5-7B-Instruct,,0,final_answer_correct,False,False,False,4.0,0.4,,11,0.8232224046387708,-0.5351768817086988,-1.3583992863474696,0.36178279595471025,1.489980804169376,-0.6667583995306053,0.8232224046387708,0.2114004250894475,-0.15971899077881538,-0.08050872760311129,-0.2919091526925588,5.035820896265234,0.2697473389800088,6,7,0.0,0.5789473684210527,0.13158151782190652,1.3583992863474696,0.7060121317955868,0.45941656345566767,0.6666666666666666,0.0,0.2872422434819989,0.14272383633966207,0.14878795261187416,0.45,0.55,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,0.2727272727272727,
omnimath-42,processbench,omnimath,omnimath,Qwen2.5-7B-Instruct,,0,final_answer_correct,False,False,False,2.0,0.5,,5,-0.5469696788513868,-1.2401168594113319,-0.6931471805599451,0.7457310437288419,2.345266838891801,-1.2401168594113319,1.1051499794804693,0.32235458847610754,0.7653606786161877,-0.7203342252989482,-1.0426888137750558,3.997386497223657,0.1734000905445003,1,2,0.47368421052631576,1.0,0.0,2.345266838891801,0.30870254079861614,0.2918514444462932,0.0,0.7222222222222222,0.03810639225756138,0.41996218432751126,0.2553621084348923,0.6,0.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0.8,
omnimath-64,processbench,omnimath,omnimath,Qwen2.5-7B-Instruct,,0,final_answer_correct,False,False,False,2.0,0.4,,6,1.272353616984773,0.8380137003533363,-0.43433991663143656,0.668416658427728,2.4449974085909423,-1.1726437916061692,1.272353616984773,0.31360358686539563,-0.724570326946101,-0.0018506475443600217,-0.3154542344097557,4.617907112062714,0.09405557671285136,3,2,0.0,0.5789473684210527,2.0106574919595053,0.43433991663143656,0.3485604649644859,0.3912989389507472,1.0,0.05555555555555555,0.07877532944603662,0.21049902702005802,0.35489258031161286,0.35,0.65,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0.6666666666666666,
