id,subject,failure_type,true_step_index,step_index,target,n_steps,step_pos,remaining_steps,slod_value,slod_centered,slod_from_start,slod_to_end,delta_prev,delta_next,abs_delta_prev,abs_delta_next,curvature,fall_from_peak,rebound_from_trough,is_peak_so_far,is_trough_so_far,reasoning_range,reasoning_monotonicity,reasoning_total_variation,reasoning_direction_changes,reasoning_curvature_abs_mean,reasoning_n_chunks,reasoning_peak_pos,reasoning_trough_pos,fold,prob_responsible
olympiadbench-0,olympiadbench,unknown,2,0,0,4,0.0,3.0,6.857961290840873,6.8579612908408745,0.0,-6.856797363290031,0.0,-6.859606788864614,0.0,6.859606788864614,-6.859606788864614,0.0,0.0,1.0,1.0,13.354459766581549,0.34539367149854056,19.852122169873063,1,0.12033553014722373,4,0.0,0.6842105263157895,1,0.5937610337599668
olympiadbench-0,olympiadbench,unknown,2,1,0,4,0.3333333333333333,2.0,-0.0016454980237412542,-0.0016454980237394778,-6.859606788864614,0.0028094255745827468,-6.859606788864614,-6.855834222344239,6.859606788864614,6.855834222344239,0.0037725665203751646,6.859606788864614,0.0,0.0,1.0,13.354459766581549,0.34539367149854056,19.852122169873063,1,0.12033553014722373,4,0.0,0.6842105263157895,1,0.7633743795111002
olympiadbench-0,olympiadbench,unknown,2,2,1,4,0.6666666666666666,1.0,-6.85747972036798,-6.857479720367978,-13.715441011208853,6.8586436479188215,-6.855834222344239,6.8586436479188215,6.855834222344239,6.8586436479188215,13.71447787026306,13.715441011208853,0.0,0.0,1.0,13.354459766581549,0.34539367149854056,19.852122169873063,1,0.12033553014722373,4,0.0,0.6842105263157895,1,0.6938522061407799
olympiadbench-0,olympiadbench,unknown,2,3,0,4,1.0,0.0,0.0011639275508414926,0.001163927550843269,-6.856797363290031,0.0,6.8586436479188215,0.0,6.8586436479188215,0.0,-6.8586436479188215,6.856797363290031,6.8586436479188215,0.0,0.0,13.354459766581549,0.34539367149854056,19.852122169873063,1,0.12033553014722373,4,0.0,0.6842105263157895,1,0.47996737540965984
olympiadbench-1,olympiadbench,unknown,3,0,0,5,0.0,4.0,8.53839460395945,8.53839460395945,0.0,-10.664152661782811,0.0,-8.514812473430233,0.0,8.514812473430233,-8.514812473430233,0.0,0.0,1.0,1.0,14.299724564333307,0.49552116094935145,21.521084268836752,2,0.27519912435690397,5,0.0,0.5263157894736842,2,0.4907353652868393
olympiadbench-1,olympiadbench,unknown,3,1,0,5,0.25,3.0,0.023582130529216982,0.023582130529217694,-8.514812473430233,-2.1493401883525785,-8.514812473430233,-6.463104256780728,8.514812473430233,6.463104256780728,2.051708216649505,8.514812473430233,0.0,0.0,1.0,14.299724564333307,0.49552116094935145,21.521084268836752,2,0.27519912435690397,5,0.0,0.5263157894736842,2,0.7353620712243978
olympiadbench-1,olympiadbench,unknown,3,2,0,5,0.5,2.0,-6.439522126251511,-6.43952212625151,-14.97791673021096,4.313764068428149,-6.463104256780728,6.442825575837713,6.463104256780728,6.442825575837713,12.90592983261844,14.97791673021096,0.0,0.0,1.0,14.299724564333307,0.49552116094935145,21.521084268836752,2,0.27519912435690397,5,0.0,0.5263157894736842,2,0.7194960708562388
olympiadbench-1,olympiadbench,unknown,3,3,1,5,0.75,1.0,0.0033034495862018787,0.003303449586202589,-8.535091154373248,-2.1290615074095633,6.442825575837713,-2.1290615074095633,6.442825575837713,2.1290615074095633,-8.571887083247276,8.535091154373248,6.442825575837713,0.0,0.0,14.299724564333307,0.49552116094935145,21.521084268836752,2,0.27519912435690397,5,0.0,0.5263157894736842,2,0.6546480291145373
olympiadbench-1,olympiadbench,unknown,3,4,0,5,1.0,0.0,-2.1257580578233615,-2.1257580578233606,-10.664152661782811,0.0,-2.1290615074095633,0.0,2.1290615074095633,0.0,2.1290615074095633,10.664152661782811,4.313764068428149,0.0,0.0,14.299724564333307,0.49552116094935145,21.521084268836752,2,0.27519912435690397,5,0.0,0.5263157894736842,2,0.5610681811296944
olympiadbench-2,olympiadbench,unknown,7,0,0,8,0.0,7.0,6.986717968783292,6.9867179687832905,0.0,-6.858163622865572,0.0,-6.92739240439078,0.0,6.92739240439078,-6.92739240439078,0.0,0.0,1.0,1.0,13.88984818930976,0.19391237396144215,35.36733361961347,5,1.2284222609068505,8,0.0,0.5789473684210527,1,0.35900165179033056
