feature,mean_importance,std_importance
reasoning_range,173.4783480328988,70.85706877053
reasoning_std,151.22558270768576,43.776369697418
reasoning_min,150.25238257963082,34.320736890965605
reasoning_traj_t11,146.62947051656957,46.8041240227799
reasoning_traj_t09,146.50153652607696,37.59728283681873
reasoning_total_variation,140.56514855296388,46.771144122402944
reasoning_traj_t10,134.897682786938,31.463079708557846
reasoning_curvature_abs_mean,133.07371887978806,22.4702717897075
reasoning_traj_t14,128.68702455335443,30.61699499127607
reasoning_start,122.5564308114117,51.9570294093088
reasoning_mid_mean,122.13336357072694,23.356188840949375
reasoning_positive_mass,120.9834980413149,23.637482022894417
reasoning_negative_mass,120.17626351611617,42.53538033102636
reasoning_monotonicity,116.80191433225654,32.16648869046254
reasoning_max_rise,109.326349453677,22.346306092531492
reasoning_traj_t07,106.6340848257416,41.86991578889339
reasoning_traj_t04,104.85570629308931,39.304153561463224
reasoning_max_drop,97.36801787697641,45.76546983300032
reasoning_traj_t02,88.91996006218251,42.075278206329834
reasoning_traj_t05,87.30603405512156,30.40547651608751
reasoning_max,86.38502164108213,51.581166537045064
reasoning_traj_t01,85.97919161597679,22.340263229499627
reasoning_traj_t06,82.87452938547922,30.964886463266193
reasoning_traj_t16,82.6672437769128,16.412215010866063
reasoning_end,72.99681431194423,24.06020766150917
reasoning_traj_t13,68.62254225613432,24.39909976542132
reasoning_rebound_from_trough,66.86279015984037,15.940785839940423
reasoning_traj_t03,65.143435745631,28.706918730591298
reasoning_traj_t15,64.80051041697075,17.90645377504743
reasoning_fall_from_peak,64.77458548636642,28.56224100536195
reasoning_traj_t08,63.918939472732745,21.19418104066826
reasoning_max_rise_pos,63.03751870826964,26.092220367003844
reasoning_traj_t12,61.85508746918058,10.855967176239993
reasoning_traj_t18,57.776896952302195,19.227909782474224
reasoning_end_minus_start,55.6329893713294,17.33238280903715
reasoning_peak_pos,54.09618217574898,29.600495040589532
reasoning_max_drop_pos,51.416496825683865,22.851478766820417
reasoning_late_minus_early,50.27990946252758,21.891955677826964
reasoning_late_mean,48.264814309220675,18.44595584933893
reasoning_traj_t17,47.68759382553399,16.771134535764226
reasoning_n_chunks,45.05517238350585,25.73382784079388
reasoning_early_mean,42.8770128433127,12.074049487256582
reasoning_trough_pos,35.96847878070548,18.33329244059894
reasoning_time_positive,26.20913551922422,5.1075967137092055
reasoning_time_negative,20.85864009473007,11.19922711179824
reasoning_direction_changes,10.927535674208775,10.609955064645863
reasoning_zero_crossings,5.720822039199993,3.8469031190301943
