id,dataset,run_slug,subject,generator,model,target,target_label,is_correct,final_answer_correct,exit_status,premature_exit_score,premature_exit_flag,rambling_overlong_score,rambling_overlong_flag,thrashing_score,thrashing_flag,no_commitment_score,no_commitment_flag,derailment_late_score,derailment_late_flag,answer_drift_score,answer_drift_flag,answer_meandering_score,answer_meandering_flag,answer_volatility_score,answer_volatility_flag,answer_uncommitted_score,answer_uncommitted_flag,answer_overrange_score,answer_overrange_flag,truncation_abort_score,truncation_abort_flag
recafnH3RRnMBXEb1,gpqa-diamond-freeform,deepseek/deepseek-v3.2_reasoning-auto,Biology,,deepseek/deepseek-v3.2,1,is_correct,True,,,-21.0,0.0,21.0,0.0,11.0,0.0,-0.05913338320545653,0.0,7.121143520975792,0.0,4.765113771558482,0.0,0.0,0.0,-0.2607561076241742,0.0,-1.0,0.0,-6.784924585780743,0.0,,
recxsX66ktJ1Lwt4f,gpqa-diamond-freeform,deepseek/deepseek-v3.2_reasoning-auto,Chemistry,,deepseek/deepseek-v3.2,1,is_correct,True,,,-20.0,0.0,20.0,0.0,15.0,1.0,-0.01479183177801491,0.0,2.942505973976907,0.0,6.512245750446553,0.0,0.0,0.0,0.12046021267631968,0.0,-1.0,0.0,-9.676860075363365,0.0,,
recpki12iG9RUGrz9,gpqa-diamond-freeform,deepseek/deepseek-v3.2_reasoning-auto,Physics,,deepseek/deepseek-v3.2,1,is_correct,True,,,-24.0,0.0,24.0,0.0,11.0,0.0,-0.005082062525855539,0.0,0.34326383952234174,0.0,2.5560305568046466,0.0,1.0,0.0,1.161924774144513,1.0,-0.2585696707533822,0.0,-1.720009354078261,1.0,,
recgC4GJ8wUemlUQD,gpqa-diamond-freeform,deepseek/deepseek-v3.2_reasoning-auto,Physics,,deepseek/deepseek-v3.2,1,is_correct,True,,,-14.0,1.0,14.0,0.0,10.0,0.0,-0.20199405381295935,0.0,11.297318766792976,1.0,14.310337326588652,1.0,0.0,0.0,-0.36572397387588573,0.0,-1.0,0.0,-5.542425090890177,0.0,,
recE2ihVfqEK4R9d0,gpqa-diamond-freeform,deepseek/deepseek-v3.2_reasoning-auto,Physics,,deepseek/deepseek-v3.2,1,is_correct,True,,,-14.0,1.0,14.0,0.0,9.0,0.0,-0.011165497108112498,0.0,8.364768536919161,0.0,3.569001633650636,0.0,1.0,0.0,1.1464166657877035,0.0,-0.06337267812247523,1.0,-4.849629830786508,0.0,,
rec4UqStf9WUVif1f,gpqa-diamond-freeform,deepseek/deepseek-v3.2_reasoning-auto,Physics,,deepseek/deepseek-v3.2,1,is_correct,True,,,-12.0,1.0,12.0,0.0,7.0,0.0,-0.058709659811126726,0.0,12.725424704916527,1.0,10.065971591485727,1.0,0.0,0.0,-0.22321677255999361,0.0,-1.0,0.0,-12.412557385189345,0.0,,
recjgMJaMxz4ESDF2,gpqa-diamond-freeform,deepseek/deepseek-v3.2_reasoning-auto,Chemistry,,deepseek/deepseek-v3.2,1,is_correct,True,,,-24.0,0.0,24.0,0.0,13.0,0.0,-0.04228608952720429,0.0,0.0,0.0,7.1437670548871886,0.0,0.0,0.0,0.12174635623992591,0.0,-1.0,0.0,-7.7906665883243065,0.0,,
recixxJmdux0d8LZQ,gpqa-diamond-freeform,deepseek/deepseek-v3.2_reasoning-auto,Chemistry,,deepseek/deepseek-v3.2,1,is_correct,True,,,-24.0,0.0,24.0,0.0,13.0,0.0,-0.015656497455496292,0.0,0.7014388432922138,0.0,1.229334650011566,0.0,0.0,0.0,-0.26912200192818725,0.0,-1.0,0.0,-8.398047118963415,0.0,,
recDDxpS9s8cwkqfq,gpqa-diamond-freeform,deepseek/deepseek-v3.2_reasoning-auto,Chemistry,,deepseek/deepseek-v3.2,0,is_correct,False,,,-24.0,0.0,24.0,0.0,12.0,0.0,-0.06497333853772122,0.0,6.654071286150009,0.0,6.838451956651241,0.0,0.0,0.0,-0.22693528381937078,0.0,-1.0,0.0,-6.382324979975937,0.0,,
recw4rROcnHKNZhtK,gpqa-diamond-freeform,deepseek/deepseek-v3.2_reasoning-auto,Biology,,deepseek/deepseek-v3.2,1,is_correct,True,,,-24.0,0.0,24.0,0.0,13.0,0.0,-0.00848463976849076,0.0,2.6692044318775783,0.0,2.457226719522925,0.0,0.0,0.0,-0.0027500556010309207,0.0,-1.0,0.0,-5.703059296240287,0.0,,
recINGR1z01Fh1Z3A,gpqa-diamond-freeform,deepseek/deepseek-v3.2_reasoning-auto,Physics,,deepseek/deepseek-v3.2,1,is_correct,True,,,-19.0,0.0,19.0,0.0,10.0,0.0,-0.06153517227736079,0.0,6.833900805699295,0.0,6.106047819870515,0.0,0.0,0.0,-0.22598186252011931,0.0,-1.0,0.0,-6.962735801926097,0.0,,
recJZ3QEfRKjYw9a7,gpqa-diamond-freeform,deepseek/deepseek-v3.2_reasoning-auto,Chemistry,,deepseek/deepseek-v3.2,1,is_correct,True,,,-24.0,0.0,24.0,0.0,10.0,0.0,-0.016971248370684495,0.0,5.030180233689406,0.0,1.9180020737755186,0.0,2.0,0.0,1.138970823228929,0.0,-0.09139145843328063,1.0,1.8008311192664834,1.0,,
rec527dNeEtWJrYNl,gpqa-diamond-freeform,deepseek/deepseek-v3.2_reasoning-auto,Biology,,deepseek/deepseek-v3.2,1,is_correct,True,,,-24.0,0.0,24.0,0.0,13.0,0.0,-0.023745981387586736,0.0,8.90385695485882,0.0,6.72061460374011,0.0,0.0,0.0,-0.11020999728771641,0.0,-1.0,0.0,-8.244006527006405,0.0,,
recyPffUDqC2k7ZZO,gpqa-diamond-freeform,deepseek/deepseek-v3.2_reasoning-auto,Physics,,deepseek/deepseek-v3.2,1,is_correct,True,,,-21.0,0.0,21.0,0.0,13.0,0.0,-0.03612427125615106,0.0,2.5826410477085355,0.0,4.588562125502406,0.0,0.0,0.0,0.27121308845592385,0.0,-1.0,0.0,-7.617011394825006,0.0,,
reckYqR92oJkqJXkE,gpqa-diamond-freeform,deepseek/deepseek-v3.2_reasoning-auto,Physics,,deepseek/deepseek-v3.2,1,is_correct,True,,,-21.0,0.0,21.0,0.0,11.0,0.0,-0.07257227132300381,0.0,11.456033568914787,1.0,9.26708037520995,0.0,0.0,0.0,-0.11090602857043419,0.0,-1.0,0.0,-9.646667158065053,0.0,,
reck1zKeCssmN82Ga,gpqa-diamond-freeform,deepseek/deepseek-v3.2_reasoning-auto,Chemistry,,deepseek/deepseek-v3.2,1,is_correct,True,,,-24.0,0.0,24.0,0.0,15.0,1.0,-0.03021498384506019,0.0,10.419117249307565,1.0,9.564658378042843,1.0,0.0,0.0,-0.384431207626295,0.0,-1.0,0.0,-4.2159118313755215,0.0,,
recWzUUYBN0NuXO2k,gpqa-diamond-freeform,deepseek/deepseek-v3.2_reasoning-auto,Chemistry,,deepseek/deepseek-v3.2,1,is_correct,True,,,-24.0,0.0,24.0,0.0,14.0,1.0,-0.1263753642501196,0.0,9.959035835665631,1.0,9.5746385963965,1.0,1.0,0.0,0.8023719841431531,0.0,-0.17334817219193838,0.0,-4.077722144527776,0.0,,
recb4cGsC6BJUCU3V,gpqa-diamond-freeform,deepseek/deepseek-v3.2_reasoning-auto,Chemistry,,deepseek/deepseek-v3.2,1,is_correct,True,,,-24.0,0.0,24.0,0.0,10.0,0.0,-0.044015225057614175,0.0,3.055481886945597,0.0,1.7825610881514642,0.0,1.0,0.0,0.7990202355632094,0.0,-0.0375871890944237,1.0,-3.925545644826986,0.0,,
recGee5m84dg5FZkc,gpqa-diamond-freeform,deepseek/deepseek-v3.2_reasoning-auto,Chemistry,,deepseek/deepseek-v3.2,1,is_correct,True,,,-24.0,0.0,24.0,0.0,11.0,0.0,-0.04632470884539333,0.0,5.715366582282969,0.0,5.2107343654710405,0.0,0.0,0.0,-0.5157539634197965,0.0,-1.0,0.0,-2.92882698711799,0.0,,
recqFDvYKKRmbnoUb,gpqa-diamond-freeform,deepseek/deepseek-v3.2_reasoning-auto,Physics,,deepseek/deepseek-v3.2,1,is_correct,True,,,-11.0,1.0,11.0,0.0,5.0,0.0,-0.010992541221960634,0.0,5.7305169003190155,0.0,6.805381590826272,0.0,2.0,0.0,1.7640372932742379,1.0,-0.3236593933091567,0.0,2.397518521327381,1.0,,
rec5eA17Qr1ucNLUf,gpqa-diamond-freeform,deepseek/deepseek-v3.2_reasoning-auto,Physics,,deepseek/deepseek-v3.2,1,is_correct,True,,,-24.0,0.0,24.0,0.0,11.0,0.0,-0.10463710286679653,0.0,6.705875627460445,0.0,7.3053294521126375,0.0,1.0,0.0,0.7278482358824179,0.0,-0.1263740555603844,0.0,-5.062984691167301,0.0,,
recJpyGtGIsxulevT,gpqa-diamond-freeform,deepseek/deepseek-v3.2_reasoning-auto,Physics,,deepseek/deepseek-v3.2,1,is_correct,True,,,-23.0,0.0,23.0,0.0,12.0,0.0,-0.06890888860586893,0.0,8.428871772164836,0.0,0.03055254193188972,0.0,0.0,0.0,0.2737994650574107,0.0,-1.0,0.0,-7.293948219094418,0.0,,
recKcjTwONILZqHAX,gpqa-diamond-freeform,deepseek/deepseek-v3.2_reasoning-auto,Physics,,deepseek/deepseek-v3.2,1,is_correct,True,,,-24.0,0.0,24.0,0.0,12.0,0.0,-0.11313840157759093,0.0,8.782076062352463,0.0,7.203428152803333,0.0,0.0,0.0,-0.11931450126438059,0.0,-1.0,0.0,-7.614451975072239,0.0,,
recb2M22zaD3tL6Qc,gpqa-diamond-freeform,deepseek/deepseek-v3.2_reasoning-auto,Chemistry,,deepseek/deepseek-v3.2,1,is_correct,True,,,-24.0,0.0,24.0,0.0,11.0,0.0,-0.006847433843067985,0.0,4.596615896704213,0.0,4.8125068360931,0.0,2.0,0.0,0.7041739185597948,0.0,-0.5040100448780122,0.0,-2.581911031540365,0.0,,
reccVBrYdwsB84fGy,gpqa-diamond-freeform,deepseek/deepseek-v3.2_reasoning-auto,Physics,,deepseek/deepseek-v3.2,0,is_correct,False,,,-24.0,0.0,24.0,0.0,14.0,1.0,-0.10971567769635045,0.0,9.49320347054161,1.0,9.469171693012349,0.0,2.0,0.0,1.7248869140353564,1.0,-0.06792515659441337,1.0,-0.6541379323283252,1.0,,
rec7C06XOB2h298ue,gpqa-diamond-freeform,deepseek/deepseek-v3.2_reasoning-auto,Chemistry,,deepseek/deepseek-v3.2,1,is_correct,True,,,-17.0,0.0,17.0,0.0,9.0,0.0,-0.05718987321693197,0.0,4.021319745531234,0.0,1.8837986189789753,0.0,1.0,0.0,0.3426127725079553,0.0,-0.2721466247742416,0.0,-7.103455754220015,0.0,,
recfTlTMjZBuOducT,gpqa-diamond-freeform,deepseek/deepseek-v3.2_reasoning-auto,Physics,,deepseek/deepseek-v3.2,1,is_correct,True,,,-24.0,0.0,24.0,0.0,11.0,0.0,-0.06446127205384146,0.0,8.483832058522193,0.0,4.299880842993151,0.0,0.0,0.0,0.017614346771637063,0.0,-1.0,0.0,-11.587693541280085,0.0,,
recwW1A85nfyQpReG,gpqa-diamond-freeform,deepseek/deepseek-v3.2_reasoning-auto,Physics,,deepseek/deepseek-v3.2,1,is_correct,True,,,-19.0,0.0,19.0,0.0,10.0,0.0,-0.0038850104093250707,1.0,3.2131008583477314,0.0,4.713309767933314,0.0,1.0,0.0,0.8144685183743756,0.0,-0.13147850866606825,0.0,-1.6334814851129664,1.0,,
recXsuOHRBLcyenF2,gpqa-diamond-freeform,deepseek/deepseek-v3.2_reasoning-auto,Physics,,deepseek/deepseek-v3.2,1,is_correct,True,,,-21.0,0.0,21.0,0.0,12.0,0.0,-0.09961673629613106,0.0,1.9991163918658659,0.0,2.091226010860865,0.0,0.0,0.0,-0.0076758684210247174,0.0,-1.0,0.0,-9.447949164716057,0.0,,
recOkA2zsy4GSMD9R,gpqa-diamond-freeform,deepseek/deepseek-v3.2_reasoning-auto,Chemistry,,deepseek/deepseek-v3.2,1,is_correct,True,,,-24.0,0.0,24.0,0.0,11.0,0.0,-0.0945606258616618,0.0,9.414788236494397,0.0,7.466042019694143,0.0,1.0,0.0,0.01159731882360715,0.0,-0.9606107837752681,0.0,-7.338821828084416,0.0,,
recypVp2NmPlBKVTp,gpqa-diamond-freeform,deepseek/deepseek-v3.2_reasoning-auto,Biology,,deepseek/deepseek-v3.2,1,is_correct,True,,,-23.0,0.0,23.0,0.0,11.0,0.0,-0.04365841615917358,0.0,6.571496384599042,0.0,1.778725964046604,0.0,2.0,0.0,1.4957305090009063,1.0,-0.1086204079852156,1.0,-0.17920961534339597,1.0,,
recNuT2oSnO86bxOx,gpqa-diamond-freeform,deepseek/deepseek-v3.2_reasoning-auto,Chemistry,,deepseek/deepseek-v3.2,1,is_correct,True,,,-24.0,0.0,24.0,0.0,12.0,0.0,-0.07470961689082281,0.0,0.5754128200512185,0.0,1.2270523803926494,0.0,0.0,0.0,-0.27879234128497554,0.0,-1.0,0.0,-5.2386753641665,0.0,,
recqLRu4BcJvlSANc,gpqa-diamond-freeform,deepseek/deepseek-v3.2_reasoning-auto,Chemistry,,deepseek/deepseek-v3.2,1,is_correct,True,,,-22.0,0.0,22.0,0.0,12.0,0.0,-0.08662305247901153,0.0,9.633359079998382,1.0,4.816717423441197,0.0,0.0,0.0,0.15105006655701447,0.0,-1.0,0.0,-7.353670190510069,0.0,,
rec5rjeLsEq5Fg7Oj,gpqa-diamond-freeform,deepseek/deepseek-v3.2_reasoning-auto,Chemistry,,deepseek/deepseek-v3.2,1,is_correct,True,,,-24.0,0.0,24.0,0.0,13.0,0.0,-0.067471121941605,0.0,7.117588797452347,0.0,4.998377038510924,0.0,2.0,0.0,0.3427915760165685,0.0,-0.3764091647118758,0.0,-9.461630921129391,0.0,,
recPL4ZPpVYxgMu57,gpqa-diamond-freeform,deepseek/deepseek-v3.2_reasoning-auto,Physics,,deepseek/deepseek-v3.2,1,is_correct,True,,,-24.0,0.0,24.0,0.0,13.0,0.0,-0.030382540438825358,0.0,8.608263576792993,0.0,9.89327113761545,1.0,1.0,0.0,0.35131912373394414,0.0,-0.5558651262157124,0.0,-2.080126454064665,0.0,,
recoy9ZLBsc7HIRBy,gpqa-diamond-freeform,deepseek/deepseek-v3.2_reasoning-auto,Chemistry,,deepseek/deepseek-v3.2,0,is_correct,False,,,-24.0,0.0,24.0,0.0,13.0,0.0,-0.0002378905929562068,1.0,5.8233629902702875,0.0,,,,,,,,,,,,
recOYsaYs6RmtlTDy,gpqa-diamond-freeform,deepseek/deepseek-v3.2_reasoning-auto,Physics,,deepseek/deepseek-v3.2,1,is_correct,True,,,-24.0,0.0,24.0,0.0,11.0,0.0,-0.029751829038095794,0.0,7.968437592178489,0.0,7.817548299847264,0.0,2.0,0.0,1.4871706393360338,1.0,-0.3283631609952856,0.0,-2.4741290946668677,0.0,,
recOvqPKUtyy9ISA1,gpqa-diamond-freeform,deepseek/deepseek-v3.2_reasoning-auto,Chemistry,,deepseek/deepseek-v3.2,1,is_correct,True,,,-24.0,0.0,24.0,0.0,13.0,0.0,-0.1123943676006985,0.0,0.0,0.0,8.510040091634941,0.0,1.0,0.0,0.7075115759157775,0.0,-0.03703680827751897,1.0,-4.20328191626546,0.0,,
rec7qmSnbud4FHSqL,gpqa-diamond-freeform,deepseek/deepseek-v3.2_reasoning-auto,Physics,,deepseek/deepseek-v3.2,0,is_correct,False,,,-18.0,0.0,18.0,0.0,12.0,0.0,-0.00024256056966406221,1.0,3.8904729781649268,0.0,2.3507121054090305,0.0,0.0,0.0,-0.13036954811372103,0.0,-1.0,0.0,-9.588883610690011,0.0,,
recLB0EkQ54bYVhnd,gpqa-diamond-freeform,deepseek/deepseek-v3.2_reasoning-auto,Physics,,deepseek/deepseek-v3.2,1,is_correct,True,,,-24.0,0.0,24.0,0.0,13.0,0.0,-0.0851974385303252,0.0,9.080035147552707,0.0,9.75817239209384,1.0,1.0,0.0,1.1293009416165551,0.0,-0.10643875918187995,1.0,-1.6886662001348611,1.0,,
