id,dataset,run_slug,subject,generator,model,target,target_label,is_correct,final_answer_correct,exit_status,premature_exit_score,premature_exit_flag,rambling_overlong_score,rambling_overlong_flag,thrashing_score,thrashing_flag,no_commitment_score,no_commitment_flag,derailment_late_score,derailment_late_flag,answer_drift_score,answer_drift_flag,answer_meandering_score,answer_meandering_flag,answer_volatility_score,answer_volatility_flag,answer_uncommitted_score,answer_uncommitted_flag,answer_overrange_score,answer_overrange_flag,truncation_abort_score,truncation_abort_flag
gsm8k-1,processbench,gsm8k,gsm8k,Qwen2.5-Math-7B-Instruct,,0,final_answer_correct,False,False,,-7.0,0.0,7.0,0.0,3.0,0.0,-0.19588306897798288,0.0,0.8594531824630675,0.0,,,,,,,,,,,,
gsm8k-8,processbench,gsm8k,gsm8k,Qwen2.5-Math-7B-Instruct,,0,final_answer_correct,False,False,,-6.0,0.0,6.0,0.0,1.0,0.0,-0.5732617214358267,0.0,1.7769881519077424,1.0,,,,,,,,,,,,
gsm8k-36,processbench,gsm8k,gsm8k,Qwen2.5-Math-7B-Instruct,,0,final_answer_correct,False,False,,-5.0,0.0,5.0,0.0,3.0,0.0,-0.28962442869170046,0.0,1.3322271398496146,0.0,,,,,,,,,,,,
gsm8k-72,processbench,gsm8k,gsm8k,Qwen2.5-Math-7B-Instruct,,0,final_answer_correct,False,False,,-4.0,0.0,4.0,0.0,1.0,0.0,-0.5147113296039328,0.0,1.4863778196768727,0.0,,,,,,,,,,,,
gsm8k-121,processbench,gsm8k,gsm8k,Qwen2.5-Math-7B-Instruct,,0,final_answer_correct,False,False,,-7.0,0.0,7.0,0.0,5.0,1.0,-0.2214074888111526,0.0,1.1490058348028949,0.0,,,,,,,,,,,,
gsm8k-180,processbench,gsm8k,gsm8k,Qwen2.5-Math-7B-Instruct,,0,final_answer_correct,False,False,,-5.0,0.0,5.0,0.0,2.0,0.0,-0.15824790953710124,0.0,0.4571994643009324,0.0,,,,,,,,,,,,
gsm8k-206,processbench,gsm8k,gsm8k,Qwen2.5-Math-7B-Instruct,,1,final_answer_correct,True,True,,-4.0,0.0,4.0,0.0,0.0,0.0,-1.0,0.0,1.791759469228055,1.0,,,,,,,,,,,,
gsm8k-224,processbench,gsm8k,gsm8k,Qwen2.5-Math-7B-Instruct,,1,final_answer_correct,True,True,,-6.0,0.0,6.0,0.0,1.0,0.0,-0.3680312197759485,0.0,1.2780362618009349,0.0,,,,,,,,,,,,
gsm8k-277,processbench,gsm8k,gsm8k,Qwen2.5-Math-7B-Instruct,,1,final_answer_correct,True,True,,-5.0,0.0,5.0,0.0,1.0,0.0,-0.3267125987539031,0.0,1.2163953243244932,0.0,,,,,,,,,,,,
gsm8k-282,processbench,gsm8k,gsm8k,Qwen2.5-Math-7B-Instruct,,1,final_answer_correct,True,True,,-3.0,1.0,3.0,0.0,0.0,0.0,-0.0,1.0,0.0,0.0,,,,,,,,,,,,
