id,fold,subject,true_type,pred_type,correct,prob_Human-Interaction Hallucination,prob_Planning Hallucination,prob_Reasoning Hallucination,prob_Retrieval Hallucination,prob_Tool-Use Hallucination
BFCL/000,1,Tool Use,Tool-Use Hallucination,Tool-Use Hallucination,1,0.0007134799854991119,0.00491598014667947,0.008973258408885142,0.00017407456628252665,0.9852232068926537
BFCL/002,3,Tool Use,Tool-Use Hallucination,Tool-Use Hallucination,1,0.08838702083583719,0.0007672793958161521,0.09407524854747557,0.01519313362910706,0.8015773175917641
BFCL/003,2,Tool Use,Tool-Use Hallucination,Tool-Use Hallucination,1,0.033719830178404415,0.03530195518818706,0.0024802537361723583,0.0018729641681402079,0.9266249967290959
BFCL/004,2,Tool Use,Tool-Use Hallucination,Tool-Use Hallucination,1,0.003988463266545309,0.08621897233099572,0.15172085653498538,0.005439160558023668,0.75263254730945
BFCL/005,2,Tool Use,Tool-Use Hallucination,Tool-Use Hallucination,1,0.0014020673544964154,0.0002474597120869289,0.00021026166991244317,0.0006014599654453405,0.9975387512980588
BFCL/006,1,Tool Use,Tool-Use Hallucination,Tool-Use Hallucination,1,0.01157608824049632,0.0016943642163925153,0.049585977529852464,0.0005250602193999577,0.9366185097938586
BFCL/008,4,Tool Use,Tool-Use Hallucination,Tool-Use Hallucination,1,0.0015098828380629102,0.00034521771155544693,0.0003597929044492429,0.009693553684856113,0.9880915528610763
BFCL/014,2,Tool Use,Tool-Use Hallucination,Tool-Use Hallucination,1,0.0022411239052573424,0.0015072308135264442,0.00014786534654081886,0.0011007938103668434,0.9950029861243086
BFCL/015,0,Tool Use,Tool-Use Hallucination,Tool-Use Hallucination,1,0.10123732365494013,0.007750603370592401,0.012762875512894735,0.046370874500661644,0.831878322960911
BFCL/016,0,Tool Use,Tool-Use Hallucination,Tool-Use Hallucination,1,0.03330770246868625,0.004261865385145868,0.005603814737867657,0.08873339072131559,0.8680932266869847
BFCL/017,0,Tool Use,Tool-Use Hallucination,Tool-Use Hallucination,1,0.0011276056730488437,4.2234160405251475e-05,0.00013225444460581058,0.0027375642324851453,0.9959603414894549
BFCL/021,1,Tool Use,Tool-Use Hallucination,Tool-Use Hallucination,1,0.00016781266237113614,0.0018004996336681252,0.0007475752055567089,0.00034130254701406044,0.99694280995139
BFCL/023,4,Tool Use,Tool-Use Hallucination,Tool-Use Hallucination,1,0.002665138772839093,0.004185051675673117,0.0016744310811137972,0.03120011240800793,0.960275266062366
BFCL/024,4,Tool Use,Tool-Use Hallucination,Tool-Use Hallucination,1,0.013817987185910478,1.3210931297742822e-05,5.718732612551901e-05,0.00014908497792957818,0.9859625295787366
BFCL/025,3,Tool Use,Tool-Use Hallucination,Planning Hallucination,0,0.1372655798668705,0.25506936120597706,0.22852624916944075,0.19323502703091536,0.18590378272679633
BFCL/027,0,Tool Use,Tool-Use Hallucination,Tool-Use Hallucination,1,0.0012943149381728183,0.0018288301485777495,9.014359394992751e-05,0.002896951224533569,0.9938897600947659
BFCL/028,3,Tool Use,Tool-Use Hallucination,Tool-Use Hallucination,1,0.0022266368328928286,0.002874450107873169,0.0005103145619514477,0.0007330336108780112,0.9936555648864045
BFCL/030,1,Tool Use,Tool-Use Hallucination,Tool-Use Hallucination,1,0.00019967093277257673,0.0010357634042838723,0.0005607346995646552,0.0003407047627748189,0.9978631262006041
BFCL/031,0,Tool Use,Tool-Use Hallucination,Reasoning Hallucination,0,0.10797827841907777,0.23123769981683154,0.42979047731526865,0.05845181498169967,0.17254172946712232
BFCL/032,1,Tool Use,Tool-Use Hallucination,Tool-Use Hallucination,1,0.0032627172823305214,0.005028895645667173,0.005185755746191541,0.00018491288322141532,0.9863377184425894
BFCL/034,4,Tool Use,Tool-Use Hallucination,Tool-Use Hallucination,1,0.0015986564405841396,3.848555709889332e-05,0.0026551436287795354,0.00037205268907689694,0.9953356616844605
BFCL/035,2,Tool Use,Tool-Use Hallucination,Tool-Use Hallucination,1,0.003637619801510656,0.0024529962555153674,0.002836618379684965,0.003503166561498661,0.9875695990017903
BFCL/037,1,Tool Use,Tool-Use Hallucination,Tool-Use Hallucination,1,0.0017925657960307943,0.0003865778346273901,6.536824117452295e-05,0.0004793354715911876,0.9972761526565762
BFCL/039,3,Tool Use,Tool-Use Hallucination,Tool-Use Hallucination,1,0.002141081186252206,0.003859248747849062,0.0004622936747477361,0.00013566350676975217,0.9934017128843813
BFCL/040,2,Tool Use,Tool-Use Hallucination,Tool-Use Hallucination,1,0.0014865606319008223,0.006759691341423703,0.006135925154180925,0.0010053088629045465,0.98461251400959
BFCL/041,4,Tool Use,Tool-Use Hallucination,Tool-Use Hallucination,1,0.0030928625214245403,0.004434035228481995,0.0010858312128576469,0.031550272449131334,0.9598369985881046
BFCL/042,0,Tool Use,Tool-Use Hallucination,Tool-Use Hallucination,1,0.00016883389210722372,0.0002566002824071958,0.001934427617493402,0.0006696441655676731,0.9969704940424244
BFCL/043,3,Tool Use,Tool-Use Hallucination,Tool-Use Hallucination,1,0.11490639199721218,0.14218368376910634,0.013475128046293984,0.0010590057435654985,0.7283757904438221
BFCL/044,1,Tool Use,Tool-Use Hallucination,Tool-Use Hallucination,1,0.001484519403689777,0.001303138884795434,0.00037285263339913947,0.0007177689222924328,0.9961217201558233
BFCL/046,0,Tool Use,Tool-Use Hallucination,Tool-Use Hallucination,1,0.0027864444322176648,0.0009456441203379132,0.017085579302944385,0.001672691170228831,0.9775096409742711
