id,fold,subject,true_type,pred_type,correct,prob_Planning Hallucination,prob_Reasoning Hallucination,prob_Retrieval Hallucination
SmolAgents/001,1,Math,Planning Hallucination,Reasoning Hallucination,0,0.014303665201281134,0.921552292606559,0.06414404219215987
SmolAgents/002,0,Science,Reasoning Hallucination,Reasoning Hallucination,1,0.0007353782818596294,0.6304231604723932,0.36884146124574724
SmolAgents/003,3,Math,Planning Hallucination,Retrieval Hallucination,0,0.3340924709394202,0.1988938812187262,0.46701364784185356
SmolAgents/006,3,General Assistant,Retrieval Hallucination,Reasoning Hallucination,0,2.833620313274048e-05,0.5788413425914721,0.421130321205395
SmolAgents/008,4,Math,Reasoning Hallucination,Reasoning Hallucination,1,0.3271825921795169,0.5228008628468328,0.15001654497365033
SmolAgents/009,1,General Assistant,Reasoning Hallucination,Retrieval Hallucination,0,0.4442414601311201,0.039749034925596394,0.5160095049432836
SmolAgents/012,0,General Assistant,Planning Hallucination,Planning Hallucination,1,0.8439701993840215,0.08708898234004821,0.06894081827593025
SmolAgents/014,4,World Knowledge,Planning Hallucination,Retrieval Hallucination,0,0.24312070597337165,0.2260362317851941,0.5308430622414342
SmolAgents/015,3,General Assistant,Retrieval Hallucination,Planning Hallucination,0,0.5624954833526016,0.01878648469804306,0.41871803194935536
SmolAgents/017,0,Science,Retrieval Hallucination,Planning Hallucination,0,0.6843159672100378,0.26309047802902863,0.052593554760933574
SmolAgents/018,3,Math,Reasoning Hallucination,Retrieval Hallucination,0,0.027175678074815825,0.004667521876782357,0.9681568000484018
SmolAgents/020,1,General Assistant,Retrieval Hallucination,Planning Hallucination,0,0.6707814365751356,0.286257622207744,0.04296094121712051
SmolAgents/021,2,Science,Planning Hallucination,Planning Hallucination,1,0.6077423748474224,0.27371488023361695,0.11854274491896054
SmolAgents/022,1,Science,Planning Hallucination,Retrieval Hallucination,0,0.18951661854077992,0.05712471167457254,0.7533586697846475
SmolAgents/023,2,Math,Planning Hallucination,Planning Hallucination,1,0.5010949393944587,0.2839051629525623,0.21499989765297906
SmolAgents/024,4,World Knowledge,Retrieval Hallucination,Retrieval Hallucination,1,3.365253316375447e-05,9.24517176550803e-07,0.9999654229496596
SmolAgents/025,4,General Assistant,Reasoning Hallucination,Planning Hallucination,0,0.6591596141205471,0.3306961719611152,0.010144213918337707
SmolAgents/026,2,Science,Retrieval Hallucination,Reasoning Hallucination,0,0.2903213308217059,0.704080227416109,0.0055984417621851605
