id,dataset,run_slug,subject,generator,model,target,target_label,is_correct,final_answer_correct,exit_status,premature_exit_score,premature_exit_flag,rambling_overlong_score,rambling_overlong_flag,thrashing_score,thrashing_flag,no_commitment_score,no_commitment_flag,derailment_late_score,derailment_late_flag,answer_drift_score,answer_drift_flag,answer_meandering_score,answer_meandering_flag,answer_volatility_score,answer_volatility_flag,answer_uncommitted_score,answer_uncommitted_flag,answer_overrange_score,answer_overrange_flag,truncation_abort_score,truncation_abort_flag
recrs0kUo7Ua1xhKO,gpqa-diamond,deepseek/deepseek-v3.2_reasoning-auto,Physics,,deepseek/deepseek-v3.2,1,is_correct,True,,,-17.0,0.0,17.0,0.0,10.0,0.0,-0.15180850201974816,0.0,11.318734285194292,1.0,9.31274975640978,1.0,0.0,0.0,-0.11027378442095714,0.0,-1.0,0.0,-9.74124931989946,0.0,,
recPSTGXK3P39yNYT,gpqa-diamond,deepseek/deepseek-v3.2_reasoning-auto,Physics,,deepseek/deepseek-v3.2,1,is_correct,True,,,-14.0,0.0,14.0,0.0,7.0,0.0,-0.139263445852451,0.0,11.048032210684855,1.0,7.319629071858088,0.0,0.0,0.0,-0.2676850130002557,0.0,-1.0,0.0,-6.454919774645379,0.0,,
recmkvk6EFAmqyMxR,gpqa-diamond,deepseek/deepseek-v3.2_reasoning-auto,Physics,,deepseek/deepseek-v3.2,1,is_correct,True,,,-13.0,0.0,13.0,0.0,6.0,0.0,-0.09540444640829938,0.0,0.0,0.0,0.005644254468844423,0.0,8.0,1.0,4.488454171202045,1.0,-0.10685666190605861,0.0,-0.3706109741344541,1.0,,
recReg13iV2HwJTaA,gpqa-diamond,deepseek/deepseek-v3.2_reasoning-auto,Physics,,deepseek/deepseek-v3.2,1,is_correct,True,,,-13.0,0.0,13.0,0.0,7.0,0.0,-0.04343984502021061,0.0,11.436276926824817,1.0,5.0545207551814215,0.0,1.0,0.0,0.2979059568669191,0.0,-0.0788171301040787,1.0,-10.981389692249497,0.0,,
recKcjTwONILZqHAX,gpqa-diamond,deepseek/deepseek-v3.2_reasoning-auto,Physics,,deepseek/deepseek-v3.2,1,is_correct,True,,,-35.0,0.0,35.0,0.0,12.0,0.0,-0.09498486576146183,0.0,1.0486694412913748,0.0,4.6618660772752705,0.0,0.0,0.0,0.2622137213972522,0.0,-1.0,0.0,-4.883307750917545,0.0,,
rec7C06XOB2h298ue,gpqa-diamond,deepseek/deepseek-v3.2_reasoning-auto,Chemistry,,deepseek/deepseek-v3.2,1,is_correct,True,,,-5.0,1.0,5.0,0.0,2.0,0.0,-0.014179237516840089,0.0,4.124389711581505,0.0,4.282783103883727,0.0,4.0,1.0,1.8243914409363051,1.0,-0.3047340877459427,0.0,3.693084851037291,1.0,,
recGFKDUd8qgz81Zl,gpqa-diamond,deepseek/deepseek-v3.2_reasoning-auto,Physics,,deepseek/deepseek-v3.2,1,is_correct,True,,,-8.0,1.0,8.0,0.0,3.0,0.0,-0.18561580535389915,0.0,10.361478338463552,1.0,13.07746700330664,1.0,0.0,0.0,-0.47351213242524537,0.0,-1.0,0.0,-1.8247875944550707,0.0,,
reczjcMtrB1YGS2fO,gpqa-diamond,deepseek/deepseek-v3.2_reasoning-auto,Physics,,deepseek/deepseek-v3.2,1,is_correct,True,,,-29.0,0.0,29.0,0.0,12.0,0.0,-0.0591092228247827,0.0,7.365816166988603,0.0,5.024003977337173,0.0,0.0,0.0,-0.12157803694981806,0.0,-1.0,0.0,-8.193367964083357,0.0,,
recmI7EiLv72PxmYK,gpqa-diamond,deepseek/deepseek-v3.2_reasoning-auto,Physics,,deepseek/deepseek-v3.2,1,is_correct,True,,,-15.0,0.0,15.0,0.0,9.0,0.0,-0.11105777984734941,0.0,8.8385767242475,0.0,6.835740201055607,0.0,2.0,0.0,1.153309923100367,0.0,-0.26239226193464205,0.0,-4.357114785654236,0.0,,
recPzW1WqRnPs57D6,gpqa-diamond,deepseek/deepseek-v3.2_reasoning-auto,Physics,,deepseek/deepseek-v3.2,1,is_correct,True,,,-22.0,0.0,22.0,0.0,14.0,0.0,-0.07609564471758157,0.0,2.4977288229057484,0.0,0.5905766943075008,0.0,0.0,0.0,-0.13623625795275185,0.0,-1.0,0.0,-7.513064745126847,0.0,,
