id,fold,subject,failure_type,true_step_index,predicted_step_index,predicted_step_probability,n_steps,correct
GPT-4o_001_memory_b000_t00_e00-7743eba0,0,gaia,planning,4,1,0.9412446010825178,30,0
GPT-4o_002_memory_b000_t00_e01-7ab08a46,1,gaia,action,2,1,0.9436263013707444,30,0
GPT-4o_003_memory_b000_t00_e03-21a3a421,1,gaia,planning,0,0,0.9020623746259239,1,1
GPT-4o_004_memory_b000_t00_e04-5e8c1dcf,2,gaia,planning,0,0,0.9361958707692366,1,1
GPT-4o_005_memory_b000_t00_e05-c9015705,2,gaia,planning,0,2,0.8943354525457657,5,0
GPT-4o_006_memory_b000_t00_e06-71f77595,1,gaia,memory,2,3,0.8258011883401671,22,0
GPT-4o_007_memory_b000_t00_e08-f572f2ad,4,gaia,memory,1,0,0.9313945379265359,4,0
GPT-4o_008_memory_b000_t00_e09-f0557a9f,2,gaia,planning,4,5,0.8039599965695657,30,0
GPT-4o_009_memory_b001_t00_e01-7ab08a46,4,gaia,planning,7,2,0.732097037510955,17,0
GPT-4o_010_memory_b001_t00_e02-8d639e26,3,gaia,planning,3,2,0.9388054643339451,30,0
GPT-4o_011_memory_b001_t00_e03-21a3a421,0,gaia,memory,2,3,0.9462768923390127,12,0
GPT-4o_012_memory_b001_t00_e04-5e8c1dcf,3,gaia,action,4,2,0.8123021081649476,30,0
GPT-4o_013_memory_b001_t00_e05-c9015705,4,gaia,action,4,2,0.858650611267744,6,0
GPT-4o_014_memory_b001_t00_e06-71f77595,4,gaia,planning,6,1,0.8916622560796629,30,0
GPT-4o_015_memory_b001_t00_e07-f5b5d66a,2,gaia,reflection,3,1,0.9250778302846242,13,0
GPT-4o_016_memory_b001_t00_e08-f572f2ad,2,gaia,planning,1,1,0.7246477897525361,30,1
Llama3.3-70B-Turbo_001_memory_b000_t00_e00-7743eba0,4,gaia,planning,5,1,0.7067441204589877,30,0
Llama3.3-70B-Turbo_002_memory_b000_t00_e01-7ab08a46,1,gaia,planning,9,2,0.789380353104975,30,0
Llama3.3-70B-Turbo_003_memory_b000_t00_e02-8d639e26,2,gaia,action,1,2,0.6874609303323919,30,0
Llama3.3-70B-Turbo_004_memory_b000_t00_e03-21a3a421,0,gaia,planning,0,0,0.9364331356134965,1,1
Llama3.3-70B-Turbo_005_memory_b000_t00_e04-5e8c1dcf,1,gaia,system,0,2,0.9548637095755852,30,0
Llama3.3-70B-Turbo_006_memory_b000_t00_e05-c9015705,0,gaia,reflection,5,1,0.7654658290791566,30,0
Llama3.3-70B-Turbo_007_memory_b000_t00_e08-f572f2ad,3,gaia,action,0,0,0.7368605178799856,13,1
Llama3.3-70B-Turbo_008_memory_b000_t00_e09-f0557a9f,3,gaia,planning,6,1,0.6648236480597763,19,0
Llama3.3-70B-Turbo_009_memory_b001_t00_e00-7743eba0,4,gaia,memory,3,0,0.7985749399330448,30,0
Llama3.3-70B-Turbo_010_memory_b001_t00_e01-7ab08a46,3,gaia,memory,1,5,0.8395092173464462,8,0
Llama3.3-70B-Turbo_011_memory_b001_t00_e02-8d639e26,3,gaia,planning,2,3,0.8766975125758416,30,0
Llama3.3-70B-Turbo_012_memory_b001_t00_e03-21a3a421,3,gaia,reflection,3,2,0.9542708624617541,5,0
Llama3.3-70B-Turbo_013_memory_b001_t00_e04-5e8c1dcf,4,gaia,reflection,1,0,0.9036595370619386,2,0
Llama3.3-70B-Turbo_014_memory_b001_t00_e05-c9015705,0,gaia,system,3,4,0.8330399145164006,30,0
Llama3.3-70B-Turbo_015_memory_b001_t00_e06-71f77595,3,gaia,action,0,2,0.8488568547853336,4,0
Llama3.3-70B-Turbo_016_memory_b001_t00_e07-f5b5d66a,4,gaia,planning,7,3,0.7719694582974097,17,0
Llama3.3-70B-Turbo_017_memory_b001_t00_e08-f572f2ad,0,gaia,planning,1,1,0.9379004485515741,30,1
Qwen3-8B_001_memory_b000_t00_e00-7743eba0,1,gaia,planning,1,2,0.8806021394923074,12,0
Qwen3-8B_002_memory_b000_t00_e01-7ab08a46,0,gaia,planning,3,2,0.964229625064544,4,0
Qwen3-8B_003_memory_b000_t00_e02-8d639e26,4,gaia,planning,1,0,0.9475744412427372,5,0
Qwen3-8B_004_memory_b000_t00_e04-5e8c1dcf,1,gaia,planning,0,0,0.9008085941769236,1,1
Qwen3-8B_005_memory_b000_t00_e05-c9015705,3,gaia,planning,2,1,0.865435396653895,3,0
Qwen3-8B_006_memory_b000_t00_e06-71f77595,4,gaia,system,0,0,0.9541203539999039,1,1
Qwen3-8B_007_memory_b000_t00_e07-f5b5d66a,2,gaia,planning,1,1,0.9060502418096921,3,1
Qwen3-8B_008_memory_b000_t00_e08-f572f2ad,2,gaia,reflection,1,1,0.825857653720553,4,1
Qwen3-8B_009_memory_b000_t00_e09-f0557a9f,2,gaia,planning,3,1,0.882039232171512,6,0
Qwen3-8B_010_memory_b001_t00_e00-7743eba0,1,gaia,planning,0,0,0.8741658041875845,1,1
Qwen3-8B_011_memory_b001_t00_e01-7ab08a46,2,gaia,system,4,2,0.7896018561469073,21,0
Qwen3-8B_012_memory_b001_t00_e02-8d639e26,1,gaia,planning,1,5,0.9327087841797982,7,0
Qwen3-8B_013_memory_b001_t00_e03-21a3a421,1,gaia,reflection,3,1,0.9931204080174274,4,0
Qwen3-8B_014_memory_b001_t00_e04-5e8c1dcf,0,gaia,reflection,3,1,0.941089866893765,4,0
Qwen3-8B_015_memory_b001_t00_e05-c9015705,0,gaia,reflection,1,0,0.9941518336526515,2,0
Qwen3-8B_017_memory_b001_t00_e07-f5b5d66a,1,gaia,planning,1,0,0.8558197439648652,5,0
