feature,mean_importance,std_importance
answer_n_chunks,0.9794725113256314,0.04444222852545277
answer_traj_t06,0.4094120153121651,0.13393174058746848
answer_max_rise,0.39151276144265834,0.13981155044969523
answer_max_rise_pos,0.3462791413480911,0.2052731077206865
answer_positive_mass,0.3456940023536628,0.21290661532244815
answer_traj_t12,0.29344688077447356,0.0976664180642788
answer_curvature_abs_mean,0.2809623979109396,0.2137476166694003
answer_direction_changes,0.27480971172057583,0.14710744450509486
answer_traj_t15,0.2683366863659975,0.1364587243577368
answer_negative_mass,0.26822655180114624,0.14035220189212655
answer_traj_t16,0.2476287968415843,0.16962187813964724
answer_total_variation,0.24340935491233173,0.22678807942146514
answer_traj_t09,0.2382757788100033,0.1266499465946789
answer_traj_t17,0.2365182942421093,0.12883225283890667
answer_max,0.22497372343891459,0.05319482843665665
answer_zero_crossings,0.21383753337858868,0.11633657294152479
answer_max_drop_pos,0.20851622458736943,0.16123738191069553
answer_traj_t02,0.20616086411266182,0.11772771026880544
answer_traj_t01,0.19783716646622596,0.09131099322155856
answer_std,0.19620069780019186,0.10631076763501228
answer_start,0.19431248945193405,0.1321364653372452
answer_end,0.19297621298920084,0.06507913083983793
answer_traj_t03,0.18128085394173804,0.1748999908828262
answer_min,0.17984541200641888,0.10773867558720705
answer_traj_t05,0.17244700444702704,0.11882141978742217
answer_peak_pos,0.15797627795603905,0.036057125916596315
answer_max_drop,0.15270976352182497,0.0697258312301261
answer_trough_pos,0.14029030219855582,0.08733793838493457
answer_traj_t07,0.13884052721102688,0.0963484415443022
answer_end_minus_start,0.13511740584414797,0.0973763757266698
answer_traj_t04,0.13256074248518482,0.11298038815606791
answer_traj_t18,0.1251623172155111,0.08207609989210005
answer_time_negative,0.12347743603568961,0.0769498413205059
answer_time_positive,0.12347743603568957,0.07694984132050571
answer_monotonicity,0.11988209958413285,0.1328539960684446
answer_range,0.10913448323691785,0.10365500368378497
answer_traj_t13,0.10070024881429906,0.07271007314271519
answer_fall_from_peak,0.0951890228910618,0.061170537902407625
answer_rebound_from_trough,0.09499651219811664,0.05249924102643774
answer_early_mean,0.08989564936238639,0.07750094439033124
answer_traj_t11,0.08505871765695214,0.06977107172761814
answer_traj_t14,0.08452899569886932,0.05373307420728515
answer_traj_t10,0.08313318446152007,0.033949139285564395
answer_traj_t08,0.06530977789862161,0.08922349127729486
answer_mid_mean,0.06051865121882742,0.03168403650860824
answer_late_mean,0.05549868241921394,0.04777613427176118
answer_late_minus_early,0.036362310262108934,0.031514317230390713
