id,row_index,fold,target,prob_hallucination,pred_hallucination,subject,hallucination_category
BFCL/000,0,3,1,0.39011543986706965,0,Tool Use,Unknown Type
BFCL/001,1,4,0,0.5262251570355254,1,Tool Use,Unknown Type
BFCL/002,2,1,1,0.392108031481638,0,Tool Use,Unknown Type
BFCL/003,3,0,1,0.4473562076158973,0,Tool Use,Unknown Type
BFCL/004,4,4,1,0.34186367123896005,0,Tool Use,Unknown Type
BFCL/005,5,0,1,0.6597955569493511,1,Tool Use,Unknown Type
BFCL/006,6,3,1,0.5954949119059231,1,Tool Use,Unknown Type
BFCL/007,7,0,0,0.5076030299231237,1,Tool Use,Unknown Type
BFCL/008,8,4,1,0.5978368279826659,1,Tool Use,Unknown Type
BFCL/009,9,2,0,0.5686651060018054,1,Tool Use,Unknown Type
BFCL/010,10,1,0,0.3664685392408903,0,Tool Use,Unknown Type
BFCL/011,11,4,0,0.5764429378653705,1,Tool Use,Unknown Type
BFCL/012,12,1,0,0.5592154563088406,1,Tool Use,Unknown Type
BFCL/013,13,4,0,0.43042480115400295,0,Tool Use,Unknown Type
BFCL/014,14,2,1,0.5509929360823399,1,Tool Use,Unknown Type
BFCL/015,15,1,1,0.45944965696646667,0,Tool Use,Unknown Type
BFCL/016,16,4,1,0.5809930221133044,1,Tool Use,Unknown Type
BFCL/017,17,4,1,0.8584519013546438,1,Tool Use,Unknown Type
BFCL/018,18,4,0,0.3879972090447582,0,Tool Use,Unknown Type
BFCL/019,19,2,0,0.5328774048920433,1,Tool Use,Unknown Type
BFCL/020,20,2,0,0.5550643507335778,1,Tool Use,Unknown Type
BFCL/021,21,0,1,0.36043728393917107,0,Tool Use,Unknown Type
BFCL/022,22,2,0,0.35034506599989085,0,Tool Use,Unknown Type
BFCL/023,23,4,1,0.527813142276424,1,Tool Use,Unknown Type
BFCL/024,24,4,1,0.5857580141184416,1,Tool Use,Unknown Type
BFCL/025,25,4,1,0.4567690012620862,0,Tool Use,Unknown Type
BFCL/026,26,2,0,0.5250515613339455,1,Tool Use,Unknown Type
BFCL/027,27,4,1,0.571779590224307,1,Tool Use,Unknown Type
BFCL/028,28,4,1,0.5425335887682637,1,Tool Use,Unknown Type
