id,fold,subject,failure_type,true_step_index,predicted_step_index,predicted_step_probability,n_steps,correct
GPT-4o_001_chat_b000_t00_e00-d3248f80,3,webshop,plan,28,1,0.8213670657837303,30,0
GPT-4o_002_chat_b000_t00_e01-5b8f974f,0,webshop,reflection,1,0,0.787110575900015,30,0
GPT-4o_003_chat_b000_t00_e02-1e119842,4,webshop,system,0,1,0.7869264257804187,30,0
GPT-4o_004_chat_b000_t00_e03-21a3a421,4,webshop,reflection,1,7,0.4393934640111969,21,0
GPT-4o_005_chat_b000_t00_e04-7e3c13ba,2,webshop,plan,5,0,0.8513791055146968,30,0
GPT-4o_006_chat_b000_t00_e05-996588dc,1,webshop,plan,8,4,0.7010224780852754,30,0
GPT-4o_007_chat_b000_t00_e06-a15c0dc2,4,webshop,reflection,10,0,0.741579837418014,30,0
GPT-4o_008_chat_b000_t00_e07-d50ae81f,0,webshop,plan,12,9,0.8530488175705452,30,0
GPT-4o_009_chat_b000_t00_e08-6a7bac22,2,webshop,plan,4,0,0.8938954221314465,30,0
GPT-4o_010_chat_b000_t00_e09-f0557a9f,0,webshop,memory,1,5,0.5696735150426401,20,0
GPT-4o_011_chat_b000_t00_e10-69d80a84,3,webshop,plan,20,3,0.7762409431952512,30,0
GPT-4o_012_chat_b000_t00_e11-1cc61441,1,webshop,plan,12,3,0.7798007760682318,30,0
GPT-4o_013_chat_b000_t00_e12-f27d2887,0,webshop,memory,1,0,0.7643374407243593,30,0
GPT-4o_014_chat_b000_t00_e13-c39f2c41,4,webshop,memory,1,1,0.7717702250424853,30,1
GPT-4o_015_chat_b000_t00_e14-1d03d2d8,4,webshop,memory,1,1,0.676461783806917,25,1
Llama3.3-70B-Turbo_004_webshop_task_004,3,webshop,memory,1,0,0.8174374330001545,30,0
Llama3.3-70B-Turbo_005_webshop_task_005,3,webshop,system,0,0,0.878519006171499,30,1
Llama3.3-70B-Turbo_006_webshop_task_006,2,webshop,memory,5,1,0.879295189288494,30,0
Llama3.3-70B-Turbo_007_webshop_task_007,1,webshop,memory,20,3,0.8855350148528305,30,0
Llama3.3-70B-Turbo_008_webshop_task_008,0,webshop,memory,1,2,0.8426376887666881,30,0
Llama3.3-70B-Turbo_009_webshop_task_009,4,webshop,action,8,2,0.7747362504282189,30,0
Llama3.3-70B-Turbo_010_webshop_task_010,3,webshop,memory,3,2,0.899881821470967,30,0
Llama3.3-70B-Turbo_011_webshop_task_011,2,webshop,plan,3,1,0.8475870232054573,30,0
Llama3.3-70B-Turbo_012_webshop_task_012,1,webshop,system,0,0,0.7343929746740573,30,1
Llama3.3-70B-Turbo_013_webshop_task_013,0,webshop,system,0,2,0.8140104282707229,30,0
Llama3.3-70B-Turbo_014_webshop_task_014,1,webshop,memory,1,4,0.8295466203242462,30,0
Llama3.3-70B-Turbo_015_webshop_task_015,2,webshop,reflection,5,3,0.745218357762667,30,0
Llama3.3-70B-Turbo_016_webshop_task_016,3,webshop,memory,3,0,0.756908505706474,30,0
Llama3.3-70B-Turbo_017_webshop_task_017,4,webshop,memory,5,2,0.7193605255408515,30,0
Llama3.3-70B-Turbo_018_webshop_task_018,0,webshop,plan,5,1,0.8216249310868484,30,0
Llama3.3-70B-Turbo_019_webshop_task_019,1,webshop,plan,6,1,0.7862089198992288,30,0
Llama3.3-70B-Turbo_020_webshop_task_020,2,webshop,memory,3,0,0.8537951781896788,30,0
Qwen3-8B_001_chat_b000_t00_e00-d3248f80,2,webshop,plan,7,1,0.8342728166112913,30,0
Qwen3-8B_002_chat_b000_t00_e01-7ab08a46,1,webshop,reflection,4,4,0.9802321738285232,5,1
Qwen3-8B_003_chat_b000_t00_e02-1e119842,3,webshop,plan,6,1,0.8212223711536497,30,0
Qwen3-8B_004_chat_b000_t00_e03-d2034edc,0,webshop,plan,14,2,0.8365083723626466,30,0
Qwen3-8B_005_chat_b000_t00_e04-7e3c13ba,1,webshop,system,0,2,0.9086098822030393,30,0
Qwen3-8B_006_chat_b000_t00_e05-996588dc,2,webshop,plan,6,1,0.9141441714280433,30,0
Qwen3-8B_007_chat_b000_t00_e07-d50ae81f,3,webshop,plan,7,2,0.8560532640036151,30,0
Qwen3-8B_008_chat_b000_t00_e08-6a7bac22,4,webshop,plan,6,1,0.8232768426624684,30,0
Qwen3-8B_009_chat_b000_t00_e09-f0557a9f,1,webshop,reflection,12,5,0.8376817813869372,13,0
Qwen3-8B_010_chat_b000_t00_e10-69d80a84,0,webshop,plan,3,1,0.8267306877850551,30,0
Qwen3-8B_011_chat_b000_t00_e11-1cc61441,1,webshop,plan,11,6,0.836656390529431,30,0
Qwen3-8B_012_chat_b000_t00_e12-f27d2887,4,webshop,plan,11,0,0.7543605001716374,30,0
Qwen3-8B_013_chat_b000_t00_e13-eb20423f,2,webshop,reflection,5,8,0.8887289853874883,9,0
Qwen3-8B_014_chat_b000_t00_e14-1d03d2d8,3,webshop,reflection,3,3,0.9428072674783474,4,1
Qwen3-8B_015_chat_b000_t00_e15-75a3b882,3,webshop,action,6,6,0.8708316431912062,7,1
Qwen3-8B_016_chat_b000_t00_e16-3c6f739f,4,webshop,reflection,3,3,0.9855498140386187,4,1
Qwen3-8B_017_chat_b000_t00_e17-fbe4c42d,2,webshop,memory,8,8,0.7893381771136461,9,1
Qwen3-8B_018_chat_b000_t00_e18-5d01dff2,3,webshop,memory,8,7,0.8066042746745277,9,0
