id,fold,subject,failure_type,true_step_index,predicted_step_index,predicted_step_probability,n_steps,correct
OpenManus/002,3,General Assistant,Retrieval Hallucination,4,5,0.5030618257558788,7,0
OpenManus/003,3,Science,Reasoning Hallucination,0,0,0.8326972570905277,5,1
OpenManus/004,2,Math,Reasoning Hallucination,4,3,0.7622775020571358,6,0
OpenManus/005,0,World Knowledge,Retrieval Hallucination,2,0,0.8350653477655766,5,0
OpenManus/006,1,General Assistant,Reasoning Hallucination,2,1,0.7674831189990119,7,0
OpenManus/007,3,World Knowledge,Retrieval Hallucination,1,0,0.8098350905559033,3,0
OpenManus/009,0,World Knowledge,Retrieval Hallucination,2,0,0.888086735125511,4,0
OpenManus/010,2,Math,Reasoning Hallucination,0,0,0.5950322304152409,8,1
OpenManus/011,1,Science,Human-Interaction Hallucination,1,0,0.8586002316790209,4,0
OpenManus/013,0,Science,Reasoning Hallucination,0,0,0.8573433167696258,6,1
OpenManus/014,4,World Knowledge,Human-Interaction Hallucination,12,1,0.614671118421463,13,0
OpenManus/015,3,World Knowledge,Retrieval Hallucination,1,0,0.7031179843966306,6,0
OpenManus/017,3,Math,Reasoning Hallucination,2,0,0.4838969632938035,9,0
OpenManus/018,1,Math,Human-Interaction Hallucination,7,1,0.5857456110377959,9,0
OpenManus/019,1,Math,Reasoning Hallucination,0,0,0.7789641333726626,5,1
OpenManus/020,0,Math,Reasoning Hallucination,0,0,0.7125697445177858,7,1
OpenManus/021,4,Math,Reasoning Hallucination,0,0,0.806453259341854,6,1
OpenManus/022,1,Math,Reasoning Hallucination,5,0,0.6807057665875922,7,0
OpenManus/023,4,Math,Reasoning Hallucination,0,0,0.8870712602459522,5,1
OpenManus/025,2,World Knowledge,Retrieval Hallucination,2,0,0.8859937930782698,4,0
OpenManus/026,3,World Knowledge,Human-Interaction Hallucination,2,0,0.8441491190942917,4,0
OpenManus/027,2,World Knowledge,Human-Interaction Hallucination,1,0,0.903813119517287,3,0
OpenManus/029,3,World Knowledge,Retrieval Hallucination,4,5,0.7069900795134985,7,0
OpenManus/030,0,World Knowledge,Human-Interaction Hallucination,3,0,0.6849553169927678,5,0
OpenManus/031,0,World Knowledge,Human-Interaction Hallucination,7,6,0.615172465147733,9,0
OpenManus/032,3,World Knowledge,Retrieval Hallucination,2,1,0.684323086820382,5,0
OpenManus/033,4,World Knowledge,Retrieval Hallucination,2,2,0.7148612130634676,4,1
OpenManus/036,3,Science,Reasoning Hallucination,0,13,0.604254163022087,14,0
OpenManus/038,2,Science,Reasoning Hallucination,2,2,0.7340395572122687,5,1
OpenManus/039,1,Science,Reasoning Hallucination,0,0,0.8254254410624221,4,1
OpenManus/040,0,Science,Reasoning Hallucination,0,0,0.8337070564262701,4,1
OpenManus/041,4,Science,Reasoning Hallucination,0,0,0.9521225037440955,4,1
OpenManus/043,0,Science,Reasoning Hallucination,3,0,0.8149032279610299,5,0
