id,dataset,run_slug,subject,generator,model,target,target_label,is_correct,final_answer_correct,exit_status,premature_exit_score,premature_exit_flag,rambling_overlong_score,rambling_overlong_flag,thrashing_score,thrashing_flag,no_commitment_score,no_commitment_flag,derailment_late_score,derailment_late_flag,answer_drift_score,answer_drift_flag,answer_meandering_score,answer_meandering_flag,answer_volatility_score,answer_volatility_flag,answer_uncommitted_score,answer_uncommitted_flag,answer_overrange_score,answer_overrange_flag,truncation_abort_score,truncation_abort_flag
gsm8k-10,processbench,gsm8k,gsm8k,Qwen2.5-1.5B-Instruct,,0,final_answer_correct,False,False,,-5.0,0.0,5.0,0.0,2.0,0.0,-0.20408244357632427,1.0,0.21409190600778194,0.0,,,,,,,,,,,,
gsm8k-12,processbench,gsm8k,gsm8k,Qwen2.5-1.5B-Instruct,,0,final_answer_correct,False,False,,-7.0,0.0,7.0,1.0,1.0,0.0,-0.22662915298239558,1.0,0.8216344801376938,0.0,,,,,,,,,,,,
gsm8k-13,processbench,gsm8k,gsm8k,Qwen2.5-1.5B-Instruct,,0,final_answer_correct,False,False,,-4.0,0.0,4.0,0.0,0.0,0.0,-1.0,0.0,1.5869650565820417,0.0,,,,,,,,,,,,
gsm8k-14,processbench,gsm8k,gsm8k,Qwen2.5-1.5B-Instruct,,0,final_answer_correct,False,False,,-7.0,0.0,7.0,1.0,3.0,1.0,-4.7153571814877617e-17,1.0,0.9237339561827675,0.0,,,,,,,,,,,,
gsm8k-23,processbench,gsm8k,gsm8k,Qwen2.5-1.5B-Instruct,,0,final_answer_correct,False,False,,-6.0,0.0,6.0,1.0,3.0,1.0,-0.032019684786498415,1.0,1.2756705771623786,0.0,,,,,,,,,,,,
gsm8k-43,processbench,gsm8k,gsm8k,Qwen2.5-1.5B-Instruct,,0,final_answer_correct,False,False,,-5.0,0.0,5.0,0.0,1.0,0.0,-0.28602852027192843,1.0,1.0986122886681096,0.0,,,,,,,,,,,,
gsm8k-47,processbench,gsm8k,gsm8k,Qwen2.5-1.5B-Instruct,,0,final_answer_correct,False,False,,-6.0,0.0,6.0,1.0,2.0,0.0,-0.592352499144982,0.0,2.4383866341531073,1.0,,,,,,,,,,,,
gsm8k-50,processbench,gsm8k,gsm8k,Qwen2.5-1.5B-Instruct,,0,final_answer_correct,False,False,,-4.0,0.0,4.0,0.0,0.0,0.0,-0.9999999999999996,0.0,1.7917594692280545,0.0,,,,,,,,,,,,
gsm8k-66,processbench,gsm8k,gsm8k,Qwen2.5-1.5B-Instruct,,0,final_answer_correct,False,False,,-10.0,0.0,10.0,1.0,5.0,1.0,-0.12468288317216357,1.0,0.507860706423527,0.0,,,,,,,,,,,,
gsm8k-67,processbench,gsm8k,gsm8k,Qwen2.5-1.5B-Instruct,,0,final_answer_correct,False,False,,-5.0,0.0,5.0,0.0,2.0,0.0,-0.5982932539139664,0.0,2.3749057545736716,1.0,,,,,,,,,,,,
