id,dataset,run_slug,subject,generator,model,target,target_label,is_correct,final_answer_correct,rubric_score,has_answer_chunks,error_step_index,error_step_position,exit_status,reasoning_n_chunks,reasoning_start,reasoning_end,reasoning_end_minus_start,reasoning_std,reasoning_range,reasoning_min,reasoning_max,reasoning_early_mean,reasoning_mid_mean,reasoning_late_mean,reasoning_late_minus_early,reasoning_total_variation,reasoning_monotonicity,reasoning_direction_changes,reasoning_zero_crossings,reasoning_peak_pos,reasoning_trough_pos,reasoning_rebound_from_trough,reasoning_fall_from_peak,reasoning_max_rise,reasoning_max_drop,reasoning_max_rise_pos,reasoning_max_drop_pos,reasoning_curvature_abs_mean,reasoning_positive_mass,reasoning_negative_mass,reasoning_time_positive,reasoning_time_negative,answer_n_chunks,answer_start,answer_end,answer_end_minus_start,answer_std,answer_range,answer_min,answer_max,answer_early_mean,answer_mid_mean,answer_late_mean,answer_late_minus_early,answer_total_variation,answer_monotonicity,answer_direction_changes,answer_zero_crossings,answer_peak_pos,answer_trough_pos,answer_rebound_from_trough,answer_fall_from_peak,answer_max_rise,answer_max_drop,answer_max_rise_pos,answer_max_drop_pos,answer_curvature_abs_mean,answer_positive_mass,answer_negative_mass,answer_time_positive,answer_time_negative,answer_minus_reasoning_mean,answer_start_minus_reasoning_end,answer_end_minus_reasoning_end,answer_range_minus_reasoning_range,total_n_chunks,reasoning_pair_density,answer_pair_density
OpenDeepSearch/000,agenthallu,framework-all,General Assistant,gpt-4.1-2025-04-14,,0,final_answer_correct,False,False,,True,6.0,0.75,,9,7.146199229396059,0.125054361187386,-7.021144868208673,2.8787815185451153,11.065461516374555,-3.9192622869784968,7.146199229396059,-0.6611953222547725,1.42184035889129,-1.6273851729232576,-0.9661898506684851,30.94425209618366,0.22689657666906698,3,4,0.0,0.15789473684210525,4.044316648165883,7.021144868208673,2.760512264555219,4.869082371886529,0.4444444444444444,0.0,1.1725113182609963,1.0719115827407901,1.2939013717949863,0.5,0.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.695185003956352,2.570130642768966,2.570130642768966,-11.751052034760754,10,0.4722222222222222,
OpenDeepSearch/001,agenthallu,framework-all,Science,gpt-4.1-2025-04-14,,0,final_answer_correct,False,False,,True,0.0,0.0,,3,7.820493638933148,-2.8272394339238316,-10.64773307285698,3.9459426995149838,12.699747066516913,-4.879253427583766,7.820493638933148,3.7740469513723696,-3.865585280702174,-3.3972433210515915,-7.1712902724239616,14.75176106017685,0.7217940305175558,1,1,0.0,0.5263157894736842,2.0520139936599344,10.64773307285698,0.22800155485110452,1.3488155625202598,0.5555555555555556,0.05555555555555555,0.08760095096507631,1.3345364197897498,2.385747831370659,0.3,0.7,2,2.1207975588460375,-2.1207975588460375,-4.241595117692075,1.2872752946324708,4.241595117692075,-2.1207975588460375,2.1207975588460375,1.4510720139472888,-0.11162092414979131,-1.56269293809708,-3.013764952044369,4.241595117692075,1.0,0.0,1.0,0.0,1.0,0.0,4.241595117692075,-0.22324184829958238,0.22324184829958327,0.6666666666666666,0.5555555555555556,2.220446049250313e-16,0.5581046207489573,0.5581046207489572,0.5,0.5,3.5441658989414426,8.492202891711312,4.250607774019237,-8.57215272625039,5,1.0,1.0
OpenDeepSearch/002,agenthallu,framework-all,General Assistant,claude-3-7-sonnet-20250219,,1,final_answer_correct,True,True,,True,,,,3,5.308840472729685,-1.504595641146743,-6.813436113876428,2.6930342635562265,8.992051136394931,-3.683210663665247,5.308840472729685,2.4310240608414873,-2.910920359509311,-2.1097664807352166,-4.540790541576704,11.170666158913436,0.6099399997232723,1,1,0.0,0.5263157894736842,2.178615022518504,6.813436113876428,0.2420683358353899,0.9592721372960664,0.7777777777777778,0.05555555555555555,0.06674113739619236,0.8731980388468561,1.6740916876011593,0.3,0.7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0320179575060635,4.5366135986528064,4.5366135986528064,-9.113085304312627,4,1.0,
OpenDeepSearch/003,agenthallu,framework-all,World Knowledge,Qwen2.5-Coder-32B-Instruct,,0,final_answer_correct,False,False,,True,10.0,0.9090909090909091,,12,2.3749869004137683,2.254718461257381,-0.12026843915638707,2.411665132941445,9.40696116596952,-5.123448996269854,4.283512169699666,1.2165492730714274,-0.2741147080638852,-1.270103529864503,-2.4866528029359305,27.969336496931298,0.004300010447855369,3,4,0.631578947368421,0.7894736842105263,7.378167457527235,2.0287937084422847,4.441413999682267,4.365054955047713,0.8888888888888888,0.7222222222222222,1.6083822872634757,0.9447921803858084,0.9959711415925193,0.5,0.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.876263632855073,-5.130982094112454,-5.130982094112454,-10.157104231550228,13,0.3181818181818182,
OpenDeepSearch/004,agenthallu,framework-all,World Knowledge,gpt-4.1-2025-04-14,,0,final_answer_correct,False,False,,True,4.0,0.5,,9,4.784731035541279,4.185997041615872,-0.598733993925407,2.7778956919367013,9.247108470546358,-4.462377435005079,4.784731035541279,1.0624160295594194,-2.694111924519657,0.9963251109562771,-0.06609091860314231,32.436454902097175,0.018458675454286342,3,4,0.0,0.5263157894736842,8.648374476620951,0.598733993925407,3.6311237589500083,3.9977507059289086,1.0,0.8333333333333334,1.2699609124126916,1.0185830765776103,1.2907791065268104,0.5,0.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3420450434401676,-0.8439519981757044,-0.8439519981757044,-9.87254236912278,10,0.5,
OpenDeepSearch/005,agenthallu,framework-all,Science,gpt-4.1-2025-04-14,,0,final_answer_correct,False,False,,True,2.0,0.6666666666666666,,4,0.8126616838515002,5.109962617465994,4.297300933614494,2.676193108290676,9.343228173145338,-4.233265555679343,5.109962617465994,-1.7103019359139213,-2.6905425018014064,2.536676273247928,4.246978209161849,14.389155412676178,0.2986485871039221,1,2,1.0,0.3157894736842105,9.343228173145338,0.0,1.0293145376872275,0.8409878732551408,1.0,0.2222222222222222,0.10390568949679868,0.8034664697154603,1.5827591409414468,0.3,0.7,4,1.7438760013165746,3.3980183409865132,1.6541423396699386,2.1820348252966757,7.348571120846928,-3.9505527798604145,3.3980183409865132,-1.10333838927192,-2.296538936188576,1.711306729570979,2.8146451188428987,13.042999902023919,0.1268222304757712,1.0,2.0,1.0,0.3157894736842105,7.348571120846928,0.0,0.6746846445662142,0.9490714635294983,0.7222222222222222,0.16666666666666666,0.09020867267198435,0.6403260458264762,1.3168910908663563,0.4,0.6,1.5254062559372938,-1.8406803602121258,-0.18653802054218716,-1.9586291888736227,8,0.6666666666666666,0.6666666666666666
OpenDeepSearch/006,agenthallu,framework-all,General Assistant,Qwen2.5-Coder-32B-Instruct,,0,final_answer_correct,False,False,,True,5.0,0.8333333333333334,,7,4.078368405657324,0.9507136996788021,-3.1276547059785216,1.8162200245934257,7.096860842703805,-3.018492437046481,4.078368405657324,0.6037805520781608,-1.960563446298535,0.7006182703911171,0.09683771831295629,12.504690759777121,0.2501185168080292,4,2,0.0,0.631578947368421,3.9692061367252833,3.1276547059785216,1.6329370529169447,1.4981573106707735,0.7222222222222222,0.0,0.35708519559324664,0.6627291147305236,0.9274176465903196,0.4,0.6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.73992685855986,-8.690640558238663,-8.690640558238663,-7.5658571968507005,8,0.6190476190476191,
OpenDeepSearch/007,agenthallu,framework-all,Science,Qwen2.5-Coder-32B-Instruct,,0,final_answer_correct,False,False,,True,1.0,0.3333333333333333,,4,3.17103963532354,3.213444735281426,0.042405099957885994,2.284032694508246,6.4152643631800785,-3.201819627898653,3.213444735281426,0.15110704420614315,-3.14243727844702,0.6896728300332304,0.5385657858270873,12.788123626402275,0.0033159751341734537,1,2,1.0,0.3684210526315789,6.4152643631800785,0.0,1.009508762099279,1.006644197039133,0.9444444444444444,0.2777777777777778,0.11200849772991225,0.6720509863794699,1.5121147193538076,0.4,0.6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.341607762479574,-8.555052497761,-8.555052497761,-6.417818347872391,5,1.0,
OpenDeepSearch/008,agenthallu,framework-all,World Knowledge,Qwen2.5-Coder-32B-Instruct,,1,final_answer_correct,True,True,,True,,,,4,9.67611386176841,1.0796027525968226,-8.596511109171587,4.804522881953836,16.7588720103834,-7.082758148614991,9.67611386176841,3.56766804613357,-5.621415427387242,-2.3213809562414327,-5.889049002375003,24.92123291159522,0.3449472640325049,1,2,0.0,0.6842105263157895,8.162360901211812,8.596511109171587,1.3603934835353035,2.036148605211615,0.7777777777777778,0.2777777777777778,0.18869678270816292,1.454934300466137,2.870160170777351,0.3,0.7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.332848606890617,4.2532458542937945,4.2532458542937945,-17.212336504895166,5,1.0,
OpenDeepSearch/009,agenthallu,framework-all,World Knowledge,Qwen2.5-Coder-32B-Instruct,,1,final_answer_correct,True,True,,True,,,,6,7.72796584033594,-0.4804796963914276,-8.208445536727368,3.3774468088169134,14.499045785880686,-6.771079945544747,7.72796584033594,1.3719366861261673,0.6142869338713235,-3.970196326335293,-5.34213301246146,29.04699669389695,0.28259188456657347,3,3,0.0,0.7894736842105263,6.290600249153319,8.208445536727368,1.7766078434161616,2.783969611057909,1.0,0.05555555555555555,0.6310826720956176,1.0648990806098642,1.5607797115113304,0.45,0.55,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.416264945334285,-3.9357852489428566,-3.9357852489428566,-14.959555341708771,7,0.8,
