id,fold,subject,true_type,pred_type,correct,prob_Planning Hallucination,prob_Reasoning Hallucination,prob_Retrieval Hallucination
Magentic_One/001,1,Science,Reasoning Hallucination,Planning Hallucination,0,0.9991866964006886,0.0008132992381617676,4.361149574328645e-09
Magentic_One/002,3,Science,Reasoning Hallucination,Retrieval Hallucination,0,0.0005902302104539421,0.2625965523805701,0.736813217408976
Magentic_One/005,0,World Knowledge,Reasoning Hallucination,Planning Hallucination,0,0.8892065733950805,0.06913145495729855,0.041661971647620956
Magentic_One/007,4,Science,Reasoning Hallucination,Planning Hallucination,0,0.5692452237884047,0.4307469190743341,7.85713726122617e-06
Magentic_One/008,3,General Assistant,Retrieval Hallucination,Reasoning Hallucination,0,0.0007099358476174003,0.9679955837260988,0.031294480426283855
Magentic_One/010,1,Science,Planning Hallucination,Planning Hallucination,1,0.9797765210817129,0.019907912015507147,0.00031556690277993786
Magentic_One/011,4,Science,Planning Hallucination,Planning Hallucination,1,0.6056730243846592,0.3903231789900113,0.0040037966253296114
Magentic_One/012,0,Math,Planning Hallucination,Reasoning Hallucination,0,0.4715152714522261,0.5281625072392014,0.000322221308572323
Magentic_One/013,1,General Assistant,Retrieval Hallucination,Planning Hallucination,0,0.6148134676958585,0.36900474433295427,0.016181787971187134
Magentic_One/016,0,World Knowledge,Retrieval Hallucination,Retrieval Hallucination,1,0.14958630903657674,0.018230739764543705,0.8321829511988795
Magentic_One/017,2,General Assistant,Reasoning Hallucination,Retrieval Hallucination,0,0.08205384133085605,0.16142697945659057,0.7565191792125534
Magentic_One/018,1,Math,Reasoning Hallucination,Planning Hallucination,0,0.415526188658141,0.38091280461142335,0.2035610067304356
Magentic_One/019,2,World Knowledge,Reasoning Hallucination,Retrieval Hallucination,0,0.09366881725157872,0.014720600062528183,0.891610582685893
Magentic_One/020,0,General Assistant,Reasoning Hallucination,Reasoning Hallucination,1,0.041111627090493964,0.9395134520545231,0.01937492085498295
Magentic_One/021,4,World Knowledge,Retrieval Hallucination,Retrieval Hallucination,1,8.573076336626779e-05,0.05524355635919281,0.944670712877441
Magentic_One/022,1,World Knowledge,Planning Hallucination,Reasoning Hallucination,0,0.0001589145612773448,0.7564284540229201,0.24341263141580244
Magentic_One/023,4,Math,Reasoning Hallucination,Planning Hallucination,0,0.9987931501229533,0.001204727564708969,2.1223123377694085e-06
Magentic_One/024,0,World Knowledge,Reasoning Hallucination,Planning Hallucination,0,0.9127486438969881,0.030622805062103096,0.056628551040908914
