id,fold,subject,true_type,pred_type,correct,prob_memory,prob_plan,prob_reflection,prob_system
GPT-4o_001_chat_b000_t00_e00-d3248f80,0,webshop,plan,plan,1,0.2437309917756353,0.387055330284793,0.32089233985743976,0.04832133808213196
GPT-4o_002_chat_b000_t00_e01-5b8f974f,2,webshop,reflection,memory,0,0.585653170488916,0.0747806965347747,0.2993337910383966,0.04023234193791288
GPT-4o_003_chat_b000_t00_e02-1e119842,1,webshop,system,memory,0,0.8654676105928654,0.08803674563290714,0.04133776514302869,0.005157878631198771
GPT-4o_004_chat_b000_t00_e03-21a3a421,1,webshop,reflection,plan,0,0.026231138441480156,0.9365937402790432,0.03684789655679389,0.0003272247226827134
GPT-4o_005_chat_b000_t00_e04-7e3c13ba,1,webshop,plan,plan,1,0.2382407568849429,0.7226886794680953,0.007805423291713602,0.031265140355248196
GPT-4o_006_chat_b000_t00_e05-996588dc,2,webshop,plan,plan,1,0.14314981348617867,0.8519454521532874,0.004608139099519318,0.000296595261014633
GPT-4o_007_chat_b000_t00_e06-a15c0dc2,4,webshop,reflection,system,0,0.11707915397375473,0.009375401348629537,0.12778859516049093,0.7457568495171248
GPT-4o_008_chat_b000_t00_e07-d50ae81f,0,webshop,plan,memory,0,0.9382666175079342,0.060682653741782874,2.0068521076905032e-05,0.001030660229206232
GPT-4o_009_chat_b000_t00_e08-6a7bac22,2,webshop,plan,plan,1,0.1416086758384837,0.5078444029221678,0.14319369312385608,0.2073532281154924
GPT-4o_010_chat_b000_t00_e09-f0557a9f,0,webshop,memory,memory,1,0.9594413091510864,0.035902166363288725,0.00203069417717866,0.002625830308446364
GPT-4o_011_chat_b000_t00_e10-69d80a84,4,webshop,plan,reflection,0,0.02003835592058729,0.025725771592814452,0.953732211750168,0.0005036607364302092
GPT-4o_012_chat_b000_t00_e11-1cc61441,0,webshop,plan,memory,0,0.6639694768596003,0.3020872971886064,0.025496932766364323,0.008446293185428975
GPT-4o_013_chat_b000_t00_e12-f27d2887,4,webshop,memory,plan,0,0.07841138237307303,0.8026230243993346,0.002473573234955131,0.1164920199926372
GPT-4o_014_chat_b000_t00_e13-c39f2c41,2,webshop,memory,system,0,0.2172689676579202,0.09148746125209448,0.013144823316990167,0.6780987477729953
GPT-4o_015_chat_b000_t00_e14-1d03d2d8,1,webshop,memory,plan,0,0.20277096244790027,0.6255811727715531,0.13042618700752517,0.04122167777302163
Llama3.3-70B-Turbo_004_webshop_task_004,1,webshop,memory,plan,0,0.4404961471654528,0.5246387465563345,0.03167009512411924,0.003195011154093594
Llama3.3-70B-Turbo_005_webshop_task_005,2,webshop,system,memory,0,0.665030631847281,0.0344889759986117,0.10894233797467129,0.19153805417943603
Llama3.3-70B-Turbo_006_webshop_task_006,4,webshop,memory,system,0,0.0009306442348298755,0.016937077209104145,0.0028185659215889665,0.979313712634477
Llama3.3-70B-Turbo_007_webshop_task_007,0,webshop,memory,plan,0,0.15374211987275296,0.8242629841158907,0.00684409248084592,0.015150803530510317
Llama3.3-70B-Turbo_008_webshop_task_008,2,webshop,memory,system,0,0.01708392948006781,0.06643377628371622,8.842243351183936e-05,0.9163938718027042
Llama3.3-70B-Turbo_010_webshop_task_010,1,webshop,memory,memory,1,0.505376457408115,0.47148846760785706,0.011687144922703124,0.01144793006132486
Llama3.3-70B-Turbo_011_webshop_task_011,3,webshop,plan,plan,1,0.04046003388462485,0.9541701810971783,0.004825961725131056,0.000543823293065895
Llama3.3-70B-Turbo_012_webshop_task_012,0,webshop,system,memory,0,0.7070457668193233,0.29091950170370745,0.0010899689526536014,0.0009447625243157884
Llama3.3-70B-Turbo_013_webshop_task_013,3,webshop,system,memory,0,0.8387831612985533,0.07918026990600108,0.0774349742156315,0.004601594579813953
Llama3.3-70B-Turbo_014_webshop_task_014,2,webshop,memory,plan,0,0.16215017177668262,0.8164861714174606,0.008331232691334293,0.013032424114522451
Llama3.3-70B-Turbo_015_webshop_task_015,3,webshop,reflection,system,0,0.0014478759958412321,0.000823722374111241,0.0014679683052084105,0.996260433324839
Llama3.3-70B-Turbo_016_webshop_task_016,0,webshop,memory,plan,0,0.37566226701303473,0.4769586092866317,0.04292371997238865,0.10445540372794487
Llama3.3-70B-Turbo_017_webshop_task_017,3,webshop,memory,memory,1,0.8370501802492736,0.09295613944871042,0.06984083203074443,0.00015284827127162186
Llama3.3-70B-Turbo_018_webshop_task_018,3,webshop,plan,plan,1,0.3059129191822048,0.6086883426445371,0.08476081766301218,0.0006379205102457949
Llama3.3-70B-Turbo_019_webshop_task_019,4,webshop,plan,memory,0,0.9288718582025729,0.012048097185296529,0.0006656525018510262,0.05841439211027973
Llama3.3-70B-Turbo_020_webshop_task_020,3,webshop,memory,system,0,0.123658019372222,0.1471236368198251,0.06848728858880042,0.6607310552191523
Qwen3-8B_001_chat_b000_t00_e00-d3248f80,0,webshop,plan,plan,1,0.06255280555901599,0.8305764806646064,0.00023968076529042712,0.10663103301108706
Qwen3-8B_002_chat_b000_t00_e01-7ab08a46,0,webshop,reflection,reflection,1,0.010151729934384845,0.02496695756289869,0.9646837912553479,0.0001975212473685884
Qwen3-8B_003_chat_b000_t00_e02-1e119842,2,webshop,plan,plan,1,0.0009152998662613464,0.987219443650059,0.003432192615798935,0.00843306386788063
Qwen3-8B_004_chat_b000_t00_e03-d2034edc,4,webshop,plan,plan,1,0.0161336298449314,0.8874054797508362,0.09454811549640536,0.001912774907827092
Qwen3-8B_005_chat_b000_t00_e04-7e3c13ba,4,webshop,system,plan,0,3.81477005705437e-05,0.9997365268286769,7.346622921643689e-05,0.00015185924153610664
Qwen3-8B_006_chat_b000_t00_e05-996588dc,1,webshop,plan,reflection,0,0.004059936120148123,0.3080129416441446,0.6519574157904605,0.03596970644524676
Qwen3-8B_007_chat_b000_t00_e07-d50ae81f,3,webshop,plan,plan,1,0.026495635614657273,0.8068062922768561,0.1558970021486085,0.010801069959878198
Qwen3-8B_008_chat_b000_t00_e08-6a7bac22,1,webshop,plan,plan,1,0.09235247577907908,0.8532217425925142,0.0030203883918494007,0.05140539323655732
Qwen3-8B_009_chat_b000_t00_e09-f0557a9f,2,webshop,reflection,memory,0,0.778814788671185,0.017976574540896566,0.1400708199738965,0.06313781681402196
Qwen3-8B_010_chat_b000_t00_e10-69d80a84,2,webshop,plan,plan,1,0.16275070913998882,0.7367618440222237,0.06652406533473909,0.03396338150304859
Qwen3-8B_011_chat_b000_t00_e11-1cc61441,3,webshop,plan,plan,1,0.024247897707776057,0.8786598812848226,0.0076892664027311776,0.08940295460467011
Qwen3-8B_012_chat_b000_t00_e12-f27d2887,1,webshop,plan,plan,1,0.09716635653063734,0.8884136304170726,0.01193523557507333,0.0024847774772168026
Qwen3-8B_013_chat_b000_t00_e13-eb20423f,1,webshop,reflection,reflection,1,0.012503609742376291,0.041460538795910794,0.9442460038805358,0.0017898475811771058
Qwen3-8B_014_chat_b000_t00_e14-1d03d2d8,4,webshop,reflection,plan,0,0.0009665636786263775,0.8906970699139888,0.05645344199996414,0.05188292440742072
Qwen3-8B_016_chat_b000_t00_e16-3c6f739f,0,webshop,reflection,plan,0,0.19590476041916538,0.7240785922859893,0.07989189677969773,0.0001247505151477632
Qwen3-8B_017_chat_b000_t00_e17-fbe4c42d,4,webshop,memory,plan,0,0.08764280892986182,0.7010445121585125,0.21005857792974308,0.001254100981882538
Qwen3-8B_018_chat_b000_t00_e18-5d01dff2,3,webshop,memory,reflection,0,0.056373920172292556,0.19170967128448332,0.747100850309119,0.00481555823410511
