id,fold,subject,true_type,pred_type,correct,prob_Human-Interaction Hallucination,prob_Planning Hallucination,prob_Reasoning Hallucination,prob_Retrieval Hallucination
Camel/000,3,Math,Reasoning Hallucination,Human-Interaction Hallucination,0,0.7440501999459207,0.006333060892777909,0.23795842683651394,0.011658312324787376
Camel/003,3,Math,Reasoning Hallucination,Retrieval Hallucination,0,0.28949171716617456,0.0304083319024173,0.33848411585594274,0.3416158350754655
Camel/004,0,Science,Reasoning Hallucination,Planning Hallucination,0,0.00925268445347149,0.6091727294830669,0.061702857467874496,0.31987172859558705
Camel/005,4,General Assistant,Reasoning Hallucination,Retrieval Hallucination,0,0.2041936920889251,0.16133341078584085,0.03835870984182173,0.5961141872834124
Camel/006,1,Science,Reasoning Hallucination,Planning Hallucination,0,0.14767139014405642,0.47037572193291305,0.35227268959074115,0.029680198332289295
Camel/008,4,Math,Human-Interaction Hallucination,Human-Interaction Hallucination,1,0.9438659577866004,0.014929000597112909,0.03277266339321439,0.00843237822307207
Camel/009,2,Math,Reasoning Hallucination,Human-Interaction Hallucination,0,0.5303999214094505,0.06287987642836715,0.3361962876305714,0.07052391453161103
Camel/011,0,Science,Reasoning Hallucination,Planning Hallucination,0,0.0029369810836656863,0.9319207237774689,0.06429768561313241,0.0008446095257327833
Camel/012,2,General Assistant,Retrieval Hallucination,Human-Interaction Hallucination,0,0.7749905362434576,0.05824010104830063,0.05498859872729112,0.11178076398095069
Camel/014,1,Science,Retrieval Hallucination,Human-Interaction Hallucination,0,0.963644886349673,0.002536307012251087,0.03372872364574329,9.008299233278778e-05
Camel/016,2,World Knowledge,Planning Hallucination,Reasoning Hallucination,0,0.006524742020154294,0.0007051839664731579,0.9883585020596127,0.004411571953759886
Camel/018,3,Science,Planning Hallucination,Reasoning Hallucination,0,0.08466753163001654,0.04334634477153375,0.6914614956324825,0.1805246279659673
Camel/019,0,General Assistant,Reasoning Hallucination,Planning Hallucination,0,0.03815285245710166,0.8770411848379092,0.08478316024833621,2.280245665305544e-05
Camel/020,3,World Knowledge,Retrieval Hallucination,Human-Interaction Hallucination,0,0.8836618245460338,0.0007209517864509238,0.10437969201630605,0.011237531651209253
Camel/021,4,Science,Retrieval Hallucination,Human-Interaction Hallucination,0,0.9662464256482769,1.4679917122251616e-05,0.0001529378578075468,0.03358595657679349
Camel/022,1,General Assistant,Retrieval Hallucination,Human-Interaction Hallucination,0,0.6449122223900094,0.21723469617203287,0.13758057112890867,0.00027251030904900335
Camel/024,4,General Assistant,Planning Hallucination,Human-Interaction Hallucination,0,0.9823044305944403,0.0008405851822891046,0.010310270939285868,0.00654471328398482
Camel/026,4,Math,Reasoning Hallucination,Reasoning Hallucination,1,0.06597168948234822,0.43347502548953715,0.45817372136392387,0.04237956366419084
