id,dataset,run_slug,subject,generator,model,target,target_label,is_correct,final_answer_correct,exit_status,premature_exit_score,premature_exit_flag,rambling_overlong_score,rambling_overlong_flag,thrashing_score,thrashing_flag,no_commitment_score,no_commitment_flag,derailment_late_score,derailment_late_flag,answer_drift_score,answer_drift_flag,answer_meandering_score,answer_meandering_flag,answer_volatility_score,answer_volatility_flag,answer_uncommitted_score,answer_uncommitted_flag,answer_overrange_score,answer_overrange_flag,truncation_abort_score,truncation_abort_flag
omnimath-3,processbench,omnimath,omnimath,Qwen2-72B-Instruct,,0,final_answer_correct,False,False,,-8.0,0.0,8.0,0.0,4.0,0.0,-0.1553378564810839,0.0,1.6108700448997295,0.0,,,,,,,,,,,,
omnimath-11,processbench,omnimath,omnimath,Qwen2-72B-Instruct,,0,final_answer_correct,False,False,,-13.0,0.0,13.0,1.0,8.0,1.0,-0.10184507729429358,0.0,0.04939649686706582,0.0,,,,,,,,,,,,
omnimath-21,processbench,omnimath,omnimath,Qwen2-72B-Instruct,,0,final_answer_correct,False,False,,-10.0,0.0,10.0,0.0,5.0,0.0,-0.06892562576964169,0.0,1.0794640577573982,0.0,,,,,,,,,,,,
omnimath-49,processbench,omnimath,omnimath,Qwen2-72B-Instruct,,0,final_answer_correct,False,False,,-6.0,0.0,6.0,0.0,1.0,0.0,-0.25038873152122704,0.0,1.0983603042898076,0.0,,,,,,,,,,,,
omnimath-53,processbench,omnimath,omnimath,Qwen2-72B-Instruct,,0,final_answer_correct,False,False,,-13.0,0.0,13.0,1.0,6.0,1.0,-0.12349263310144448,0.0,0.008434302608131272,0.0,,,,,,,,,,,,
omnimath-63,processbench,omnimath,omnimath,Qwen2-72B-Instruct,,0,final_answer_correct,False,False,,-5.0,0.0,5.0,0.0,3.0,0.0,-0.20640240167359405,0.0,0.031431319139121006,0.0,,,,,,,,,,,,
omnimath-71,processbench,omnimath,omnimath,Qwen2-72B-Instruct,,0,final_answer_correct,False,False,,-6.0,0.0,6.0,0.0,3.0,0.0,-0.1968617291295148,0.0,1.054754569208253,0.0,,,,,,,,,,,,
omnimath-76,processbench,omnimath,omnimath,Qwen2-72B-Instruct,,0,final_answer_correct,False,False,,-5.0,0.0,5.0,0.0,2.0,0.0,-0.073234814762606,0.0,1.5398718155929256,0.0,,,,,,,,,,,,
omnimath-77,processbench,omnimath,omnimath,Qwen2-72B-Instruct,,0,final_answer_correct,False,False,,-6.0,0.0,6.0,0.0,3.0,0.0,-0.4525955349398983,0.0,1.031774352059587,0.0,,,,,,,,,,,,
omnimath-93,processbench,omnimath,omnimath,Qwen2-72B-Instruct,,0,final_answer_correct,False,False,,-11.0,0.0,11.0,1.0,6.0,1.0,-0.0754667496267665,0.0,0.4972282179775277,0.0,,,,,,,,,,,,
omnimath-100,processbench,omnimath,omnimath,Qwen2-72B-Instruct,,0,final_answer_correct,False,False,,-8.0,0.0,8.0,0.0,5.0,0.0,-0.30485277016264406,0.0,1.2987833588388287,0.0,,,,,,,,,,,,
omnimath-104,processbench,omnimath,omnimath,Qwen2-72B-Instruct,,0,final_answer_correct,False,False,,-9.0,0.0,9.0,0.0,4.0,0.0,-0.03214440304119729,1.0,0.6745725761878419,0.0,,,,,,,,,,,,
omnimath-120,processbench,omnimath,omnimath,Qwen2-72B-Instruct,,0,final_answer_correct,False,False,,-6.0,0.0,6.0,0.0,1.0,0.0,-4.589779094438416e-17,1.0,2.220446049250313e-16,0.0,,,,,,,,,,,,
omnimath-141,processbench,omnimath,omnimath,Qwen2-72B-Instruct,,0,final_answer_correct,False,False,,-10.0,0.0,10.0,0.0,5.0,0.0,-0.28252636694165567,0.0,1.318928348334909,0.0,,,,,,,,,,,,
omnimath-153,processbench,omnimath,omnimath,Qwen2-72B-Instruct,,0,final_answer_correct,False,False,,-10.0,0.0,10.0,0.0,6.0,1.0,-0.24677546753188284,0.0,1.000172215854857,0.0,,,,,,,,,,,,
