id,dataset,run_slug,subject,generator,model,target,target_label,is_correct,final_answer_correct,exit_status,premature_exit_score,premature_exit_flag,rambling_overlong_score,rambling_overlong_flag,thrashing_score,thrashing_flag,no_commitment_score,no_commitment_flag,derailment_late_score,derailment_late_flag,answer_drift_score,answer_drift_flag,answer_meandering_score,answer_meandering_flag,answer_volatility_score,answer_volatility_flag,answer_uncommitted_score,answer_uncommitted_flag,answer_overrange_score,answer_overrange_flag,truncation_abort_score,truncation_abort_flag
GPT-4o_001_memory_b000_t00_e00-7743eba0,agenterrorbench,env-all_provider-all_model-all,gaia,GPT-4o,,0,final_answer_correct,False,False,,-30.0,0.0,30.0,0.0,8.0,0.0,-0.011446653078593733,0.0,3.5664805976065503,0.0,0.326979294277276,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-8.657526863888304,0.0,,
GPT-4o_002_memory_b000_t00_e01-7ab08a46,agenterrorbench,env-all_provider-all_model-all,gaia,GPT-4o,,0,final_answer_correct,False,False,,-30.0,0.0,30.0,0.0,11.0,0.0,-0.039490424605317806,0.0,1.476662397693381,0.0,2.5881218843398663,0.0,1.0,0.0,0.21182303030728922,0.0,-0.5821803184282383,0.0,-4.363046024481925,0.0,,
GPT-4o_003_memory_b000_t00_e03-21a3a421,agenterrorbench,env-all_provider-all_model-all,gaia,GPT-4o,,0,final_answer_correct,False,False,,-1.0,0.0,1.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,8.55214657142012,1.0,0.0,0.0,-0.33320329369749513,0.0,-1.0,0.0,15.017478586919694,1.0,,
GPT-4o_004_memory_b000_t00_e04-5e8c1dcf,agenterrorbench,env-all_provider-all_model-all,gaia,GPT-4o,,0,final_answer_correct,False,False,,-1.0,0.0,1.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,2.140614025018273,0.0,5.0,0.0,1.689965478883761,0.0,-0.2567768817791037,0.0,16.235260886199786,1.0,,
GPT-4o_005_memory_b000_t00_e05-c9015705,agenterrorbench,env-all_provider-all_model-all,gaia,GPT-4o,,0,final_answer_correct,False,False,,-5.0,0.0,5.0,0.0,3.0,0.0,-0.07252010383737686,0.0,1.7292735426944503,0.0,3.631424030750729,0.0,1.0,0.0,1.023635710823359,0.0,-0.5906825379884332,0.0,-1.8012977430236035,0.0,,
GPT-4o_006_memory_b000_t00_e06-71f77595,agenterrorbench,env-all_provider-all_model-all,gaia,GPT-4o,,0,final_answer_correct,False,False,,-22.0,0.0,22.0,0.0,11.0,0.0,-0.03858561122560892,0.0,0.0,0.0,6.840490255708296,0.0,2.0,0.0,1.3315647760131264,0.0,-0.08554198206246846,0.0,-2.946395242395951,0.0,,
GPT-4o_007_memory_b000_t00_e08-f572f2ad,agenterrorbench,env-all_provider-all_model-all,gaia,GPT-4o,,0,final_answer_correct,False,False,,-4.0,0.0,4.0,0.0,1.0,0.0,-0.3255932419307179,0.0,1.8374454938811908,0.0,3.749194388015866,0.0,1.0,0.0,0.3923024923349294,0.0,-0.0020482231898001214,0.0,-0.01468420830404682,0.0,,
GPT-4o_008_memory_b000_t00_e09-f0557a9f,agenterrorbench,env-all_provider-all_model-all,gaia,GPT-4o,,0,final_answer_correct,False,False,,-30.0,0.0,30.0,0.0,13.0,0.0,-0.0029850956692565166,0.0,0.1710402486346041,0.0,2.1946540685299425,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-9.799366510956919,0.0,,
GPT-4o_009_memory_b001_t00_e01-7ab08a46,agenterrorbench,env-all_provider-all_model-all,gaia,GPT-4o,,0,final_answer_correct,False,False,,-17.0,0.0,17.0,0.0,11.0,0.0,-0.045412468911067636,0.0,0.0,0.0,4.973042334086372,0.0,1.0,0.0,0.19644569694428693,0.0,-0.5960581527310769,0.0,-5.079001302530472,0.0,,
GPT-4o_010_memory_b001_t00_e02-8d639e26,agenterrorbench,env-all_provider-all_model-all,gaia,GPT-4o,,0,final_answer_correct,False,False,,-30.0,0.0,30.0,0.0,12.0,0.0,-0.10125904964210089,0.0,5.198606962040522,0.0,5.132395769954165,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-7.897341622450352,0.0,,
GPT-4o_011_memory_b001_t00_e03-21a3a421,agenterrorbench,env-all_provider-all_model-all,gaia,GPT-4o,,0,final_answer_correct,False,False,,-12.0,0.0,12.0,0.0,6.0,0.0,-0.10000403197865648,0.0,0.0,0.0,8.786386756441686,1.0,1.0,0.0,0.9316807310895712,0.0,-0.11855834327071604,0.0,-3.0345318765324123,0.0,,
GPT-4o_012_memory_b001_t00_e04-5e8c1dcf,agenterrorbench,env-all_provider-all_model-all,gaia,GPT-4o,,0,final_answer_correct,False,False,,-30.0,0.0,30.0,0.0,15.0,1.0,-0.05046355528844206,0.0,1.3972814009047507,0.0,5.09327726266153,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-9.214945599526025,0.0,,
GPT-4o_013_memory_b001_t00_e05-c9015705,agenterrorbench,env-all_provider-all_model-all,gaia,GPT-4o,,0,final_answer_correct,False,False,,-6.0,0.0,6.0,0.0,3.0,0.0,-0.13571149416388367,0.0,3.7416137394016213,0.0,2.5089150847267945,0.0,0.0,0.0,0.25034363660880143,0.0,-1.0,0.0,-10.659538342567114,0.0,,
GPT-4o_014_memory_b001_t00_e06-71f77595,agenterrorbench,env-all_provider-all_model-all,gaia,GPT-4o,,0,final_answer_correct,False,False,,-30.0,0.0,30.0,0.0,12.0,0.0,-0.00012417959665472108,0.0,4.564047423635327,0.0,2.8926131910158617,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-10.08906112584378,0.0,,
GPT-4o_015_memory_b001_t00_e07-f5b5d66a,agenterrorbench,env-all_provider-all_model-all,gaia,GPT-4o,,0,final_answer_correct,False,False,,-13.0,0.0,13.0,0.0,6.0,0.0,-0.012666710475065021,0.0,0.8751097940650423,0.0,4.7653473696131385,0.0,1.0,0.0,0.7446836497715168,0.0,-0.021702343983450147,0.0,-2.842266618922462,0.0,,
GPT-4o_016_memory_b001_t00_e08-f572f2ad,agenterrorbench,env-all_provider-all_model-all,gaia,GPT-4o,,0,final_answer_correct,False,False,,-30.0,0.0,30.0,0.0,14.0,1.0,-0.07925509880674725,0.0,9.373725349542608,1.0,7.284731055046919,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-12.38883319624206,0.0,,
