id,fold,subject,failure_type,true_step_index,predicted_step_index,predicted_step_probability,n_steps,correct
BFCL/000,3,Tool Use,Tool-Use Hallucination,0,9,0.4926437365034971,13,0
BFCL/002,4,Tool Use,Tool-Use Hallucination,5,9,0.3819656476015396,22,0
BFCL/003,2,Tool Use,Tool-Use Hallucination,4,1,0.641050975192588,7,0
BFCL/004,1,Tool Use,Tool-Use Hallucination,0,2,0.6093412897633419,10,0
BFCL/005,4,Tool Use,Tool-Use Hallucination,4,2,0.6715362723867864,6,0
BFCL/006,3,Tool Use,Tool-Use Hallucination,5,4,0.6174395854502406,9,0
BFCL/008,3,Tool Use,Tool-Use Hallucination,2,0,0.7090224080482267,4,0
BFCL/014,1,Tool Use,Tool-Use Hallucination,2,6,0.6389506187465718,9,0
BFCL/015,0,Tool Use,Tool-Use Hallucination,4,4,0.6164701614833971,6,1
BFCL/016,4,Tool Use,Tool-Use Hallucination,3,1,0.6996319724409867,5,0
BFCL/017,2,Tool Use,Tool-Use Hallucination,3,0,0.5611587105627587,8,0
BFCL/021,1,Tool Use,Tool-Use Hallucination,8,4,0.6227554014061918,12,0
BFCL/023,3,Tool Use,Tool-Use Hallucination,2,0,0.5925184970277637,6,0
BFCL/024,1,Tool Use,Tool-Use Hallucination,4,2,0.7347626191223633,6,0
BFCL/025,1,Tool Use,Tool-Use Hallucination,2,0,0.7068987759675822,4,0
BFCL/027,2,Tool Use,Tool-Use Hallucination,2,2,0.8005334743739161,4,1
BFCL/028,3,Tool Use,Tool-Use Hallucination,9,2,0.5418990746404821,11,0
BFCL/030,1,Tool Use,Tool-Use Hallucination,11,1,0.565194145702149,12,0
BFCL/031,0,Tool Use,Tool-Use Hallucination,2,0,0.694685955335778,8,0
BFCL/032,2,Tool Use,Tool-Use Hallucination,2,2,0.6279109475052578,9,1
BFCL/034,0,Tool Use,Tool-Use Hallucination,2,4,0.6110390775815645,11,0
BFCL/035,3,Tool Use,Tool-Use Hallucination,0,2,0.6953603767151842,6,0
BFCL/037,0,Tool Use,Tool-Use Hallucination,0,2,0.8017403309300319,4,0
BFCL/039,0,Tool Use,Tool-Use Hallucination,3,1,0.5343677647892228,12,0
BFCL/040,2,Tool Use,Tool-Use Hallucination,7,2,0.6083553797512146,11,0
BFCL/041,3,Tool Use,Tool-Use Hallucination,2,4,0.6648545491023206,8,0
BFCL/042,2,Tool Use,Tool-Use Hallucination,7,7,0.5206709776347495,11,1
BFCL/043,0,Tool Use,Tool-Use Hallucination,3,9,0.4283501734751511,15,0
BFCL/044,3,Tool Use,Tool-Use Hallucination,3,3,0.7037717231123316,10,1
BFCL/046,4,Tool Use,Tool-Use Hallucination,13,3,0.4055357188505467,15,0
BFCL/047,3,Tool Use,Tool-Use Hallucination,8,8,0.5626998845878556,12,1
BFCL/048,4,Tool Use,Tool-Use Hallucination,0,0,0.5972541992400181,10,1
BFCL/049,2,Tool Use,Tool-Use Hallucination,6,6,0.6188877521797854,12,1
BFCL/051,0,Tool Use,Tool-Use Hallucination,2,6,0.5842548341891124,8,0
BFCL/052,2,Tool Use,Tool-Use Hallucination,2,2,0.6944815752440974,7,1
BFCL/054,4,Tool Use,Tool-Use Hallucination,2,0,0.5855429641567267,12,0
BFCL/056,4,Tool Use,Tool-Use Hallucination,3,1,0.48109466521819755,12,0
BFCL/057,1,Tool Use,Tool-Use Hallucination,6,1,0.7241691708323444,8,0
BFCL/058,2,Tool Use,Tool-Use Hallucination,9,5,0.5176505790491096,10,0
BFCL/059,4,Tool Use,Tool-Use Hallucination,5,5,0.5440605517494441,11,1
BFCL/060,0,Tool Use,Tool-Use Hallucination,3,3,0.5463567554913071,12,1
BFCL/061,4,Tool Use,Tool-Use Hallucination,9,5,0.6446568803934309,13,0
BFCL/062,0,Tool Use,Tool-Use Hallucination,3,3,0.7782273152463408,5,1
BFCL/063,2,Tool Use,Tool-Use Hallucination,1,8,0.5206638019178196,14,0
BFCL/064,1,Tool Use,Tool-Use Hallucination,3,5,0.6725149921754466,7,0
BFCL/066,1,Tool Use,Tool-Use Hallucination,1,0,0.7603770069040744,5,0
BFCL/067,2,Tool Use,Tool-Use Hallucination,2,4,0.607361001562249,6,0
BFCL/069,0,Tool Use,Tool-Use Hallucination,3,1,0.5649310477797493,9,0
BFCL/070,0,Tool Use,Tool-Use Hallucination,2,10,0.3362831025141154,18,0
BFCL/071,3,Tool Use,Tool-Use Hallucination,3,3,0.6708643623096646,7,1
BFCL/072,0,Tool Use,Tool-Use Hallucination,2,6,0.7252097074942779,8,0
BFCL/074,0,Tool Use,Tool-Use Hallucination,3,3,0.6617225907479696,7,1
BFCL/075,3,Tool Use,Tool-Use Hallucination,4,4,0.5648087772644872,9,1
BFCL/076,4,Tool Use,Tool-Use Hallucination,5,2,0.6482035458338894,7,0
BFCL/077,1,Tool Use,Tool-Use Hallucination,7,3,0.6935554639919793,9,0
BFCL/078,0,Tool Use,Tool-Use Hallucination,1,4,0.5725379670511663,10,0
BFCL/080,1,Tool Use,Tool-Use Hallucination,6,2,0.5605801623173542,11,0
BFCL/081,3,Tool Use,Tool-Use Hallucination,6,1,0.6205077050131127,10,0
BFCL/082,4,Tool Use,Tool-Use Hallucination,10,1,0.49228998649607886,14,0
BFCL/083,2,Tool Use,Tool-Use Hallucination,2,5,0.5774760237664215,7,0
BFCL/085,4,Tool Use,Tool-Use Hallucination,4,1,0.6863183928695133,9,0
BFCL/086,1,Tool Use,Tool-Use Hallucination,12,2,0.6468878100337467,13,0
BFCL/087,4,Tool Use,Tool-Use Hallucination,11,1,0.5859036419671007,13,0
BFCL/089,4,Tool Use,Tool-Use Hallucination,3,4,0.596939675602682,7,0
BFCL/091,1,Tool Use,Tool-Use Hallucination,5,15,0.3516696219537881,20,0
BFCL/093,0,Tool Use,Tool-Use Hallucination,9,2,0.5578117392575189,14,0
BFCL/094,4,Tool Use,Tool-Use Hallucination,0,0,0.7829684651004102,4,1
BFCL/097,2,Tool Use,Tool-Use Hallucination,12,2,0.6822311145357889,14,0
BFCL/098,3,Tool Use,Tool-Use Hallucination,6,2,0.566867020458496,12,0
BFCL/101,1,Tool Use,Tool-Use Hallucination,2,0,0.6504101759039076,8,0
BFCL/103,0,Tool Use,Tool-Use Hallucination,6,2,0.5961884784509573,10,0
BFCL/104,0,Tool Use,Tool-Use Hallucination,11,12,0.4307339557214762,13,0
BFCL/108,2,Tool Use,Tool-Use Hallucination,6,0,0.5832652289376961,9,0
BFCL/110,0,Tool Use,Tool-Use Hallucination,6,0,0.6077100012141802,8,0
BFCL/111,1,Tool Use,Tool-Use Hallucination,6,2,0.5754641932512369,14,0
