id,dataset,run_slug,subject,generator,model,target,target_label,is_correct,final_answer_correct,exit_status,premature_exit_score,premature_exit_flag,rambling_overlong_score,rambling_overlong_flag,thrashing_score,thrashing_flag,no_commitment_score,no_commitment_flag,derailment_late_score,derailment_late_flag,answer_drift_score,answer_drift_flag,answer_meandering_score,answer_meandering_flag,answer_volatility_score,answer_volatility_flag,answer_uncommitted_score,answer_uncommitted_flag,answer_overrange_score,answer_overrange_flag,truncation_abort_score,truncation_abort_flag
omnimath-0,processbench,omnimath,omnimath,Qwen2.5-7B-Instruct,,0,final_answer_correct,False,False,,-6.0,0.0,6.0,0.0,3.0,0.0,-0.6779864871301203,0.0,2.4760700679875023,1.0,,,,,,,,,,,,
omnimath-1,processbench,omnimath,omnimath,Qwen2.5-Math-7B-Instruct,,0,final_answer_correct,False,False,,-12.0,0.0,12.0,0.0,5.0,0.0,-0.18818830149985494,0.0,0.7572928330589722,0.0,,,,,,,,,,,,
omnimath-2,processbench,omnimath,omnimath,Qwen2.5-Math-7B-Instruct,,0,final_answer_correct,False,False,,-5.0,0.0,5.0,0.0,2.0,0.0,-0.4797574693917587,0.0,2.261763098473791,1.0,,,,,,,,,,,,
omnimath-3,processbench,omnimath,omnimath,Qwen2-72B-Instruct,,0,final_answer_correct,False,False,,-8.0,0.0,8.0,0.0,4.0,0.0,-0.1553378564810839,0.0,1.6108700448997295,0.0,,,,,,,,,,,,
omnimath-4,processbench,omnimath,omnimath,Qwen2.5-Math-72B-Instruct,,0,final_answer_correct,False,False,,-4.0,0.0,4.0,0.0,1.0,0.0,-0.456056840135197,0.0,1.55814461804655,0.0,,,,,,,,,,,,
omnimath-5,processbench,omnimath,omnimath,Qwen2.5-7B-Instruct,,0,final_answer_correct,False,False,,-17.0,0.0,17.0,1.0,6.0,0.0,-0.09344826540040482,0.0,0.12986808852277387,0.0,,,,,,,,,,,,
omnimath-6,processbench,omnimath,omnimath,Llama-3.1-8B-Instruct,,0,final_answer_correct,False,False,,-5.0,0.0,5.0,0.0,1.0,0.0,-0.7264209839732512,0.0,1.8971199848858813,1.0,,,,,,,,,,,,
omnimath-7,processbench,omnimath,omnimath,Qwen2.5-72B-Instruct,,0,final_answer_correct,False,False,,-7.0,0.0,7.0,0.0,4.0,0.0,-0.039109866056703864,0.0,0.8360364643377238,0.0,,,,,,,,,,,,
omnimath-8,processbench,omnimath,omnimath,Qwen2-7B-Instruct,,0,final_answer_correct,False,False,,-6.0,0.0,6.0,0.0,3.0,0.0,-0.37450742136304044,0.0,1.5891727656048378,0.0,,,,,,,,,,,,
omnimath-9,processbench,omnimath,omnimath,Llama-3.1-8B-Instruct,,0,final_answer_correct,False,False,,-13.0,0.0,13.0,1.0,9.0,1.0,-0.0370477050530692,0.0,0.5778209942138934,0.0,,,,,,,,,,,,
omnimath-10,processbench,omnimath,omnimath,Qwen2.5-Math-7B-Instruct,,0,final_answer_correct,False,False,,-8.0,0.0,8.0,0.0,3.0,0.0,-0.003945409004855927,1.0,0.015362659221633601,0.0,,,,,,,,,,,,
omnimath-11,processbench,omnimath,omnimath,Qwen2-72B-Instruct,,0,final_answer_correct,False,False,,-13.0,0.0,13.0,1.0,8.0,1.0,-0.10184507729429358,0.0,0.04939649686706582,0.0,,,,,,,,,,,,
omnimath-12,processbench,omnimath,omnimath,Qwen2.5-Math-7B-Instruct,,0,final_answer_correct,False,False,,-6.0,0.0,6.0,0.0,3.0,0.0,-0.06756689691796833,0.0,2.566305133507126,1.0,,,,,,,,,,,,
omnimath-13,processbench,omnimath,omnimath,Qwen2.5-7B-Instruct,,0,final_answer_correct,False,False,,-7.0,0.0,7.0,0.0,3.0,0.0,-0.7883049059408958,0.0,1.6905382616657727,0.0,,,,,,,,,,,,
omnimath-14,processbench,omnimath,omnimath,Qwen2.5-Math-72B-Instruct,,0,final_answer_correct,False,False,,-10.0,0.0,10.0,0.0,7.0,0.0,-0.05057237476993193,0.0,0.2876820724517807,0.0,,,,,,,,,,,,
omnimath-15,processbench,omnimath,omnimath,Qwen2.5-72B-Instruct,,0,final_answer_correct,False,False,,-9.0,0.0,9.0,0.0,4.0,0.0,-0.012412473779327134,1.0,0.5068588926479554,0.0,,,,,,,,,,,,
omnimath-16,processbench,omnimath,omnimath,Qwen2.5-7B-Instruct,,0,final_answer_correct,False,False,,-23.0,0.0,23.0,1.0,14.0,1.0,-1.762378432492811e-15,1.0,0.16549764589938903,0.0,,,,,,,,,,,,
omnimath-17,processbench,omnimath,omnimath,Qwen2.5-72B-Instruct,,0,final_answer_correct,False,False,,-9.0,0.0,9.0,0.0,5.0,0.0,-0.28444749421641846,0.0,0.5302317671101408,0.0,,,,,,,,,,,,
omnimath-18,processbench,omnimath,omnimath,Llama-3.1-8B-Instruct,,0,final_answer_correct,False,False,,-7.0,0.0,7.0,0.0,3.0,0.0,-0.1007190360047417,0.0,0.6072263834368936,0.0,,,,,,,,,,,,
omnimath-19,processbench,omnimath,omnimath,Qwen2.5-7B-Instruct,,0,final_answer_correct,False,False,,-6.0,0.0,6.0,0.0,3.0,0.0,-0.14035365628044275,0.0,0.6074678938165815,0.0,,,,,,,,,,,,
omnimath-20,processbench,omnimath,omnimath,Qwen2.5-Math-72B-Instruct,,0,final_answer_correct,False,False,,-5.0,0.0,5.0,0.0,2.0,0.0,-0.2813953948581114,0.0,1.7625165817495176,0.0,,,,,,,,,,,,
omnimath-21,processbench,omnimath,omnimath,Qwen2-72B-Instruct,,0,final_answer_correct,False,False,,-10.0,0.0,10.0,0.0,5.0,0.0,-0.06892562576964169,0.0,1.0794640577573982,0.0,,,,,,,,,,,,
omnimath-22,processbench,omnimath,omnimath,Qwen2.5-Math-7B-Instruct,,0,final_answer_correct,False,False,,-12.0,0.0,12.0,0.0,7.0,0.0,-0.00695716634415756,1.0,0.2465882128269848,0.0,,,,,,,,,,,,
omnimath-23,processbench,omnimath,omnimath,Llama-3.1-8B-Instruct,,0,final_answer_correct,False,False,,-5.0,0.0,5.0,0.0,1.0,0.0,-0.02913343131056947,0.0,0.0,0.0,,,,,,,,,,,,
omnimath-24,processbench,omnimath,omnimath,Llama-3.1-8B-Instruct,,0,final_answer_correct,False,False,,-6.0,0.0,6.0,0.0,3.0,0.0,-2.969885207565044e-17,1.0,1.0355253981555,0.0,,,,,,,,,,,,
omnimath-25,processbench,omnimath,omnimath,Qwen2.5-Math-72B-Instruct,,0,final_answer_correct,False,False,,-10.0,0.0,10.0,0.0,5.0,0.0,-0.10747371213910058,0.0,0.4207325802389528,0.0,,,,,,,,,,,,
omnimath-26,processbench,omnimath,omnimath,Qwen2.5-72B-Instruct,,0,final_answer_correct,False,False,,-11.0,0.0,11.0,0.0,5.0,0.0,-0.0727111884861622,0.0,0.8132018995864398,0.0,,,,,,,,,,,,
omnimath-27,processbench,omnimath,omnimath,Qwen2.5-Math-7B-Instruct,,0,final_answer_correct,False,False,,-7.0,0.0,7.0,0.0,3.0,0.0,-0.12905308952900166,0.0,1.8166927634217602,0.0,,,,,,,,,,,,
omnimath-28,processbench,omnimath,omnimath,Llama-3.1-70B-Instruct,,0,final_answer_correct,False,False,,-25.0,0.0,25.0,1.0,10.0,1.0,-0.1518355327533464,0.0,0.7366322924996817,0.0,,,,,,,,,,,,
omnimath-29,processbench,omnimath,omnimath,Qwen2.5-7B-Instruct,,0,final_answer_correct,False,False,,-7.0,0.0,7.0,0.0,2.0,0.0,-0.11107691212401427,0.0,0.3223547283398669,0.0,,,,,,,,,,,,
omnimath-30,processbench,omnimath,omnimath,Qwen2.5-7B-Instruct,,0,final_answer_correct,False,False,,-8.0,0.0,8.0,0.0,2.0,0.0,-0.2008796550573908,0.0,0.91937776988115,0.0,,,,,,,,,,,,
omnimath-31,processbench,omnimath,omnimath,Qwen2-7B-Instruct,,0,final_answer_correct,False,False,,-5.0,0.0,5.0,0.0,1.0,0.0,-0.4364638303943668,0.0,1.3862943611198908,0.0,,,,,,,,,,,,
omnimath-32,processbench,omnimath,omnimath,Llama-3.1-8B-Instruct,,0,final_answer_correct,False,False,,-7.0,0.0,7.0,0.0,3.0,0.0,-0.2382075919056845,0.0,1.349926716949016,0.0,,,,,,,,,,,,
omnimath-33,processbench,omnimath,omnimath,Qwen2.5-Math-72B-Instruct,,0,final_answer_correct,False,False,,-6.0,0.0,6.0,0.0,2.0,0.0,-0.25439212129441435,0.0,0.08248487404181326,0.0,,,,,,,,,,,,
omnimath-34,processbench,omnimath,omnimath,Llama-3.1-8B-Instruct,,0,final_answer_correct,False,False,,-9.0,0.0,9.0,0.0,4.0,0.0,-0.004807296965819873,1.0,0.35897152685396694,0.0,,,,,,,,,,,,
omnimath-35,processbench,omnimath,omnimath,Qwen2-7B-Instruct,,0,final_answer_correct,False,False,,-7.0,0.0,7.0,0.0,2.0,0.0,-0.23475548478958055,0.0,0.8257524628755297,0.0,,,,,,,,,,,,
omnimath-36,processbench,omnimath,omnimath,Qwen2.5-7B-Instruct,,0,final_answer_correct,False,False,,-11.0,0.0,11.0,0.0,6.0,0.0,-0.2697473389800088,0.0,1.3583992863474696,0.0,,,,,,,,,,,,
omnimath-37,processbench,omnimath,omnimath,Qwen2.5-Math-7B-Instruct,,0,final_answer_correct,False,False,,-4.0,0.0,4.0,0.0,1.0,0.0,-0.35488523881694883,0.0,2.081371594409487,1.0,,,,,,,,,,,,
omnimath-38,processbench,omnimath,omnimath,Qwen2.5-Math-7B-Instruct,,0,final_answer_correct,False,False,,-6.0,0.0,6.0,0.0,3.0,0.0,-0.23438842127446344,0.0,1.07522022830389,0.0,,,,,,,,,,,,
omnimath-39,processbench,omnimath,omnimath,Llama-3.1-8B-Instruct,,0,final_answer_correct,False,False,,-6.0,0.0,6.0,0.0,3.0,0.0,-0.3005073836717282,0.0,1.3133288238204393,0.0,,,,,,,,,,,,
omnimath-40,processbench,omnimath,omnimath,Llama-3.1-8B-Instruct,,0,final_answer_correct,False,False,,-11.0,0.0,11.0,0.0,8.0,1.0,-0.13058468063958384,0.0,0.7949735002334891,0.0,,,,,,,,,,,,
omnimath-41,processbench,omnimath,omnimath,Llama-3.1-70B-Instruct,,0,final_answer_correct,False,False,,-11.0,0.0,11.0,0.0,3.0,0.0,-0.1404173329919691,0.0,0.41739293207800254,0.0,,,,,,,,,,,,
omnimath-42,processbench,omnimath,omnimath,Qwen2.5-7B-Instruct,,0,final_answer_correct,False,False,,-5.0,0.0,5.0,0.0,1.0,0.0,-0.1734000905445003,0.0,2.345266838891801,1.0,,,,,,,,,,,,
omnimath-43,processbench,omnimath,omnimath,Qwen2.5-Math-7B-Instruct,,0,final_answer_correct,False,False,,-8.0,0.0,8.0,0.0,3.0,0.0,-0.01864137970133945,1.0,0.08029994240164307,0.0,,,,,,,,,,,,
omnimath-44,processbench,omnimath,omnimath,Qwen2.5-72B-Instruct,,0,final_answer_correct,False,False,,-6.0,0.0,6.0,0.0,3.0,0.0,-0.3186633661421377,0.0,0.34402862328597217,0.0,,,,,,,,,,,,
omnimath-45,processbench,omnimath,omnimath,Qwen2.5-Math-7B-Instruct,,0,final_answer_correct,False,False,,-9.0,0.0,9.0,0.0,4.0,0.0,-0.27899656657378963,0.0,1.23048499234724,0.0,,,,,,,,,,,,
omnimath-46,processbench,omnimath,omnimath,Qwen2.5-Math-72B-Instruct,,0,final_answer_correct,False,False,,-12.0,0.0,12.0,0.0,5.0,0.0,-0.06214825610588551,0.0,0.23434944314871947,0.0,,,,,,,,,,,,
omnimath-47,processbench,omnimath,omnimath,Qwen2.5-72B-Instruct,,0,final_answer_correct,False,False,,-7.0,0.0,7.0,0.0,3.0,0.0,-0.4431781542559052,0.0,1.2864999182353496,0.0,,,,,,,,,,,,
omnimath-48,processbench,omnimath,omnimath,Qwen2.5-72B-Instruct,,0,final_answer_correct,False,False,,-9.0,0.0,9.0,0.0,6.0,0.0,-0.06070180687851179,0.0,0.5009507121911746,0.0,,,,,,,,,,,,
omnimath-49,processbench,omnimath,omnimath,Qwen2-72B-Instruct,,0,final_answer_correct,False,False,,-6.0,0.0,6.0,0.0,1.0,0.0,-0.25038873152122704,0.0,1.0983603042898076,0.0,,,,,,,,,,,,
omnimath-50,processbench,omnimath,omnimath,Qwen2-7B-Instruct,,0,final_answer_correct,False,False,,-4.0,0.0,4.0,0.0,1.0,0.0,-0.6693370347317369,0.0,1.694595720774407,0.0,,,,,,,,,,,,
omnimath-51,processbench,omnimath,omnimath,Qwen2.5-Math-72B-Instruct,,0,final_answer_correct,False,False,,-6.0,0.0,6.0,0.0,4.0,0.0,-0.3695300119637664,0.0,2.0699738011307516,1.0,,,,,,,,,,,,
omnimath-52,processbench,omnimath,omnimath,Qwen2.5-72B-Instruct,,0,final_answer_correct,False,False,,-6.0,0.0,6.0,0.0,3.0,0.0,-0.11616010863770782,0.0,0.5044539455787549,0.0,,,,,,,,,,,,
omnimath-53,processbench,omnimath,omnimath,Qwen2-72B-Instruct,,0,final_answer_correct,False,False,,-13.0,0.0,13.0,1.0,6.0,0.0,-0.12349263310144448,0.0,0.008434302608131272,0.0,,,,,,,,,,,,
omnimath-54,processbench,omnimath,omnimath,Qwen2.5-Math-72B-Instruct,,0,final_answer_correct,False,False,,-10.0,0.0,10.0,0.0,6.0,0.0,-0.4523284435669806,0.0,1.450181628571142,0.0,,,,,,,,,,,,
omnimath-55,processbench,omnimath,omnimath,Qwen2.5-Math-7B-Instruct,,0,final_answer_correct,False,False,,-8.0,0.0,8.0,0.0,4.0,0.0,-0.1315118900796964,0.0,0.9575223168989966,0.0,,,,,,,,,,,,
