id,dataset,run_slug,subject,generator,model,target,target_label,is_correct,final_answer_correct,has_answer_chunks,error_step_index,error_step_position,exit_status,reasoning_n_chunks,reasoning_start,reasoning_end,reasoning_end_minus_start,reasoning_std,reasoning_range,reasoning_min,reasoning_max,reasoning_early_mean,reasoning_mid_mean,reasoning_late_mean,reasoning_late_minus_early,reasoning_total_variation,reasoning_monotonicity,reasoning_direction_changes,reasoning_zero_crossings,reasoning_peak_pos,reasoning_trough_pos,reasoning_rebound_from_trough,reasoning_fall_from_peak,reasoning_max_rise,reasoning_max_drop,reasoning_max_rise_pos,reasoning_max_drop_pos,reasoning_curvature_abs_mean,reasoning_positive_mass,reasoning_negative_mass,reasoning_time_positive,reasoning_time_negative,answer_n_chunks,answer_start,answer_end,answer_end_minus_start,answer_std,answer_range,answer_min,answer_max,answer_early_mean,answer_mid_mean,answer_late_mean,answer_late_minus_early,answer_total_variation,answer_monotonicity,answer_direction_changes,answer_zero_crossings,answer_peak_pos,answer_trough_pos,answer_rebound_from_trough,answer_fall_from_peak,answer_max_rise,answer_max_drop,answer_max_rise_pos,answer_max_drop_pos,answer_curvature_abs_mean,answer_positive_mass,answer_negative_mass,answer_time_positive,answer_time_negative,answer_minus_reasoning_mean,answer_start_minus_reasoning_end,answer_end_minus_reasoning_end,answer_range_minus_reasoning_range,total_n_chunks,reasoning_pair_density,answer_pair_density
gsm8k-0,processbench,gsm8k,gsm8k,Qwen2-7B-Instruct,,0,final_answer_correct,False,False,False,1.0,0.3333333333333333,,4,0.46588156689943283,0.1604999173482511,-0.30538164955118174,0.47128534289546165,1.476137006570415,-1.0102554396709822,0.46588156689943283,-0.27218693638577474,-0.2041908006058643,0.2810453053289807,0.5532322417147555,3.2255102258971506,0.09467700554762377,2,2,0.0,0.3157894736842105,1.1707553570192333,0.30538164955118174,0.24602283442840278,0.24602283442840256,0.5555555555555556,0.16666666666666666,0.04368259213763892,0.15897654166561379,0.24139515801399325,0.55,0.45,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0.3333333333333333,
gsm8k-2,processbench,gsm8k,gsm8k,Qwen2-7B-Instruct,,0,final_answer_correct,False,False,False,1.0,0.3333333333333333,,4,-0.09249922254100731,-0.09249922254100731,0.0,0.1768594449580554,0.5544551544146151,-0.19446511493377472,0.3599900394808404,0.13374540846991653,0.051504317187467015,-0.13498501103799374,-0.26873041950791027,1.1089103088292303,0.0,2,2,0.3157894736842105,0.6842105263157895,0.1019658923927674,0.4524892620218477,0.07541487700364136,0.09240919240243595,0.2777777777777778,0.5555555555555556,0.01540153206707268,0.08927175435707808,0.06492985368839196,0.45,0.55,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0.8333333333333334,
gsm8k-4,processbench,gsm8k,gsm8k,Qwen2-7B-Instruct,,0,final_answer_correct,False,False,False,2.0,0.5,,5,1.306262059300384,-0.39848603293804113,-1.704748092238425,0.5518784585198389,2.0372503392350163,-0.7309882799346326,1.306262059300384,0.5076932317856601,-0.5274289330025052,-0.25567818123545244,-0.7633714130211124,2.8721538700235953,0.5935434413980126,2,1,0.0,0.5263157894736842,0.3325022469965914,1.704748092238425,0.14592572222314648,0.2735332598168969,0.5555555555555556,0.0,0.03477496394973025,0.18979888491664754,0.2734098347131791,0.25,0.75,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0.5,
gsm8k-16,processbench,gsm8k,gsm8k,Qwen2-7B-Instruct,,0,final_answer_correct,False,False,False,4.0,0.6666666666666666,,7,1.2459828788653513,0.5473249179544434,-0.6986579609109079,0.4922223396855915,1.8793114060724394,-0.6333285272070881,1.2459828788653513,0.029214266180033897,-0.4273634900627659,0.1498920249123461,0.12067775873231221,3.059964851233971,0.22832221769775063,1,2,0.0,0.3157894736842105,1.1806534451615316,0.6986579609109079,0.16956376684996166,0.5206175377934734,0.9444444444444444,0.0,0.0451196686144634,0.1674006546966819,0.2617852755819342,0.35,0.65,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0.47619047619047616,
gsm8k-20,processbench,gsm8k,gsm8k,Qwen2-7B-Instruct,,0,final_answer_correct,False,False,False,0.0,0.0,,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.0,
gsm8k-35,processbench,gsm8k,gsm8k,Qwen2-7B-Instruct,,0,final_answer_correct,False,False,False,3.0,0.75,,5,-0.7251169207483243,1.536646177725466,2.26176309847379,0.5886050330747606,2.4462766932048314,-0.9096305154793656,1.536646177725466,-0.11950043273816194,-0.3143767484083888,0.2570363254236077,0.3765367581617697,4.723562436825864,0.478825701728979,2,3,1.0,0.7368421052631579,2.4462766932048314,0.0,0.5231382420606323,0.15451982633267392,0.9444444444444444,0.5555555555555556,0.058818531377362135,0.19141983635748339,0.2661659521316938,0.35,0.65,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0.9,
gsm8k-39,processbench,gsm8k,gsm8k,Qwen2-7B-Instruct,,0,final_answer_correct,False,False,False,2.0,0.5,,5,-0.47986975228527073,1.494211273736739,1.9740810260220099,0.6575630246545004,2.4300932879549393,-0.9358820142182004,1.494211273736739,-0.7324688154790927,-0.12030458634667252,0.6834816595791698,1.4159504750582625,3.096906632757774,0.6374364035198905,3,3,1.0,0.2631578947368421,2.4300932879549393,0.0,0.3302349300871257,0.10754223658231399,0.9444444444444444,0.16666666666666666,0.05161024066952252,0.21087618973243819,0.304302382497705,0.35,0.65,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0.7,
gsm8k-53,processbench,gsm8k,gsm8k,Qwen2-7B-Instruct,,0,final_answer_correct,False,False,False,3.0,0.75,,5,-0.6176395002452169,0.5610154960964291,1.178654996341646,0.6139900858836709,1.598270625031729,-0.8598980875730323,0.7383725374586967,-0.7367938455025873,0.18303982454921705,0.6634309204561911,1.4002247659587783,2.0178862537218123,0.584103783931191,2,1,0.7368421052631579,0.21052631578947367,1.4209135836694613,0.1773570413622676,0.2312867976143389,0.06056464683195395,0.2777777777777778,0.05555555555555555,0.03149176625223685,0.2900215026548399,0.28480613385166215,0.55,0.45,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0.4,
gsm8k-58,processbench,gsm8k,gsm8k,Qwen2-7B-Instruct,,0,final_answer_correct,False,False,False,0.0,0.0,,6,0.33231795318654894,0.7717485904503433,0.43943063726379433,0.5863926751704798,1.5640100939672643,-0.752948093528667,0.8110620004385974,0.5078541693450218,-0.6056413493098763,-0.13771960701082103,-0.6455737763558429,3.5674508251983235,0.12317777000874715,2,2,0.21052631578947367,0.7894736842105263,1.5246966839790104,0.03931340998825417,0.4012359694681612,0.35891010513433935,0.9444444444444444,0.2222222222222222,0.07021841449238173,0.23486201984238395,0.3104034149333293,0.45,0.55,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0.4666666666666667,
gsm8k-81,processbench,gsm8k,gsm8k,Qwen2-7B-Instruct,,0,final_answer_correct,False,False,False,4.0,0.6666666666666666,,7,0.7886809191926969,-0.03391665633287446,-0.8225975755255713,0.3692264882916466,1.4344427968562394,-0.6457618776635424,0.7886809191926969,0.26297151951577086,-0.23072472480167092,-0.1700360434576468,-0.4330075629734177,4.131245374307099,0.19911612625128544,5,3,0.0,0.5263157894736842,0.611845221330668,0.8225975755255713,0.35002826931242165,0.47161231533827946,0.2222222222222222,0.3888888888888889,0.14170180289938436,0.13196531593058636,0.1716897508179454,0.3,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0.38095238095238093,
