feature,mean_importance,std_importance
answer_std,0.6334442840608981,0.25049527082253975
answer_negative_mass,0.5834993661180244,0.19278096666899153
answer_n_chunks,0.5357422659257141,0.42075803463431893
answer_traj_t04,0.46999747871389763,0.24369023453184716
answer_curvature_abs_mean,0.45103114148058027,0.3062536122198148
answer_traj_t16,0.3282692036441375,0.2969961589525931
answer_zero_crossings,0.3122241925925682,0.28327584594490907
answer_traj_t12,0.28861380813976745,0.14871279476605673
answer_total_variation,0.2869721535829226,0.16990619866563456
answer_positive_mass,0.2664930142670249,0.18911464071020065
answer_direction_changes,0.25581842184306003,0.19713492869354632
answer_monotonicity,0.2534354684542519,0.10848131361846707
answer_min,0.24406848574105008,0.12658306494497223
answer_peak_pos,0.22943330514071003,0.12205865785635002
answer_max_drop_pos,0.22440934455691136,0.11250107854281004
answer_traj_t06,0.22347853696768563,0.11010670287052766
answer_traj_t02,0.210712047976591,0.0657080542739288
answer_traj_t15,0.2054995832881737,0.09391215014927815
answer_max,0.1964877264889167,0.1491742054223306
answer_range,0.18689432488481506,0.10101115799876191
answer_traj_t14,0.18472095028176408,0.03148944261461219
answer_traj_t13,0.18338031167439334,0.1556706654697661
answer_traj_t18,0.1792878167225874,0.11222384208471757
answer_early_mean,0.17503036718958023,0.0941347533559593
answer_traj_t17,0.172692881830315,0.1877096510707203
answer_end,0.1706262847466044,0.1723566021163379
answer_traj_t11,0.16457144286922834,0.18132985757056008
answer_traj_t09,0.16410676883150438,0.0936922740527883
answer_traj_t05,0.16270602578444565,0.12055323913622616
answer_time_negative,0.14128225266489855,0.0732987796739501
answer_time_positive,0.1412822526648975,0.0732987796739495
answer_traj_t03,0.14099614279087982,0.054848082322572524
answer_max_rise,0.13299287385466935,0.11892983990944987
answer_rebound_from_trough,0.1320353977643554,0.06322923317721071
answer_max_rise_pos,0.1299795279863945,0.08647297553750471
answer_trough_pos,0.1293711813417216,0.13668307684916747
answer_traj_t07,0.122501749495077,0.10363782886889866
answer_traj_t01,0.11927706780437072,0.057060972759984806
answer_mid_mean,0.11891130729792491,0.08586468116995691
answer_max_drop,0.1181386684882025,0.1240658171839727
answer_fall_from_peak,0.10933394302467739,0.07910217169774106
answer_late_minus_early,0.09327737715075692,0.055265045043388146
answer_traj_t08,0.08449125227875982,0.06468640384379164
answer_late_mean,0.07825639352576338,0.062244076140274836
answer_end_minus_start,0.07692743473336247,0.07507439713231659
answer_traj_t10,0.05840226511839001,0.07914392040609912
answer_start,0.05387076435118622,0.04273429768223152
