id,dataset,run_slug,subject,generator,model,target,target_label,is_correct,final_answer_correct,exit_status,premature_exit_score,premature_exit_flag,rambling_overlong_score,rambling_overlong_flag,thrashing_score,thrashing_flag,no_commitment_score,no_commitment_flag,derailment_late_score,derailment_late_flag,answer_drift_score,answer_drift_flag,answer_meandering_score,answer_meandering_flag,answer_volatility_score,answer_volatility_flag,answer_uncommitted_score,answer_uncommitted_flag,answer_overrange_score,answer_overrange_flag,truncation_abort_score,truncation_abort_flag
SmolAgents/000,agenthallu,framework-all,Science,gpt-4.1-2025-04-14,,1,final_answer_correct,True,True,,-7.0,0.0,7.0,0.0,4.0,0.0,-0.22899990275378493,0.0,0.0,0.0,1.6877005054618408,0.0,1.0,0.0,0.3635787587486903,0.0,-0.5135396818432507,0.0,-2.1189173162423955,0.0,,
SmolAgents/001,agenthallu,framework-all,Math,Qwen2.5-Coder-32B-Instruct,,0,final_answer_correct,False,False,,-3.0,1.0,3.0,0.0,0.0,0.0,-1.0,0.0,7.333136835409032,0.0,,,,,,,,,,,,
SmolAgents/002,agenthallu,framework-all,Science,gpt-4.1-2025-04-14,,0,final_answer_correct,False,False,,-7.0,0.0,7.0,0.0,5.0,0.0,-0.01625755178860021,1.0,0.44638820308219707,0.0,3.373631683174718,0.0,2.0,1.0,1.9262708011929135,1.0,-0.2273391777282934,0.0,-0.4882028385470214,1.0,,
SmolAgents/003,agenthallu,framework-all,Math,gpt-4.1-2025-04-14,,0,final_answer_correct,False,False,,-12.0,0.0,12.0,1.0,5.0,0.0,-0.058417855410550404,0.0,0.0,0.0,4.481933354391813,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-11.678518890164693,0.0,,
SmolAgents/004,agenthallu,framework-all,General Assistant,gpt-4.1-2025-04-14,,1,final_answer_correct,True,True,,-11.0,0.0,11.0,1.0,4.0,0.0,-0.03181528659963726,1.0,2.396099286863629,0.0,2.1617012875519066,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-11.224041363495001,0.0,,
SmolAgents/005,agenthallu,framework-all,Science,gpt-4.1-2025-04-14,,1,final_answer_correct,True,True,,-6.0,0.0,6.0,0.0,3.0,0.0,-0.1735934392929828,0.0,0.0,0.0,5.448107857367013,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-16.95797724910188,0.0,,
SmolAgents/006,agenthallu,framework-all,General Assistant,gpt-4.1-2025-04-14,,0,final_answer_correct,False,False,,-10.0,0.0,10.0,0.0,5.0,0.0,-0.25479068502300134,0.0,5.225435170571913,0.0,7.56469048850251,1.0,2.0,1.0,1.2405037162430008,1.0,-0.1274072506367561,0.0,4.205660465620909,1.0,,
SmolAgents/007,agenthallu,framework-all,General Assistant,gpt-4.1-2025-04-14,,1,final_answer_correct,True,True,,-14.0,0.0,14.0,1.0,7.0,1.0,-0.04710156480107628,0.0,0.0,0.0,7.675152020002507,1.0,0.0,0.0,0.0,0.0,-0.0,0.0,-12.057625983718893,0.0,,
SmolAgents/008,agenthallu,framework-all,Math,Qwen2.5-Coder-32B-Instruct,,0,final_answer_correct,False,False,,-3.0,1.0,3.0,0.0,1.0,0.0,-0.3441086053829491,0.0,4.882059343984171,0.0,,,,,,,,,,,,
SmolAgents/009,agenthallu,framework-all,General Assistant,gpt-4.1-2025-04-14,,0,final_answer_correct,False,False,,-5.0,0.0,5.0,0.0,3.0,0.0,-0.09537326707394261,0.0,2.0843447372403574,0.0,4.590675252662972,0.0,2.0,1.0,1.0616465428742003,0.0,-0.358732154632395,0.0,-0.5495511707344711,1.0,,
SmolAgents/010,agenthallu,framework-all,World Knowledge,Qwen2.5-Coder-32B-Instruct,,1,final_answer_correct,True,True,,-10.0,0.0,10.0,0.0,5.0,0.0,-0.019745117639038644,1.0,0.8900231960602776,0.0,2.098161204424443,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-9.070719690417938,0.0,,
SmolAgents/011,agenthallu,framework-all,General Assistant,gpt-4.1-2025-04-14,,1,final_answer_correct,True,True,,-5.0,0.0,5.0,0.0,1.0,0.0,-0.11008762302361175,0.0,1.9698048328740576,0.0,4.064996763567542,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-10.042128132726113,0.0,,
SmolAgents/012,agenthallu,framework-all,General Assistant,gpt-4o-2024-11-20,,0,final_answer_correct,False,False,,-6.0,0.0,6.0,0.0,3.0,0.0,-0.02554258229960737,1.0,0.5053526855194974,0.0,0.010591089670860754,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-10.00864680479308,0.0,,
SmolAgents/013,agenthallu,framework-all,General Assistant,gpt-4o-2024-11-20,,1,final_answer_correct,True,True,,-7.0,0.0,7.0,0.0,2.0,0.0,-0.43732403100514305,0.0,6.653667725587191,0.0,4.477867941743241,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-9.893753806199548,0.0,,
SmolAgents/014,agenthallu,framework-all,World Knowledge,gpt-4.1-2025-04-14,,0,final_answer_correct,False,False,,-3.0,1.0,3.0,0.0,1.0,0.0,-0.15221447442554384,0.0,0.0,0.0,6.873834644197569,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-9.174650299868699,0.0,,
SmolAgents/015,agenthallu,framework-all,General Assistant,gpt-4.1-2025-04-14,,0,final_answer_correct,False,False,,-13.0,0.0,13.0,1.0,7.0,1.0,-0.015740979818742548,1.0,0.7868767558802716,0.0,1.3324803693238998,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-11.726617237599058,0.0,,
SmolAgents/016,agenthallu,framework-all,Math,Qwen2.5-Coder-32B-Instruct,,1,final_answer_correct,True,True,,-3.0,1.0,3.0,0.0,0.0,0.0,-1.0,0.0,9.793292516941907,1.0,,,,,,,,,,,,
SmolAgents/017,agenthallu,framework-all,Science,Qwen2.5-Coder-32B-Instruct,,0,final_answer_correct,False,False,,-4.0,0.0,4.0,0.0,1.0,0.0,-0.4419614274007723,0.0,6.856597374129528,0.0,,,,,,,,,,,,
SmolAgents/018,agenthallu,framework-all,Math,gpt-4.1-2025-04-14,,0,final_answer_correct,False,False,,-10.0,0.0,10.0,0.0,5.0,0.0,-0.09175589235231324,0.0,0.0,0.0,1.207332625330821,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-13.449307010905056,0.0,,
SmolAgents/019,agenthallu,framework-all,Science,gpt-4.1-2025-04-14,,1,final_answer_correct,True,True,,-4.0,0.0,4.0,0.0,1.0,0.0,-0.05565365613842511,0.0,0.7588489819988204,0.0,1.0709486084812063,0.0,2.0,1.0,1.6803740665556757,1.0,-0.13589333881433172,0.0,1.6119140691798606,1.0,,
SmolAgents/020,agenthallu,framework-all,General Assistant,gpt-4.1-2025-04-14,,0,final_answer_correct,False,False,,-8.0,0.0,8.0,0.0,5.0,0.0,-0.048245576691000984,0.0,0.0,0.0,2.8893553231078926,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-10.558728396056747,0.0,,
SmolAgents/021,agenthallu,framework-all,Science,Qwen2.5-Coder-32B-Instruct,,0,final_answer_correct,False,False,,-4.0,0.0,4.0,0.0,1.0,0.0,-0.14722220428389082,0.0,2.2768225152236212,0.0,,,,,,,,,,,,
SmolAgents/022,agenthallu,framework-all,Science,gpt-4.1-2025-04-14,,0,final_answer_correct,False,False,,-5.0,0.0,5.0,0.0,3.0,0.0,-0.34679290280279185,0.0,8.018587984665032,0.0,4.009102088151806,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-16.05524341000785,0.0,,
SmolAgents/023,agenthallu,framework-all,Math,Qwen2.5-Coder-32B-Instruct,,0,final_answer_correct,False,False,,-4.0,0.0,4.0,0.0,1.0,0.0,-0.2506645409956043,0.0,4.58056048373296,0.0,,,,,,,,,,,,
SmolAgents/024,agenthallu,framework-all,World Knowledge,gpt-4.1-2025-04-14,,0,final_answer_correct,False,False,,-7.0,0.0,7.0,0.0,2.0,0.0,-0.1642352837226565,0.0,2.866534557835688,0.0,2.7798295992676145,0.0,0.0,0.0,-0.6151231975152474,0.0,-1.0,0.0,1.235925847776283,1.0,,
SmolAgents/025,agenthallu,framework-all,General Assistant,gpt-4.1-2025-04-14,,0,final_answer_correct,False,False,,-7.0,0.0,7.0,0.0,3.0,0.0,-0.12241717508289592,0.0,2.7548654853785233,0.0,2.4363753647160564,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-9.988561137110953,0.0,,
SmolAgents/026,agenthallu,framework-all,Science,gpt-4.1-2025-04-14,,0,final_answer_correct,False,False,,-5.0,0.0,5.0,0.0,3.0,0.0,-0.1734225151797437,0.0,4.087911041541524,0.0,2.0051949951232757,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-14.10170113814489,0.0,,
