id,dataset,run_slug,subject,generator,model,target,target_label,is_correct,final_answer_correct,has_answer_chunks,error_step_index,error_step_position,exit_status,reasoning_n_chunks,reasoning_start,reasoning_end,reasoning_end_minus_start,reasoning_std,reasoning_range,reasoning_min,reasoning_max,reasoning_early_mean,reasoning_mid_mean,reasoning_late_mean,reasoning_late_minus_early,reasoning_total_variation,reasoning_monotonicity,reasoning_direction_changes,reasoning_zero_crossings,reasoning_peak_pos,reasoning_trough_pos,reasoning_rebound_from_trough,reasoning_fall_from_peak,reasoning_max_rise,reasoning_max_drop,reasoning_max_rise_pos,reasoning_max_drop_pos,reasoning_curvature_abs_mean,reasoning_positive_mass,reasoning_negative_mass,reasoning_time_positive,reasoning_time_negative,answer_n_chunks,answer_start,answer_end,answer_end_minus_start,answer_std,answer_range,answer_min,answer_max,answer_early_mean,answer_mid_mean,answer_late_mean,answer_late_minus_early,answer_total_variation,answer_monotonicity,answer_direction_changes,answer_zero_crossings,answer_peak_pos,answer_trough_pos,answer_rebound_from_trough,answer_fall_from_peak,answer_max_rise,answer_max_drop,answer_max_rise_pos,answer_max_drop_pos,answer_curvature_abs_mean,answer_positive_mass,answer_negative_mass,answer_time_positive,answer_time_negative,answer_minus_reasoning_mean,answer_start_minus_reasoning_end,answer_end_minus_reasoning_end,answer_range_minus_reasoning_range,total_n_chunks,reasoning_pair_density,answer_pair_density
olympiadbench-2,processbench,olympiadbench,olympiadbench,Qwen2.5-72B-Instruct,,0,final_answer_correct,False,False,False,7.0,1.0,,8,6.9867179687832905,0.1285543459177183,-6.858163622865572,3.5994227095204665,13.88984818930976,-6.903130220526469,6.9867179687832905,3.558608747655287,-2.562713682054298,-2.162841496162233,-5.72145024381752,35.36733361961347,0.19391237396144215,5,2,0.0,0.5789473684210527,7.031684566444188,6.858163622865572,2.6129180843106425,2.642318128245093,0.6111111111111112,0.5,1.2284222609068505,1.367562916541,1.6678520924293239,0.5,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0.6071428571428571,
olympiadbench-13,processbench,olympiadbench,olympiadbench,Qwen2.5-72B-Instruct,,0,final_answer_correct,False,False,False,9.0,0.6,,16,2.8721409578632358,0.16066449922033343,-2.7114764586429025,2.5650565320162544,8.695936403510931,-4.192733464394843,4.503202939116087,-0.43569137084124543,-1.2505285508799286,2.0767231919857148,2.5124145628269603,50.71444417133083,0.0534655659338906,8,8,0.7368421052631579,0.42105263157894735,4.353397963615176,4.342538439895754,6.6594614682247695,5.43229861725156,0.7222222222222222,0.7777777777777778,3.6935295028957316,1.0980835191259017,1.0652435341325983,0.5,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,0.20833333333333334,
olympiadbench-18,processbench,olympiadbench,olympiadbench,Qwen2.5-72B-Instruct,,0,final_answer_correct,False,False,False,1.0,0.14285714285714285,,8,6.0519406817499855,7.717458299946268,1.665517618196283,3.7342804086258163,14.015502055119645,-6.298043755173377,7.717458299946268,-1.1554105574495979,-3.0389847483864423,3.0186256415331525,4.17403619898275,32.54478844780634,0.05117616975348771,3,2,1.0,0.15789473684210525,14.015502055119645,0.0,2.6367678913759622,4.827548781116604,0.16666666666666666,0.0,0.8426849883282296,1.3343472198245352,1.8967978844072035,0.35,0.65,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0.6071428571428571,
olympiadbench-29,processbench,olympiadbench,olympiadbench,Qwen2.5-72B-Instruct,,0,final_answer_correct,False,False,False,1.0,0.2,,6,-3.9907246775764222,-8.012169709256648,-4.021445031680226,3.8785185635621215,17.582273840827767,-8.012169709256648,9.570104131571119,-1.1200388427036054,1.6052069939611033,2.171472718775551,3.2915115614791564,34.233121138990036,0.11747234543273868,3,2,0.7894736842105263,1.0,0.0,17.582273840827767,2.6661064908167695,4.767235562892408,0.7222222222222222,1.0,0.6766223433380324,1.8673265551029998,1.0460758865302107,0.7,0.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1.0,
olympiadbench-34,processbench,olympiadbench,olympiadbench,Qwen2.5-72B-Instruct,,0,final_answer_correct,False,False,False,2.0,0.2222222222222222,,10,5.358923944733654,-0.09698046286243667,-5.4559044075960905,2.62797363547491,10.053636968300001,-4.694713023566347,5.358923944733654,1.0548647948630976,0.6661582514807428,-2.4694342103723077,-3.524299005235405,29.696083314026776,0.18372471379143204,5,3,0.0,0.8947368421052632,4.597732560703911,5.4559044075960905,4.4404420642369375,3.1504039941466555,0.2777777777777778,0.16666666666666666,1.2397565523145087,0.9535138220686097,1.091986018959958,0.4,0.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0.4222222222222222,
olympiadbench-35,processbench,olympiadbench,olympiadbench,Qwen2.5-72B-Instruct,,0,final_answer_correct,False,False,False,4.0,0.2857142857142857,,15,-2.655252362176319,2.5015364766362547,5.156788838812574,3.6338928452282446,13.514172655340227,-6.219496263888727,7.2946763914515,2.5765364109977282,0.19137542560361404,-3.2196079116924303,-5.796144322690159,42.324297455516174,0.12183991581271915,8,3,0.21052631578947367,0.7894736842105263,8.721032740524983,4.793139914815245,5.662288216957609,5.369136736251806,1.0,0.5555555555555556,2.9160911875199034,1.64542114307641,1.6425343737736693,0.55,0.45,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.22857142857142856,
olympiadbench-40,processbench,olympiadbench,olympiadbench,Qwen2.5-72B-Instruct,,0,final_answer_correct,False,False,False,1.0,0.1,,11,5.114224766411755,2.3146333605394847,-2.79959140587227,2.4349302471879657,9.923301738054162,-4.8090769716424075,5.114224766411755,1.6557780133542888,-1.1823131188085174,-1.0736990876333115,-2.7294771009876,34.65676942066673,0.08078050703141422,5,4,0.0,0.8947368421052632,7.123710332181892,2.79959140587227,3.8887494333112,3.8677388343272,1.0,0.0,1.4097862825554366,0.9177212460406118,1.0741182592395853,0.35,0.65,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,0.36363636363636365,
olympiadbench-69,processbench,olympiadbench,olympiadbench,Qwen2.5-72B-Instruct,,0,final_answer_correct,False,False,False,7.0,0.7777777777777778,,10,5.102337770235078,-2.8401192641899127,-7.94245703442499,3.0111646670525114,11.720445785679086,-6.618108015444007,5.102337770235078,1.8481616765324997,-2.1369961211049557,0.13853329883934506,-1.7096283776931547,45.61089121411832,0.17413509850398395,8,5,0.0,0.5789473684210527,3.7779887512540946,7.94245703442499,3.592353614798009,4.80669312465923,0.6111111111111112,0.5,2.5510849922907144,1.1802512911097824,1.2397833570583383,0.55,0.45,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0.4222222222222222,
olympiadbench-84,processbench,olympiadbench,olympiadbench,Qwen2.5-72B-Instruct,,0,final_answer_correct,False,False,False,17.0,0.7391304347826086,,24,-0.13777939837448283,2.6488891686037563,2.786668566978239,1.6179770917325769,4.9957807962819825,-2.2776864698900328,2.7180943263919497,0.11879616892040966,-0.6606911020447372,0.8262272301392816,0.7074310612188719,36.27212285298436,0.0768267293941678,11,11,0.7894736842105263,0.5789473684210527,4.926575638493789,0.06920515778819336,4.642354752620461,3.990744735261567,1.0,0.5,3.1147456653080856,0.6990612808070903,0.6408563383588206,0.45,0.55,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,0.11956521739130435,
olympiadbench-91,processbench,olympiadbench,olympiadbench,Qwen2.5-72B-Instruct,,0,final_answer_correct,False,False,False,6.0,0.5454545454545454,,12,2.8958440304233886,2.487681730154554,-0.4081623002688346,3.122776288670004,10.810373644447093,-6.060683710659039,4.749689933788053,2.6917009902912885,-0.3661391165035019,-2.841558964998788,-5.5332599552900765,42.64398727677266,0.009571391568516684,7,4,0.2631578947368421,0.7368421052631579,8.548365440813594,2.262008203633499,4.804551808687462,5.160862056027749,0.6111111111111112,0.6666666666666666,2.4435095963502786,1.3694500520508708,1.4079710857247818,0.5,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0.3181818181818182,
