id,fold,subject,true_type,pred_type,correct,prob_action,prob_memory,prob_planning,prob_reflection
GPT-4o_001_memory_b000_t00_e00-7743eba0,1,gaia,planning,planning,1,0.059724255002818374,0.06070089069551889,0.7979803596785089,0.08159449462315398
GPT-4o_002_memory_b000_t00_e01-7ab08a46,1,gaia,action,planning,0,0.014119481004246016,0.002305564453030923,0.6786900290973478,0.30488492544537527
GPT-4o_003_memory_b000_t00_e03-21a3a421,3,gaia,planning,planning,1,0.020138513484033834,0.0052107744903451565,0.9664628605883707,0.008187851437250338
GPT-4o_004_memory_b000_t00_e04-5e8c1dcf,0,gaia,planning,planning,1,0.007704794645138789,0.0067325901094544725,0.5130907982608055,0.4724718169846012
GPT-4o_005_memory_b000_t00_e05-c9015705,4,gaia,planning,action,0,0.9321309795557733,0.023795920898658774,0.012531332906930032,0.03154176663863784
GPT-4o_006_memory_b000_t00_e06-71f77595,1,gaia,memory,reflection,0,0.01665061493181949,0.2920927412093371,0.0051682166301483205,0.6860884272286951
GPT-4o_007_memory_b000_t00_e08-f572f2ad,3,gaia,memory,planning,0,0.07107644377713569,0.007990729281656452,0.7331168135875062,0.18781601335370146
GPT-4o_008_memory_b000_t00_e09-f0557a9f,2,gaia,planning,planning,1,0.036239531721159964,0.08573274934146702,0.868827492979969,0.009200225957404136
GPT-4o_009_memory_b001_t00_e01-7ab08a46,1,gaia,planning,reflection,0,0.035408867552138484,0.0299397671198075,0.06995872475929121,0.8646926405687627
GPT-4o_010_memory_b001_t00_e02-8d639e26,2,gaia,planning,planning,1,0.02307826481010665,0.010463557967553704,0.7642148021446359,0.2022433750777038
GPT-4o_011_memory_b001_t00_e03-21a3a421,2,gaia,memory,action,0,0.44731805974917677,0.027017896807908465,0.4165882273801538,0.10907581606276087
GPT-4o_012_memory_b001_t00_e04-5e8c1dcf,4,gaia,action,planning,0,0.023436405879111437,0.006596334662050871,0.9688044517733454,0.0011628076854923314
GPT-4o_013_memory_b001_t00_e05-c9015705,0,gaia,action,memory,0,0.2948486264123084,0.6760688994268078,0.0030529197847838268,0.026029554376100023
GPT-4o_014_memory_b001_t00_e06-71f77595,0,gaia,planning,planning,1,0.11814485856723722,0.31969072152972344,0.5291337700164264,0.03303064988661295
GPT-4o_015_memory_b001_t00_e07-f5b5d66a,0,gaia,reflection,planning,0,0.21681781178668655,0.3403858090200051,0.3475429838628465,0.0952533953304619
GPT-4o_016_memory_b001_t00_e08-f572f2ad,4,gaia,planning,planning,1,0.049389570278140595,0.001462569568020934,0.9491013778852504,4.648226858803856e-05
Llama3.3-70B-Turbo_001_memory_b000_t00_e00-7743eba0,0,gaia,planning,action,0,0.7470575311141785,0.23334543832387808,0.012150597251952963,0.007446433309990525
Llama3.3-70B-Turbo_002_memory_b000_t00_e01-7ab08a46,0,gaia,planning,planning,1,0.04106949346089304,0.1309604006413758,0.4851758621592933,0.34279424373843786
Llama3.3-70B-Turbo_003_memory_b000_t00_e02-8d639e26,3,gaia,action,action,1,0.7420149276722354,0.01673958425923101,0.2234063482324145,0.017839139836119
Llama3.3-70B-Turbo_004_memory_b000_t00_e03-21a3a421,2,gaia,planning,planning,1,0.0006406625872857597,9.460110830743795e-05,0.9989327855021468,0.00033195080225993857
Llama3.3-70B-Turbo_006_memory_b000_t00_e05-c9015705,4,gaia,reflection,action,0,0.7770074508024933,0.011647256264489817,0.2109754836973336,0.0003698092356831953
Llama3.3-70B-Turbo_007_memory_b000_t00_e08-f572f2ad,1,gaia,action,memory,0,0.19412855758253408,0.6666241973546085,0.04209140723544391,0.09715583782741348
Llama3.3-70B-Turbo_008_memory_b000_t00_e09-f0557a9f,2,gaia,planning,planning,1,0.23325342132384674,0.03079730220687489,0.6948358513557662,0.041113425113512105
Llama3.3-70B-Turbo_009_memory_b001_t00_e00-7743eba0,4,gaia,memory,planning,0,0.07171316993714698,0.02463959579986342,0.9014722940027396,0.0021749402602500687
Llama3.3-70B-Turbo_010_memory_b001_t00_e01-7ab08a46,0,gaia,memory,memory,1,0.38765018656762823,0.41378116730574477,0.00037984813305284724,0.1981887979935741
Llama3.3-70B-Turbo_011_memory_b001_t00_e02-8d639e26,0,gaia,planning,planning,1,0.052102991491445816,0.22011827664385367,0.5989439582327777,0.1288347736319228
Llama3.3-70B-Turbo_012_memory_b001_t00_e03-21a3a421,2,gaia,reflection,reflection,1,0.0018773686983490727,0.2608449522815702,0.07538718226615579,0.661890496753925
Llama3.3-70B-Turbo_013_memory_b001_t00_e04-5e8c1dcf,3,gaia,reflection,reflection,1,0.00501317408483539,0.12242395260622276,0.027043543528304237,0.8455193297806376
Llama3.3-70B-Turbo_015_memory_b001_t00_e06-71f77595,2,gaia,action,planning,0,0.003106468150227113,0.012645449699296162,0.8949203844010153,0.08932769774946156
Llama3.3-70B-Turbo_016_memory_b001_t00_e07-f5b5d66a,0,gaia,planning,planning,1,0.12873436545985226,0.20615787067124172,0.5442072599943878,0.12090050387451817
Llama3.3-70B-Turbo_017_memory_b001_t00_e08-f572f2ad,4,gaia,planning,planning,1,0.028059915717522886,0.00431526180547506,0.9648791139162187,0.0027457085607832223
Qwen3-8B_001_memory_b000_t00_e00-7743eba0,3,gaia,planning,planning,1,0.3648153770030706,0.01069794946564963,0.6185636684623781,0.005923005068901649
Qwen3-8B_002_memory_b000_t00_e01-7ab08a46,4,gaia,planning,action,0,0.4332500238062981,0.004909931342765795,0.18535637607139932,0.3764836687795367
Qwen3-8B_003_memory_b000_t00_e02-8d639e26,3,gaia,planning,planning,1,0.0012508307223956887,0.0030384620210180536,0.9614709872629696,0.03423971999361669
Qwen3-8B_004_memory_b000_t00_e04-5e8c1dcf,4,gaia,planning,planning,1,0.0002148626874278654,0.0035695169574444536,0.7294993524540253,0.2667162679011024
Qwen3-8B_005_memory_b000_t00_e05-c9015705,3,gaia,planning,reflection,0,0.09122897722446648,1.6606306480411918e-05,0.11950238497951507,0.789252031489538
Qwen3-8B_007_memory_b000_t00_e07-f5b5d66a,1,gaia,planning,reflection,0,0.00020281027762555974,0.0064172043101530865,0.3689148068699551,0.6244651785422664
Qwen3-8B_008_memory_b000_t00_e08-f572f2ad,3,gaia,reflection,planning,0,0.2713324418734992,0.03538693297275394,0.619316695279714,0.07396392987403277
Qwen3-8B_009_memory_b000_t00_e09-f0557a9f,1,gaia,planning,planning,1,0.0006243025624938502,2.9755356377585153e-05,0.9977865881177745,0.001559353963353924
Qwen3-8B_010_memory_b001_t00_e00-7743eba0,2,gaia,planning,planning,1,1.8962189200190195e-05,7.185572848141291e-05,0.9998731464862712,3.603559604702307e-05
Qwen3-8B_012_memory_b001_t00_e02-8d639e26,3,gaia,planning,planning,1,0.3843547851622487,0.00014842081661540487,0.6054096101934594,0.010087183827676545
Qwen3-8B_013_memory_b001_t00_e03-21a3a421,2,gaia,reflection,planning,0,0.033009064502966014,0.0008352093975498055,0.7566077517261302,0.20954797437335398
Qwen3-8B_014_memory_b001_t00_e04-5e8c1dcf,1,gaia,reflection,planning,0,0.030886409862090243,0.008412313196001888,0.7600799185834982,0.2006213583584096
Qwen3-8B_015_memory_b001_t00_e05-c9015705,4,gaia,reflection,reflection,1,0.0009240234527758518,0.0018999646347910562,0.06349729018679562,0.9336787217256375
Qwen3-8B_017_memory_b001_t00_e07-f5b5d66a,1,gaia,planning,reflection,0,0.0003875042082370372,0.00033874233484180766,0.38525144339350736,0.6140223100634138
