id,dataset,run_slug,subject,generator,model,target,target_label,is_correct,final_answer_correct,exit_status,premature_exit_score,premature_exit_flag,rambling_overlong_score,rambling_overlong_flag,thrashing_score,thrashing_flag,no_commitment_score,no_commitment_flag,derailment_late_score,derailment_late_flag,answer_drift_score,answer_drift_flag,answer_meandering_score,answer_meandering_flag,answer_volatility_score,answer_volatility_flag,answer_uncommitted_score,answer_uncommitted_flag,answer_overrange_score,answer_overrange_flag,truncation_abort_score,truncation_abort_flag
omnimath-0,processbench,omnimath,omnimath,Qwen2.5-7B-Instruct,,0,final_answer_correct,False,False,,-6.0,0.0,6.0,0.0,3.0,0.0,-0.6779864871301203,0.0,2.4760700679875023,1.0,,,,,,,,,,,,
omnimath-5,processbench,omnimath,omnimath,Qwen2.5-7B-Instruct,,0,final_answer_correct,False,False,,-17.0,0.0,17.0,1.0,6.0,0.0,-0.09344826540040482,0.0,0.12986808852277387,0.0,,,,,,,,,,,,
omnimath-13,processbench,omnimath,omnimath,Qwen2.5-7B-Instruct,,0,final_answer_correct,False,False,,-7.0,0.0,7.0,0.0,3.0,0.0,-0.7883049059408958,0.0,1.6905382616657727,0.0,,,,,,,,,,,,
omnimath-16,processbench,omnimath,omnimath,Qwen2.5-7B-Instruct,,0,final_answer_correct,False,False,,-23.0,0.0,23.0,1.0,14.0,1.0,-1.762378432492811e-15,1.0,0.16549764589938903,0.0,,,,,,,,,,,,
omnimath-19,processbench,omnimath,omnimath,Qwen2.5-7B-Instruct,,0,final_answer_correct,False,False,,-6.0,0.0,6.0,0.0,3.0,0.0,-0.14035365628044275,0.0,0.6074678938165815,0.0,,,,,,,,,,,,
omnimath-29,processbench,omnimath,omnimath,Qwen2.5-7B-Instruct,,0,final_answer_correct,False,False,,-7.0,0.0,7.0,0.0,2.0,0.0,-0.11107691212401427,0.0,0.3223547283398669,0.0,,,,,,,,,,,,
omnimath-30,processbench,omnimath,omnimath,Qwen2.5-7B-Instruct,,0,final_answer_correct,False,False,,-8.0,0.0,8.0,0.0,2.0,0.0,-0.2008796550573908,0.0,0.91937776988115,0.0,,,,,,,,,,,,
omnimath-36,processbench,omnimath,omnimath,Qwen2.5-7B-Instruct,,0,final_answer_correct,False,False,,-11.0,0.0,11.0,0.0,6.0,0.0,-0.2697473389800088,0.0,1.3583992863474696,0.0,,,,,,,,,,,,
omnimath-42,processbench,omnimath,omnimath,Qwen2.5-7B-Instruct,,0,final_answer_correct,False,False,,-5.0,0.0,5.0,0.0,1.0,0.0,-0.1734000905445003,0.0,2.345266838891801,1.0,,,,,,,,,,,,
omnimath-64,processbench,omnimath,omnimath,Qwen2.5-7B-Instruct,,0,final_answer_correct,False,False,,-6.0,0.0,6.0,0.0,3.0,0.0,-0.09405557671285136,0.0,0.43433991663143656,0.0,,,,,,,,,,,,
omnimath-66,processbench,omnimath,omnimath,Qwen2.5-7B-Instruct,,0,final_answer_correct,False,False,,-9.0,0.0,9.0,0.0,7.0,0.0,-0.1005869358636463,0.0,1.437455853377084,0.0,,,,,,,,,,,,
omnimath-82,processbench,omnimath,omnimath,Qwen2.5-7B-Instruct,,0,final_answer_correct,False,False,,-8.0,0.0,8.0,0.0,3.0,0.0,-0.05400240270834974,1.0,0.0,0.0,,,,,,,,,,,,
omnimath-94,processbench,omnimath,omnimath,Qwen2.5-7B-Instruct,,0,final_answer_correct,False,False,,-9.0,0.0,9.0,0.0,7.0,0.0,-0.023168436604117347,1.0,0.7917906428116785,0.0,,,,,,,,,,,,
omnimath-103,processbench,omnimath,omnimath,Qwen2.5-7B-Instruct,,0,final_answer_correct,False,False,,-14.0,0.0,14.0,1.0,5.0,0.0,-0.13562892639577104,0.0,0.5453859465949953,0.0,,,,,,,,,,,,
omnimath-112,processbench,omnimath,omnimath,Qwen2.5-7B-Instruct,,0,final_answer_correct,False,False,,-5.0,0.0,5.0,0.0,2.0,0.0,-0.2640782284764483,0.0,2.2195054710060704,1.0,,,,,,,,,,,,
omnimath-116,processbench,omnimath,omnimath,Qwen2.5-7B-Instruct,,0,final_answer_correct,False,False,,-6.0,0.0,6.0,0.0,2.0,0.0,-0.434931920993893,0.0,2.355694918307994,1.0,,,,,,,,,,,,
omnimath-123,processbench,omnimath,omnimath,Qwen2.5-7B-Instruct,,0,final_answer_correct,False,False,,-9.0,0.0,9.0,0.0,3.0,0.0,-0.26064422509606305,0.0,0.7646985873431729,0.0,,,,,,,,,,,,
omnimath-134,processbench,omnimath,omnimath,Qwen2.5-7B-Instruct,,0,final_answer_correct,False,False,,-10.0,0.0,10.0,0.0,6.0,0.0,-0.32414317051068287,0.0,1.5484336281595144,0.0,,,,,,,,,,,,
omnimath-146,processbench,omnimath,omnimath,Qwen2.5-7B-Instruct,,0,final_answer_correct,False,False,,-10.0,0.0,10.0,0.0,7.0,0.0,-0.08111671678647639,0.0,0.1923455897222922,0.0,,,,,,,,,,,,
omnimath-150,processbench,omnimath,omnimath,Qwen2.5-7B-Instruct,,0,final_answer_correct,False,False,,-13.0,0.0,13.0,1.0,7.0,0.0,-0.0618085380448271,1.0,0.6057804439033878,0.0,,,,,,,,,,,,
omnimath-171,processbench,omnimath,omnimath,Qwen2.5-7B-Instruct,,0,final_answer_correct,False,False,,-10.0,0.0,10.0,0.0,6.0,0.0,-0.3012655708197376,0.0,1.3491548141704337,0.0,,,,,,,,,,,,
omnimath-190,processbench,omnimath,omnimath,Qwen2.5-7B-Instruct,,0,final_answer_correct,False,False,,-6.0,0.0,6.0,0.0,4.0,0.0,-0.12826852426441088,0.0,2.0964763952154106,1.0,,,,,,,,,,,,
omnimath-198,processbench,omnimath,omnimath,Qwen2.5-7B-Instruct,,0,final_answer_correct,False,False,,-5.0,0.0,5.0,0.0,1.0,0.0,-0.5932737624691191,0.0,1.7769443834429146,0.0,,,,,,,,,,,,
omnimath-500,processbench,omnimath,omnimath,Qwen2.5-7B-Instruct,,1,final_answer_correct,True,True,,-7.0,0.0,7.0,0.0,3.0,0.0,-0.15615865441948726,0.0,0.6690221404436033,0.0,,,,,,,,,,,,
omnimath-516,processbench,omnimath,omnimath,Qwen2.5-7B-Instruct,,1,final_answer_correct,True,True,,-7.0,0.0,7.0,0.0,2.0,0.0,-0.39446727351768185,0.0,1.5647569410148015,0.0,,,,,,,,,,,,
omnimath-525,processbench,omnimath,omnimath,Qwen2.5-7B-Instruct,,1,final_answer_correct,True,True,,-5.0,0.0,5.0,0.0,2.0,0.0,-0.2310198630227119,0.0,1.2891455879357676,0.0,,,,,,,,,,,,
omnimath-537,processbench,omnimath,omnimath,Qwen2.5-7B-Instruct,,1,final_answer_correct,True,True,,-10.0,0.0,10.0,0.0,6.0,0.0,-0.4299140466101759,0.0,1.8325814637483098,0.0,,,,,,,,,,,,
omnimath-550,processbench,omnimath,omnimath,Qwen2.5-7B-Instruct,,1,final_answer_correct,True,True,,-6.0,0.0,6.0,0.0,3.0,0.0,-0.1355748600621029,0.0,0.8602012652231117,0.0,,,,,,,,,,,,
omnimath-551,processbench,omnimath,omnimath,Qwen2.5-7B-Instruct,,1,final_answer_correct,True,True,,-15.0,0.0,15.0,1.0,9.0,1.0,-0.06840747964971432,0.0,0.0,0.0,,,,,,,,,,,,
