id,dataset,run_slug,subject,generator,model,target,target_label,is_correct,final_answer_correct,exit_status,premature_exit_score,premature_exit_flag,rambling_overlong_score,rambling_overlong_flag,thrashing_score,thrashing_flag,no_commitment_score,no_commitment_flag,derailment_late_score,derailment_late_flag,answer_drift_score,answer_drift_flag,answer_meandering_score,answer_meandering_flag,answer_volatility_score,answer_volatility_flag,answer_uncommitted_score,answer_uncommitted_flag,answer_overrange_score,answer_overrange_flag,truncation_abort_score,truncation_abort_flag
olympiadbench-0,processbench,olympiadbench,olympiadbench,Llama-3.1-70B-Instruct,,0,final_answer_correct,False,False,,-4.0,1.0,4.0,0.0,1.0,0.0,-0.34539367149854056,0.0,6.856797363290031,0.0,,,,,,,,,,,,
olympiadbench-1,processbench,olympiadbench,olympiadbench,Qwen2.5-Math-72B-Instruct,,0,final_answer_correct,False,False,,-5.0,0.0,5.0,0.0,2.0,0.0,-0.49552116094935145,0.0,10.664152661782811,0.0,,,,,,,,,,,,
olympiadbench-2,processbench,olympiadbench,olympiadbench,Qwen2.5-72B-Instruct,,0,final_answer_correct,False,False,,-8.0,0.0,8.0,0.0,5.0,0.0,-0.19391237396144215,0.0,6.858163622865572,0.0,,,,,,,,,,,,
olympiadbench-3,processbench,olympiadbench,olympiadbench,Llama-3.1-8B-Instruct,,0,final_answer_correct,False,False,,-6.0,0.0,6.0,0.0,3.0,0.0,-0.11654717105321631,0.0,3.991330202026888,0.0,,,,,,,,,,,,
olympiadbench-4,processbench,olympiadbench,olympiadbench,Qwen2.5-Math-72B-Instruct,,0,final_answer_correct,False,False,,-6.0,0.0,6.0,0.0,2.0,0.0,-0.0563966110284308,0.0,7.350660160839755,0.0,,,,,,,,,,,,
olympiadbench-5,processbench,olympiadbench,olympiadbench,Qwen2.5-Math-7B-Instruct,,0,final_answer_correct,False,False,,-7.0,0.0,7.0,0.0,1.0,0.0,-0.2620810374906719,0.0,5.663863333775989,0.0,,,,,,,,,,,,
olympiadbench-6,processbench,olympiadbench,olympiadbench,Qwen2-72B-Instruct,,0,final_answer_correct,False,False,,-6.0,0.0,6.0,0.0,3.0,0.0,-0.22575916544725438,0.0,8.099883663778439,0.0,,,,,,,,,,,,
olympiadbench-7,processbench,olympiadbench,olympiadbench,Llama-3.1-70B-Instruct,,0,final_answer_correct,False,False,,-6.0,0.0,6.0,0.0,1.0,0.0,-0.3412260367378184,0.0,8.063610357276687,0.0,,,,,,,,,,,,
olympiadbench-8,processbench,olympiadbench,olympiadbench,Qwen2-7B-Instruct,,0,final_answer_correct,False,False,,-4.0,1.0,4.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,,,,,,,,,,,,
olympiadbench-9,processbench,olympiadbench,olympiadbench,Qwen2-72B-Instruct,,0,final_answer_correct,False,False,,-8.0,0.0,8.0,0.0,4.0,0.0,-0.0709161322624658,0.0,4.891021263171369,0.0,,,,,,,,,,,,
olympiadbench-10,processbench,olympiadbench,olympiadbench,Qwen2-7B-Instruct,,0,final_answer_correct,False,False,,-7.0,0.0,7.0,0.0,4.0,0.0,-0.32904221481501844,0.0,0.0,0.0,,,,,,,,,,,,
olympiadbench-11,processbench,olympiadbench,olympiadbench,Qwen2.5-7B-Instruct,,0,final_answer_correct,False,False,,-5.0,0.0,5.0,0.0,1.0,0.0,-0.34816892814401984,0.0,6.3919375120637305,0.0,,,,,,,,,,,,
olympiadbench-12,processbench,olympiadbench,olympiadbench,Qwen2-72B-Instruct,,0,final_answer_correct,False,False,,-6.0,0.0,6.0,0.0,0.0,0.0,-1.0,0.0,20.231371883462664,1.0,,,,,,,,,,,,
olympiadbench-13,processbench,olympiadbench,olympiadbench,Qwen2.5-72B-Instruct,,0,final_answer_correct,False,False,,-16.0,0.0,16.0,1.0,8.0,0.0,-0.0534655659338906,0.0,4.342538439895754,0.0,,,,,,,,,,,,
