id,fold,subject,failure_type,true_step_index,predicted_step_index,predicted_step_probability,n_steps,correct
olympiadbench-0,1,olympiadbench,unknown,2,1,0.7633743795111002,4,0
olympiadbench-1,2,olympiadbench,unknown,3,1,0.7353620712243978,5,0
olympiadbench-10,2,olympiadbench,unknown,1,1,0.6757878509078604,7,1
olympiadbench-100,1,olympiadbench,unknown,1,9,0.5129181885635004,13,0
olympiadbench-101,3,olympiadbench,unknown,2,1,0.6086310421631176,11,0
olympiadbench-102,3,olympiadbench,unknown,1,1,0.7764024840813465,6,1
olympiadbench-103,1,olympiadbench,unknown,0,2,0.7166655244695768,5,0
olympiadbench-104,1,olympiadbench,unknown,2,1,0.8125858808076989,6,0
olympiadbench-105,2,olympiadbench,unknown,1,2,0.6153457350497131,11,0
olympiadbench-106,0,olympiadbench,unknown,1,1,0.69813719322377,4,1
olympiadbench-107,0,olympiadbench,unknown,7,2,0.5469551163268707,11,0
olympiadbench-108,2,olympiadbench,unknown,7,6,0.4823443866785305,15,0
olympiadbench-109,0,olympiadbench,unknown,10,2,0.5982254631239438,11,0
olympiadbench-11,2,olympiadbench,unknown,2,2,0.7371916239020134,5,1
olympiadbench-110,1,olympiadbench,unknown,10,6,0.5594528183665827,19,0
olympiadbench-111,1,olympiadbench,unknown,6,1,0.6736513599209234,10,0
olympiadbench-112,3,olympiadbench,unknown,1,2,0.7148841260135578,8,0
olympiadbench-113,0,olympiadbench,unknown,4,5,0.4828188594736967,14,0
olympiadbench-114,2,olympiadbench,unknown,2,1,0.7133256706936157,8,0
olympiadbench-115,4,olympiadbench,unknown,0,1,0.7905136209475407,4,0
olympiadbench-116,4,olympiadbench,unknown,5,3,0.5891612224077762,10,0
olympiadbench-117,1,olympiadbench,unknown,7,5,0.7810563370662197,11,0
olympiadbench-118,4,olympiadbench,unknown,8,1,0.5677926278596785,11,0
olympiadbench-119,2,olympiadbench,unknown,1,4,0.6382663007266691,6,0
olympiadbench-12,1,olympiadbench,unknown,4,5,0.6633435378641581,6,0
olympiadbench-120,2,olympiadbench,unknown,7,2,0.4120521560585565,19,0
olympiadbench-121,3,olympiadbench,unknown,2,6,0.537422863942878,10,0
olympiadbench-122,1,olympiadbench,unknown,2,1,0.827464556007105,5,0
olympiadbench-123,0,olympiadbench,unknown,1,2,0.7950383819090625,6,0
olympiadbench-124,4,olympiadbench,unknown,2,3,0.6569124292126818,8,0
olympiadbench-125,4,olympiadbench,unknown,3,4,0.6522024674348919,6,0
olympiadbench-126,2,olympiadbench,unknown,2,3,0.6127886448922685,9,0
olympiadbench-127,3,olympiadbench,unknown,2,3,0.6732799461121669,7,0
olympiadbench-128,1,olympiadbench,unknown,2,3,0.6457021725528356,6,0
olympiadbench-129,3,olympiadbench,unknown,2,1,0.7478760611420007,4,0
olympiadbench-13,4,olympiadbench,unknown,9,4,0.4548891443507487,16,0
olympiadbench-130,0,olympiadbench,unknown,1,5,0.6709964831750573,9,0
olympiadbench-131,3,olympiadbench,unknown,3,1,0.6760313781568542,10,0
olympiadbench-132,4,olympiadbench,unknown,3,1,0.6373377958069355,9,0
olympiadbench-133,4,olympiadbench,unknown,0,3,0.42087810356564126,22,0
olympiadbench-134,4,olympiadbench,unknown,3,0,0.6309747587577418,5,0
olympiadbench-135,3,olympiadbench,unknown,2,1,0.7466856197776789,5,0
olympiadbench-136,4,olympiadbench,unknown,2,1,0.6818092295443575,5,0
olympiadbench-137,1,olympiadbench,unknown,11,7,0.5510711639905059,12,0
olympiadbench-138,1,olympiadbench,unknown,7,6,0.42119966926923447,16,0
olympiadbench-139,3,olympiadbench,unknown,4,4,0.39264258979657213,23,1
olympiadbench-14,3,olympiadbench,unknown,12,5,0.548701143701907,18,0
olympiadbench-140,2,olympiadbench,unknown,6,3,0.5281134894778724,10,0
olympiadbench-141,1,olympiadbench,unknown,2,3,0.6532906316614469,6,0
olympiadbench-142,0,olympiadbench,unknown,2,2,0.7307857278507882,5,1
olympiadbench-143,0,olympiadbench,unknown,5,3,0.6984993983143203,8,0
olympiadbench-144,3,olympiadbench,unknown,1,1,0.6745764880120275,9,1
olympiadbench-145,2,olympiadbench,unknown,1,2,0.6852001667715458,5,0
olympiadbench-146,2,olympiadbench,unknown,2,3,0.589366994409492,13,0
olympiadbench-147,2,olympiadbench,unknown,2,1,0.718647140364955,6,0
olympiadbench-148,4,olympiadbench,unknown,1,0,0.5973143890862453,8,0
olympiadbench-149,1,olympiadbench,unknown,1,2,0.7760803420836004,5,0
olympiadbench-15,2,olympiadbench,unknown,3,2,0.5228965431428308,11,0
olympiadbench-150,3,olympiadbench,unknown,1,4,0.6022705042065166,10,0
olympiadbench-151,1,olympiadbench,unknown,3,1,0.7765316668582898,4,0
olympiadbench-152,2,olympiadbench,unknown,0,1,0.7902949828409324,4,0
olympiadbench-153,0,olympiadbench,unknown,2,4,0.6796769128777992,6,0
olympiadbench-154,4,olympiadbench,unknown,3,2,0.6336346550730714,11,0
olympiadbench-155,3,olympiadbench,unknown,1,2,0.6969821649159544,5,0
olympiadbench-156,4,olympiadbench,unknown,3,1,0.5146927874021342,11,0
olympiadbench-157,3,olympiadbench,unknown,1,1,0.6486364770408789,5,1
