id,dataset,run_slug,subject,generator,model,target,target_label,is_correct,final_answer_correct,exit_status,premature_exit_score,premature_exit_flag,rambling_overlong_score,rambling_overlong_flag,thrashing_score,thrashing_flag,no_commitment_score,no_commitment_flag,derailment_late_score,derailment_late_flag,answer_drift_score,answer_drift_flag,answer_meandering_score,answer_meandering_flag,answer_volatility_score,answer_volatility_flag,answer_uncommitted_score,answer_uncommitted_flag,answer_overrange_score,answer_overrange_flag,truncation_abort_score,truncation_abort_flag
GPT-4o_001_alfworld_task_001,agenterrorbench,env-all_provider-all_model-all,alfworld,GPT-4o,,0,final_answer_correct,False,False,,-30.0,0.0,30.0,0.0,14.0,0.0,-0.049248464634431804,0.0,5.068062444510221,0.0,1.9292027765279514,0.0,1.0,0.0,1.1331087088370535,0.0,-0.04812591385140894,0.0,-4.281439297867998,0.0,,
GPT-4o_002_alfworld_task_002,agenterrorbench,env-all_provider-all_model-all,alfworld,GPT-4o,,0,final_answer_correct,False,False,,-30.0,0.0,30.0,0.0,14.0,0.0,-0.04754921111697468,0.0,3.716736175292158,0.0,7.317817860680144,0.0,1.0,0.0,1.5377062148927934,0.0,-0.31575922609734397,0.0,0.14728862812078702,0.0,,
GPT-4o_003_alfworld_task_003,agenterrorbench,env-all_provider-all_model-all,alfworld,GPT-4o,,0,final_answer_correct,False,False,,-30.0,0.0,30.0,0.0,11.0,0.0,-0.0537300109481387,0.0,0.0,0.0,5.071857222909603,0.0,2.0,0.0,1.5300540561819878,0.0,-0.12192626561505708,0.0,-0.06929876034476479,0.0,,
GPT-4o_004_alfworld_task_004,agenterrorbench,env-all_provider-all_model-all,alfworld,GPT-4o,,0,final_answer_correct,False,False,,-30.0,0.0,30.0,0.0,15.0,0.0,-0.04197106304724149,0.0,6.809468551637,0.0,2.6492457668761915,0.0,1.0,0.0,0.38120051840369973,0.0,-0.035234943623588144,0.0,-7.472594409822911,0.0,,
GPT-4o_005_alfworld_task_005,agenterrorbench,env-all_provider-all_model-all,alfworld,GPT-4o,,0,final_answer_correct,False,False,,-30.0,0.0,30.0,0.0,11.0,0.0,-0.050117552616016,0.0,4.622750304976397,0.0,2.609792212566969,0.0,1.0,0.0,0.05436983045837929,0.0,-0.8877104734889691,0.0,-4.431356149426506,0.0,,
GPT-4o_006_alfworld_task_006,agenterrorbench,env-all_provider-all_model-all,alfworld,GPT-4o,,0,final_answer_correct,False,False,,-30.0,0.0,30.0,0.0,12.0,0.0,-0.005254940557267925,0.0,1.3575153254459327,0.0,0.07478596792450887,0.0,2.0,0.0,0.348222867220902,0.0,-0.579644405727707,0.0,-4.510851580319027,0.0,,
GPT-4o_007_alfworld_task_007,agenterrorbench,env-all_provider-all_model-all,alfworld,GPT-4o,,0,final_answer_correct,False,False,,-30.0,0.0,30.0,0.0,12.0,0.0,-0.05648261762255722,0.0,4.537194466724667,0.0,4.741090510184758,0.0,1.0,0.0,1.568889108160488,0.0,-0.13366920517634753,0.0,-0.1851384915819736,0.0,,
GPT-4o_008_alfworld_task_008,agenterrorbench,env-all_provider-all_model-all,alfworld,GPT-4o,,0,final_answer_correct,False,False,,-30.0,0.0,30.0,0.0,13.0,0.0,-0.04974021151097762,0.0,6.1164162963085715,0.0,0.0784797128809025,0.0,1.0,0.0,0.8073556929792431,0.0,-0.01374562011313457,0.0,-5.5851169495233925,0.0,,
GPT-4o_009_alfworld_task_009,agenterrorbench,env-all_provider-all_model-all,alfworld,GPT-4o,,0,final_answer_correct,False,False,,-30.0,0.0,30.0,0.0,14.0,0.0,-0.05359519950575977,0.0,8.030185170671722,1.0,2.330829590634451,0.0,1.0,0.0,1.075104468011197,0.0,-0.14498161029407852,0.0,-2.0455525787356237,0.0,,
GPT-4o_010_alfworld_task_010,agenterrorbench,env-all_provider-all_model-all,alfworld,GPT-4o,,0,final_answer_correct,False,False,,-30.0,0.0,30.0,0.0,10.0,0.0,-0.04242417767624326,0.0,4.940570724353063,0.0,2.3894666622019685,0.0,1.0,0.0,0.8242586799075609,0.0,-0.019757548427593006,0.0,-4.8794822279438534,0.0,,
