id,dataset,run_slug,subject,generator,model,target,target_label,is_correct,final_answer_correct,exit_status,premature_exit_score,premature_exit_flag,rambling_overlong_score,rambling_overlong_flag,thrashing_score,thrashing_flag,no_commitment_score,no_commitment_flag,derailment_late_score,derailment_late_flag,answer_drift_score,answer_drift_flag,answer_meandering_score,answer_meandering_flag,answer_volatility_score,answer_volatility_flag,answer_uncommitted_score,answer_uncommitted_flag,answer_overrange_score,answer_overrange_flag,truncation_abort_score,truncation_abort_flag
rec4UqStf9WUVif1f,gpqa-diamond-freeform,Qwen/Qwen3-30B-A3B-Instruct-2507_reasoning-none,Physics,,Qwen/Qwen3-30B-A3B-Instruct-2507,1,is_correct,True,,,0.0,0.0,0.0,0.0,,,,,,,,,14.0,0.0,6.312777757729988,0.0,-0.043986675326854394,0.0,,,,
recafnH3RRnMBXEb1,gpqa-diamond-freeform,Qwen/Qwen3-30B-A3B-Instruct-2507_reasoning-none,Biology,,Qwen/Qwen3-30B-A3B-Instruct-2507,1,is_correct,True,,,0.0,0.0,0.0,0.0,,,,,,,,,11.0,0.0,6.399553388789103,0.0,-0.0028424661571032216,0.0,,,,
recoy9ZLBsc7HIRBy,gpqa-diamond-freeform,Qwen/Qwen3-30B-A3B-Instruct-2507_reasoning-none,Chemistry,,Qwen/Qwen3-30B-A3B-Instruct-2507,1,is_correct,True,,,0.0,0.0,0.0,0.0,,,,,,,,,12.0,0.0,9.33534196562145,0.0,-0.06853231462295215,0.0,,,,
recBhnXrUyTJ6WHIR,gpqa-diamond-freeform,Qwen/Qwen3-30B-A3B-Instruct-2507_reasoning-none,Physics,,Qwen/Qwen3-30B-A3B-Instruct-2507,1,is_correct,True,,,0.0,0.0,0.0,0.0,,,,,,,,,14.0,0.0,7.462872059009765,0.0,-0.0449261613693751,0.0,,,,
recw4rROcnHKNZhtK,gpqa-diamond-freeform,Qwen/Qwen3-30B-A3B-Instruct-2507_reasoning-none,Biology,,Qwen/Qwen3-30B-A3B-Instruct-2507,1,is_correct,True,,,0.0,0.0,0.0,0.0,,,,,,,,,4.0,0.0,4.091490964153209,0.0,-0.11268825537616863,0.0,,,,
recNuT2oSnO86bxOx,gpqa-diamond-freeform,Qwen/Qwen3-30B-A3B-Instruct-2507_reasoning-none,Chemistry,,Qwen/Qwen3-30B-A3B-Instruct-2507,1,is_correct,True,,,0.0,0.0,0.0,0.0,,,,,,,,,10.0,0.0,5.574615519360355,0.0,-0.04796552764238082,0.0,,,,
recfTlTMjZBuOducT,gpqa-diamond-freeform,Qwen/Qwen3-30B-A3B-Instruct-2507_reasoning-none,Physics,,Qwen/Qwen3-30B-A3B-Instruct-2507,1,is_correct,True,,,0.0,0.0,0.0,0.0,,,,,,,,,10.0,0.0,5.273630682680379,0.0,-0.07213656018755583,0.0,,,,
recJZ3QEfRKjYw9a7,gpqa-diamond-freeform,Qwen/Qwen3-30B-A3B-Instruct-2507_reasoning-none,Chemistry,,Qwen/Qwen3-30B-A3B-Instruct-2507,0,is_correct,False,,,0.0,0.0,0.0,0.0,,,,,,,,,10.0,0.0,9.917005773924728,1.0,-0.10061403718340232,0.0,,,,
recE2ihVfqEK4R9d0,gpqa-diamond-freeform,Qwen/Qwen3-30B-A3B-Instruct-2507_reasoning-none,Physics,,Qwen/Qwen3-30B-A3B-Instruct-2507,1,is_correct,True,,,0.0,0.0,0.0,0.0,,,,,,,,,13.0,0.0,6.69002939523391,0.0,-0.0052627888436673695,0.0,,,,
recDDxpS9s8cwkqfq,gpqa-diamond-freeform,Qwen/Qwen3-30B-A3B-Instruct-2507_reasoning-none,Chemistry,,Qwen/Qwen3-30B-A3B-Instruct-2507,0,is_correct,False,,,0.0,0.0,0.0,0.0,,,,,,,,,14.0,0.0,7.808296934986037,0.0,-0.05214321876976649,0.0,,,,
recVvpD8miVjmmyfe,gpqa-diamond-freeform,Qwen/Qwen3-30B-A3B-Instruct-2507_reasoning-none,Biology,,Qwen/Qwen3-30B-A3B-Instruct-2507,0,is_correct,False,,,0.0,0.0,0.0,0.0,,,,,,,,,11.0,0.0,4.7023504534585205,0.0,-0.00039570274090270377,1.0,,,,
recpJmTOXx6T48nDJ,gpqa-diamond-freeform,Qwen/Qwen3-30B-A3B-Instruct-2507_reasoning-none,Chemistry,,Qwen/Qwen3-30B-A3B-Instruct-2507,1,is_correct,True,,,0.0,0.0,0.0,0.0,,,,,,,,,11.0,0.0,6.221107163854565,0.0,-0.00023711001003292166,1.0,,,,
