id,n_chunks,spearman_rho
0744af3b-0249-4cbb-978a-a8595f8f9672,16,0.4618
078d0957-0a51-46be-b820-da8f749b30b5,29,0.6453
079657b3-e215-4944-8a67-8bb5347e4f15,471,0.4259
07fd78cd-81de-4a62-9952-369093ec303f,345,0.3710
0949d931-d0ad-4146-86e7-ef725919e3de,76,0.4871
09d32726-331e-4c45-98f4-b01a913bb623,43,-0.1278
0a1877af-e331-40b9-b9a3-c1a06dd51ec5,36,0.5557
0b946e4d-8fc8-4f65-85dc-8fb7fd227a96,22,0.7719
0ea11f5b-df09-4330-92cc-302a63c22008,98,0.5644
0eb69a4c-0774-46b6-87dd-6686f639b7fa,13,0.7033
0f13c295-7991-43dc-a79f-d8f3d3fc0d57,262,0.5827
111d5872-2705-42c0-8df4-0fb386ba7084,33,0.4545
11c1fcc0-bcad-4507-951b-550e19f1e2aa,316,0.6014
1440c195-fba2-48dc-a03d-7b9420891daf,126,0.5581
1510d6bd-6785-456d-8988-b9382a3aef9c,161,0.1822
1567b1bb-e3e5-44e5-abb8-b58e2626f468,19,0.6281
16318af5-cfa6-4b2c-bf25-9eb3ac468b48,314,0.6511
163a8ed3-8fc0-492f-bd91-37ef359bec8a,27,0.3498
1875e781-bd89-4528-8bc3-94b7b436402f,250,0.5071
19962a30-eaf9-4b7e-86c7-17c02cdb01bd,131,0.5292
1a5d24e0-9af4-4b36-98d1-2845df696d90,54,0.4943
1b340ded-5f04-4f7f-b8ca-d0887b292332,27,0.7033
1c77dfab-266d-40d4-b3a0-2c27f0b32139,34,0.6223
1ca773ca-3f07-4426-8086-d1f3591cdf5f,42,0.3093
1dba0086-bca8-4b25-8843-e6e428f9284d,21,0.2481
1e2f4cbe-4a38-4dd3-9378-14df40f7599f,339,0.4923
1eca2503-b141-4f9f-ab10-e27d272c93b0,199,0.4625
20fcf049-b356-45cf-83d8-833f280ee107,350,0.5279
218df0c2-18db-495f-8c53-eb6758feaff2,256,0.4107
222e24bf-14d4-4660-a5dd-01b2b3528cfa,158,0.5915
22f5a060-b2ba-4d68-8ad1-cbcbd58a788e,83,0.4387
239c543b-7543-445a-b492-89c994b9ba7c,300,0.5762
27c865e6-1c87-489b-b7ea-b197fe3356ba,210,0.5685
2c46387b-36e6-43cb-9e73-dbf1341bfafd,371,0.5157
2d0a5720-a17d-4886-877d-ee910ea9626a,62,0.4517
2db1b6e6-c019-4ce3-9b53-2292f7b2c38c,61,0.4653
2f43ac4a-f7e3-46c9-aaee-2f112ff662cb,126,0.4029
30a44280-a888-42bf-913a-208aa47c8772,25,0.1300
3182a1e3-e9ad-4d4b-8ef8-de88a9f811b8,30,0.6703
319ae242-19fc-4542-b75a-d32b325ea923,120,0.4015
328c6a47-15d7-470e-99f5-73e468634614,249,0.6110
36c373f1-468f-4bba-a8d9-5a73a3be5876,13,0.6538
3a998a27-4c4b-47c6-bd2c-dd1c9deb3d63,318,0.5602
3d762ba1-3958-453b-b34e-fe24c2822994,359,0.4924
3f380f88-7221-4320-a168-348d9a77db2e,31,0.3310
4195adea-9fa5-4f25-91ef-ebd6c57cfb88,273,0.5654
422512ca-5a0c-4a23-b987-7fa2eb2024e6,120,0.5123
4225f097-0cee-4e43-b5b9-6efbab4c3447,175,0.4606
431c9b49-2795-4750-ae7b-ae9f1450cb4e,22,0.0096
441c416a-8f5e-431c-9675-faeac34ff290,132,0.5387
44a8a9e1-5336-4f37-bfbf-c76fbc7ad1dc,32,0.2845
4525a8e7-9e13-47c9-8b87-c0a97ebd355e,19,0.5105
4842f95d-b84a-4ff4-8165-64fc7bfcf00d,168,0.4496
4adee97f-5a2a-42f4-9152-ca7bbd9b4148,207,0.4813
4c2bdcf2-82c0-4190-b2fc-9696d2ef499a,23,0.0287
4ee82eb3-a457-42c5-9c62-5730d41f67a6,10,0.1879
50f7d1e4-51bd-4013-a570-a02988ca3aa2,298,0.4987
516da073-8d2a-4db5-a739-c752655ec14c,122,0.4966
57390923-7cfd-4adf-8d0b-33c5791f6e51,382,0.3423
5c97845c-c039-48d8-abcf-703afc476b98,110,0.5839
5ef8b29d-7665-45e6-a26a-bd4a27f450ad,212,0.5891
60ff38cc-fb55-4c3c-b75c-f59dde5de0c3,23,0.5998
62dc1c65-0200-41d8-91fd-aa3c606e46cc,220,0.5431
6646019d-bda1-4b1c-83ac-7953e853effd,445,0.5537
6681ea07-9b3a-4a71-9b31-a88212189f27,271,0.7081
676e50c1-cea4-4361-81e1-d4409a23422c,22,0.1033
677d66f3-b5f3-432d-bb04-2a8807d5491f,173,0.5809
69bd11e8-5f96-45dc-8123-b9d800101430,423,0.5961
6e9aca19-46c4-46ea-9643-86b138e8f2f5,69,0.3140
70929247-a356-4a12-8534-49fd885f0c3e,319,0.6311
70c1246f-0a17-4f59-84a2-3699aa395d4d,208,0.5591
710c1336-0995-4d45-bfea-48ff475f255f,102,0.6892
783fc5fc-cf8a-44be-9c48-3b8f86e96720,28,0.4253
790baca4-d2d8-4acb-8494-91adf77e026b,140,0.5513
7c94f50a-0896-450f-8d55-00c98aca5158,29,0.4020
7e32b7a6-9340-4a41-8c1f-89a0a91a6d3f,30,0.6498
7fbca2d0-9e5c-48f8-953c-acab7e25598c,181,0.7709
824508b0-030f-4ed6-a642-c1dcf2ab15d7,35,0.3207
845a3693-c660-4446-bae5-6c38bc75e6fd,33,0.4652
84b13a21-19c8-47a2-8661-a1b59f1062f5,388,0.3193
84bba88d-2aee-4fcb-baab-4c6eea17b0d8,45,0.4763
85b4f862-d881-4a79-8c5d-3e927b486b71,86,0.6543
896bb6e5-d69d-4e9c-9f57-e86b485fd2cf,150,0.3720
8b695bb3-ea3c-4372-9222-9f0b79a68b6c,13,0.3077
8be6ce44-a0c8-4636-80ca-2667dcc9d2af,199,0.5437
8f121749-9809-45f1-bcb8-7118ccb5d4cc,250,0.4414
8fac71ae-1f4a-4edd-9f0d-88a443912a04,21,0.7104
90ddb7c3-4bf1-43b6-820a-c89f3858781a,86,0.4011
91a30120-36ab-425f-961f-3dee779b0021,270,0.4821
94c55a69-1e8d-4934-ae59-2cf0401e1b01,261,0.5509
953ba4b1-94ae-42ac-9621-408386bc382b,34,0.5752
9557097c-9285-46d9-b1fc-51a256d87913,36,0.1560
9c098058-e720-4a0b-8fc5-62fb27aade25,54,0.6861
a1e4e236-3b97-4c36-9cc3-a1711073631e,19,0.5965
a2d2c8a2-86ef-49a6-9e56-804cbb89c848,111,0.6082
a466aab3-82ae-4890-94dc-7fd11df89c0f,24,0.6765
a6176b58-f026-4fbc-9301-28190a36879c,37,0.4083
a74ccc5b-fd37-49fa-b784-871dbcc41e9e,119,0.4905
adadda00-bef8-417d-97d6-cfd9dec33cba,276,0.6126
ae667a28-9659-4f33-a51e-7a19f133e111,400,0.5608
aeaa8d2c-fcb9-423f-b1c0-ac9c122999e6,127,0.5753
af36a1cb-5949-4385-93a0-1f875500c34a,23,0.1423
af50243e-3a60-4460-9536-f9a02c4f8eb8,27,0.3913
b188cad8-92b9-4c72-98a2-b78e04b764f1,46,0.4060
b36273bb-c098-4037-90cc-cfd05cbe5bb9,156,0.6016
b7337452-ab08-43e5-9f3b-419107415280,194,0.3641
b75893ef-5c56-4d43-9ae1-8c9caaf32ee2,160,0.6468
b818c26a-1311-482d-8c4e-bde09ef34a05,28,0.5161
b90fc8dc-2fca-4ff7-9c9f-a2e6a0ac7812,157,0.4428
b93b8a19-eaca-4495-946f-ba4b73e481c8,14,0.5341
bb0539ef-d9fd-4215-bf16-b0eca44a8778,364,0.4125
bc82c611-4407-4da9-8444-48dbf08d0bbf,45,0.5328
bc8a05ac-9db5-47b4-8618-84aa4a46466a,372,0.6141
bf7d23f3-0cf6-4d36-868f-1e3a89f688ea,228,0.5932
c330f0d8-a6ff-4ddd-940c-4d263df8bea6,36,0.6023
c982b5bc-0fb8-4f12-94fa-f05715209ead,621,0.5738
cb11faa6-e12a-4621-9fa7-f6f4b11a9300,238,0.6266
cc251e69-6a32-4ed7-9315-beee80404866,318,0.3991
cfcfcb2d-4ec8-42df-9b19-b6c840d5dea4,35,0.3723
d1cec1fb-13bb-475a-b2f1-956db5ef3b77,242,0.6508
d3acd2cb-8477-4630-b8bb-b4bc22670dc8,109,0.7142
d9a6df63-9cdc-41c0-980b-ddc78275bf91,22,0.7753
dbe975d5-c431-4d73-8f7c-f8bba77ea458,121,0.5854
dcfa830a-3f87-43eb-9ec7-6649fcdd0473,17,0.4657
e1b0b588-915d-46ad-990e-ba5aa554053e,48,0.7400
e2aee1ae-6baa-4d30-a409-e0fc9c90f1fb,41,0.1007
e2bef5ee-c2ee-4704-b52a-63bb2e7aea7a,463,0.6381
e5e3780b-d0a6-4a42-b468-2b196bfe4663,156,0.4668
ea576eec-eb50-4d75-9849-ccd4c83a15fe,59,0.5583
ee749fc0-8faa-45f7-881b-b5703b1a4b01,199,0.5256
eeb31abb-41cb-4fe6-9864-f98fdcef338d,10,0.0788
eec8840a-2d00-4e70-b043-0da51bd1b288,53,0.4890
f040ed81-6802-4359-beff-42e319c1b0f1,165,0.5483
f10254b9-f0a1-407f-8af9-3169e23eee5e,203,0.5115
f12a8706-3ddd-4255-9234-0655babceb8e,249,0.5451
f398c3ad-6cff-45b1-a21d-5ce963db75aa,391,0.6604
f3ba1aae-2fc3-4d9b-a5a3-42bb91de4d7d,165,0.5927
f44b0903-1c29-44a5-9f9b-b6ccdd164e1c,224,0.5043
f4681d73-b08d-450c-89d3-85b9d1250419,320,0.4147
f7b49518-6e84-44e3-9480-4cf91d149702,102,0.0784
f88cc0c0-2ca6-4cb0-bd1e-a37ddcf11294,266,0.6392
f8b3f2c7-7747-42d9-85bb-f8b370cc50e9,258,0.5440
f9fdb988-7a10-4510-a8ab-d011e663be3f,340,0.5938
fbec81f3-a103-43e1-b4a8-bb2487cc24e8,180,0.5887
fcbd76ad-1b45-4f40-ad9d-d2bc5016f02c,18,0.5439
fec1882e-053d-458a-a628-106fbb843235,290,0.6221
ff4a744b-45ac-46d9-b0ba-6461a71e278a,273,0.6305
