id,dataset,run_slug,subject,generator,model,target,target_label,is_correct,final_answer_correct,rubric_score,has_answer_chunks,error_step_index,error_step_position,exit_status,reasoning_n_chunks,reasoning_start,reasoning_end,reasoning_end_minus_start,reasoning_std,reasoning_range,reasoning_min,reasoning_max,reasoning_early_mean,reasoning_mid_mean,reasoning_late_mean,reasoning_late_minus_early,reasoning_total_variation,reasoning_monotonicity,reasoning_direction_changes,reasoning_zero_crossings,reasoning_peak_pos,reasoning_trough_pos,reasoning_rebound_from_trough,reasoning_fall_from_peak,reasoning_max_rise,reasoning_max_drop,reasoning_max_rise_pos,reasoning_max_drop_pos,reasoning_curvature_abs_mean,reasoning_positive_mass,reasoning_negative_mass,reasoning_time_positive,reasoning_time_negative,answer_n_chunks,answer_start,answer_end,answer_end_minus_start,answer_std,answer_range,answer_min,answer_max,answer_early_mean,answer_mid_mean,answer_late_mean,answer_late_minus_early,answer_total_variation,answer_monotonicity,answer_direction_changes,answer_zero_crossings,answer_peak_pos,answer_trough_pos,answer_rebound_from_trough,answer_fall_from_peak,answer_max_rise,answer_max_drop,answer_max_rise_pos,answer_max_drop_pos,answer_curvature_abs_mean,answer_positive_mass,answer_negative_mass,answer_time_positive,answer_time_negative,answer_minus_reasoning_mean,answer_start_minus_reasoning_end,answer_end_minus_reasoning_end,answer_range_minus_reasoning_range,total_n_chunks,reasoning_pair_density,answer_pair_density
Camel/000,agenthallu,framework-all,Math,gpt-4.1-2025-04-14,,0,final_answer_correct,False,False,,True,7.0,0.5384615384615384,,14,0.3634225682516412,5.337316611137529,4.973894042885888,2.4011101774302115,9.483249586610981,-4.1459329754734515,5.337316611137529,-0.40189222987365125,-0.339963702226233,1.0125208978560039,1.414413127729655,45.838164294574355,0.10850988732711149,7,8,1.0,0.3157894736842105,9.483249586610981,0.0,6.503261693201749,5.568718317292558,1.0,0.8888888888888888,3.144559265869884,0.942460021808202,0.8983533286863601,0.4,0.6,2,2.785115205146333,-2.785115205146333,-5.570230410292666,1.6905008124589198,5.570230410292666,-2.785115205146333,2.785115205146333,1.9056051403632803,-0.14658501079717526,-2.0521901511604557,-3.9577952915237358,5.570230410292666,1.0,0,1,0.0,1.0,0.0,5.570230410292666,-0.29317002159435024,0.2931700215943511,0.8888888888888888,0.05555555555555555,3.20731096002823e-16,0.7329250539858772,0.732925053985877,0.5,0.5,3.6212039789351262,1.0690025729439299,-4.501227837348736,-4.460561322807997,16,0.1978021978021978,1.0
Camel/001,agenthallu,framework-all,Science,gpt-4.1-2025-04-14,,1,final_answer_correct,True,True,,True,,,,6,3.8930397470014437,1.4364106505435092,-2.4566290964579345,3.363809726957749,8.903750490045326,-3.7699679844382255,5.133782505607099,3.662329961605729,-3.3120191539010775,-1.6241846294814695,-5.286514591087198,16.247398263963593,0.1512013835413076,4,2,0.15789473684210525,0.42105263157894735,5.206378634981735,3.69737185506359,1.3649729126012984,2.4475768049118907,0.9444444444444444,0.2222222222222222,0.40502169492626033,1.3572079059862916,1.7218545121341038,0.45,0.55,2,-3.743162294408826,3.743162294408826,7.486324588817652,2.2720133401200706,7.486324588817652,-3.743162294408826,3.743162294408826,-2.5611110435428808,0.19700854181099078,2.7581195853538714,5.319230628896753,7.486324588817652,1.0,0,1,1.0,0.0,7.486324588817652,0.0,0.3940170836219825,0.0,0.5555555555555556,0.16666666666666666,3.9474596431116675e-16,0.9850427090549541,0.9850427090549543,0.5,0.5,5.024553119180313,-0.15501982577202256,7.33130476304563,-1.8144672698475333,8,0.6666666666666666,1.0
Camel/002,agenthallu,framework-all,General Assistant,gpt-4.1-2025-04-14,,1,final_answer_correct,True,True,,True,,,,11,0.4771829113230598,3.0794388652649056,2.602255953941846,2.36015545834059,8.859646087753093,-4.259481144219896,4.600164943533198,0.4177226370546275,-1.6505989875377023,1.1887682491363585,0.7710456120817311,29.812919359049868,0.08728618363742756,6,4,0.10526315789473684,0.5263157894736842,7.338920009484801,1.520726078268292,2.533676240079896,3.7051676692495574,0.6666666666666666,0.1111111111111111,1.76752340521629,0.9625871211725403,1.037463369100709,0.45,0.55,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.997747082877411,-0.08169178238749453,-0.08169178238749453,-9.866284068626342,12,0.34545454545454546,
Camel/003,agenthallu,framework-all,Math,gpt-4.1-2025-04-14,,0,final_answer_correct,False,False,,True,12.0,1.0,,13,-0.9297183150284098,3.9938675980125318,4.923585913040942,2.8837563521621834,8.457856558883456,-4.359404903920202,4.098451654963253,-0.9097094291819373,1.549402103876733,-0.48932550114040846,0.42038392804152885,49.59821759933653,0.09926941231667978,7,7,0.3684210526315789,0.10526315789473684,8.353272501932734,0.10458405695072148,5.915489819740386,5.919639507502225,1.0,0.8888888888888888,3.1578921356777565,1.3019361244061936,1.2248413386051378,0.4,0.6,10,-3.7296981620502314,0.9731164981855777,4.702814660235809,2.1849127753225472,8.995393591627716,-3.7296981620502314,5.265695429577484,0.2987467666963917,-1.601650178603636,1.7618593896693857,1.463112622972994,23.538124145033446,0.19979564349558013,3,3,0.10526315789473684,0.0,4.702814660235809,4.2925789313919065,4.497696795813858,3.2588415841325715,0.0,0.16666666666666666,0.9636129595268409,0.9736770922287082,0.9011354694954278,0.45,0.55,-1.63935191669202,-9.362917676754783,-4.660103016518974,-0.23946423921718818,23,0.23076923076923078,0.2
Camel/004,agenthallu,framework-all,Science,gpt-4.1-2025-04-14,,0,final_answer_correct,False,False,,True,9.0,0.9,,11,-2.340582718837533,-2.461195309602301,-0.12061259076476816,3.0230310277756973,10.459768122117467,-4.413485633669664,6.046282488447803,-0.8175878358216266,1.924392768590465,-0.9543055423748797,-0.1367177065532531,50.2757710505692,0.002399020208828854,6,6,0.5789473684210527,0.21052631578947367,1.9522903240673628,8.507477798050104,4.823936687526167,5.871785162106587,0.7777777777777778,0.6666666666666666,2.854571076157927,1.3623514002427015,1.261261336486072,0.45,0.55,3,1.578017092139509,-0.7244249255242275,-2.3024420176637364,0.7988326129607691,2.4248109829078928,-0.8467938907683836,1.578017092139509,0.8101404841116805,-0.6735082629592662,-0.7584163047587155,-1.568556788870396,2.547179948152049,0.9039180837357536,1,1,0.0,0.5263157894736842,0.12236896524415608,2.3024420176637364,0.013596551693795145,0.2559588693426096,0.5555555555555556,0.0,0.014975301168689226,0.2835491694390882,0.4632527834633577,0.35,0.65,0.9372426042408513,4.976455005982661,2.6740129883189248,-9.17999423922852,14,0.2545454545454545,0.6666666666666666
Camel/005,agenthallu,framework-all,General Assistant,gpt-4.1-2025-04-14,,0,final_answer_correct,False,False,,True,15.0,0.8823529411764706,,18,-0.029967331113496896,2.465255098092708,2.495222429206205,2.318267802849334,8.152171587849812,-3.9431852053226866,4.208986382527126,0.07067441664421732,0.496625649784412,-0.6595184882263453,-0.7301929048705627,46.03551310877111,0.05420212050880328,8,9,0.47368421052631576,0.5263157894736842,6.408440303415395,1.7437312844344177,7.437767153163489,8.152171587849812,0.4444444444444444,0.5,3.754320873942534,0.9175875567244569,0.9168880799423402,0.45,0.55,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09872715092362208,-2.366527947169086,-2.366527947169086,-9.512853235744185,19,0.17647058823529413,
Camel/006,agenthallu,framework-all,Science,gpt-4.1-2025-04-14,,0,final_answer_correct,False,False,,True,2.0,1.0,,3,-2.5550652381124443,2.5370116844176884,5.092076922530133,1.5454084220334892,5.092076922530133,-2.5550652381124443,2.5370116844176884,-1.7425014091206972,0.14696529027597469,1.87412796580639,3.6166293749270872,5.092076922530133,1.0,0,1,1.0,0.0,5.092076922530133,0.0,0.27085460966391617,0.0,0.4444444444444444,0.8888888888888888,0.0003167290121889383,0.6719104954586759,0.6681097473124116,0.5,0.5,9,2.864769428052488,3.092686761437141,0.22791733338465292,3.4632216246741887,10.750555341284791,-4.9552029084302385,5.795352432854552,1.6628250557357676,-3.9591124189895934,1.9602583938154636,0.2974333380796961,25.143743169327475,0.009064574508646998,6,2,0.8947368421052632,0.42105263157894735,8.047889669867379,2.7026656714174107,4.474537719244765,3.0733356755116965,0.8333333333333334,0.3333333333333333,1.1810108506998591,1.498819985120537,1.7144430441147371,0.5,0.5,0.4786912784955912,0.8064490221303906,1.0343663555150435,6.166577307771341,12,0.6666666666666666,0.3333333333333333
Camel/007,agenthallu,framework-all,Science,gpt-4.1-2025-04-14,,1,final_answer_correct,True,True,,True,,,,3,4.761520743527422,-2.4388229542085624,-7.200343697735985,2.42586349773227,7.200343697735985,-2.4388229542085624,4.761520743527422,2.524399101575964,-1.8572845249776475,-2.40826370029022,-4.932662801866184,7.200343697735984,1.0000000000000002,0,1,0.0,1.0,0.0,7.200343697735985,-0.012223701567336764,0.7457072139838195,0.6111111111111112,0.0,0.04074908402313815,0.8835396855515875,1.3725286938292425,0.35,0.65,6,-3.3122733328255975,5.745797271874057,9.058070604699655,2.38328227632058,9.460023381281513,-3.7142261094074556,5.745797271874057,0.5338837697262736,-1.1768498712573394,0.1951128867401025,-0.3387708829861711,23.98274378958481,0.3776911717930031,4,3,1.0,0.7894736842105263,9.460023381281513,0.0,2.5320044121666863,1.2960788718849057,0.9444444444444444,0.2222222222222222,0.49089586249942013,0.9093826401007672,1.0758869096146095,0.4,0.6,-3.3398274119597864,-4.2132777905768215,4.844792814122833,2.4212730684974098,9,0.6666666666666666,0.6
Camel/008,agenthallu,framework-all,Math,gpt-4o-2024-11-20,,0,final_answer_correct,False,False,,True,3.0,0.42857142857142855,,8,-2.4532616995326983,5.901963349679017,8.355225049211715,1.981841429505438,9.128587607250237,-3.2266242575712205,5.901963349679017,-1.386671311992152,0.7611698919759748,0.2970720448413304,1.6837433568334825,21.786634953947473,0.38350231997153145,4,3,1.0,0.8421052631578947,9.128587607250237,0.0,3.513983720347144,1.4327887179220102,1.0,0.7777777777777778,0.7289021501166248,0.6809066111421357,0.8107104946953985,0.45,0.55,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12252354075552097,-5.779439808923495,-5.779439808923495,-9.53795581237081,9,0.5714285714285714,
Camel/009,agenthallu,framework-all,Math,gpt-4o-2024-11-20,,0,final_answer_correct,False,False,,True,3.0,0.23076923076923078,,14,0.024856041055631804,2.301339136657053,2.276483095601421,2.4857878461385123,10.010585994666467,-5.392765318968149,4.617820675698319,0.9589097232851167,0.010257428916404755,-1.3145727957319462,-2.2734825190170627,42.86996032755503,0.053102057436199494,7,6,0.21052631578947367,0.47368421052631576,7.694104455625201,2.316481539041266,6.3444321830711985,4.7221191994768255,0.5,0.4444444444444444,3.37308493917155,0.875468719260408,0.9306320547094593,0.5,0.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16943342944171416,-2.1319057072153385,-2.1319057072153385,-13.850605936366783,15,0.25274725274725274,
