id,umap_x,umap_y,target,framework,hallucination_category,hallucination_subcategory,subject
BFCL/000,9.321436,11.183699,0,BFCL,Tool-Use Hallucination,Unnecessary Tool Call,Tool Use
BFCL/001,7.8234262,7.633026,1,BFCL,,,Tool Use
BFCL/002,8.320035,12.1011915,0,BFCL,Tool-Use Hallucination,Incorrect Tool Arguments,Tool Use
BFCL/003,10.286324,10.055522,0,BFCL,Tool-Use Hallucination,Incorrect Tool Arguments,Tool Use
BFCL/004,9.815656,10.025469,0,BFCL,Tool-Use Hallucination,Missing Required Call,Tool Use
BFCL/005,11.63907,11.453504,0,BFCL,Tool-Use Hallucination,Unnecessary Tool Call,Tool Use
BFCL/006,9.6705675,12.0546055,0,BFCL,Tool-Use Hallucination,Incorrect Tool Arguments,Tool Use
BFCL/007,11.148025,11.082334,1,BFCL,,,Tool Use
BFCL/008,11.760594,11.4843,0,BFCL,Tool-Use Hallucination,Incorrect Tool Arguments,Tool Use
BFCL/009,10.370122,10.681832,1,BFCL,,,Tool Use
BFCL/010,9.752424,9.411242,1,BFCL,,,Tool Use
BFCL/011,10.138024,10.844603,1,BFCL,,,Tool Use
BFCL/012,9.443908,12.085055,1,BFCL,,,Tool Use
BFCL/013,9.728126,10.731693,1,BFCL,,,Tool Use
BFCL/014,11.534004,11.308722,0,BFCL,Tool-Use Hallucination,Missing Required Call,Tool Use
BFCL/015,11.231529,10.981118,0,BFCL,Tool-Use Hallucination,Parallel Call Conflict,Tool Use
BFCL/016,12.081644,11.401486,0,BFCL,Tool-Use Hallucination,Parallel Call Conflict,Tool Use
BFCL/017,11.635275,11.537175,0,BFCL,Tool-Use Hallucination,Unnecessary Tool Call,Tool Use
BFCL/018,10.10515,11.207277,1,BFCL,,,Tool Use
BFCL/019,9.994688,11.837428,1,BFCL,,,Tool Use
BFCL/020,9.885789,10.740188,1,BFCL,,,Tool Use
BFCL/021,9.91349,11.449704,0,BFCL,Tool-Use Hallucination,Incorrect Tool Arguments,Tool Use
BFCL/022,9.664959,10.653633,1,BFCL,,,Tool Use
BFCL/023,12.10418,11.397905,0,BFCL,Tool-Use Hallucination,Unnecessary Tool Call,Tool Use
BFCL/024,11.181964,11.244641,0,BFCL,Tool-Use Hallucination,Incorrect Tool Arguments,Tool Use
BFCL/025,10.121164,9.041321,0,BFCL,Tool-Use Hallucination,Incorrect Tool Arguments,Tool Use
BFCL/026,9.1077,12.337315,1,BFCL,,,Tool Use
BFCL/027,11.950237,9.913218,0,BFCL,Tool-Use Hallucination,Missing Required Call,Tool Use
