feature,mean_importance,std_importance
reasoning_traj_t17,0.647409485365207,0.29962551205967686
reasoning_std,0.5655416552007145,0.19175382196018437
reasoning_n_chunks,0.47603881840554274,0.10538297917465933
reasoning_traj_t06,0.4459541625080926,0.2708912810601597
reasoning_negative_mass,0.420004283935671,0.16229062364001798
reasoning_traj_t16,0.4154294835956717,0.15615770401391726
reasoning_peak_pos,0.38015528380369534,0.07500762113493677
reasoning_positive_mass,0.3188671790347269,0.20913357881153086
reasoning_start,0.3188092849044186,0.16789084150944378
reasoning_traj_t15,0.29365787311867597,0.1774229082410233
reasoning_traj_t01,0.28075387733410395,0.08789617032241012
reasoning_trough_pos,0.260885228332159,0.08077230551387109
reasoning_traj_t13,0.24551515257102002,0.06738262302968866
reasoning_max_rise,0.23406584353214427,0.12400960744479815
reasoning_traj_t05,0.23077893684149461,0.22329470410692098
reasoning_traj_t11,0.21781567178252406,0.1383689069844264
reasoning_traj_t09,0.21016001361717387,0.055147941085662684
reasoning_total_variation,0.20455160308488063,0.15909661955958931
reasoning_traj_t04,0.203221357979606,0.2026664590659664
reasoning_direction_changes,0.19565759171106534,0.10752458037838573
reasoning_traj_t14,0.18963430073085608,0.11895928148979559
reasoning_end,0.1878516816717429,0.09286357588730886
reasoning_rebound_from_trough,0.18700417495398858,0.11532568945524715
reasoning_fall_from_peak,0.18378566218870265,0.09137075338665467
reasoning_zero_crossings,0.1829632405279165,0.11980036417285789
reasoning_monotonicity,0.16674908254180412,0.07471076497326129
reasoning_traj_t07,0.13591258939763512,0.1529256565507439
reasoning_max_drop_pos,0.13172411083830926,0.09435130135083812
reasoning_traj_t02,0.1257738184189354,0.16384586359048522
reasoning_end_minus_start,0.1235253372519362,0.05492549522191029
reasoning_max_drop,0.12078409567249948,0.0804765240145011
reasoning_traj_t10,0.1186483535461061,0.10734788000326576
reasoning_curvature_abs_mean,0.11261782849054935,0.1034208494507737
reasoning_early_mean,0.1006919369885237,0.07495099077940781
reasoning_traj_t08,0.09902032527625051,0.07346353612048274
reasoning_max_rise_pos,0.0836899672635565,0.04494500027175294
reasoning_traj_t03,0.08219231783016245,0.13567752806777694
reasoning_time_positive,0.08217286073356968,0.0413620078474633
reasoning_time_negative,0.07907251659388928,0.07706757925570062
reasoning_traj_t12,0.07725974252888376,0.040001040093151426
reasoning_min,0.0745422243485371,0.09610990902392622
reasoning_traj_t18,0.06139067610544695,0.039865124777232606
reasoning_late_minus_early,0.05653107798845669,0.021846890179695214
reasoning_max,0.04914785779739603,0.03891066948392818
reasoning_range,0.031953824826323904,0.01726900817307761
reasoning_mid_mean,0.030357779849315314,0.01544416757012979
reasoning_late_mean,0.029554067556467233,0.014381602452610649
