id,dataset,run_slug,subject,generator,model,target,target_label,is_correct,final_answer_correct,exit_status,premature_exit_score,premature_exit_flag,rambling_overlong_score,rambling_overlong_flag,thrashing_score,thrashing_flag,no_commitment_score,no_commitment_flag,derailment_late_score,derailment_late_flag,answer_drift_score,answer_drift_flag,answer_meandering_score,answer_meandering_flag,answer_volatility_score,answer_volatility_flag,answer_uncommitted_score,answer_uncommitted_flag,answer_overrange_score,answer_overrange_flag,truncation_abort_score,truncation_abort_flag
gsm8k-57,processbench,gsm8k,gsm8k,Qwen2.5-72B-Instruct,,0,final_answer_correct,False,False,,-8.0,0.0,8.0,0.0,3.0,0.0,-0.5184593588561549,0.0,1.6137397199199555,0.0,,,,,,,,,,,,
gsm8k-104,processbench,gsm8k,gsm8k,Qwen2.5-72B-Instruct,,0,final_answer_correct,False,False,,-6.0,0.0,6.0,0.0,2.0,0.0,-0.1578890030774896,0.0,1.154961937579111,0.0,,,,,,,,,,,,
gsm8k-201,processbench,gsm8k,gsm8k,Qwen2.5-72B-Instruct,,1,final_answer_correct,True,True,,-6.0,0.0,6.0,0.0,2.0,0.0,-0.024275991776792523,1.0,1.399458997692048,0.0,,,,,,,,,,,,
gsm8k-204,processbench,gsm8k,gsm8k,Qwen2.5-72B-Instruct,,1,final_answer_correct,True,True,,-10.0,0.0,10.0,1.0,3.0,0.0,-0.14598019851702226,0.0,0.49062291644847145,0.0,,,,,,,,,,,,
gsm8k-207,processbench,gsm8k,gsm8k,Qwen2.5-72B-Instruct,,1,final_answer_correct,True,True,,-6.0,0.0,6.0,0.0,3.0,0.0,-0.4182044674760309,0.0,1.683654103840133,0.0,,,,,,,,,,,,
gsm8k-212,processbench,gsm8k,gsm8k,Qwen2.5-72B-Instruct,,1,final_answer_correct,True,True,,-4.0,0.0,4.0,0.0,1.0,0.0,-0.6619736961212845,0.0,1.999977370325589,1.0,,,,,,,,,,,,
gsm8k-218,processbench,gsm8k,gsm8k,Qwen2.5-72B-Instruct,,1,final_answer_correct,True,True,,-7.0,0.0,7.0,0.0,1.0,0.0,-0.12227738573274798,0.0,0.39683196096346174,0.0,,,,,,,,,,,,
gsm8k-227,processbench,gsm8k,gsm8k,Qwen2.5-72B-Instruct,,1,final_answer_correct,True,True,,-8.0,0.0,8.0,0.0,5.0,1.0,-0.3256583196383839,0.0,1.4954936530848824,0.0,,,,,,,,,,,,
gsm8k-228,processbench,gsm8k,gsm8k,Qwen2.5-72B-Instruct,,1,final_answer_correct,True,True,,-7.0,0.0,7.0,0.0,1.0,0.0,-0.2749857301893606,0.0,0.8915895281815882,0.0,,,,,,,,,,,,
gsm8k-241,processbench,gsm8k,gsm8k,Qwen2.5-72B-Instruct,,1,final_answer_correct,True,True,,-5.0,0.0,5.0,0.0,1.0,0.0,-0.6999035416743278,0.0,1.7917594692280545,0.0,,,,,,,,,,,,
gsm8k-245,processbench,gsm8k,gsm8k,Qwen2.5-72B-Instruct,,1,final_answer_correct,True,True,,-6.0,0.0,6.0,0.0,4.0,0.0,-0.09680906497194089,1.0,0.38528001373534687,0.0,,,,,,,,,,,,
gsm8k-252,processbench,gsm8k,gsm8k,Qwen2.5-72B-Instruct,,1,final_answer_correct,True,True,,-7.0,0.0,7.0,0.0,5.0,1.0,-0.26040172338087825,0.0,1.4155809403552697,0.0,,,,,,,,,,,,
gsm8k-255,processbench,gsm8k,gsm8k,Qwen2.5-72B-Instruct,,1,final_answer_correct,True,True,,-8.0,0.0,8.0,0.0,3.0,0.0,-0.3756022048680191,0.0,1.354869269949065,0.0,,,,,,,,,,,,
gsm8k-260,processbench,gsm8k,gsm8k,Qwen2.5-72B-Instruct,,1,final_answer_correct,True,True,,-6.0,0.0,6.0,0.0,3.0,0.0,-0.1463848720170455,0.0,0.9274109177691698,0.0,,,,,,,,,,,,
gsm8k-262,processbench,gsm8k,gsm8k,Qwen2.5-72B-Instruct,,1,final_answer_correct,True,True,,-4.0,0.0,4.0,0.0,1.0,0.0,-0.40266537531979035,0.0,1.2527629684953676,0.0,,,,,,,,,,,,
gsm8k-270,processbench,gsm8k,gsm8k,Qwen2.5-72B-Instruct,,1,final_answer_correct,True,True,,-4.0,0.0,4.0,0.0,2.0,0.0,-0.2731855197133659,0.0,0.0,0.0,,,,,,,,,,,,
gsm8k-280,processbench,gsm8k,gsm8k,Qwen2.5-72B-Instruct,,1,final_answer_correct,True,True,,-6.0,0.0,6.0,0.0,2.0,0.0,-0.11720897395953758,0.0,0.30417584090994043,0.0,,,,,,,,,,,,
gsm8k-295,processbench,gsm8k,gsm8k,Qwen2.5-72B-Instruct,,1,final_answer_correct,True,True,,-4.0,0.0,4.0,0.0,0.0,0.0,-1.0,0.0,2.4145901513705406,1.0,,,,,,,,,,,,
gsm8k-369,processbench,gsm8k,gsm8k,Qwen2.5-72B-Instruct,,1,final_answer_correct,True,True,,-3.0,1.0,3.0,0.0,1.0,0.0,-0.20713487670733,0.0,0.0,0.0,,,,,,,,,,,,
gsm8k-380,processbench,gsm8k,gsm8k,Qwen2.5-72B-Instruct,,1,final_answer_correct,True,True,,-5.0,0.0,5.0,0.0,2.0,0.0,-0.39975320488584415,0.0,1.993562751694466,0.0,,,,,,,,,,,,
gsm8k-383,processbench,gsm8k,gsm8k,Qwen2.5-72B-Instruct,,1,final_answer_correct,True,True,,-4.0,0.0,4.0,0.0,1.0,0.0,-0.4645348175066603,0.0,1.3965508612870794,0.0,,,,,,,,,,,,
gsm8k-390,processbench,gsm8k,gsm8k,Qwen2.5-72B-Instruct,,1,final_answer_correct,True,True,,-7.0,0.0,7.0,0.0,3.0,0.0,-0.36879110509082463,0.0,1.5950898220243896,0.0,,,,,,,,,,,,
gsm8k-392,processbench,gsm8k,gsm8k,Qwen2.5-72B-Instruct,,1,final_answer_correct,True,True,,-5.0,0.0,5.0,0.0,3.0,0.0,-0.39199891904411105,0.0,1.3862943611198906,0.0,,,,,,,,,,,,
