id,dataset,run_slug,subject,generator,model,target,target_label,is_correct,final_answer_correct,exit_status,premature_exit_score,premature_exit_flag,rambling_overlong_score,rambling_overlong_flag,thrashing_score,thrashing_flag,no_commitment_score,no_commitment_flag,derailment_late_score,derailment_late_flag,answer_drift_score,answer_drift_flag,answer_meandering_score,answer_meandering_flag,answer_volatility_score,answer_volatility_flag,answer_uncommitted_score,answer_uncommitted_flag,answer_overrange_score,answer_overrange_flag,truncation_abort_score,truncation_abort_flag
olympiadbench-5,processbench,olympiadbench,olympiadbench,Qwen2.5-Math-7B-Instruct,,0,final_answer_correct,False,False,,-7.0,0.0,7.0,0.0,1.0,0.0,-0.2620810374906719,0.0,5.663863333775989,0.0,,,,,,,,,,,,
olympiadbench-25,processbench,olympiadbench,olympiadbench,Qwen2.5-Math-7B-Instruct,,0,final_answer_correct,False,False,,-6.0,1.0,6.0,0.0,1.0,0.0,-0.2826282240322027,0.0,6.050549291001175,0.0,,,,,,,,,,,,
olympiadbench-27,processbench,olympiadbench,olympiadbench,Qwen2.5-Math-7B-Instruct,,0,final_answer_correct,False,False,,-18.0,0.0,18.0,1.0,11.0,1.0,-0.007630430340631479,0.0,1.7020406635365046,0.0,,,,,,,,,,,,
olympiadbench-31,processbench,olympiadbench,olympiadbench,Qwen2.5-Math-7B-Instruct,,0,final_answer_correct,False,False,,-8.0,0.0,8.0,0.0,3.0,0.0,-0.23907171997862953,0.0,7.28453673159013,0.0,,,,,,,,,,,,
olympiadbench-42,processbench,olympiadbench,olympiadbench,Qwen2.5-Math-7B-Instruct,,0,final_answer_correct,False,False,,-25.0,0.0,25.0,1.0,13.0,1.0,-0.0029232893387384964,0.0,0.010232642980140927,0.0,,,,,,,,,,,,
olympiadbench-48,processbench,olympiadbench,olympiadbench,Qwen2.5-Math-7B-Instruct,,0,final_answer_correct,False,False,,-4.0,1.0,4.0,0.0,1.0,0.0,-0.34562803935925374,0.0,4.56825183636014,0.0,,,,,,,,,,,,
olympiadbench-51,processbench,olympiadbench,olympiadbench,Qwen2.5-Math-7B-Instruct,,0,final_answer_correct,False,False,,-8.0,0.0,8.0,0.0,3.0,0.0,-0.16325485673498094,0.0,0.0,0.0,,,,,,,,,,,,
olympiadbench-53,processbench,olympiadbench,olympiadbench,Qwen2.5-Math-7B-Instruct,,0,final_answer_correct,False,False,,-8.0,0.0,8.0,0.0,6.0,0.0,-0.04162739811948254,0.0,0.8989931289886659,0.0,,,,,,,,,,,,
olympiadbench-59,processbench,olympiadbench,olympiadbench,Qwen2.5-Math-7B-Instruct,,0,final_answer_correct,False,False,,-6.0,1.0,6.0,0.0,3.0,0.0,-0.17006041628308946,0.0,6.019166815907326,0.0,,,,,,,,,,,,
olympiadbench-68,processbench,olympiadbench,olympiadbench,Qwen2.5-Math-7B-Instruct,,0,final_answer_correct,False,False,,-6.0,1.0,6.0,0.0,3.0,0.0,-0.21161055477921792,0.0,8.051726725562496,1.0,,,,,,,,,,,,
olympiadbench-82,processbench,olympiadbench,olympiadbench,Qwen2.5-Math-7B-Instruct,,0,final_answer_correct,False,False,,-10.0,0.0,10.0,0.0,5.0,0.0,-0.08335325273161925,0.0,2.932733123717011,0.0,,,,,,,,,,,,
olympiadbench-83,processbench,olympiadbench,olympiadbench,Qwen2.5-Math-7B-Instruct,,0,final_answer_correct,False,False,,-12.0,0.0,12.0,0.0,8.0,0.0,-0.007532492538599571,0.0,4.402543049821251,0.0,,,,,,,,,,,,
olympiadbench-97,processbench,olympiadbench,olympiadbench,Qwen2.5-Math-7B-Instruct,,0,final_answer_correct,False,False,,-11.0,0.0,11.0,0.0,6.0,0.0,-0.09265989962993487,0.0,1.648155006816467,0.0,,,,,,,,,,,,
olympiadbench-99,processbench,olympiadbench,olympiadbench,Qwen2.5-Math-7B-Instruct,,0,final_answer_correct,False,False,,-4.0,1.0,4.0,0.0,1.0,0.0,-0.20829215887067773,0.0,6.588976128021042,0.0,,,,,,,,,,,,
olympiadbench-106,processbench,olympiadbench,olympiadbench,Qwen2.5-Math-7B-Instruct,,0,final_answer_correct,False,False,,-4.0,1.0,4.0,0.0,2.0,0.0,-0.14942745617574413,0.0,2.250365603817059,0.0,,,,,,,,,,,,
olympiadbench-107,processbench,olympiadbench,olympiadbench,Qwen2.5-Math-7B-Instruct,,0,final_answer_correct,False,False,,-11.0,0.0,11.0,0.0,6.0,0.0,-0.11326250398830454,0.0,8.906163292940352,1.0,,,,,,,,,,,,
olympiadbench-121,processbench,olympiadbench,olympiadbench,Qwen2.5-Math-7B-Instruct,,0,final_answer_correct,False,False,,-10.0,0.0,10.0,0.0,5.0,0.0,-0.021972357417026345,0.0,0.42890452326162176,0.0,,,,,,,,,,,,
olympiadbench-126,processbench,olympiadbench,olympiadbench,Qwen2.5-Math-7B-Instruct,,0,final_answer_correct,False,False,,-9.0,0.0,9.0,0.0,5.0,0.0,-0.18203864260375177,0.0,9.877718803204587,1.0,,,,,,,,,,,,
olympiadbench-128,processbench,olympiadbench,olympiadbench,Qwen2.5-Math-7B-Instruct,,0,final_answer_correct,False,False,,-6.0,1.0,6.0,0.0,1.0,0.0,-0.06034493381186151,0.0,2.0439445185552936,0.0,,,,,,,,,,,,
olympiadbench-130,processbench,olympiadbench,olympiadbench,Qwen2.5-Math-7B-Instruct,,0,final_answer_correct,False,False,,-9.0,0.0,9.0,0.0,6.0,0.0,-0.14913012318255497,0.0,7.087762576004698,0.0,,,,,,,,,,,,
olympiadbench-132,processbench,olympiadbench,olympiadbench,Qwen2.5-Math-7B-Instruct,,0,final_answer_correct,False,False,,-9.0,0.0,9.0,0.0,6.0,0.0,-0.05208958943939176,0.0,5.100517389875882,0.0,,,,,,,,,,,,
olympiadbench-139,processbench,olympiadbench,olympiadbench,Qwen2.5-Math-7B-Instruct,,0,final_answer_correct,False,False,,-23.0,0.0,23.0,1.0,12.0,1.0,-0.04260179683558163,0.0,4.388992796542812,0.0,,,,,,,,,,,,
olympiadbench-142,processbench,olympiadbench,olympiadbench,Qwen2.5-Math-7B-Instruct,,0,final_answer_correct,False,False,,-5.0,1.0,5.0,0.0,3.0,0.0,-0.0017119241696721948,0.0,0.0,0.0,,,,,,,,,,,,
olympiadbench-145,processbench,olympiadbench,olympiadbench,Qwen2.5-Math-7B-Instruct,,0,final_answer_correct,False,False,,-5.0,1.0,5.0,0.0,1.0,0.0,-0.2347205400187693,0.0,6.456260981309867,0.0,,,,,,,,,,,,
olympiadbench-166,processbench,olympiadbench,olympiadbench,Qwen2.5-Math-7B-Instruct,,0,final_answer_correct,False,False,,-8.0,0.0,8.0,0.0,3.0,0.0,-0.075364199036164,0.0,2.211776932197175,0.0,,,,,,,,,,,,
olympiadbench-167,processbench,olympiadbench,olympiadbench,Qwen2.5-Math-7B-Instruct,,0,final_answer_correct,False,False,,-8.0,0.0,8.0,0.0,2.0,0.0,-0.21293152190886944,0.0,4.957979156142415,0.0,,,,,,,,,,,,
olympiadbench-175,processbench,olympiadbench,olympiadbench,Qwen2.5-Math-7B-Instruct,,0,final_answer_correct,False,False,,-9.0,0.0,9.0,0.0,5.0,0.0,-0.022783743551295157,0.0,0.6455837433618825,0.0,,,,,,,,,,,,
olympiadbench-179,processbench,olympiadbench,olympiadbench,Qwen2.5-Math-7B-Instruct,,0,final_answer_correct,False,False,,-11.0,0.0,11.0,0.0,3.0,0.0,-0.09300855950165696,0.0,4.284862886136066,0.0,,,,,,,,,,,,
olympiadbench-190,processbench,olympiadbench,olympiadbench,Qwen2.5-Math-7B-Instruct,,0,final_answer_correct,False,False,,-6.0,1.0,6.0,0.0,3.0,0.0,-0.16049893023982806,0.0,6.127145277689316,0.0,,,,,,,,,,,,
olympiadbench-192,processbench,olympiadbench,olympiadbench,Qwen2.5-Math-7B-Instruct,,0,final_answer_correct,False,False,,-12.0,0.0,12.0,0.0,5.0,0.0,-0.012422606566501354,0.0,1.360894937236388,0.0,,,,,,,,,,,,
