id,dataset,run_slug,subject,generator,model,target,target_label,is_correct,final_answer_correct,exit_status,premature_exit_score,premature_exit_flag,rambling_overlong_score,rambling_overlong_flag,thrashing_score,thrashing_flag,no_commitment_score,no_commitment_flag,derailment_late_score,derailment_late_flag,answer_drift_score,answer_drift_flag,answer_meandering_score,answer_meandering_flag,answer_volatility_score,answer_volatility_flag,answer_uncommitted_score,answer_uncommitted_flag,answer_overrange_score,answer_overrange_flag,truncation_abort_score,truncation_abort_flag
gsm8k-33,processbench,gsm8k,gsm8k,Meta-Llama-3-70B-Instruct,,0,final_answer_correct,False,False,,-5.0,0.0,5.0,0.0,2.0,0.0,-0.4482378032291422,0.0,2.0794415416798357,1.0,,,,,,,,,,,,
gsm8k-40,processbench,gsm8k,gsm8k,Meta-Llama-3-70B-Instruct,,0,final_answer_correct,False,False,,-4.0,0.0,4.0,0.0,1.0,0.0,-0.11657128166738578,0.0,2.1160347361646155,1.0,,,,,,,,,,,,
gsm8k-46,processbench,gsm8k,gsm8k,Meta-Llama-3-70B-Instruct,,0,final_answer_correct,False,False,,-5.0,0.0,5.0,0.0,2.0,0.0,-0.19263909309229316,0.0,1.0223398028924928,0.0,,,,,,,,,,,,
gsm8k-49,processbench,gsm8k,gsm8k,Meta-Llama-3-70B-Instruct,,0,final_answer_correct,False,False,,-16.0,0.0,16.0,1.0,8.0,1.0,-0.06692073064015715,0.0,0.2425332059048019,0.0,,,,,,,,,,,,
gsm8k-51,processbench,gsm8k,gsm8k,Meta-Llama-3-70B-Instruct,,0,final_answer_correct,False,False,,-7.0,0.0,7.0,0.0,1.0,0.0,-0.5223628498362859,0.0,1.3257881035102577,0.0,,,,,,,,,,,,
gsm8k-59,processbench,gsm8k,gsm8k,Meta-Llama-3-70B-Instruct,,0,final_answer_correct,False,False,,-3.0,1.0,3.0,0.0,1.0,0.0,-0.5160252706373019,0.0,0.45995477284582165,0.0,,,,,,,,,,,,
gsm8k-76,processbench,gsm8k,gsm8k,Meta-Llama-3-70B-Instruct,,0,final_answer_correct,False,False,,-5.0,0.0,5.0,0.0,2.0,0.0,-0.5195840751590232,0.0,2.2512917986064953,1.0,,,,,,,,,,,,
gsm8k-94,processbench,gsm8k,gsm8k,Meta-Llama-3-70B-Instruct,,0,final_answer_correct,False,False,,-3.0,1.0,3.0,0.0,1.0,0.0,-0.5160252706373019,0.0,0.45995477284582165,0.0,,,,,,,,,,,,
gsm8k-103,processbench,gsm8k,gsm8k,Meta-Llama-3-70B-Instruct,,0,final_answer_correct,False,False,,-7.0,0.0,7.0,0.0,1.0,0.0,-0.05621611690177062,0.0,0.19277526122041833,0.0,,,,,,,,,,,,
gsm8k-120,processbench,gsm8k,gsm8k,Meta-Llama-3-70B-Instruct,,0,final_answer_correct,False,False,,-8.0,0.0,8.0,1.0,3.0,0.0,-0.38160466143158916,0.0,1.323020126954913,0.0,,,,,,,,,,,,
