id,dataset,run_slug,subject,generator,model,target,target_label,is_correct,final_answer_correct,exit_status,premature_exit_score,premature_exit_flag,rambling_overlong_score,rambling_overlong_flag,thrashing_score,thrashing_flag,no_commitment_score,no_commitment_flag,derailment_late_score,derailment_late_flag,answer_drift_score,answer_drift_flag,answer_meandering_score,answer_meandering_flag,answer_volatility_score,answer_volatility_flag,answer_uncommitted_score,answer_uncommitted_flag,answer_overrange_score,answer_overrange_flag,truncation_abort_score,truncation_abort_flag
omnimath-1,processbench,omnimath,omnimath,Qwen2.5-Math-7B-Instruct,,0,final_answer_correct,False,False,,-12.0,0.0,12.0,0.0,5.0,0.0,-0.18818830149985494,0.0,0.7572928330589722,0.0,,,,,,,,,,,,
omnimath-2,processbench,omnimath,omnimath,Qwen2.5-Math-7B-Instruct,,0,final_answer_correct,False,False,,-5.0,0.0,5.0,0.0,2.0,0.0,-0.4797574693917587,0.0,2.261763098473791,1.0,,,,,,,,,,,,
omnimath-10,processbench,omnimath,omnimath,Qwen2.5-Math-7B-Instruct,,0,final_answer_correct,False,False,,-8.0,0.0,8.0,0.0,3.0,0.0,-0.003945409004855927,1.0,0.015362659221633601,0.0,,,,,,,,,,,,
omnimath-12,processbench,omnimath,omnimath,Qwen2.5-Math-7B-Instruct,,0,final_answer_correct,False,False,,-6.0,0.0,6.0,0.0,3.0,0.0,-0.06756689691796833,0.0,2.566305133507126,1.0,,,,,,,,,,,,
omnimath-22,processbench,omnimath,omnimath,Qwen2.5-Math-7B-Instruct,,0,final_answer_correct,False,False,,-12.0,0.0,12.0,0.0,7.0,1.0,-0.00695716634415756,1.0,0.2465882128269848,0.0,,,,,,,,,,,,
omnimath-27,processbench,omnimath,omnimath,Qwen2.5-Math-7B-Instruct,,0,final_answer_correct,False,False,,-7.0,0.0,7.0,0.0,3.0,0.0,-0.12905308952900166,0.0,1.8166927634217602,1.0,,,,,,,,,,,,
omnimath-37,processbench,omnimath,omnimath,Qwen2.5-Math-7B-Instruct,,0,final_answer_correct,False,False,,-4.0,0.0,4.0,0.0,1.0,0.0,-0.35488523881694883,0.0,2.081371594409487,1.0,,,,,,,,,,,,
omnimath-38,processbench,omnimath,omnimath,Qwen2.5-Math-7B-Instruct,,0,final_answer_correct,False,False,,-6.0,0.0,6.0,0.0,3.0,0.0,-0.23438842127446344,0.0,1.07522022830389,0.0,,,,,,,,,,,,
omnimath-43,processbench,omnimath,omnimath,Qwen2.5-Math-7B-Instruct,,0,final_answer_correct,False,False,,-8.0,0.0,8.0,0.0,3.0,0.0,-0.01864137970133945,1.0,0.08029994240164307,0.0,,,,,,,,,,,,
omnimath-45,processbench,omnimath,omnimath,Qwen2.5-Math-7B-Instruct,,0,final_answer_correct,False,False,,-9.0,0.0,9.0,0.0,4.0,0.0,-0.27899656657378963,0.0,1.23048499234724,0.0,,,,,,,,,,,,
omnimath-55,processbench,omnimath,omnimath,Qwen2.5-Math-7B-Instruct,,0,final_answer_correct,False,False,,-8.0,0.0,8.0,0.0,4.0,0.0,-0.1315118900796964,0.0,0.9575223168989966,0.0,,,,,,,,,,,,
omnimath-57,processbench,omnimath,omnimath,Qwen2.5-Math-7B-Instruct,,0,final_answer_correct,False,False,,-6.0,0.0,6.0,0.0,1.0,0.0,-0.3152126721761983,0.0,0.0,0.0,,,,,,,,,,,,
omnimath-81,processbench,omnimath,omnimath,Qwen2.5-Math-7B-Instruct,,0,final_answer_correct,False,False,,-7.0,0.0,7.0,0.0,1.0,0.0,-0.4937858897231097,0.0,1.2339866001295878,0.0,,,,,,,,,,,,
omnimath-99,processbench,omnimath,omnimath,Qwen2.5-Math-7B-Instruct,,0,final_answer_correct,False,False,,-7.0,0.0,7.0,0.0,3.0,0.0,-0.2526457461073697,0.0,1.8687831786894393,1.0,,,,,,,,,,,,
omnimath-107,processbench,omnimath,omnimath,Qwen2.5-Math-7B-Instruct,,0,final_answer_correct,False,False,,-7.0,0.0,7.0,0.0,1.0,0.0,-0.22867023798148658,0.0,0.7830797817003177,0.0,,,,,,,,,,,,
omnimath-115,processbench,omnimath,omnimath,Qwen2.5-Math-7B-Instruct,,0,final_answer_correct,False,False,,-7.0,0.0,7.0,0.0,2.0,0.0,-0.826247167303319,0.0,1.8068182502580532,1.0,,,,,,,,,,,,
omnimath-124,processbench,omnimath,omnimath,Qwen2.5-Math-7B-Instruct,,0,final_answer_correct,False,False,,-6.0,0.0,6.0,0.0,2.0,0.0,-0.5878876163276096,0.0,2.3398968014314026,1.0,,,,,,,,,,,,
omnimath-127,processbench,omnimath,omnimath,Qwen2.5-Math-7B-Instruct,,0,final_answer_correct,False,False,,-13.0,0.0,13.0,1.0,8.0,1.0,-0.07902879693351574,0.0,0.8057788931928479,0.0,,,,,,,,,,,,
omnimath-131,processbench,omnimath,omnimath,Qwen2.5-Math-7B-Instruct,,0,final_answer_correct,False,False,,-5.0,0.0,5.0,0.0,2.0,0.0,-0.5135135135135136,0.0,0.0,0.0,,,,,,,,,,,,
