id,dataset,run_slug,subject,generator,model,target,target_label,is_correct,final_answer_correct,exit_status,premature_exit_score,premature_exit_flag,rambling_overlong_score,rambling_overlong_flag,thrashing_score,thrashing_flag,no_commitment_score,no_commitment_flag,derailment_late_score,derailment_late_flag,answer_drift_score,answer_drift_flag,answer_meandering_score,answer_meandering_flag,answer_volatility_score,answer_volatility_flag,answer_uncommitted_score,answer_uncommitted_flag,answer_overrange_score,answer_overrange_flag,truncation_abort_score,truncation_abort_flag
omnimath-28,processbench,omnimath,omnimath,Llama-3.1-70B-Instruct,,0,final_answer_correct,False,False,,-25.0,0.0,25.0,1.0,10.0,1.0,-0.1518355327533464,0.0,0.7366322924996817,0.0,,,,,,,,,,,,
omnimath-41,processbench,omnimath,omnimath,Llama-3.1-70B-Instruct,,0,final_answer_correct,False,False,,-11.0,0.0,11.0,1.0,3.0,0.0,-0.1404173329919691,1.0,0.41739293207800254,0.0,,,,,,,,,,,,
omnimath-58,processbench,omnimath,omnimath,Llama-3.1-70B-Instruct,,0,final_answer_correct,False,False,,-7.0,0.0,7.0,0.0,2.0,0.0,-0.6351821399908428,0.0,0.0,0.0,,,,,,,,,,,,
omnimath-62,processbench,omnimath,omnimath,Llama-3.1-70B-Instruct,,0,final_answer_correct,False,False,,-6.0,0.0,6.0,0.0,2.0,0.0,-0.47891308855149356,0.0,0.0,0.0,,,,,,,,,,,,
omnimath-78,processbench,omnimath,omnimath,Llama-3.1-70B-Instruct,,0,final_answer_correct,False,False,,-12.0,0.0,12.0,1.0,7.0,1.0,-0.0638021870809051,1.0,0.8443258087010773,0.0,,,,,,,,,,,,
omnimath-84,processbench,omnimath,omnimath,Llama-3.1-70B-Instruct,,0,final_answer_correct,False,False,,-6.0,0.0,6.0,0.0,4.0,0.0,-0.508832938595208,0.0,2.6519607344511664,1.0,,,,,,,,,,,,
omnimath-89,processbench,omnimath,omnimath,Llama-3.1-70B-Instruct,,0,final_answer_correct,False,False,,-7.0,0.0,7.0,0.0,2.0,0.0,-0.14562664783512905,0.0,1.8241850137593936,0.0,,,,,,,,,,,,
omnimath-95,processbench,omnimath,omnimath,Llama-3.1-70B-Instruct,,0,final_answer_correct,False,False,,-7.0,0.0,7.0,0.0,4.0,0.0,-0.0576598575570307,1.0,1.21487627124729,0.0,,,,,,,,,,,,
omnimath-110,processbench,omnimath,omnimath,Llama-3.1-70B-Instruct,,0,final_answer_correct,False,False,,-13.0,0.0,13.0,1.0,9.0,1.0,-0.049159179081725284,1.0,0.31965544089916886,0.0,,,,,,,,,,,,
omnimath-118,processbench,omnimath,omnimath,Llama-3.1-70B-Instruct,,0,final_answer_correct,False,False,,-4.0,0.0,4.0,0.0,0.0,0.0,-1.0,0.0,2.538973871058276,1.0,,,,,,,,,,,,
omnimath-129,processbench,omnimath,omnimath,Llama-3.1-70B-Instruct,,0,final_answer_correct,False,False,,-11.0,0.0,11.0,1.0,5.0,1.0,-0.1748510220568567,0.0,0.8936828850897325,0.0,,,,,,,,,,,,
omnimath-132,processbench,omnimath,omnimath,Llama-3.1-70B-Instruct,,0,final_answer_correct,False,False,,-9.0,0.0,9.0,0.0,3.0,0.0,-0.4681609010453021,0.0,1.5263645702954727,0.0,,,,,,,,,,,,
omnimath-135,processbench,omnimath,omnimath,Llama-3.1-70B-Instruct,,0,final_answer_correct,False,False,,-20.0,0.0,20.0,1.0,13.0,1.0,-0.0321287252410045,1.0,0.2732933349996808,0.0,,,,,,,,,,,,
omnimath-137,processbench,omnimath,omnimath,Llama-3.1-70B-Instruct,,0,final_answer_correct,False,False,,-8.0,0.0,8.0,0.0,3.0,0.0,-0.3793015629792444,0.0,1.451584304268496,0.0,,,,,,,,,,,,
omnimath-140,processbench,omnimath,omnimath,Llama-3.1-70B-Instruct,,0,final_answer_correct,False,False,,-30.0,0.0,30.0,1.0,8.0,1.0,-0.10060750292912428,1.0,0.3362146283694243,0.0,,,,,,,,,,,,
omnimath-142,processbench,omnimath,omnimath,Llama-3.1-70B-Instruct,,0,final_answer_correct,False,False,,-11.0,0.0,11.0,1.0,8.0,1.0,-0.1823581651234379,0.0,0.006510894251089305,0.0,,,,,,,,,,,,
omnimath-143,processbench,omnimath,omnimath,Llama-3.1-70B-Instruct,,0,final_answer_correct,False,False,,-11.0,0.0,11.0,1.0,5.0,1.0,-0.015270822528163232,1.0,0.2657314681489972,0.0,,,,,,,,,,,,
omnimath-144,processbench,omnimath,omnimath,Llama-3.1-70B-Instruct,,0,final_answer_correct,False,False,,-10.0,0.0,10.0,1.0,4.0,0.0,-0.1988696824069627,0.0,0.42506383464952247,0.0,,,,,,,,,,,,
omnimath-154,processbench,omnimath,omnimath,Llama-3.1-70B-Instruct,,0,final_answer_correct,False,False,,-10.0,0.0,10.0,1.0,5.0,1.0,-0.13630479690699568,1.0,0.6061358035703155,0.0,,,,,,,,,,,,
omnimath-168,processbench,omnimath,omnimath,Llama-3.1-70B-Instruct,,0,final_answer_correct,False,False,,-8.0,0.0,8.0,0.0,4.0,0.0,-0.4320007513625452,0.0,0.0,0.0,,,,,,,,,,,,
omnimath-169,processbench,omnimath,omnimath,Llama-3.1-70B-Instruct,,0,final_answer_correct,False,False,,-16.0,0.0,16.0,1.0,13.0,1.0,-0.009125073057040483,1.0,0.14574367781177078,0.0,,,,,,,,,,,,
omnimath-173,processbench,omnimath,omnimath,Llama-3.1-70B-Instruct,,0,final_answer_correct,False,False,,-5.0,0.0,5.0,0.0,2.0,0.0,-0.29907448247117013,0.0,2.4119437886764272,1.0,,,,,,,,,,,,
omnimath-177,processbench,omnimath,omnimath,Llama-3.1-70B-Instruct,,0,final_answer_correct,False,False,,-7.0,0.0,7.0,0.0,4.0,0.0,-0.12389059436133597,1.0,0.619152490762618,0.0,,,,,,,,,,,,
