id,fold,subject,true_type,pred_type,correct,prob_action,prob_memory,prob_plan,prob_reflection,prob_system
GPT-4o_001_alfworld_task_001,0,alfworld,memory,memory,1,0.10369067959985546,0.4231930807291749,0.3098010224132458,0.16197922490748115,0.001335992350242724
GPT-4o_002_alfworld_task_002,0,alfworld,memory,action,0,0.7998130998229779,0.025882602593502307,0.0930094808417592,0.08065177336335211,0.0006430433784086657
GPT-4o_003_alfworld_task_003,3,alfworld,system,system,1,7.041943434295824e-05,2.288668472815269e-05,0.04161943599501846,0.0004916687332400507,0.9577955891526704
GPT-4o_004_alfworld_task_004,0,alfworld,plan,action,0,0.6211219081171779,0.03065306258443552,0.3365485827426976,0.007040714263331433,0.00463573229235766
GPT-4o_005_alfworld_task_005,2,alfworld,memory,reflection,0,6.809304117512665e-06,0.31529719634864894,0.1617384625022873,0.5196589558226762,0.0032985760222701303
GPT-4o_006_alfworld_task_006,0,alfworld,plan,memory,0,0.002464683458904717,0.7426712939851726,0.1378820811813621,0.10847103209374563,0.00851090928081506
GPT-4o_007_alfworld_task_007,3,alfworld,reflection,memory,0,0.052787160070712186,0.8319947773174093,0.065060468783975,0.043474449854461715,0.006683143973441652
GPT-4o_008_alfworld_task_008,1,alfworld,memory,plan,0,0.13263921265248335,0.006622293686293478,0.544734291098436,0.2217809358448433,0.09422326671794394
GPT-4o_009_alfworld_task_009,3,alfworld,plan,reflection,0,0.010582672265399004,0.0006912018450030268,0.11944052613010415,0.7255596913378984,0.14372590842159524
GPT-4o_010_alfworld_task_010,4,alfworld,reflection,system,0,0.0006020779930850967,0.15427477736897027,0.0011760177716103523,0.000449796114893168,0.8434973307514411
GPT-4o_011_alfworld_task_011,2,alfworld,plan,reflection,0,0.006760392727052843,0.2253549590272954,0.08903276769372409,0.4627513924222221,0.21610048812970561
GPT-4o_012_alfworld_task_012,0,alfworld,memory,reflection,0,0.1484295592033303,0.0013758413723951944,0.06214513115448683,0.7669560765501225,0.02109339171966512
GPT-4o_013_alfworld_task_013,2,alfworld,reflection,memory,0,0.06243668670518632,0.7444891404142291,0.19304448029439822,7.777556790917099e-06,2.1915029395422053e-05
GPT-4o_014_alfworld_task_014,3,alfworld,reflection,memory,0,0.0005721472539607693,0.6361930395199134,0.0975855464306075,0.26305854722486594,0.0025907195706524697
GPT-4o_015_alfworld_task_015,0,alfworld,system,memory,0,0.007402024899568966,0.6388551716005717,0.06653723879360642,0.27885212934211256,0.008353435364140153
GPT-4o_016_alfworld_task_016,3,alfworld,system,reflection,0,0.00016123503684250916,0.001978390416910813,0.0027812275038126217,0.9947769299686016,0.00030221707383251933
GPT-4o_017_alfworld_task_017,2,alfworld,system,memory,0,0.002286622370534761,0.9919213397319784,0.00528271328282051,0.0005077505866594652,1.5740280068922095e-06
