id,dataset,run_slug,subject,generator,model,target,target_label,is_correct,final_answer_correct,rubric_score,has_answer_chunks,error_step_index,error_step_position,exit_status,reasoning_n_chunks,reasoning_start,reasoning_end,reasoning_end_minus_start,reasoning_std,reasoning_range,reasoning_min,reasoning_max,reasoning_early_mean,reasoning_mid_mean,reasoning_late_mean,reasoning_late_minus_early,reasoning_total_variation,reasoning_monotonicity,reasoning_direction_changes,reasoning_zero_crossings,reasoning_peak_pos,reasoning_trough_pos,reasoning_rebound_from_trough,reasoning_fall_from_peak,reasoning_max_rise,reasoning_max_drop,reasoning_max_rise_pos,reasoning_max_drop_pos,reasoning_curvature_abs_mean,reasoning_positive_mass,reasoning_negative_mass,reasoning_time_positive,reasoning_time_negative,answer_n_chunks,answer_start,answer_end,answer_end_minus_start,answer_std,answer_range,answer_min,answer_max,answer_early_mean,answer_mid_mean,answer_late_mean,answer_late_minus_early,answer_total_variation,answer_monotonicity,answer_direction_changes,answer_zero_crossings,answer_peak_pos,answer_trough_pos,answer_rebound_from_trough,answer_fall_from_peak,answer_max_rise,answer_max_drop,answer_max_rise_pos,answer_max_drop_pos,answer_curvature_abs_mean,answer_positive_mass,answer_negative_mass,answer_time_positive,answer_time_negative,answer_minus_reasoning_mean,answer_start_minus_reasoning_end,answer_end_minus_reasoning_end,answer_range_minus_reasoning_range,total_n_chunks,reasoning_pair_density,answer_pair_density
olympiadbench-8,processbench,olympiadbench,olympiadbench,Qwen2-7B-Instruct,,0,final_answer_correct,False,False,,False,2.0,0.6666666666666666,,4,-4.571283853272526,4.57677020562539,9.148054058897916,4.047487576830062,9.148054058897916,-4.571283853272526,4.57677020562539,-4.562904155484691,0.6475937941513408,4.565455793330636,9.128359948815326,9.148054058897916,1.0,0,1,1.0,0.0,9.148054058897916,0.0,1.4371105907331945,0.0,0.5555555555555556,0.1111111111111111,0.15927234355291928,1.9200559252935931,1.9207778137610751,0.5,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1.0,
olympiadbench-10,processbench,olympiadbench,olympiadbench,Qwen2-7B-Instruct,,0,final_answer_correct,False,False,,False,1.0,0.16666666666666666,,7,-6.962761324948781,6.384467124761082,13.347228449709863,4.179476108455634,13.347228449709863,-6.962761324948781,6.384467124761082,-3.8450706179845184,0.30188781952149907,4.235168387713468,8.080239005697987,40.56387858078767,0.32904221481501844,4,3,1.0,0.0,13.347228449709863,0.0,4.253762774244395,3.2386436150316964,0.4444444444444444,0.5555555555555556,1.4828816682729205,1.8171012195520693,1.786664682700085,0.45,0.55,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0.7619047619047619,
olympiadbench-14,processbench,olympiadbench,olympiadbench,Qwen2-7B-Instruct,,0,final_answer_correct,False,False,,False,12.0,0.7058823529411765,,18,2.6782254235581,2.8412469941206595,0.1630215705625595,2.320397430971598,8.470199560328908,-4.009301252379998,4.46089830794891,-1.0665267882140983,-0.08579015189429759,1.3875436113702901,2.4540703995843884,44.04698453568429,0.003701083565220883,7,8,0.5263157894736842,0.21052631578947367,6.850548246500657,1.6196513138282507,3.9999779541010687,7.785542751553593,0.5,0.5555555555555556,3.8305544419428483,0.9327888116453383,0.91983665727219,0.55,0.45,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,0.17647058823529413,
olympiadbench-19,processbench,olympiadbench,olympiadbench,Qwen2-7B-Instruct,,0,final_answer_correct,False,False,,False,3.0,0.6,,6,-1.9992868527076937,8.01940062064509,10.018687473352784,5.449908931010458,15.849018708063653,-7.818518437794702,8.030500270268952,-1.5084596559523078,-5.703905496586832,7.041417608081865,8.549877264034173,25.035524203838936,0.40017885752184584,3,1,0.8421052631578947,0.5789473684210527,15.837919058439791,0.011099649623862007,4.227297490719659,1.5826188860359913,0.7777777777777778,0.2222222222222222,0.6749127913343943,2.1124252824245593,2.5243278033886987,0.3,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1.0,
olympiadbench-45,processbench,olympiadbench,olympiadbench,Qwen2-7B-Instruct,,0,final_answer_correct,False,False,,False,4.0,0.36363636363636365,,12,-0.05378629203211194,3.1206015858567424,3.1743878778888543,2.5835475341328067,8.656921255741626,-3.9610398774903945,4.695881378251232,0.3307802513957432,-2.2231725194822043,2.0399195014797633,1.7091392500840201,29.41121018976969,0.10793122273469129,5,5,0.9473684210526315,0.47368421052631576,7.081641463347137,1.5752797923944897,6.090091437180278,5.503507371205007,0.8888888888888888,0.7777777777777778,2.1723942652805794,1.0652978357807337,1.1156592791670659,0.4,0.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0.3181818181818182,
olympiadbench-70,processbench,olympiadbench,olympiadbench,Qwen2-7B-Instruct,,0,final_answer_correct,False,False,,False,8.0,0.8,,11,2.8430704230861124,2.736370389273494,-0.1067000338126185,3.242597547602552,11.49240859815416,-5.583861211918154,5.908547386236005,0.5723518614840619,-3.110235444882961,2.569324474501549,1.9969726130174872,38.58095793929473,0.0027656139067491754,7,4,0.7894736842105263,0.631578947368421,8.320231601191647,3.1721769969625115,4.706763371452866,4.931389801303564,0.7777777777777778,0.5555555555555556,2.424746557390466,1.3174891980487944,1.4349511098879446,0.6,0.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,0.36363636363636365,
olympiadbench-72,processbench,olympiadbench,olympiadbench,Qwen2-7B-Instruct,,0,final_answer_correct,False,False,,False,1.0,0.25,,5,6.398709328937526,4.2780402534284665,-2.12066907550906,3.842185324353975,12.724184007108,-6.325474678170474,6.398709328937526,2.464681704895972,-4.202849432368519,-1.2500870844645708,-3.7147687893605426,23.32769893870694,0.09090776938956024,1,2,0.0,0.7368421052631579,10.60351493159894,2.12066907550906,2.25652490957593,1.3429772981129946,0.9444444444444444,0.1111111111111111,0.1999723448716071,1.2431664630419348,2.2265512929966977,0.35,0.65,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1.0,
olympiadbench-80,processbench,olympiadbench,olympiadbench,Qwen2-7B-Instruct,,0,final_answer_correct,False,False,,False,7.0,0.6363636363636364,,12,-2.7481269041251006,0.06031732400363469,2.808444228128735,2.4567819703274574,10.325946036433258,-5.165452988265726,5.160493048167531,-0.8862684248736904,1.8186544264295172,-0.9770094479514997,-0.09074102307780929,38.41681712324939,0.07310455260045734,7,7,0.47368421052631576,0.8421052631578947,5.225770312269361,5.100175724163896,4.148218059733242,6.825200669281884,0.8888888888888888,0.7777777777777778,2.4756788457722325,0.943573885918663,0.910341619759574,0.55,0.45,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0.3181818181818182,
olympiadbench-94,processbench,olympiadbench,olympiadbench,Qwen2-7B-Instruct,,0,final_answer_correct,False,False,,False,1.0,0.14285714285714285,,8,5.3205867687847235,-0.060265520639839476,-5.380852289424563,3.3124061993138834,11.844908480744806,-6.5243217119600825,5.3205867687847235,2.2473238571668674,0.6652656588189801,-4.059179067945138,-6.306502925112005,24.591080591184824,0.21881316965605163,3,1,0.0,0.8421052631578947,6.464056191320243,5.380852289424563,2.4812265607447666,1.9562334797649066,0.9444444444444444,0.0,0.5130578224450612,1.2788486543032576,1.4771960440917524,0.55,0.45,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0.6071428571428571,
olympiadbench-102,processbench,olympiadbench,olympiadbench,Qwen2-7B-Instruct,,0,final_answer_correct,False,False,,False,1.0,0.2,,6,3.961036432677434,4.029161526013946,0.06812509333651251,3.6739736585933094,10.036887496210205,-6.007725970196259,4.029161526013946,-2.5583621862106645,-1.42655924800216,2.826749156353768,5.385111342564432,20.005649899083895,0.0034052926888234764,1,2,1.0,0.21052631578947367,10.036887496210205,0.0,2.102611182384929,2.6235673121472507,0.5555555555555556,0.0,0.4082697370004986,1.3709139611679566,1.9176117162363149,0.55,0.45,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1.0,
olympiadbench-123,processbench,olympiadbench,olympiadbench,Qwen2-7B-Instruct,,0,final_answer_correct,False,False,,False,1.0,0.2,,6,8.06060027908707,-1.9972152690540366,-10.057815548141107,3.9290656419682866,13.410400989653827,-5.349800710566757,8.06060027908707,0.7286119648351982,0.013925195020239478,-2.249170636154667,-2.9777826009898654,40.39510725592896,0.24898598447624815,3,3,0.0,0.631578947368421,3.35258544151272,10.057815548141107,3.6901002046460167,3.713119479108549,0.3333333333333333,0.0,1.139859536832222,1.5104689317341033,1.9253321166311004,0.35,0.65,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1.0,
olympiadbench-127,processbench,olympiadbench,olympiadbench,Qwen2-7B-Instruct,,0,final_answer_correct,False,False,,False,2.0,0.3333333333333333,,7,-0.0568981761025315,7.721454069101047,7.778352245203578,4.34246423439493,12.849745552886327,-5.12829148378528,7.721454069101047,-3.5381418471281907,-1.8994151824159071,4.9991576058718845,8.537299453000076,30.361485149157488,0.2561914282845753,3,3,1.0,0.21052631578947367,12.849745552886327,0.0,3.9873195667702905,2.7133474699368003,0.7222222222222222,0.5555555555555556,1.0442606882648622,1.6547291574459178,2.0581268360247864,0.35,0.65,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0.7619047619047619,
olympiadbench-141,processbench,olympiadbench,olympiadbench,Qwen2-7B-Instruct,,0,final_answer_correct,False,False,,False,2.0,0.4,,6,3.9925298029921197,8.067721811802567,4.075192008810447,3.490861921743759,15.56194297241739,-7.494221160614822,8.067721811802567,-0.97556978717014,-0.5988089605081507,-0.9138084959951692,0.061761291174970756,38.02930233105037,0.1071592629634731,3,4,1.0,0.7894736842105263,15.56194297241739,0.0,4.23418607385657,2.639820541187774,1.0,0.7777777777777778,0.7638421656269263,1.0153703558447706,1.8405454663307228,0.35,0.65,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1.0,
olympiadbench-157,processbench,olympiadbench,olympiadbench,Qwen2-7B-Instruct,,0,final_answer_correct,False,False,,False,1.0,0.25,,5,2.121797822866936,-2.1215386097832174,-4.243336432650153,4.624700784237298,16.26073526676025,-8.121190046843624,8.139545219916624,-3.7635769929918843,0.8936929294099238,3.3481184912146547,7.111695484206539,36.76480696617065,0.11541843362742754,2,3,0.7368421052631579,0.2631578947368421,5.9996514370604075,10.26108382969984,1.813696356146668,2.2556858776287414,0.7222222222222222,1.0,0.4519013013367309,1.9376632349068963,1.9376871097961856,0.5,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1.0,
olympiadbench-168,processbench,olympiadbench,olympiadbench,Qwen2-7B-Instruct,,0,final_answer_correct,False,False,,False,2.0,0.5,,5,4.280362207552825,-4.2876378282872825,-8.568000035840107,3.1589739152844785,8.568000035840107,-4.2876378282872825,4.280362207552825,3.0242392829365374,0.5988300080827921,-4.224680429647936,-7.248919712584474,8.578025543619706,0.998831256945014,2,1,0.0,1.0,0.0,8.568000035840107,0.0012531884724498177,1.3513243624071953,0.3333333333333333,0.5555555555555556,0.17519230200029637,1.4590709276651643,1.45840080470278,0.6,0.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1.0,
olympiadbench-181,processbench,olympiadbench,olympiadbench,Qwen2-7B-Instruct,,0,final_answer_correct,False,False,,False,3.0,0.75,,5,8.582421659630434,-8.620576632108026,-17.20299829173846,4.890384650644105,17.20299829173846,-8.620576632108026,8.582421659630434,4.822471729690835,0.590182175456819,-6.303048643402825,-11.12552037309366,17.20299829173846,1.0,0,1,0.0,1.0,0.0,17.20299829173846,-0.013387154732117157,1.3486958347425135,0.2777777777777778,0.0,0.17117043657861114,2.0850508402945236,2.0815365665136922,0.6,0.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1.0,
olympiadbench-193,processbench,olympiadbench,olympiadbench,Qwen2-7B-Instruct,,0,final_answer_correct,False,False,,False,2.0,0.1111111111111111,,19,0.1329660333044395,0.16246595937489666,0.02949992607045715,2.745184226825739,8.512091475356812,-4.282266401888268,4.229825073468543,-1.8014913335853424,0.18901017074870152,1.8812280233094139,3.682719356894756,40.69076172126543,0.0007249784674107039,11,4,0.7368421052631579,0.10526315789473684,4.444732361263165,4.067359114093646,5.436039943291982,6.496504686283115,0.8888888888888888,0.05555555555555555,3.437374939801756,1.2093752021081028,1.209375202108103,0.5,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,0.16374269005847952,
olympiadbench-523,processbench,olympiadbench,olympiadbench,Qwen2-7B-Instruct,,1,final_answer_correct,True,True,,False,,,,5,-0.002421343716484614,8.59950899766844,8.601930341384925,4.131538475779118,16.640050710395997,-8.040541712727554,8.59950899766844,-4.563291665561723,-0.33874056134615044,3.0795808621967407,7.642872527758463,31.898470952077545,0.2696659145295076,3,3,1.0,0.2631578947368421,16.640050710395997,0.0,2.2641817752718634,1.8114033290166391,0.2777777777777778,0.1111111111111111,0.5780851993892244,1.2170774257594714,2.008914446518205,0.35,0.65,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1.0,
olympiadbench-529,processbench,olympiadbench,olympiadbench,Qwen2-7B-Instruct,,1,final_answer_correct,True,True,,False,,,,3,2.444255759842148,0.009623249187759106,-2.4346325106543887,1.3358318310524897,4.768476755281651,-2.3242209954395032,2.444255759842148,0.8974763591457098,-1.826065106388319,-0.6386668187642582,-1.5361431779099681,7.102320999908914,0.3427939276027671,1,2,0.0,0.5263157894736842,2.3338442446272625,2.4346325106543887,0.25931602718080726,0.5155931335654795,0.7222222222222222,0.0,0.043050508930349486,0.3537485356371852,0.8703546428013761,0.3,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1.0,
olympiadbench-531,processbench,olympiadbench,olympiadbench,Qwen2-7B-Instruct,,1,final_answer_correct,True,True,,False,,,,8,6.716230496609679,2.2197512876402112,-4.496479208969468,4.233660786452878,13.69500149282962,-6.978770996219941,6.716230496609679,3.881869035503858,-4.115891674261115,-0.9779890857027418,-4.859858121206599,33.22345719667115,0.1353404969974045,3,2,0.0,0.6842105263157895,9.198522283860152,4.496479208969468,2.7091618566009372,3.525402839925258,0.7777777777777778,0.3333333333333333,1.0756177183971838,1.6425096846250864,2.017814333900949,0.55,0.45,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0.6071428571428571,
