id,umap_x,umap_y,category
OpenManus/002,1.9195113,2.924561,Retrieval Hallucination
OpenManus/003,-0.8957167,4.1981354,Reasoning Hallucination
OpenManus/004,-0.80633354,4.7855086,Reasoning Hallucination
OpenManus/005,0.39737776,3.3930285,Retrieval Hallucination
OpenManus/006,0.7039731,4.2592125,Reasoning Hallucination
OpenManus/007,2.07947,-0.9646969,Retrieval Hallucination
OpenManus/009,2.5523605,-0.37641832,Retrieval Hallucination
OpenManus/010,2.1077878,2.7155104,Reasoning Hallucination
OpenManus/011,-0.25126067,4.389415,Human-Interaction Hallucination
OpenManus/013,0.3608367,3.9056823,Reasoning Hallucination
OpenManus/014,2.8139243,1.5736654,Human-Interaction Hallucination
OpenManus/015,-0.8495927,4.0690126,Retrieval Hallucination
OpenManus/017,-1.0509664,4.709517,Reasoning Hallucination
OpenManus/018,-0.3582022,4.872943,Human-Interaction Hallucination
OpenManus/019,-1.1684827,4.225082,Reasoning Hallucination
OpenManus/020,0.54230106,0.14924337,Reasoning Hallucination
OpenManus/021,-1.3459264,4.0488286,Reasoning Hallucination
OpenManus/022,-1.1974922,4.8395586,Reasoning Hallucination
OpenManus/023,-0.12628286,3.5020432,Reasoning Hallucination
OpenManus/025,2.422935,1.1809021,Retrieval Hallucination
OpenManus/026,1.9692458,0.17811546,Human-Interaction Hallucination
OpenManus/027,2.0678003,-0.2936718,Human-Interaction Hallucination
OpenManus/029,1.8544067,3.1254027,Retrieval Hallucination
OpenManus/030,0.798817,0.13255177,Human-Interaction Hallucination
OpenManus/031,2.5687604,1.51765,Human-Interaction Hallucination
OpenManus/032,1.6857817,3.8884888,Retrieval Hallucination
OpenManus/033,1.4323643,0.11006573,Retrieval Hallucination
OpenManus/036,-0.67341053,5.2007174,Reasoning Hallucination
OpenManus/038,-0.52399635,4.283169,Reasoning Hallucination
OpenManus/039,0.13416786,4.132843,Reasoning Hallucination
OpenManus/040,1.1586722,1.0092038,Reasoning Hallucination
OpenManus/041,-1.2640678,3.3469317,Reasoning Hallucination
OpenManus/043,-0.5079588,2.4004154,Reasoning Hallucination
OpenManus/044,-0.33715224,5.074717,Human-Interaction Hallucination
OpenManus/045,1.1472397,4.1287594,Reasoning Hallucination
OpenManus/046,-0.5009937,3.9490871,Human-Interaction Hallucination
OpenManus/047,1.6229638,-0.55336004,Retrieval Hallucination
OpenManus/050,1.7264081,-0.71764994,Retrieval Hallucination
OpenManus/052,1.5651768,0.62333935,Human-Interaction Hallucination
OpenManus/053,1.7219449,3.4978678,Human-Interaction Hallucination
OpenManus/054,0.8463439,-0.23616272,Retrieval Hallucination
OpenManus/055,1.081365,-0.45556402,Retrieval Hallucination
OpenManus/056,-0.60089064,5.3856077,Human-Interaction Hallucination
OpenManus/057,2.6957867,1.8508385,Retrieval Hallucination
OpenManus/058,1.6730386,2.5872998,Human-Interaction Hallucination
OpenManus/059,2.1728208,-1.0916662,Retrieval Hallucination
OpenManus/060,2.1044722,1.2720182,Retrieval Hallucination
OpenManus/063,2.5545495,0.8914282,Retrieval Hallucination
OpenManus/064,2.206102,0.75303745,Human-Interaction Hallucination
OpenManus/065,2.453731,1.8916035,Human-Interaction Hallucination
OpenManus/066,0.94619375,3.7851796,Human-Interaction Hallucination
OpenManus/067,2.2815335,0.40718278,Human-Interaction Hallucination
OpenManus/068,2.0904243,3.2398667,Retrieval Hallucination
OpenManus/070,1.6109337,0.431277,Retrieval Hallucination
OpenManus/071,1.7332703,-0.9277059,Retrieval Hallucination
OpenManus/072,2.9028528,1.0291198,Retrieval Hallucination
OpenManus/073,2.9625378,0.52746624,Retrieval Hallucination
OpenManus/074,1.1608604,2.8968968,Human-Interaction Hallucination
OpenManus/075,-1.4786047,3.9021838,Human-Interaction Hallucination
OpenManus/076,0.845374,2.5374057,Human-Interaction Hallucination
OpenManus/077,0.18856055,3.2480583,Human-Interaction Hallucination
OpenManus/078,3.2072983,0.71321905,Human-Interaction Hallucination
OpenManus/079,1.8532578,-0.827683,Human-Interaction Hallucination
OpenManus/081,0.09125434,2.8130872,Reasoning Hallucination
OpenManus/082,0.9237962,0.81197554,Human-Interaction Hallucination
OpenManus/083,1.156628,3.5909166,Human-Interaction Hallucination
OpenManus/084,2.2679858,0.25524712,Human-Interaction Hallucination
OpenManus/085,0.5200948,2.725312,Human-Interaction Hallucination
OpenManus/086,-1.451708,4.585806,Human-Interaction Hallucination
OpenManus/087,-0.75452894,3.519229,Human-Interaction Hallucination
OpenManus/088,-1.3772396,3.6165962,Human-Interaction Hallucination
OpenManus/089,0.7328803,2.51963,Human-Interaction Hallucination
OpenManus/090,-1.1426767,3.7335968,Human-Interaction Hallucination
OpenManus/091,1.8577573,1.0673782,Reasoning Hallucination
OpenManus/092,1.0723724,3.9830215,Human-Interaction Hallucination
OpenManus/093,-0.14580587,2.9719613,Human-Interaction Hallucination
OpenManus/094,0.38251585,4.252374,Human-Interaction Hallucination
OpenManus/096,1.9672585,-1.266237,Human-Interaction Hallucination
OpenManus/097,2.3091104,1.1773564,Human-Interaction Hallucination
OpenManus/098,1.0800315,0.6151354,Human-Interaction Hallucination
OpenManus/100,1.5649308,1.2989091,Human-Interaction Hallucination
OpenManus/101,2.4980667,0.04321743,Human-Interaction Hallucination
OpenManus/102,1.5553242,3.9660153,Human-Interaction Hallucination
OpenManus/103,1.3199128,-0.63545775,Human-Interaction Hallucination
