id,fold,subject,failure_type,true_step_index,predicted_step_index,predicted_step_probability,n_steps,correct
BFCL/000,0,Tool Use,Tool-Use Hallucination,0,9,0.7667934556819923,13,0
BFCL/002,0,Tool Use,Tool-Use Hallucination,5,9,0.46835046667104807,22,0
BFCL/003,2,Tool Use,Tool-Use Hallucination,4,3,0.8265904410144279,7,0
BFCL/004,4,Tool Use,Tool-Use Hallucination,0,8,0.6581790762665056,10,0
BFCL/005,3,Tool Use,Tool-Use Hallucination,4,4,0.8025715713406053,6,1
BFCL/006,3,Tool Use,Tool-Use Hallucination,5,4,0.7966399304054187,9,0
BFCL/008,2,Tool Use,Tool-Use Hallucination,2,2,0.8246168032826212,4,1
BFCL/014,3,Tool Use,Tool-Use Hallucination,2,6,0.7835074705658925,9,0
BFCL/015,4,Tool Use,Tool-Use Hallucination,4,4,0.8226668296808092,6,1
BFCL/016,0,Tool Use,Tool-Use Hallucination,3,3,0.8016888977827774,5,1
BFCL/017,0,Tool Use,Tool-Use Hallucination,3,2,0.8085815913633894,8,0
BFCL/021,1,Tool Use,Tool-Use Hallucination,8,8,0.7986310853650623,12,1
BFCL/023,0,Tool Use,Tool-Use Hallucination,2,2,0.6277624540752658,6,1
BFCL/024,1,Tool Use,Tool-Use Hallucination,4,2,0.8670798073254157,6,0
BFCL/025,3,Tool Use,Tool-Use Hallucination,2,2,0.7605080809079274,4,1
BFCL/027,1,Tool Use,Tool-Use Hallucination,2,2,0.8739201152143913,4,1
BFCL/028,2,Tool Use,Tool-Use Hallucination,9,6,0.667579474237842,11,0
BFCL/030,3,Tool Use,Tool-Use Hallucination,11,8,0.6586018379743819,12,0
BFCL/031,4,Tool Use,Tool-Use Hallucination,2,2,0.766243114466405,8,1
BFCL/032,2,Tool Use,Tool-Use Hallucination,2,2,0.8029335332538546,9,1
BFCL/034,3,Tool Use,Tool-Use Hallucination,2,6,0.8168324814129617,11,0
BFCL/035,2,Tool Use,Tool-Use Hallucination,0,2,0.7932342718730587,6,0
BFCL/037,1,Tool Use,Tool-Use Hallucination,0,2,0.9037397415967914,4,0
BFCL/039,0,Tool Use,Tool-Use Hallucination,3,5,0.7241046832501064,12,0
BFCL/040,4,Tool Use,Tool-Use Hallucination,7,4,0.7703945170960113,11,0
BFCL/041,1,Tool Use,Tool-Use Hallucination,2,4,0.7607258550020691,8,0
BFCL/042,0,Tool Use,Tool-Use Hallucination,7,9,0.6967807187459801,11,0
BFCL/043,3,Tool Use,Tool-Use Hallucination,3,9,0.6142812691978417,15,0
BFCL/044,1,Tool Use,Tool-Use Hallucination,3,3,0.8935212210053317,10,1
BFCL/046,1,Tool Use,Tool-Use Hallucination,13,3,0.6069766872790054,15,0
BFCL/047,4,Tool Use,Tool-Use Hallucination,8,8,0.7376335263287068,12,1
BFCL/048,0,Tool Use,Tool-Use Hallucination,0,8,0.7007388411237725,10,0
BFCL/049,4,Tool Use,Tool-Use Hallucination,6,4,0.7216907224138294,12,0
BFCL/051,3,Tool Use,Tool-Use Hallucination,2,5,0.7678295492661907,8,0
BFCL/052,3,Tool Use,Tool-Use Hallucination,2,2,0.7496955302258778,7,1
BFCL/054,0,Tool Use,Tool-Use Hallucination,2,10,0.7411443819361343,12,0
BFCL/056,2,Tool Use,Tool-Use Hallucination,3,3,0.6915191189827082,12,1
BFCL/057,2,Tool Use,Tool-Use Hallucination,6,1,0.6880463558712533,8,0
BFCL/058,1,Tool Use,Tool-Use Hallucination,9,8,0.672772161284341,10,0
BFCL/059,3,Tool Use,Tool-Use Hallucination,5,5,0.7237605034392423,11,1
BFCL/060,4,Tool Use,Tool-Use Hallucination,3,3,0.8108692833211191,12,1
BFCL/061,2,Tool Use,Tool-Use Hallucination,9,5,0.7987855468233239,13,0
BFCL/062,4,Tool Use,Tool-Use Hallucination,3,3,0.8702997303805502,5,1
BFCL/063,4,Tool Use,Tool-Use Hallucination,1,8,0.7029014863128861,14,0
BFCL/064,1,Tool Use,Tool-Use Hallucination,3,5,0.8454052084979735,7,0
BFCL/066,4,Tool Use,Tool-Use Hallucination,1,4,0.8311991363012152,5,0
BFCL/067,3,Tool Use,Tool-Use Hallucination,2,4,0.8072133556958598,6,0
BFCL/069,3,Tool Use,Tool-Use Hallucination,3,3,0.720417900526106,9,1
BFCL/070,3,Tool Use,Tool-Use Hallucination,2,16,0.5198694716127553,18,0
BFCL/071,4,Tool Use,Tool-Use Hallucination,3,5,0.7244807805837714,7,0
BFCL/072,0,Tool Use,Tool-Use Hallucination,2,3,0.7096704537413092,8,0
BFCL/074,0,Tool Use,Tool-Use Hallucination,3,3,0.8711413049706189,7,1
BFCL/075,1,Tool Use,Tool-Use Hallucination,4,4,0.7421939611832403,9,1
BFCL/076,1,Tool Use,Tool-Use Hallucination,5,2,0.8896797189990068,7,0
BFCL/077,0,Tool Use,Tool-Use Hallucination,7,3,0.9114403213581435,9,0
BFCL/078,3,Tool Use,Tool-Use Hallucination,1,6,0.7945513873631728,10,0
BFCL/080,2,Tool Use,Tool-Use Hallucination,6,4,0.7630890639687511,11,0
BFCL/081,2,Tool Use,Tool-Use Hallucination,6,1,0.7904449293814465,10,0
BFCL/082,0,Tool Use,Tool-Use Hallucination,10,3,0.5336367882133873,14,0
BFCL/083,3,Tool Use,Tool-Use Hallucination,2,1,0.6142308166008082,7,0
BFCL/085,1,Tool Use,Tool-Use Hallucination,4,1,0.7547938833384881,9,0
BFCL/086,4,Tool Use,Tool-Use Hallucination,12,2,0.780854079855199,13,0
BFCL/087,1,Tool Use,Tool-Use Hallucination,11,1,0.6775454621680373,13,0
BFCL/089,0,Tool Use,Tool-Use Hallucination,3,6,0.6923854866699453,7,0
BFCL/091,1,Tool Use,Tool-Use Hallucination,5,10,0.39169347895200457,20,0
BFCL/093,1,Tool Use,Tool-Use Hallucination,9,4,0.6471220985776592,14,0
BFCL/094,2,Tool Use,Tool-Use Hallucination,0,2,0.7569364674167216,4,0
BFCL/097,3,Tool Use,Tool-Use Hallucination,12,2,0.7888914727619178,14,0
BFCL/098,1,Tool Use,Tool-Use Hallucination,6,2,0.6366390742461339,12,0
BFCL/101,2,Tool Use,Tool-Use Hallucination,2,2,0.7957330884605763,8,1
BFCL/103,4,Tool Use,Tool-Use Hallucination,6,2,0.7544018148911914,10,0
BFCL/104,2,Tool Use,Tool-Use Hallucination,11,12,0.6851342838415033,13,0
BFCL/108,0,Tool Use,Tool-Use Hallucination,6,4,0.6504555189856192,9,0
BFCL/110,1,Tool Use,Tool-Use Hallucination,6,7,0.7743389523174902,8,0
BFCL/111,2,Tool Use,Tool-Use Hallucination,6,4,0.6598965251509363,14,0
BFCL/112,4,Tool Use,Tool-Use Hallucination,5,3,0.7138705187872578,9,0
BFCL/115,4,Tool Use,Tool-Use Hallucination,7,8,0.7590572448073608,9,0
BFCL/117,1,Tool Use,Tool-Use Hallucination,7,4,0.7936520683074713,11,0
BFCL/118,2,Tool Use,Tool-Use Hallucination,4,4,0.8842986503799255,6,1
BFCL/122,2,Tool Use,Tool-Use Hallucination,0,3,0.8325919145432431,7,0
BFCL/123,2,Tool Use,Tool-Use Hallucination,6,6,0.7463664253903861,8,1
BFCL/126,3,Tool Use,Tool-Use Hallucination,5,5,0.7540783654138135,12,1
BFCL/129,4,Tool Use,Tool-Use Hallucination,3,6,0.6278563374341463,8,0
BFCL/130,1,Tool Use,Tool-Use Hallucination,6,4,0.7595992750493233,13,0
BFCL/131,1,Tool Use,Tool-Use Hallucination,1,2,0.7887611770421018,5,0
BFCL/133,4,Tool Use,Tool-Use Hallucination,7,11,0.6153905005358801,15,0
BFCL/136,2,Tool Use,Tool-Use Hallucination,10,10,0.7154741223830542,12,1
BFCL/138,3,Tool Use,Tool-Use Hallucination,5,6,0.6442702976760541,13,0
BFCL/139,2,Tool Use,Tool-Use Hallucination,0,1,0.7866641082378392,10,0
BFCL/140,1,Tool Use,Tool-Use Hallucination,5,5,0.7605994012222942,9,1
BFCL/141,0,Tool Use,Tool-Use Hallucination,6,4,0.7630126685454518,8,0
BFCL/144,0,Tool Use,Tool-Use Hallucination,3,3,0.7130193375803624,5,1
BFCL/146,0,Tool Use,Tool-Use Hallucination,1,8,0.7112866558409213,10,0
BFCL/148,2,Tool Use,Tool-Use Hallucination,5,15,0.6048127926411301,18,0
BFCL/151,2,Tool Use,Tool-Use Hallucination,8,10,0.67443412647961,15,0
BFCL/153,4,Tool Use,Tool-Use Hallucination,13,3,0.6475376629638854,15,0
BFCL/155,3,Tool Use,Tool-Use Hallucination,5,3,0.7957664674274165,13,0
BFCL/156,4,Tool Use,Tool-Use Hallucination,9,3,0.6352773376307859,13,0
BFCL/158,0,Tool Use,Tool-Use Hallucination,10,4,0.8127809915201228,14,0
BFCL/159,4,Tool Use,Tool-Use Hallucination,0,2,0.7316587079609154,8,0
